open,high,low,close,volume,datetime
66.76,67.2,66.54,66.92,16881747,2017-07-12 01:00:00-04:00
67.15,67.29,66.69,67.02,20151962,2017-07-13 01:00:00-04:00
66.32,66.93,65.52,66.72,20742307,2017-07-14 01:00:00-04:00
66.76,67.1,66.42,66.83,17497953,2017-07-17 01:00:00-04:00
66.44,67.1,66.22,66.89,15965929,2017-07-18 01:00:00-04:00
67.15,67.36,66.5,66.7,12687313,2017-07-19 01:00:00-04:00
66.62,67.04,66.33,66.36,14027609,2017-07-20 01:00:00-04:00
66.1,66.44,65.89,66.0,14075511,2017-07-21 01:00:00-04:00
65.92,66.43,65.91,66.1,14848396,2017-07-24 01:00:00-04:00
67.93,68.42,67.81,68.03,30833581,2017-07-25 01:00:00-04:00
68.47,68.84,67.79,67.98,19228529,2017-07-26 01:00:00-04:00
68.0,68.7154,67.36,67.6,22650180,2017-07-27 01:00:00-04:00
67.42,67.77,67.0,67.43,13604466,2017-07-28 01:00:00-04:00
67.87,68.65,67.52,68.45,23059294,2017-07-31 01:00:00-04:00
69.09,69.62,68.75,69.6,22974747,2017-08-01 01:00:00-04:00
69.57,69.65,68.82,69.42,19095587,2017-08-02 01:00:00-04:00
68.93,69.2,68.01,68.13,20937926,2017-08-03 01:00:00-04:00
68.79,69.41,68.71,68.98,18148439,2017-08-04 01:00:00-04:00
69.13,69.26,68.695,69.04,12961055,2017-08-07 01:00:00-04:00
69.0,69.86,68.82,68.88,16645925,2017-08-08 01:00:00-04:00
68.12,68.48,67.92,68.43,19195725,2017-08-09 01:00:00-04:00
68.0,68.13,67.15,67.22,19147240,2017-08-10 01:00:00-04:00
67.07,67.47,66.59,66.8,15172831,2017-08-11 01:00:00-04:00
67.61,68.13,67.41,67.89,15120179,2017-08-14 01:00:00-04:00
68.58,68.96,67.88,67.97,15471998,2017-08-15 01:00:00-04:00
68.15,68.37,67.39,67.71,15064540,2017-08-16 01:00:00-04:00
67.31,67.65,66.51,66.6,14487868,2017-08-17 01:00:00-04:00
66.39,67.355,66.18,66.58,13628933,2017-08-18 01:00:00-04:00
66.58,66.78,65.86,65.95,15791091,2017-08-21 01:00:00-04:00
66.29,66.93,66.25,66.85,13246992,2017-08-22 01:00:00-04:00
66.21,67.57,66.21,67.23,10031623,2017-08-23 01:00:00-04:00
67.45,67.91,66.95,67.69,11524823,2017-08-24 01:00:00-04:00
67.8,68.24,67.71,67.85,11883138,2017-08-25 01:00:00-04:00
68.08,68.18,67.43,67.81,10797585,2017-08-28 01:00:00-04:00
66.7,67.77,66.51,67.48,12447985,2017-08-29 01:00:00-04:00
67.7,68.39,67.69,68.01,9152007,2017-08-30 01:00:00-04:00
68.15,68.29,67.745,68.03,12439281,2017-08-31 01:00:00-04:00
68.11,69.0252,67.98,68.58,10720614,2017-09-01 01:00:00-04:00
67.77,67.945,66.755,67.16,17666243,2017-09-05 01:00:00-04:00
67.46,67.6,66.85,67.32,11849419,2017-09-06 01:00:00-04:00
67.385,67.435,65.685,66.06,20307814,2017-09-07 01:00:00-04:00
65.97,66.92,65.871,66.17,13437956,2017-09-08 01:00:00-04:00
66.76,67.79,66.37,67.71,17287005,2017-09-11 01:00:00-04:00
68.22,69.2475,68.1,68.79,15495439,2017-09-12 01:00:00-04:00
68.69,69.53,68.46,69.39,17467281,2017-09-13 01:00:00-04:00
69.35,69.75,69.21,69.24,15022089,2017-09-14 01:00:00-04:00
69.12,69.375,68.905,69.04,18360910,2017-09-15 01:00:00-04:00
69.38,70.93,69.27,70.6,18027783,2017-09-18 01:00:00-04:00
70.3,71.7,70.3,71.15,15466007,2017-09-19 01:00:00-04:00
71.38,72.2,70.82,71.46,19788127,2017-09-20 01:00:00-04:00
71.45,72.13,71.15,71.76,11509157,2017-09-21 01:00:00-04:00
71.6,71.64,71.01,71.4,10446623,2017-09-22 01:00:00-04:00
71.21,71.51,70.321,70.84,10762772,2017-09-25 01:00:00-04:00
70.85,71.24,70.51,70.94,11553776,2017-09-26 01:00:00-04:00
72.19,72.97,71.91,72.28,18092199,2017-09-27 01:00:00-04:00
72.61,72.86,72.02,72.65,13845943,2017-09-28 01:00:00-04:00
72.55,72.9,72.36,72.74,12777307,2017-09-29 01:00:00-04:00
73.07,73.89,72.91,73.8,13386345,2017-10-02 01:00:00-04:00
73.98,74.38,73.85,74.13,11925126,2017-10-03 01:00:00-04:00
74.18,74.74,73.93,74.06,12904094,2017-10-04 01:00:00-04:00
74.07,75.93,73.85,75.72,19701222,2017-10-05 01:00:00-04:00
75.81,76.02,75.1,75.64,16119873,2017-10-06 01:00:00-04:00
75.83,75.875,75.09,75.39,12830818,2017-10-09 01:00:00-04:00
75.4,75.54,74.63,75.18,13866584,2017-10-10 01:00:00-04:00
74.97,75.33,74.66,74.94,18597884,2017-10-11 01:00:00-04:00
75.82,76.14,72.2725,72.37,40166252,2017-10-12 01:00:00-04:00
72.1,72.3356,70.91,72.11,30907260,2017-10-13 01:00:00-04:00
71.38,72.58,71.37,71.77,21169163,2017-10-16 01:00:00-04:00
72.24,72.72,72.0,72.19,15743771,2017-10-17 01:00:00-04:00
72.66,73.33,72.55,73.12,15126734,2017-10-18 01:00:00-04:00
72.35,72.94,71.71,72.88,12322700,2017-10-19 01:00:00-04:00
73.76,73.88,73.1799,73.53,15634587,2017-10-20 01:00:00-04:00
73.48,74.01,73.43,73.53,10821466,2017-10-23 01:00:00-04:00
73.96,74.75,73.73,74.24,15260158,2017-10-24 01:00:00-04:00
74.48,74.63,73.2601,73.62,17188102,2017-10-25 01:00:00-04:00
73.66,74.25,73.5958,73.79,13213118,2017-10-26 01:00:00-04:00
73.43,73.98,73.01,73.87,11309869,2017-10-27 01:00:00-04:00
