open,high,low,close,volume,datetime
98.84,100.53,98.78,100.05,1124333,2017-07-12 01:00:00-04:00
100.11,100.56,99.64,100.31,685576,2017-07-13 01:00:00-04:00
100.5,101.61,100.48,101.1,1967959,2017-07-14 01:00:00-04:00
100.87,100.87,96.81,96.81,3650438,2017-07-17 01:00:00-04:00
96.32,97.48,95.64,96.64,2950757,2017-07-18 01:00:00-04:00
94.98,98.78,93.14,98.66,6700986,2017-07-19 01:00:00-04:00
98.7,99.23,96.07,97.27,6212843,2017-07-20 01:00:00-04:00
96.39,99.75,96.11,99.17,23616078,2017-07-21 01:00:00-04:00
99.36,99.8,98.04,99.14,6329465,2017-07-24 01:00:00-04:00
99.28,99.54,98.51,99.5,5560200,2017-07-25 01:00:00-04:00
99.58,99.81,98.88,99.56,5984847,2017-07-26 01:00:00-04:00
99.77,100.2,99.01,100.19,4721523,2017-07-27 01:00:00-04:00
100.17,101.07,99.48,100.58,4786813,2017-07-28 01:00:00-04:00
100.63,101.24,99.0,100.58,5191162,2017-07-31 01:00:00-04:00
100.92,101.5,100.25,100.89,2762244,2017-08-01 01:00:00-04:00
100.88,101.83,100.17,101.81,2940070,2017-08-02 01:00:00-04:00
101.97,101.98,100.61,100.92,2273437,2017-08-03 01:00:00-04:00
100.55,102.06,100.55,102.02,2373704,2017-08-04 01:00:00-04:00
101.63,101.98,100.75,101.15,2432892,2017-08-07 01:00:00-04:00
100.9,101.49,99.7,100.03,2160488,2017-08-08 01:00:00-04:00
100.07,100.78,99.385,100.77,2539854,2017-08-09 01:00:00-04:00
100.37,101.02,100.34,100.71,1954311,2017-08-10 01:00:00-04:00
101.07,101.22,100.53,100.85,1985288,2017-08-11 01:00:00-04:00
101.25,102.46,100.63,102.37,1776502,2017-08-14 01:00:00-04:00
102.1,103.08,101.79,103.06,2104637,2017-08-15 01:00:00-04:00
102.84,105.05,102.84,103.79,2726552,2017-08-16 01:00:00-04:00
103.84,104.89,103.76,104.14,2740400,2017-08-17 01:00:00-04:00
104.31,104.62,103.97,104.12,3524965,2017-08-18 01:00:00-04:00
104.36,104.98,104.19,104.83,1666364,2017-08-21 01:00:00-04:00
105.04,106.45,105.01,105.74,2423077,2017-08-22 01:00:00-04:00
105.09,106.6,105.09,106.1,2214844,2017-08-23 01:00:00-04:00
