open,high,low,close,volume,datetime
245.41,248.83,244.65,247.91,511718,2017-07-12 01:00:00-04:00
248.45,248.95,243.91,246.45,494093,2017-07-13 01:00:00-04:00
246.96,252.05,245.45,250.36,549153,2017-07-14 01:00:00-04:00
251.44,252.85,250.72,251.98,518284,2017-07-17 01:00:00-04:00
251.84,253.32,249.05,253.2,449785,2017-07-18 01:00:00-04:00
254.71,256.39,254.29,254.9,355653,2017-07-19 01:00:00-04:00
254.89,255.87,253.8,254.0,228796,2017-07-20 01:00:00-04:00
250.9,251.74,246.2,248.41,370535,2017-07-21 01:00:00-04:00
248.33,250.76,247.493,250.62,252549,2017-07-24 01:00:00-04:00
250.76,251.56,247.99,250.83,364672,2017-07-25 01:00:00-04:00
250.49,250.56,246.16,247.01,287679,2017-07-26 01:00:00-04:00
247.38,247.62,243.65,246.64,295074,2017-07-27 01:00:00-04:00
246.04,246.99,244.43,246.6,216275,2017-07-28 01:00:00-04:00
247.0,247.18,243.0,243.87,455148,2017-07-31 01:00:00-04:00
245.13,246.215,243.045,245.29,332273,2017-08-01 01:00:00-04:00
245.44,246.35,241.16,244.27,296305,2017-08-02 01:00:00-04:00
244.07,245.19,243.17,244.78,260677,2017-08-03 01:00:00-04:00
244.9,245.62,242.82,243.72,140596,2017-08-04 01:00:00-04:00
243.95,245.04,242.74,244.63,262855,2017-08-07 01:00:00-04:00
244.63,245.37,243.04,243.59,148817,2017-08-08 01:00:00-04:00
242.98,244.51,242.38,242.71,237995,2017-08-09 01:00:00-04:00
241.29,243.11,239.18,239.99,334091,2017-08-10 01:00:00-04:00
241.29,242.17,239.5,240.92,286217,2017-08-11 01:00:00-04:00
243.87,244.01,242.27,243.28,430727,2017-08-14 01:00:00-04:00
243.72,244.18,241.49,242.92,412995,2017-08-15 01:00:00-04:00
243.08,245.2,242.51,244.57,303595,2017-08-16 01:00:00-04:00
244.31,246.65,243.27,245.18,360857,2017-08-17 01:00:00-04:00
245.75,246.92,244.5,245.05,896479,2017-08-18 01:00:00-04:00
245.19,247.9,244.86,247.7,298810,2017-08-21 01:00:00-04:00
247.35,250.37,246.98,249.12,513826,2017-08-22 01:00:00-04:00
248.16,250.15,246.095,246.36,233262,2017-08-23 01:00:00-04:00
247.03,247.575,245.42,245.66,158349,2017-08-24 01:00:00-04:00
246.61,248.79,246.13,246.33,259818,2017-08-25 01:00:00-04:00
247.25,248.22,246.01,247.63,288490,2017-08-28 01:00:00-04:00
247.15,247.89,244.175,246.15,567392,2017-08-29 01:00:00-04:00
246.55,248.31,245.47,246.11,443610,2017-08-30 01:00:00-04:00
245.91,251.47,245.91,250.83,594524,2017-08-31 01:00:00-04:00
245.0,245.0,234.62,236.18,1026728,2017-09-01 01:00:00-04:00
236.25,240.03,235.7,239.91,650265,2017-09-05 01:00:00-04:00
240.47,241.82,237.62,241.14,544650,2017-09-06 01:00:00-04:00
241.5,245.05,240.38,244.81,487717,2017-09-07 01:00:00-04:00
244.82,252.05,244.34,251.48,577385,2017-09-08 01:00:00-04:00
252.81,253.99,251.41,253.39,418758,2017-09-11 01:00:00-04:00
253.39,254.48,246.56,250.03,992297,2017-09-12 01:00:00-04:00
249.65,249.65,246.37,246.6,319958,2017-09-13 01:00:00-04:00
246.26,247.049,244.255,247.04,423908,2017-09-14 01:00:00-04:00
247.77,248.01,244.76,245.21,862709,2017-09-15 01:00:00-04:00
