open,high,low,close,volume,datetime
151.32,152.64,150.94,152.34,1470098,2017-07-12 01:00:00-04:00
152.24,153.07,151.83,152.9,1005078,2017-07-13 01:00:00-04:00
153.73,154.78,152.7001,154.17,1216820,2017-07-14 01:00:00-04:00
154.3,154.44,152.16,152.73,1291421,2017-07-17 01:00:00-04:00
152.47,153.7,151.865,153.57,933731,2017-07-18 01:00:00-04:00
154.25,155.845,153.915,155.47,1007330,2017-07-19 01:00:00-04:00
155.22,155.98,153.96,154.63,953561,2017-07-20 01:00:00-04:00
153.91,154.95,152.93,153.94,1218922,2017-07-21 01:00:00-04:00
153.94,155.03,153.88,154.61,858425,2017-07-24 01:00:00-04:00
155.68,155.8,154.16,154.57,1697370,2017-07-25 01:00:00-04:00
155.24,158.0,155.005,156.94,2066509,2017-07-26 01:00:00-04:00
158.53,158.74,152.08,154.25,2943418,2017-07-27 01:00:00-04:00
154.44,161.0,154.36,159.5,4398933,2017-07-28 01:00:00-04:00
159.28,159.28,154.64,156.47,2287033,2017-07-31 01:00:00-04:00
157.24,157.24,152.46,152.69,1847023,2017-08-01 01:00:00-04:00
152.87,153.36,150.28,153.13,1640051,2017-08-02 01:00:00-04:00
153.26,154.85,152.16,153.68,1143458,2017-08-03 01:00:00-04:00
153.0,153.68,149.74,151.35,1934161,2017-08-04 01:00:00-04:00
151.47,152.76,148.71,149.12,2622575,2017-08-07 01:00:00-04:00
148.37,148.57,144.59,145.92,4185002,2017-08-08 01:00:00-04:00
143.75,148.0612,143.31,147.9,2507021,2017-08-09 01:00:00-04:00
146.76,146.9,143.03,143.55,1813932,2017-08-10 01:00:00-04:00
144.16,144.74,142.06,144.51,1327508,2017-08-11 01:00:00-04:00
146.11,147.83,145.09,147.58,1399986,2017-08-14 01:00:00-04:00
147.54,147.63,145.0,147.06,1254710,2017-08-15 01:00:00-04:00
148.16,149.24,147.3,148.78,1707731,2017-08-16 01:00:00-04:00
148.09,148.65,144.02,144.14,1721911,2017-08-17 01:00:00-04:00
144.14,145.13,142.72,143.71,1578303,2017-08-18 01:00:00-04:00
143.86,145.32,143.26,145.03,1145184,2017-08-21 01:00:00-04:00
145.32,148.07,145.32,147.61,944698,2017-08-22 01:00:00-04:00
147.0,148.32,146.55,148.09,1714617,2017-08-23 01:00:00-04:00
149.31,151.87,149.31,149.94,1838562,2017-08-24 01:00:00-04:00
151.53,151.745,148.47,149.26,1171492,2017-08-25 01:00:00-04:00
143.72,143.99,141.21,142.53,6694741,2017-08-28 01:00:00-04:00
141.0,145.02,140.75,143.99,3171414,2017-08-29 01:00:00-04:00
144.0,145.16,141.83,143.44,3355881,2017-08-30 01:00:00-04:00
145.32,148.52,144.88,148.36,2383246,2017-08-31 01:00:00-04:00
149.03,151.89,148.01,148.23,2199950,2017-09-01 01:00:00-04:00
147.79,148.6,146.02,147.61,1494846,2017-09-05 01:00:00-04:00
144.09,145.45,142.05,144.39,3266625,2017-09-06 01:00:00-04:00
144.66,145.19,143.09,143.97,1346920,2017-09-07 01:00:00-04:00
143.99,144.6701,141.22,141.41,1378157,2017-09-08 01:00:00-04:00
142.43,144.59,141.43,144.12,2371372,2017-09-11 01:00:00-04:00
144.07,145.77,142.71,145.36,1237692,2017-09-12 01:00:00-04:00
145.32,145.85,144.44,145.66,1137847,2017-09-13 01:00:00-04:00
144.87,145.08,142.96,143.38,1047193,2017-09-14 01:00:00-04:00
143.23,143.89,141.51,142.13,1559360,2017-09-15 01:00:00-04:00
143.0,143.37,140.68,142.16,2446220,2017-09-18 01:00:00-04:00
141.6,141.98,138.35,141.47,2576257,2017-09-19 01:00:00-04:00
141.69,143.5,141.39,143.01,1664845,2017-09-20 01:00:00-04:00
142.2,143.34,140.07,143.12,2339557,2017-09-21 01:00:00-04:00
142.55,146.28,142.08,145.77,2268233,2017-09-22 01:00:00-04:00
145.73,145.77,140.01,142.72,2816335,2017-09-25 01:00:00-04:00
143.53,144.44,141.17,143.39,2071239,2017-09-26 01:00:00-04:00
143.01,146.93,143.01,145.57,1479037,2017-09-27 01:00:00-04:00
144.82,145.0,142.31,142.84,1856829,2017-09-28 01:00:00-04:00
143.63,144.8,142.85,143.94,1422378,2017-09-29 01:00:00-04:00
144.0,149.34,143.55,146.84,2352515,2017-10-02 01:00:00-04:00
147.5,148.24,145.38,146.21,1390979,2017-10-03 01:00:00-04:00
146.8,147.99,145.9,147.6,1132095,2017-10-04 01:00:00-04:00
147.67,149.55,147.33,148.41,1087107,2017-10-05 01:00:00-04:00
147.66,148.9,147.33,147.99,1240850,2017-10-06 01:00:00-04:00
148.06,149.61,146.1,146.46,1805959,2017-10-09 01:00:00-04:00
146.61,148.46,145.42,146.43,1203612,2017-10-10 01:00:00-04:00
146.92,147.39,145.44,147.17,1839760,2017-10-11 01:00:00-04:00
147.1,148.07,145.85,147.98,1383952,2017-10-12 01:00:00-04:00
148.98,151.33,148.725,150.11,1792033,2017-10-13 01:00:00-04:00
150.34,150.54,148.0,148.49,1639472,2017-10-16 01:00:00-04:00
148.95,149.82,148.23,149.14,690912,2017-10-17 01:00:00-04:00
149.89,152.95,149.75,152.28,2034428,2017-10-18 01:00:00-04:00
151.47,153.46,149.36,153.4,1567711,2017-10-19 01:00:00-04:00
154.0,154.24,152.28,152.8,1710334,2017-10-20 01:00:00-04:00
153.47,153.685,150.56,150.68,1880828,2017-10-23 01:00:00-04:00
150.8,151.47,149.95,150.73,2049755,2017-10-24 01:00:00-04:00
148.5,150.13,147.4601,147.9,3247716,2017-10-25 01:00:00-04:00
148.17,148.48,145.05,147.35,5956792,2017-10-26 01:00:00-04:00
123.1,124.5,118.0,123.79,20597371,2017-10-27 01:00:00-04:00
124.79,124.89,119.76,120.21,7607926,2017-10-30 01:00:00-04:00
120.88,125.1,120.46,124.66,6924209,2017-10-31 01:00:00-04:00
125.88,127.0,121.92,122.05,3516043,2017-11-01 01:00:00-04:00
122.74,123.92,121.56,123.51,2395489,2017-11-02 01:00:00-04:00
123.24,124.1,122.52,123.05,1477580,2017-11-03 01:00:00-04:00
122.9,123.9,122.4,122.98,1973392,2017-11-06 01:00:00-05:00
120.0,121.13,118.91,119.61,6276635,2017-11-07 01:00:00-05:00
120.24,120.78,117.26,118.56,3063594,2017-11-08 01:00:00-05:00
118.0,118.479,116.14,117.32,3181759,2017-11-09 01:00:00-05:00
116.34,121.15,115.55,120.74,3817361,2017-11-10 01:00:00-05:00
120.69,120.89,118.9,120.28,3445204,2017-11-13 01:00:00-05:00
119.97,122.45,119.22,122.09,2468515,2017-11-14 01:00:00-05:00
121.89,121.89,119.98,121.17,2273668,2017-11-15 01:00:00-05:00
120.95,122.59,120.5,122.04,3390346,2017-11-16 01:00:00-05:00
121.84,124.2,121.755,123.95,2495350,2017-11-17 01:00:00-05:00
124.3,124.87,122.14,123.49,2041939,2017-11-20 01:00:00-05:00
123.99,125.75,122.54,124.88,2580621,2017-11-21 01:00:00-05:00
125.08,127.99,124.48,126.98,2089137,2017-11-22 01:00:00-05:00
127.07,127.8101,126.3466,126.81,638095,2017-11-24 01:00:00-05:00
126.95,128.43,126.64,126.68,1445116,2017-11-27 01:00:00-05:00
127.0,127.0,124.65,125.68,1221837,2017-11-28 01:00:00-05:00
125.86,126.7,120.88,122.02,2831097,2017-11-29 01:00:00-05:00
121.57,123.535,121.57,122.5,2035123,2017-11-30 01:00:00-05:00
121.65,123.63,121.28,122.7,1761098,2017-12-01 01:00:00-05:00
123.61,125.45,122.2,122.24,2050599,2017-12-04 01:00:00-05:00
121.82,122.91,120.51,120.77,1938355,2017-12-05 01:00:00-05:00
120.77,121.0,118.83,119.17,2730091,2017-12-06 01:00:00-05:00
116.99,119.5,116.76,119.21,4250309,2017-12-07 01:00:00-05:00
119.89,120.7,117.42,117.54,2866036,2017-12-08 01:00:00-05:00
117.47,119.88,117.43,117.83,2664971,2017-12-11 01:00:00-05:00
118.07,118.88,117.6,118.69,1991485,2017-12-12 01:00:00-05:00
119.01,119.72,118.22,118.55,2019987,2017-12-13 01:00:00-05:00
118.65,120.59,118.65,119.9,2020228,2017-12-14 01:00:00-05:00
120.64,121.22,120.2,120.88,2316897,2017-12-15 01:00:00-05:00
122.11,122.76,121.22,121.96,1613920,2017-12-18 01:00:00-05:00
122.4,123.34,121.35,121.46,1303676,2017-12-19 01:00:00-05:00
121.86,121.91,119.9,120.01,1130111,2017-12-20 01:00:00-05:00
