open,high,low,close,volume,datetime
65.44,65.87,65.19,65.87,2661923,2017-07-12 01:00:00-04:00
66.62,67.335,66.12,66.88,3162772,2017-07-13 01:00:00-04:00
66.36,66.36,65.47,65.55,2851591,2017-07-14 01:00:00-04:00
65.61,66.42,65.4101,65.82,2122108,2017-07-17 01:00:00-04:00
65.6,65.8415,65.335,65.72,2012836,2017-07-18 01:00:00-04:00
65.95,66.01,65.44,65.72,2031668,2017-07-19 01:00:00-04:00
65.66,65.98,65.56,65.84,1975780,2017-07-20 01:00:00-04:00
65.82,66.76,65.82,66.58,2283550,2017-07-21 01:00:00-04:00
66.48,67.29,66.31,66.75,3596353,2017-07-24 01:00:00-04:00
67.26,67.48,66.37,66.38,1757034,2017-07-25 01:00:00-04:00
66.33,66.94,66.22,66.34,1639051,2017-07-26 01:00:00-04:00
66.29,66.53,65.67,66.13,1658684,2017-07-27 01:00:00-04:00
66.2,66.55,65.81,66.37,1177465,2017-07-28 01:00:00-04:00
66.28,66.91,66.12,66.71,2083024,2017-07-31 01:00:00-04:00
66.79,67.29,66.55,67.28,2238655,2017-08-01 01:00:00-04:00
67.28,67.31,66.74,67.02,1784677,2017-08-02 01:00:00-04:00
64.0,65.95,63.22,65.15,4085124,2017-08-03 01:00:00-04:00
65.55,65.64,64.45,64.82,2764042,2017-08-04 01:00:00-04:00
65.09,65.17,64.36,64.37,2334739,2017-08-07 01:00:00-04:00
64.21,64.7,64.01,64.55,2301976,2017-08-08 01:00:00-04:00
64.28,65.75,64.28,65.73,1723022,2017-08-09 01:00:00-04:00
65.32,65.76,65.05,65.16,2750660,2017-08-10 01:00:00-04:00
65.36,65.43,64.87,65.01,2067776,2017-08-11 01:00:00-04:00
65.87,65.87,65.21,65.39,1244529,2017-08-14 01:00:00-04:00
65.66,66.24,65.6,65.86,1542905,2017-08-15 01:00:00-04:00
65.97,66.43,65.89,66.06,1630596,2017-08-16 01:00:00-04:00
66.09,66.32,65.15,65.15,1678157,2017-08-17 01:00:00-04:00
64.98,65.08,64.57,64.59,1852295,2017-08-18 01:00:00-04:00
64.59,64.77,64.07,64.55,1616720,2017-08-21 01:00:00-04:00
64.74,65.71,64.48,65.5,1606677,2017-08-22 01:00:00-04:00
65.35,65.61,64.99,65.02,1282620,2017-08-23 01:00:00-04:00
65.6,65.67,64.45,64.7,1515240,2017-08-24 01:00:00-04:00
64.98,65.72,64.8,65.41,1803318,2017-08-25 01:00:00-04:00
65.53,65.71,65.12,65.3,1274578,2017-08-28 01:00:00-04:00
