open,high,low,close,volume,datetime
76.6,76.92,76.025,76.22,4379323,2017-07-12 01:00:00-04:00
76.51,76.905,76.28,76.52,4648190,2017-07-13 01:00:00-04:00
76.53,76.7,75.74,76.06,4778412,2017-07-14 01:00:00-04:00
76.06,76.67,75.94,76.43,3960640,2017-07-17 01:00:00-04:00
76.24,76.41,75.88,75.96,3174141,2017-07-18 01:00:00-04:00
76.24,77.15,76.21,76.83,4233606,2017-07-19 01:00:00-04:00
75.96,76.14,71.58,72.56,23892097,2017-07-20 01:00:00-04:00
72.75,74.11,72.72,73.84,11614552,2017-07-21 01:00:00-04:00
73.5,74.76,73.06,74.31,7749241,2017-07-24 01:00:00-04:00
74.69,76.18,74.51,75.69,6506985,2017-07-25 01:00:00-04:00
75.69,76.325,75.3,75.98,4481628,2017-07-26 01:00:00-04:00
75.83,77.68,75.81,77.0,6934819,2017-07-27 01:00:00-04:00
76.96,77.35,76.2,76.48,5000589,2017-07-28 01:00:00-04:00
76.57,77.52,76.37,77.4,6833262,2017-07-31 01:00:00-04:00
77.27,77.96,76.25,77.83,3741236,2017-08-01 01:00:00-04:00
77.57,78.15,77.5,77.86,3738964,2017-08-02 01:00:00-04:00
78.14,78.91,77.86,77.91,3833165,2017-08-03 01:00:00-04:00
78.46,78.57,77.68,78.37,2493044,2017-08-04 01:00:00-04:00
78.5,78.84,78.09,78.32,4236508,2017-08-07 01:00:00-04:00
78.27,78.33,77.125,77.21,4411269,2017-08-08 01:00:00-04:00
77.0,78.36,76.6,78.34,3508362,2017-08-09 01:00:00-04:00
77.8,77.99,76.62,77.01,4028620,2017-08-10 01:00:00-04:00
76.76,77.51,76.67,77.26,3090052,2017-08-11 01:00:00-04:00
77.8,78.125,77.18,77.72,3602793,2017-08-14 01:00:00-04:00
77.9,77.9,74.18,74.3,9113388,2017-08-15 01:00:00-04:00
74.66,75.55,74.61,75.35,4900370,2017-08-16 01:00:00-04:00
75.27,75.53,74.11,74.12,6006765,2017-08-17 01:00:00-04:00
74.02,74.19,73.22,73.64,5153649,2017-08-18 01:00:00-04:00
73.87,74.49,73.34,73.85,8139482,2017-08-21 01:00:00-04:00
74.08,75.93,73.91,75.82,7612845,2017-08-22 01:00:00-04:00
71.95,73.41,70.76,73.01,26364263,2017-08-23 01:00:00-04:00
73.2,73.87,72.32,72.61,10580170,2017-08-24 01:00:00-04:00
72.63,73.63,72.53,73.35,6425491,2017-08-25 01:00:00-04:00
74.4,75.23,73.63,73.8,6499807,2017-08-28 01:00:00-04:00
