open,high,low,close,volume,datetime
62.66,63.13,62.66,62.78,8216033,2017-07-12 01:00:00-04:00
62.79,62.99,62.2764,62.89,6799150,2017-07-13 01:00:00-04:00
62.93,63.395,62.86,63.06,6020850,2017-07-14 01:00:00-04:00
63.15,63.31,62.53,62.61,7387313,2017-07-17 01:00:00-04:00
62.5,62.63,62.27,62.41,6114947,2017-07-18 01:00:00-04:00
62.5,62.83,62.435,62.62,5699122,2017-07-19 01:00:00-04:00
62.91,63.24,62.855,62.94,6655095,2017-07-20 01:00:00-04:00
62.79,63.0,62.58,62.63,6906447,2017-07-21 01:00:00-04:00
62.54,62.9,62.5,62.57,7783692,2017-07-24 01:00:00-04:00
62.85,63.0,62.2499,62.36,5955856,2017-07-25 01:00:00-04:00
62.31,62.34,61.72,61.8,9366722,2017-07-26 01:00:00-04:00
63.67,64.55,62.8,63.69,21846256,2017-07-27 01:00:00-04:00
63.81,64.36,63.22,64.11,13342135,2017-07-28 01:00:00-04:00
64.25,64.31,63.51,63.88,11714888,2017-07-31 01:00:00-04:00
64.04,64.27,63.77,63.92,6490905,2017-08-01 01:00:00-04:00
63.95,63.96,63.17,63.44,7034926,2017-08-02 01:00:00-04:00
63.21,63.73,63.18,63.52,7018782,2017-08-03 01:00:00-04:00
63.63,63.69,62.94,63.1,5340999,2017-08-04 01:00:00-04:00
62.95,63.09,62.655,62.84,6696792,2017-08-07 01:00:00-04:00
62.54,62.72,62.2,62.32,7680067,2017-08-08 01:00:00-04:00
62.45,62.72,62.22,62.49,6552276,2017-08-09 01:00:00-04:00
62.37,62.58,62.17,62.18,7765079,2017-08-10 01:00:00-04:00
62.42,62.96,62.26,62.38,6050985,2017-08-11 01:00:00-04:00
62.91,63.0,62.59,62.67,5507513,2017-08-14 01:00:00-04:00
62.73,63.03,62.49,62.5,6316031,2017-08-15 01:00:00-04:00
62.43,62.93,62.327,62.7,6061224,2017-08-16 01:00:00-04:00
62.75,63.02,61.81,61.84,9150116,2017-08-17 01:00:00-04:00
61.77,61.815,61.16,61.49,8421689,2017-08-18 01:00:00-04:00
61.48,62.04,61.43,61.97,7197199,2017-08-21 01:00:00-04:00
61.97,62.5,61.92,62.42,5515238,2017-08-22 01:00:00-04:00
62.25,62.6,62.15,62.15,6434881,2017-08-23 01:00:00-04:00
62.25,62.91,62.19,62.71,7750055,2017-08-24 01:00:00-04:00
62.87,63.29,62.77,62.94,5274946,2017-08-25 01:00:00-04:00
63.11,63.46,62.98,63.32,7498151,2017-08-28 01:00:00-04:00
63.13,63.21,62.72,63.12,6564714,2017-08-29 01:00:00-04:00
63.14,63.17,62.9,63.12,5022455,2017-08-30 01:00:00-04:00
63.35,63.92,62.95,63.86,12902957,2017-08-31 01:00:00-04:00
63.79,64.095,63.6,63.83,6185056,2017-09-01 01:00:00-04:00
63.75,64.115,63.46,63.62,8140442,2017-09-05 01:00:00-04:00
63.89,64.33,63.765,64.0,7148699,2017-09-06 01:00:00-04:00
64.09,64.42,63.785,64.32,6856376,2017-09-07 01:00:00-04:00
63.99,64.53,63.94,64.27,7365817,2017-09-08 01:00:00-04:00
64.94,65.31,64.68,65.13,10291625,2017-09-11 01:00:00-04:00
65.12,65.62,65.12,65.46,7354151,2017-09-12 01:00:00-04:00
65.36,65.55,65.3,65.45,5628692,2017-09-13 01:00:00-04:00
64.99,66.17,64.91,66.12,9959122,2017-09-14 01:00:00-04:00
66.17,66.38,65.75,66.16,14685767,2017-09-15 01:00:00-04:00
66.02,66.41,65.805,65.99,10543216,2017-09-18 01:00:00-04:00
66.02,66.16,65.68,65.95,7009284,2017-09-19 01:00:00-04:00
66.07,66.31,65.19,65.79,9450016,2017-09-20 01:00:00-04:00
65.85,65.93,65.52,65.6,5968693,2017-09-21 01:00:00-04:00
65.63,65.7,65.065,65.13,7465921,2017-09-22 01:00:00-04:00
65.16,65.4,65.04,65.18,5573399,2017-09-25 01:00:00-04:00
65.1,65.32,64.72,64.76,6976185,2017-09-26 01:00:00-04:00
64.68,64.75,64.32,64.57,6691948,2017-09-27 01:00:00-04:00
64.27,64.66,64.17,64.29,7022769,2017-09-28 01:00:00-04:00
64.29,64.53,63.33,64.03,11449603,2017-09-29 01:00:00-04:00
64.21,64.68,63.89,64.55,6743391,2017-10-02 01:00:00-04:00
64.55,64.5789,63.78,64.37,6507064,2017-10-03 01:00:00-04:00
64.42,64.62,64.33,64.6,6414724,2017-10-04 01:00:00-04:00
64.42,64.795,64.33,64.6,9150023,2017-10-05 01:00:00-04:00
64.7,64.9,64.37,64.55,7488442,2017-10-06 01:00:00-04:00
64.67,64.74,64.12,64.33,5451299,2017-10-09 01:00:00-04:00
64.31,64.475,64.195,64.46,4921049,2017-10-10 01:00:00-04:00
64.34,64.34,63.52,63.78,10101624,2017-10-11 01:00:00-04:00
63.79,63.98,63.555,63.83,6158543,2017-10-12 01:00:00-04:00
63.95,64.1649,63.38,63.39,7341381,2017-10-13 01:00:00-04:00
63.49,63.73,63.26,63.34,7449197,2017-10-16 01:00:00-04:00
63.21,63.31,62.88,63.22,7028492,2017-10-17 01:00:00-04:00
64.09,64.11,63.41,63.51,7886855,2017-10-18 01:00:00-04:00
63.64,64.03,63.59,63.75,10071235,2017-10-19 01:00:00-04:00
63.85,63.99,63.57,63.88,10304201,2017-10-20 01:00:00-04:00
64.03,64.52,63.3,63.4,11582013,2017-10-23 01:00:00-04:00
63.31,63.31,62.365,63.11,10221095,2017-10-24 01:00:00-04:00
63.1,63.125,62.33,62.45,11016700,2017-10-25 01:00:00-04:00
62.29,62.69,61.805,61.99,10744312,2017-10-26 01:00:00-04:00
60.55,60.55,57.82,58.24,29561260,2017-10-27 01:00:00-04:00
55.75,56.05,54.41,54.71,38989448,2017-10-30 01:00:00-04:00
55.17,55.79,55.03,55.09,18429170,2017-10-31 01:00:00-04:00
55.54,55.8,55.28,55.34,16418356,2017-11-01 01:00:00-04:00
55.48,55.57,55.035,55.37,12318499,2017-11-02 01:00:00-04:00
55.3,56.275,55.185,56.06,9810781,2017-11-03 01:00:00-04:00
56.04,56.175,55.6,55.88,8718542,2017-11-06 01:00:00-05:00
55.88,56.185,55.38,55.59,14321128,2017-11-07 01:00:00-05:00
55.5,56.72,55.46,56.58,15132913,2017-11-08 01:00:00-05:00
56.55,56.66,55.615,56.21,14140070,2017-11-09 01:00:00-05:00
56.29,56.29,55.15,55.48,16743873,2017-11-10 01:00:00-05:00
55.31,55.52,55.06,55.1,13488250,2017-11-13 01:00:00-05:00
54.97,55.18,54.75,54.99,12705755,2017-11-14 01:00:00-05:00
54.76,55.1,54.4,54.8,11727413,2017-11-15 01:00:00-05:00
54.86,55.37,54.75,55.17,11996332,2017-11-16 01:00:00-05:00
55.0,55.43,54.75,55.2,9884066,2017-11-17 01:00:00-05:00
54.04,54.39,53.63,54.1,17178688,2017-11-20 01:00:00-05:00
54.36,54.85,54.18,54.27,13711279,2017-11-21 01:00:00-05:00
54.23,54.57,54.17,54.37,7376233,2017-11-22 01:00:00-05:00
54.5,54.63,54.11,54.35,4341296,2017-11-24 01:00:00-05:00
54.41,54.6,54.2,54.55,10100064,2017-11-27 01:00:00-05:00
54.93,55.125,54.41,54.93,12830909,2017-11-28 01:00:00-05:00
55.04,55.6546,54.93,55.36,10477609,2017-11-29 01:00:00-05:00
55.42,55.89,55.03,55.27,15400374,2017-11-30 01:00:00-05:00
55.4,55.975,55.22,55.87,12092385,2017-12-01 01:00:00-05:00
55.93,56.71,55.87,56.22,13440038,2017-12-04 01:00:00-05:00
