open,high,low,close,volume,datetime
58.31,58.75,58.1,58.22,7243119,2017-07-12 01:00:00-04:00
58.22,58.58,57.93,57.94,8108634,2017-07-13 01:00:00-04:00
57.95,58.21,57.64,58.0,6345279,2017-07-14 01:00:00-04:00
58.0,58.35,57.755,57.79,6885045,2017-07-17 01:00:00-04:00
57.74,58.08,57.47,57.65,4922455,2017-07-18 01:00:00-04:00
57.6,57.875,57.3925,57.77,4451101,2017-07-19 01:00:00-04:00
59.12,59.59,58.8,59.1,11915546,2017-07-20 01:00:00-04:00
59.0,60.0,58.91,59.95,11048297,2017-07-21 01:00:00-04:00
59.69,59.7701,58.761,58.95,7498860,2017-07-24 01:00:00-04:00
59.32,59.52,58.92,59.39,5157123,2017-07-25 01:00:00-04:00
59.09,59.13,58.32,58.36,5529498,2017-07-26 01:00:00-04:00
58.6,58.68,57.985,58.15,8259947,2017-07-27 01:00:00-04:00
58.15,58.735,57.97,58.67,5112825,2017-07-28 01:00:00-04:00
58.71,59.12,58.33,59.05,6225907,2017-07-31 01:00:00-04:00
59.0,59.94,58.9,59.84,9051700,2017-08-01 01:00:00-04:00
59.55,59.95,59.27,59.79,4468121,2017-08-02 01:00:00-04:00
59.8,60.53,59.64,60.14,5677172,2017-08-03 01:00:00-04:00
60.17,60.34,59.63,59.76,4105953,2017-08-04 01:00:00-04:00
59.82,60.1,59.71,59.79,4066712,2017-08-07 01:00:00-04:00
59.88,60.12,59.36,59.46,5586439,2017-08-08 01:00:00-04:00
59.42,59.965,59.26,59.9,5310944,2017-08-09 01:00:00-04:00
59.68,59.69,59.06,59.07,5585115,2017-08-10 01:00:00-04:00
58.73,59.27,58.59,58.97,4979994,2017-08-11 01:00:00-04:00
59.15,60.0,59.13,59.78,5899971,2017-08-14 01:00:00-04:00
58.94,59.01,58.29,58.56,8913041,2017-08-15 01:00:00-04:00
58.9,59.05,58.221,58.54,5489569,2017-08-16 01:00:00-04:00
58.53,58.7445,57.42,57.46,9148637,2017-08-17 01:00:00-04:00
54.85,55.42,54.17,54.95,22905183,2017-08-18 01:00:00-04:00
54.44,54.44,53.105,53.61,14289253,2017-08-21 01:00:00-04:00
53.92,54.41,53.79,54.13,8212816,2017-08-22 01:00:00-04:00
53.92,54.08,53.445,53.61,6409366,2017-08-23 01:00:00-04:00
53.93,53.97,53.46,53.84,5461911,2017-08-24 01:00:00-04:00
54.03,54.2,53.5375,53.9,6416622,2017-08-25 01:00:00-04:00
54.07,54.43,53.615,53.73,5269393,2017-08-28 01:00:00-04:00
52.74,52.8775,52.065,52.73,12539931,2017-08-29 01:00:00-04:00
52.8,52.96,52.25,52.56,7434491,2017-08-30 01:00:00-04:00
52.6,52.98,52.47,52.81,7728916,2017-08-31 01:00:00-04:00
53.0,53.45,52.9,53.36,5509805,2017-09-01 01:00:00-04:00
53.25,53.47,52.88,53.01,6689126,2017-09-05 01:00:00-04:00
53.12,53.34,52.71,52.76,7407562,2017-09-06 01:00:00-04:00
52.76,52.85,52.34,52.39,6905762,2017-09-07 01:00:00-04:00
52.25,52.51,52.11,52.2,8563283,2017-09-08 01:00:00-04:00
52.38,53.13,52.32,53.03,8649915,2017-09-11 01:00:00-04:00
53.77,54.09,53.3,53.4,7823691,2017-09-12 01:00:00-04:00
53.45,53.64,53.04,53.52,6085952,2017-09-13 01:00:00-04:00
53.54,53.89,53.12,53.73,7497401,2017-09-14 01:00:00-04:00
53.86,54.06,53.52,53.87,10046827,2017-09-15 01:00:00-04:00
53.87,54.16,53.4,53.5,8166438,2017-09-18 01:00:00-04:00
52.78,54.05,52.51,53.33,14707174,2017-09-19 01:00:00-04:00
53.49,53.64,53.04,53.56,7058002,2017-09-20 01:00:00-04:00
53.55,53.64,53.09,53.19,8065367,2017-09-21 01:00:00-04:00
53.02,53.61,52.8,53.24,10962392,2017-09-22 01:00:00-04:00
53.08,53.56,53.0,53.23,12262360,2017-09-25 01:00:00-04:00
53.18,53.97,52.98,53.7,16183717,2017-09-26 01:00:00-04:00
52.17,52.69,51.03,52.67,36202500,2017-09-27 01:00:00-04:00
52.8,53.03,52.33,52.63,11334704,2017-09-28 01:00:00-04:00
52.59,52.82,51.76,51.85,12189882,2017-09-29 01:00:00-04:00
52.16,52.21,51.66,51.87,7516205,2017-10-02 01:00:00-04:00
52.0,52.05,51.4,51.47,8126729,2017-10-03 01:00:00-04:00
51.51,52.13,51.4,52.08,8204280,2017-10-04 01:00:00-04:00
52.01,52.32,51.775,52.18,5287422,2017-10-05 01:00:00-04:00
52.2,52.46,52.12,52.42,5360267,2017-10-06 01:00:00-04:00
52.23,52.3,51.5,51.52,6875105,2017-10-09 01:00:00-04:00
51.58,51.82,51.37,51.53,8372726,2017-10-10 01:00:00-04:00
51.39,51.52,50.83,51.03,9109648,2017-10-11 01:00:00-04:00
50.98,51.12,50.35,50.83,10658445,2017-10-12 01:00:00-04:00
50.83,51.07,50.4,50.98,16227948,2017-10-13 01:00:00-04:00
50.8,51.405,50.64,51.37,9299326,2017-10-16 01:00:00-04:00
51.5,52.04,51.38,52.0,9492675,2017-10-17 01:00:00-04:00
52.18,52.4,52.1,52.3,10890257,2017-10-18 01:00:00-04:00
51.66,52.8,51.48,52.69,12568217,2017-10-19 01:00:00-04:00
52.79,53.5,52.79,53.06,13020916,2017-10-20 01:00:00-04:00
53.06,53.95,53.0,53.66,12242580,2017-10-23 01:00:00-04:00
53.9,54.0,53.1,53.42,14767595,2017-10-24 01:00:00-04:00
53.43,55.905,52.67,54.94,24804028,2017-10-25 01:00:00-04:00
55.26,57.25,55.14,56.81,22185144,2017-10-26 01:00:00-04:00
55.82,56.36,55.65,55.96,12801783,2017-10-27 01:00:00-04:00
55.71,55.93,54.84,55.27,10169401,2017-10-30 01:00:00-04:00
54.75,55.28,54.52,54.99,9794845,2017-10-31 01:00:00-04:00
55.42,55.5,54.85,55.07,7544505,2017-11-01 01:00:00-04:00
55.15,55.32,54.59,55.12,7250343,2017-11-02 01:00:00-04:00
55.15,55.72,55.04,55.71,9448203,2017-11-03 01:00:00-04:00
55.29,56.13,55.14,56.04,9332236,2017-11-06 01:00:00-05:00
55.75,56.015,55.02,55.15,7774698,2017-11-07 01:00:00-05:00
55.0,55.77,54.89,55.76,7079371,2017-11-08 01:00:00-05:00
55.5,56.35,55.31,56.13,10958474,2017-11-09 01:00:00-05:00
55.88,56.49,55.62,56.09,7535726,2017-11-10 01:00:00-05:00
55.66,56.085,55.66,55.91,10106079,2017-11-13 01:00:00-05:00
55.71,56.18,55.53,55.98,5037465,2017-11-14 01:00:00-05:00
55.96,56.87,55.08,56.63,6610545,2017-11-15 01:00:00-05:00
56.62,57.2775,56.41,57.23,8233261,2017-11-16 01:00:00-05:00
58.54,59.53,58.37,59.19,15475465,2017-11-17 01:00:00-05:00
58.63,59.5,57.98,59.25,8480580,2017-11-20 01:00:00-05:00
59.03,59.4,58.93,59.39,9057784,2017-11-21 01:00:00-05:00
59.18,59.34,58.94,59.07,8501289,2017-11-22 01:00:00-05:00
59.0,59.35,58.91,59.32,3400441,2017-11-24 01:00:00-05:00
59.2,59.7,59.17,59.63,7891587,2017-11-27 01:00:00-05:00
58.76,59.6,58.54,59.58,8665270,2017-11-28 01:00:00-05:00
59.73,60.63,59.73,60.36,12022818,2017-11-29 01:00:00-05:00
60.26,61.21,60.2,60.42,12551210,2017-11-30 01:00:00-05:00
60.42,60.43,59.24,59.88,10113675,2017-12-01 01:00:00-05:00
60.27,60.695,59.97,60.1,7513232,2017-12-04 01:00:00-05:00
60.65,60.8,59.65,60.42,8862852,2017-12-05 01:00:00-05:00
60.41,60.85,59.7,59.72,7862151,2017-12-06 01:00:00-05:00
59.86,61.06,59.65,60.6,6113277,2017-12-07 01:00:00-05:00
60.5,61.37,60.29,61.3,6065231,2017-12-08 01:00:00-05:00
61.37,62.22,61.3,61.91,9017814,2017-12-11 01:00:00-05:00
61.81,62.53,61.65,62.17,7358001,2017-12-12 01:00:00-05:00
62.22,64.46,62.02,64.3,16072573,2017-12-13 01:00:00-05:00
64.43,64.85,64.05,64.53,13055089,2017-12-14 01:00:00-05:00
64.89,65.07,64.15,64.79,15659278,2017-12-15 01:00:00-05:00
64.93,65.08,64.39,64.81,12651962,2017-12-18 01:00:00-05:00
65.15,65.185,64.18,64.24,8212457,2017-12-19 01:00:00-05:00
64.39,64.5,63.58,63.59,12468576,2017-12-20 01:00:00-05:00
64.29,64.98,63.3,64.77,14352349,2017-12-21 01:00:00-05:00
61.2,63.54,60.13,63.29,20414195,2017-12-22 01:00:00-05:00
62.9,63.89,62.81,63.65,4563475,2017-12-26 01:00:00-05:00
63.56,63.6,62.77,62.95,8959745,2017-12-27 01:00:00-05:00
63.0,63.32,62.85,62.95,3987151,2017-12-28 01:00:00-05:00
63.21,63.37,62.55,62.55,5222115,2017-12-29 01:00:00-05:00
62.85,63.49,62.85,63.49,6510987,2018-01-02 01:00:00-05:00
63.48,63.66,62.76,63.48,6091121,2018-01-03 01:00:00-05:00
63.4,63.55,62.55,63.44,5780494,2018-01-04 01:00:00-05:00
63.7,64.3,63.4701,63.98,11632315,2018-01-05 01:00:00-05:00
64.15,64.71,63.98,64.55,11905699,2018-01-08 01:00:00-05:00
64.23,64.72,63.47,64.09,8771331,2018-01-09 01:00:00-05:00
63.88,64.23,63.435,64.22,5010633,2018-01-10 01:00:00-05:00
64.03,64.31,63.78,64.29,5103540,2018-01-11 01:00:00-05:00
64.5,64.725,64.315,64.67,5135670,2018-01-12 01:00:00-05:00
64.78,65.36,63.37,63.42,9116973,2018-01-16 01:00:00-05:00
63.67,64.01,63.08,63.81,7422594,2018-01-17 01:00:00-05:00
64.0,64.21,63.54,64.11,5656889,2018-01-18 01:00:00-05:00
65.31,67.24,65.12,67.21,12896073,2018-01-19 01:00:00-05:00
66.55,66.83,65.76,66.39,8491799,2018-01-22 01:00:00-05:00
66.53,67.325,66.445,67.14,6411954,2018-01-23 01:00:00-05:00
67.34,68.18,67.07,68.0,7421781,2018-01-24 01:00:00-05:00
68.13,68.64,67.45,67.71,5707632,2018-01-25 01:00:00-05:00
68.2,68.64,67.92,68.04,6290517,2018-01-26 01:00:00-05:00
67.82,68.14,67.42,67.58,5067258,2018-01-29 01:00:00-05:00
67.5,68.31,67.16,67.33,6350474,2018-01-30 01:00:00-05:00
67.5,68.83,67.47,68.22,11036394,2018-01-31 01:00:00-05:00
67.67,67.97,66.7,67.65,5790528,2018-02-01 01:00:00-05:00
67.22,67.79,67.0,67.22,9348290,2018-02-02 01:00:00-05:00
66.63,67.21,64.39,64.39,12549483,2018-02-05 01:00:00-05:00
