open,high,low,close,volume,datetime
244.84,244.85,244.84,244.85,242,2024-04-08 08:57:00-04:00
244.03,244.03,244.03,244.03,408,2024-04-08 09:29:00-04:00
244.03,244.42,244.03,244.36,15282,2024-04-08 09:30:00-04:00
244.495,244.69,244.495,244.545,309,2024-04-08 09:31:00-04:00
244.53,244.53,244.53,244.53,100,2024-04-08 09:32:00-04:00
244.48,244.48,244.45,244.45,300,2024-04-08 09:34:00-04:00
244.815,244.86,244.595,244.595,548,2024-04-08 09:35:00-04:00
244.67,244.67,244.67,244.67,100,2024-04-08 09:36:00-04:00
244.6,244.84,244.6,244.84,394,2024-04-08 09:37:00-04:00
244.89,244.95,244.885,244.95,300,2024-04-08 09:38:00-04:00
244.99,245.29,244.985,245.29,474,2024-04-08 09:39:00-04:00
245.15,245.3,245.05,245.3,900,2024-04-08 09:40:00-04:00
245.085,245.085,245.085,245.085,100,2024-04-08 09:41:00-04:00
245.09,245.155,245.09,245.11,300,2024-04-08 09:42:00-04:00
245.11,245.11,244.837,244.837,572,2024-04-08 09:43:00-04:00
244.99,245.035,244.99,245.035,609,2024-04-08 09:44:00-04:00
245.095,245.095,245.095,245.095,283,2024-04-08 09:46:00-04:00
244.98,245.05,244.965,245.05,300,2024-04-08 09:48:00-04:00
245.025,245.025,245.025,245.025,100,2024-04-08 09:50:00-04:00
245.18,245.255,245.16,245.255,705,2024-04-08 09:51:00-04:00
245.29,245.29,245.29,245.29,100,2024-04-08 09:52:00-04:00
245.28,245.28,245.28,245.28,101,2024-04-08 09:53:00-04:00
245.2,245.27,245.145,245.27,2303,2024-04-08 09:54:00-04:00
245.13,245.18,245.12,245.12,500,2024-04-08 09:55:00-04:00
245.09,245.09,244.985,244.985,500,2024-04-08 09:56:00-04:00
245.0257,245.0257,244.945,244.945,300,2024-04-08 09:58:00-04:00
244.88,244.88,244.71,244.8025,900,2024-04-08 09:59:00-04:00
244.745,244.86,244.745,244.86,300,2024-04-08 10:00:00-04:00
244.81,244.81,244.81,244.81,100,2024-04-08 10:01:00-04:00
244.865,244.9,244.865,244.865,467,2024-04-08 10:02:00-04:00
244.865,244.865,244.685,244.74,2552,2024-04-08 10:03:00-04:00
244.74,244.74,244.66,244.72,1304,2024-04-08 10:04:00-04:00
244.65,244.6525,244.505,244.5375,948,2024-04-08 10:05:00-04:00
244.545,244.73,244.545,244.73,2000,2024-04-08 10:06:00-04:00
244.81,244.81,244.81,244.81,100,2024-04-08 10:07:00-04:00
244.77,244.77,244.57,244.57,1222,2024-04-08 10:08:00-04:00
244.6,244.6,244.59,244.59,400,2024-04-08 10:09:00-04:00
244.485,244.485,244.485,244.485,100,2024-04-08 10:10:00-04:00
244.67,244.73,244.67,244.73,800,2024-04-08 10:11:00-04:00
244.755,244.79,244.675,244.79,1070,2024-04-08 10:12:00-04:00
244.81,244.88,244.73,244.745,1115,2024-04-08 10:13:00-04:00
244.675,244.675,244.675,244.675,100,2024-04-08 10:14:00-04:00
244.7269,244.74,244.62,244.655,1021,2024-04-08 10:15:00-04:00
244.72,244.76,244.71,244.725,700,2024-04-08 10:16:00-04:00
244.8704,244.97,244.83,244.91,1154,2024-04-08 10:17:00-04:00
244.82,244.82,244.66,244.695,2482,2024-04-08 10:18:00-04:00
244.56,244.665,244.56,244.665,400,2024-04-08 10:19:00-04:00
