open,high,low,close,volume,datetime
244.9,244.9,244.9,244.9,700,2024-04-08 08:39:00-04:00
245.15,245.15,245.15,245.15,110,2024-04-08 08:40:00-04:00
244.76,245.0,244.58,244.655,14823,2024-04-08 09:30:00-04:00
244.655,245.49,244.5429,244.5429,2000,2024-04-08 09:31:00-04:00
245.45,245.5,245.1,245.39,1256,2024-04-08 09:32:00-04:00
245.25,245.25,245.25,245.25,100,2024-04-08 09:33:00-04:00
244.975,244.975,244.975,244.975,100,2024-04-08 09:34:00-04:00
244.59,244.7525,244.5,244.7525,300,2024-04-08 09:35:00-04:00
244.87,244.995,244.69,244.69,1507,2024-04-08 09:36:00-04:00
244.65,244.91,244.4991,244.83,1728,2024-04-08 09:37:00-04:00
244.83,245.0,244.5,245.0,1300,2024-04-08 09:38:00-04:00
244.75,244.75,244.5,244.61,1177,2024-04-08 09:39:00-04:00
244.7,244.92,244.5,244.7,1885,2024-04-08 09:40:00-04:00
244.7,244.94,244.56,244.85,3505,2024-04-08 09:41:00-04:00
244.8,244.935,244.63,244.63,2100,2024-04-08 09:42:00-04:00
244.97,245.17,244.71,245.17,2993,2024-04-08 09:43:00-04:00
245.4,245.4,245.4,245.4,140,2024-04-08 09:44:00-04:00
245.02,245.02,244.7801,244.7801,400,2024-04-08 09:45:00-04:00
244.99,245.19,244.79,244.84,4191,2024-04-08 09:46:00-04:00
244.78,244.78,244.61,244.61,444,2024-04-08 09:47:00-04:00
244.55,244.78,244.39,244.78,4937,2024-04-08 09:48:00-04:00
244.82,245.09,244.82,245.04,1667,2024-04-08 09:49:00-04:00
245.13,245.195,244.81,244.92,1449,2024-04-08 09:50:00-04:00
244.74,245.18,244.73,245.18,1900,2024-04-08 09:51:00-04:00
245.37,245.61,245.37,245.61,737,2024-04-08 09:52:00-04:00
245.61,245.81,245.61,245.64,3769,2024-04-08 09:53:00-04:00
245.8,245.8,245.61,245.61,1682,2024-04-08 09:54:00-04:00
245.6106,245.76,245.59,245.66,4277,2024-04-08 09:55:00-04:00
245.7,245.82,245.62,245.62,1612,2024-04-08 09:56:00-04:00
245.61,245.61,245.58,245.6,509,2024-04-08 09:57:00-04:00
245.49,245.49,245.016,245.45,2258,2024-04-08 09:58:00-04:00
245.54,245.54,245.54,245.54,100,2024-04-08 09:59:00-04:00
245.58,245.61,245.42,245.42,1023,2024-04-08 10:00:00-04:00
245.43,245.45,245.34,245.45,800,2024-04-08 10:01:00-04:00
245.55,245.81,245.55,245.81,2400,2024-04-08 10:02:00-04:00
245.72,245.72,245.65,245.65,500,2024-04-08 10:03:00-04:00
245.645,245.77,245.645,245.73,1500,2024-04-08 10:04:00-04:00
245.67,245.96,245.67,245.845,1578,2024-04-08 10:05:00-04:00
245.99,246.1,245.935,245.935,789,2024-04-08 10:06:00-04:00
246.06,246.09,245.935,246.09,400,2024-04-08 10:07:00-04:00
246.09,246.4,246.08,246.4,1300,2024-04-08 10:08:00-04:00
246.3,246.3,246.08,246.135,6373,2024-04-08 10:09:00-04:00
246.12,246.23,246.12,246.23,300,2024-04-08 10:10:00-04:00
246.3,246.38,246.15,246.15,1400,2024-04-08 10:11:00-04:00
246.3427,246.3427,246.07,246.07,1312,2024-04-08 10:12:00-04:00
246.03,246.095,245.99,246.03,800,2024-04-08 10:13:00-04:00
246.04,246.31,246.04,246.2742,2500,2024-04-08 10:14:00-04:00
246.29,246.5,246.28,246.475,2391,2024-04-08 10:15:00-04:00
246.3971,246.52,246.29,246.52,1395,2024-04-08 10:16:00-04:00
246.355,246.52,246.2,246.37,5260,2024-04-08 10:17:00-04:00
246.37,246.47,246.04,246.04,5670,2024-04-08 10:18:00-04:00
245.83,245.83,245.81,245.81,618,2024-04-08 10:19:00-04:00
245.68,245.68,245.68,245.68,100,2024-04-08 10:21:00-04:00
245.94,246.02,245.94,246.02,1800,2024-04-08 10:22:00-04:00
246.11,246.11,246.11,246.11,100,2024-04-08 10:23:00-04:00
246.12,246.13,246.12,246.13,500,2024-04-08 10:24:00-04:00
246.24,246.24,246.05,246.05,1300,2024-04-08 10:25:00-04:00
245.94,245.96,245.89,245.92,800,2024-04-08 10:27:00-04:00
246.0,246.22,245.995,246.145,3600,2024-04-08 10:28:00-04:00
246.0801,246.22,246.08,246.125,2759,2024-04-08 10:29:00-04:00
246.13,246.22,246.04,246.145,2746,2024-04-08 10:30:00-04:00
246.065,246.08,246.01,246.08,300,2024-04-08 10:31:00-04:00
246.105,246.21,246.105,246.1582,1000,2024-04-08 10:32:00-04:00
246.155,246.27,246.01,246.06,3500,2024-04-08 10:33:00-04:00
246.08,246.08,246.08,246.08,100,2024-04-08 10:34:00-04:00
245.83,245.83,245.83,245.83,100,2024-04-08 10:36:00-04:00
245.85,245.85,245.79,245.79,500,2024-04-08 10:37:00-04:00
245.85,245.99,245.85,245.98,1801,2024-04-08 10:38:00-04:00
245.8698,245.98,245.8698,245.98,600,2024-04-08 10:39:00-04:00
245.9,246.0,245.86,245.9,621,2024-04-08 10:40:00-04:00
246.01,246.05,246.01,246.03,712,2024-04-08 10:41:00-04:00
245.915,246.02,245.915,246.02,339,2024-04-08 10:42:00-04:00
