open,high,low,close,volume,datetime
244.2,244.2,244.2,244.2,116,2024-04-08 08:55:00-04:00
243.7,243.7,243.7,243.7,5772,2024-04-08 09:30:00-04:00
244.15,244.15,244.15,244.15,200,2024-04-08 09:31:00-04:00
243.61,243.61,243.1,243.1,1871,2024-04-08 09:35:00-04:00
243.475,243.79,243.27,243.27,500,2024-04-08 09:36:00-04:00
243.495,243.495,243.28,243.28,278,2024-04-08 09:37:00-04:00
243.04,243.04,242.88,242.88,300,2024-04-08 09:41:00-04:00
242.815,243.05,242.815,243.05,201,2024-04-08 09:45:00-04:00
242.88,242.88,242.88,242.88,100,2024-04-08 09:50:00-04:00
242.9,242.91,242.9,242.91,200,2024-04-08 09:52:00-04:00
242.91,242.92,242.91,242.92,800,2024-04-08 09:53:00-04:00
243.16,243.16,243.045,243.045,200,2024-04-08 09:54:00-04:00
243.03,243.03,242.86,242.86,585,2024-04-08 09:55:00-04:00
243.025,243.025,243.025,243.025,140,2024-04-08 09:57:00-04:00
243.44,243.44,243.44,243.44,126,2024-04-08 10:02:00-04:00
243.39,243.39,243.39,243.39,122,2024-04-08 10:03:00-04:00
243.3819,243.42,243.36,243.36,335,2024-04-08 10:04:00-04:00
243.5,243.51,243.405,243.51,1300,2024-04-08 10:06:00-04:00
243.46,243.475,243.435,243.435,1803,2024-04-08 10:07:00-04:00
243.54,243.62,243.54,243.62,300,2024-04-08 10:08:00-04:00
243.845,243.8618,243.845,243.8618,1160,2024-04-08 10:12:00-04:00
244.0,244.0,243.845,243.94,300,2024-04-08 10:13:00-04:00
243.75,243.75,243.75,243.75,906,2024-04-08 10:14:00-04:00
243.755,243.755,243.755,243.755,716,2024-04-08 10:15:00-04:00
243.64,243.64,243.63,243.63,409,2024-04-08 10:16:00-04:00
243.61,243.61,243.55,243.5699,872,2024-04-08 10:17:00-04:00
243.575,243.575,243.575,243.575,257,2024-04-08 10:18:00-04:00
243.835,243.835,243.835,243.835,100,2024-04-08 10:20:00-04:00
243.66,243.66,243.6,243.6,443,2024-04-08 10:21:00-04:00
243.6,243.6,243.6,243.6,200,2024-04-08 10:23:00-04:00
243.53,243.71,243.53,243.64,1007,2024-04-08 10:24:00-04:00
243.86,244.04,243.86,244.04,900,2024-04-08 10:27:00-04:00
243.91,243.91,243.89,243.89,1072,2024-04-08 10:31:00-04:00
243.8415,243.85,243.825,243.825,958,2024-04-08 10:33:00-04:00
243.825,243.825,243.825,243.825,100,2024-04-08 10:37:00-04:00
243.82,243.88,243.82,243.88,1100,2024-04-08 10:38:00-04:00
244.025,244.025,244.025,244.025,100,2024-04-08 10:39:00-04:00
244.07,244.115,244.04,244.115,1517,2024-04-08 10:40:00-04:00
244.215,244.215,244.13,244.13,600,2024-04-08 10:42:00-04:00
244.125,244.125,244.125,244.125,100,2024-04-08 10:43:00-04:00
244.04,244.04,244.04,244.04,200,2024-04-08 10:46:00-04:00
244.159,244.159,244.159,244.159,121,2024-04-08 10:47:00-04:00
244.04,244.05,244.04,244.04,1146,2024-04-08 10:49:00-04:00
244.0,244.07,244.0,244.07,200,2024-04-08 10:50:00-04:00
243.935,243.935,243.935,243.935,1023,2024-04-08 10:52:00-04:00
244.01,244.04,244.01,244.04,400,2024-04-08 10:55:00-04:00
244.08,244.08,244.08,244.08,124,2024-04-08 10:56:00-04:00
244.035,244.035,244.035,244.035,159,2024-04-08 10:57:00-04:00
244.13,244.13,244.13,244.13,100,2024-04-08 10:58:00-04:00
244.32,244.32,244.22,244.22,200,2024-04-08 10:59:00-04:00
244.2,244.2,244.17,244.17,1000,2024-04-08 11:00:00-04:00
244.2544,244.2544,244.08,244.08,308,2024-04-08 11:01:00-04:00
243.94,243.94,243.91,243.91,200,2024-04-08 11:02:00-04:00
243.99,243.99,243.7619,243.93,1472,2024-04-08 11:04:00-04:00
243.8501,243.8501,243.8501,243.8501,109,2024-04-08 11:05:00-04:00
243.91,243.92,243.91,243.92,1199,2024-04-08 11:08:00-04:00
243.805,243.805,243.805,243.805,100,2024-04-08 11:11:00-04:00
243.78,243.78,243.78,243.78,500,2024-04-08 11:14:00-04:00
243.765,243.765,243.765,243.765,100,2024-04-08 11:15:00-04:00
243.69,243.69,243.62,243.63,1110,2024-04-08 11:16:00-04:00
243.69,243.69,243.69,243.69,300,2024-04-08 11:18:00-04:00
243.54,243.555,243.42,243.53,893,2024-04-08 11:20:00-04:00
243.46,243.46,243.46,243.46,100,2024-04-08 11:21:00-04:00
243.61,243.61,243.61,243.61,300,2024-04-08 11:22:00-04:00
243.645,243.645,243.645,243.645,100,2024-04-08 11:23:00-04:00
243.67,243.67,243.56,243.56,862,2024-04-08 11:24:00-04:00
243.635,243.635,243.635,243.635,102,2024-04-08 11:28:00-04:00
243.59,243.64,243.59,243.62,442,2024-04-08 11:29:00-04:00
243.66,243.67,243.59,243.59,500,2024-04-08 11:31:00-04:00
243.615,243.615,243.615,243.615,215,2024-04-08 11:32:00-04:00
243.56,243.56,243.43,243.43,1966,2024-04-08 11:33:00-04:00
243.405,243.405,243.405,243.405,100,2024-04-08 11:34:00-04:00
243.29,243.29,243.29,243.29,100,2024-04-08 11:36:00-04:00
243.22,243.22,243.22,243.22,200,2024-04-08 11:38:00-04:00
243.215,243.215,243.215,243.215,100,2024-04-08 11:39:00-04:00
243.2177,243.2177,243.13,243.13,900,2024-04-08 11:40:00-04:00
243.155,243.155,243.155,243.155,205,2024-04-08 11:41:00-04:00
243.27,243.29,243.19,243.29,1205,2024-04-08 11:42:00-04:00
243.245,243.245,243.245,243.245,100,2024-04-08 11:44:00-04:00
243.19,243.19,243.09,243.09,1303,2024-04-08 11:45:00-04:00
243.115,243.115,243.115,243.115,100,2024-04-08 11:46:00-04:00
243.1,243.1,243.1,243.1,200,2024-04-08 11:48:00-04:00
243.11,243.11,243.11,243.11,100,2024-04-08 11:50:00-04:00
243.115,243.115,243.11,243.11,1100,2024-04-08 11:51:00-04:00
243.125,243.125,243.125,243.125,113,2024-04-08 11:52:00-04:00
243.22,243.22,243.22,243.22,600,2024-04-08 11:54:00-04:00
243.185,243.26,243.1775,243.26,1509,2024-04-08 11:56:00-04:00
243.22,243.375,243.22,243.375,342,2024-04-08 11:57:00-04:00
243.38,243.41,243.38,243.38,602,2024-04-08 11:58:00-04:00
243.45,243.46,243.405,243.41,1400,2024-04-08 11:59:00-04:00
243.35,243.36,243.315,243.315,800,2024-04-08 12:00:00-04:00
243.315,243.325,243.315,243.32,300,2024-04-08 12:01:00-04:00
243.33,243.33,243.33,243.33,100,2024-04-08 12:02:00-04:00
243.38,243.38,243.37,243.37,200,2024-04-08 12:03:00-04:00
243.38,243.38,243.38,243.38,100,2024-04-08 12:04:00-04:00
243.47,243.49,243.415,243.43,600,2024-04-08 12:07:00-04:00
243.49,243.51,243.49,243.51,719,2024-04-08 12:08:00-04:00
243.55,243.55,243.55,243.55,202,2024-04-08 12:10:00-04:00
243.64,243.69,243.64,243.69,368,2024-04-08 12:12:00-04:00
243.5,243.5,243.39,243.395,2412,2024-04-08 12:13:00-04:00
243.46,243.49,243.375,243.48,1315,2024-04-08 12:14:00-04:00
243.51,243.51,243.51,243.51,215,2024-04-08 12:15:00-04:00
243.54,243.575,243.54,243.575,200,2024-04-08 12:16:00-04:00
243.575,243.64,243.5725,243.61,600,2024-04-08 12:17:00-04:00
243.615,243.615,243.615,243.615,100,2024-04-08 12:18:00-04:00
243.55,243.55,243.55,243.55,213,2024-04-08 12:19:00-04:00
243.55,243.55,243.47,243.47,900,2024-04-08 12:20:00-04:00
243.35,243.395,243.35,243.395,200,2024-04-08 12:23:00-04:00
243.49,243.63,243.49,243.63,1015,2024-04-08 12:25:00-04:00
243.63,243.63,243.62,243.62,1000,2024-04-08 12:26:00-04:00
243.66,243.73,243.66,243.73,200,2024-04-08 12:27:00-04:00
243.675,243.675,243.675,243.675,100,2024-04-08 12:29:00-04:00
243.69,243.69,243.62,243.62,300,2024-04-08 12:30:00-04:00
243.77,243.77,243.72,243.72,204,2024-04-08 12:31:00-04:00
243.57,243.63,243.57,243.595,500,2024-04-08 12:33:00-04:00
243.495,243.495,243.495,243.495,100,2024-04-08 12:34:00-04:00
243.58,243.58,243.58,243.58,161,2024-04-08 12:35:00-04:00
243.56,243.56,243.56,243.56,100,2024-04-08 12:36:00-04:00
243.53,243.63,243.48,243.63,1695,2024-04-08 12:37:00-04:00
243.81,243.81,243.81,243.81,100,2024-04-08 12:40:00-04:00
243.75,243.76,243.75,243.75,712,2024-04-08 12:45:00-04:00
243.75,243.75,243.75,243.75,100,2024-04-08 12:47:00-04:00
243.74,243.74,243.73,243.73,700,2024-04-08 12:54:00-04:00
243.675,243.735,243.675,243.735,440,2024-04-08 12:55:00-04:00
243.675,243.82,243.675,243.82,1506,2024-04-08 12:56:00-04:00
243.85,243.88,243.69,243.69,1822,2024-04-08 12:58:00-04:00
243.75,243.75,243.75,243.75,100,2024-04-08 12:59:00-04:00
243.79,243.82,243.79,243.82,656,2024-04-08 13:00:00-04:00
243.66,243.66,243.66,243.66,100,2024-04-08 13:04:00-04:00
243.63,243.63,243.63,243.63,400,2024-04-08 13:05:00-04:00
243.68,243.68,243.68,243.68,100,2024-04-08 13:06:00-04:00
243.61,243.65,243.61,243.65,1724,2024-04-08 13:08:00-04:00
243.75,243.77,243.75,243.77,334,2024-04-08 13:10:00-04:00
243.62,243.62,243.62,243.62,700,2024-04-08 13:12:00-04:00
243.63,243.63,243.62,243.62,400,2024-04-08 13:13:00-04:00
243.645,243.67,243.645,243.67,713,2024-04-08 13:16:00-04:00
243.67,243.69,243.67,243.69,298,2024-04-08 13:17:00-04:00
243.6732,243.6732,243.6732,243.6732,127,2024-04-08 13:19:00-04:00
243.76,243.78,243.76,243.78,314,2024-04-08 13:21:00-04:00
243.8435,243.8435,243.8435,243.8435,100,2024-04-08 13:22:00-04:00
243.84,243.84,243.84,243.84,100,2024-04-08 13:26:00-04:00
243.77,243.77,243.77,243.77,500,2024-04-08 13:27:00-04:00
243.77,243.77,243.77,243.77,300,2024-04-08 13:28:00-04:00
243.82,243.82,243.81,243.82,600,2024-04-08 13:29:00-04:00
243.85,243.85,243.77,243.77,500,2024-04-08 13:30:00-04:00
243.78,243.82,243.78,243.82,500,2024-04-08 13:33:00-04:00
243.81,243.81,243.68,243.68,1000,2024-04-08 13:34:00-04:00
243.69,243.71,243.69,243.7,520,2024-04-08 13:35:00-04:00
243.67,243.71,243.66,243.685,400,2024-04-08 13:36:00-04:00
243.685,243.685,243.685,243.685,547,2024-04-08 13:37:00-04:00
243.74,243.74,243.53,243.53,1800,2024-04-08 13:38:00-04:00
243.49,243.49,243.49,243.49,100,2024-04-08 13:40:00-04:00
243.505,243.505,243.45,243.45,702,2024-04-08 13:41:00-04:00
243.44,243.45,243.44,243.45,850,2024-04-08 13:42:00-04:00
243.37,243.37,243.37,243.37,200,2024-04-08 13:43:00-04:00
243.47,243.55,243.47,243.55,800,2024-04-08 13:44:00-04:00
243.49,243.49,243.48,243.48,200,2024-04-08 13:46:00-04:00
243.44,243.44,243.44,243.44,100,2024-04-08 13:50:00-04:00
243.5,243.57,243.49,243.57,1457,2024-04-08 13:51:00-04:00
243.59,243.59,243.59,243.59,100,2024-04-08 13:52:00-04:00
243.59,243.59,243.59,243.59,100,2024-04-08 13:53:00-04:00
243.6,243.6,243.6,243.6,256,2024-04-08 13:54:00-04:00
243.63,243.67,243.63,243.67,632,2024-04-08 13:57:00-04:00
243.63,243.63,243.63,243.63,241,2024-04-08 14:00:00-04:00
243.63,243.75,243.63,243.745,4099,2024-04-08 14:01:00-04:00
243.725,243.82,243.725,243.82,200,2024-04-08 14:03:00-04:00
243.745,243.815,243.73,243.73,1001,2024-04-08 14:04:00-04:00
243.75,243.82,243.75,243.81,603,2024-04-08 14:05:00-04:00
243.82,243.8999,243.82,243.89,993,2024-04-08 14:06:00-04:00
243.845,243.93,243.845,243.93,525,2024-04-08 14:07:00-04:00
243.99,244.0,243.95,244.0,400,2024-04-08 14:08:00-04:00
244.0,244.02,244.0,244.02,700,2024-04-08 14:09:00-04:00
244.025,244.0899,243.94,243.965,744,2024-04-08 14:10:00-04:00
243.99,244.03,243.99,244.0,700,2024-04-08 14:12:00-04:00
243.995,243.995,243.995,243.995,100,2024-04-08 14:13:00-04:00
244.08,244.12,244.08,244.12,353,2024-04-08 14:14:00-04:00
244.07,244.07,244.05,244.05,721,2024-04-08 14:16:00-04:00
244.03,244.03,243.99,243.99,600,2024-04-08 14:17:00-04:00
244.03,244.06,244.03,244.05,582,2024-04-08 14:18:00-04:00
244.0799,244.0799,244.06,244.06,200,2024-04-08 14:19:00-04:00
244.1299,244.1299,244.1299,244.1299,100,2024-04-08 14:20:00-04:00
244.1599,244.1599,244.1599,244.1599,100,2024-04-08 14:21:00-04:00
244.16,244.16,244.04,244.04,547,2024-04-08 14:22:00-04:00
244.0399,244.0399,243.96,244.0,6117,2024-04-08 14:24:00-04:00
244.06,244.17,244.06,244.11,300,2024-04-08 14:25:00-04:00
244.1399,244.1399,244.1399,244.1399,100,2024-04-08 14:26:00-04:00
244.1799,244.1799,244.1799,244.1799,100,2024-04-08 14:27:00-04:00
244.165,244.165,244.165,244.165,100,2024-04-08 14:29:00-04:00
244.1999,244.1999,244.1999,244.1999,100,2024-04-08 14:30:00-04:00
244.07,244.09,244.065,244.08,1004,2024-04-08 14:31:00-04:00
244.11,244.11,244.11,244.11,100,2024-04-08 14:33:00-04:00
244.085,244.1199,244.085,244.1199,346,2024-04-08 14:34:00-04:00
244.085,244.085,244.05,244.07,402,2024-04-08 14:35:00-04:00
244.03,244.03,244.02,244.02,200,2024-04-08 14:36:00-04:00
244.0,244.06,243.99,244.06,2399,2024-04-08 14:38:00-04:00
244.0899,244.0899,244.0899,244.0899,100,2024-04-08 14:39:00-04:00
244.05,244.05,244.01,244.01,236,2024-04-08 14:41:00-04:00
244.01,244.01,244.0,244.0,902,2024-04-08 14:42:00-04:00
244.03,244.0499,244.03,244.0499,200,2024-04-08 14:43:00-04:00
244.015,244.03,244.0,244.03,1769,2024-04-08 14:46:00-04:00
244.03,244.06,244.03,244.0599,800,2024-04-08 14:47:00-04:00
244.06,244.06,244.0,244.01,938,2024-04-08 14:48:00-04:00
244.07,244.12,244.07,244.12,200,2024-04-08 14:49:00-04:00
244.1199,244.1199,244.1199,244.1199,100,2024-04-08 14:50:00-04:00
243.995,244.0004,243.995,243.995,1000,2024-04-08 14:51:00-04:00
244.04,244.06,244.04,244.06,300,2024-04-08 14:52:00-04:00
244.025,244.025,244.025,244.025,100,2024-04-08 14:53:00-04:00
244.08,244.08,244.08,244.08,100,2024-04-08 14:55:00-04:00
244.01,244.01,244.01,244.01,302,2024-04-08 14:56:00-04:00
244.01,244.04,243.99,243.99,800,2024-04-08 14:57:00-04:00
244.02,244.1,244.02,244.09,668,2024-04-08 14:59:00-04:00
244.0514,244.1199,244.05,244.05,1189,2024-04-08 15:00:00-04:00
244.07,244.1099,244.0656,244.1099,1299,2024-04-08 15:02:00-04:00
244.1099,244.1099,244.0525,244.0525,200,2024-04-08 15:03:00-04:00
244.09,244.09,244.09,244.09,100,2024-04-08 15:04:00-04:00
244.01,244.14,244.01,244.14,1161,2024-04-08 15:05:00-04:00
244.13,244.15,244.1199,244.15,300,2024-04-08 15:06:00-04:00
244.1499,244.1499,244.05,244.05,500,2024-04-08 15:07:00-04:00
244.04,244.1,244.0,244.09,1235,2024-04-08 15:08:00-04:00
244.1299,244.1299,244.1299,244.1299,100,2024-04-08 15:09:00-04:00
244.18,244.19,244.18,244.19,300,2024-04-08 15:10:00-04:00
