open,high,low,close,volume,datetime
124.204,124.204,124.204,124.204,100,2024-04-08 08:22:00-04:00
124.35,124.35,124.35,124.35,100,2024-04-08 08:28:00-04:00
124.52,124.52,124.52,124.52,161,2024-04-08 08:30:00-04:00
124.99,125.01,124.99,125.01,700,2024-04-08 08:42:00-04:00
125.55,125.55,125.5,125.5,461,2024-04-08 08:56:00-04:00
125.5,125.5,125.5,125.5,1239,2024-04-08 08:57:00-04:00
125.75,125.75,125.75,125.75,158,2024-04-08 08:58:00-04:00
124.26,124.26,124.26,124.26,200,2024-04-08 09:29:00-04:00
125.19,125.74,125.0,125.1162,36503,2024-04-08 09:30:00-04:00
124.73,125.98,124.5114,125.75,3546,2024-04-08 09:31:00-04:00
125.72,125.77,125.46,125.47,2303,2024-04-08 09:32:00-04:00
125.615,126.0,125.61,125.74,3779,2024-04-08 09:33:00-04:00
125.99,126.19,125.95,126.07,1799,2024-04-08 09:34:00-04:00
126.105,126.5,126.07,126.395,2941,2024-04-08 09:35:00-04:00
126.49,126.84,126.1702,126.64,11127,2024-04-08 09:36:00-04:00
126.51,126.6915,126.16,126.33,4352,2024-04-08 09:37:00-04:00
126.5,127.7,126.5,127.5395,9762,2024-04-08 09:38:00-04:00
127.6,127.66,127.18,127.66,3800,2024-04-08 09:39:00-04:00
127.77,127.77,127.38,127.38,3553,2024-04-08 09:40:00-04:00
127.69,128.5,127.68,128.3,7037,2024-04-08 09:41:00-04:00
128.11,128.55,127.9,128.475,2436,2024-04-08 09:42:00-04:00
128.5,128.5,127.9,127.9,2701,2024-04-08 09:43:00-04:00
127.76,128.215,127.6,128.215,1946,2024-04-08 09:44:00-04:00
128.35,128.5,128.0201,128.5,7630,2024-04-08 09:45:00-04:00
128.48,128.69,128.35,128.36,6277,2024-04-08 09:46:00-04:00
128.34,128.51,128.171,128.42,5626,2024-04-08 09:47:00-04:00
128.425,128.615,128.29,128.36,7449,2024-04-08 09:48:00-04:00
128.43,128.8,128.15,128.3142,8879,2024-04-08 09:49:00-04:00
128.16,128.26,127.65,127.7362,5004,2024-04-08 09:50:00-04:00
127.71,128.0367,127.71,127.9603,3818,2024-04-08 09:51:00-04:00
127.9,127.97,127.54,127.54,11817,2024-04-08 09:52:00-04:00
127.6055,127.97,127.6055,127.94,5788,2024-04-08 09:53:00-04:00
127.99,128.0,127.35,127.3975,8239,2024-04-08 09:54:00-04:00
127.51,127.61,127.39,127.55,5286,2024-04-08 09:55:00-04:00
127.62,127.62,127.22,127.435,4550,2024-04-08 09:56:00-04:00
127.35,127.35,126.9577,127.1445,2507,2024-04-08 09:57:00-04:00
127.01,127.47,126.85,127.25,6295,2024-04-08 09:58:00-04:00
127.2661,127.2661,127.0,127.24,5762,2024-04-08 09:59:00-04:00
127.15,127.2322,126.755,126.755,2271,2024-04-08 10:00:00-04:00
126.8,127.25,126.8,127.23,8435,2024-04-08 10:01:00-04:00
127.33,127.33,126.96,127.21,10288,2024-04-08 10:02:00-04:00
127.17,127.35,127.13,127.35,3651,2024-04-08 10:03:00-04:00
127.35,127.51,127.25,127.43,5505,2024-04-08 10:04:00-04:00
127.37,127.4421,127.24,127.24,775,2024-04-08 10:05:00-04:00
127.25,127.26,127.18,127.25,1500,2024-04-08 10:06:00-04:00
127.235,127.38,127.235,127.315,1768,2024-04-08 10:07:00-04:00
127.37,127.5,127.25,127.37,10910,2024-04-08 10:08:00-04:00
127.41,127.47,127.2,127.32,2293,2024-04-08 10:09:00-04:00
127.255,127.3,127.2531,127.26,1200,2024-04-08 10:10:00-04:00
127.188,127.32,127.188,127.3,3279,2024-04-08 10:11:00-04:00
127.3,127.55,127.3,127.43,7383,2024-04-08 10:12:00-04:00
127.57,127.71,127.57,127.605,3051,2024-04-08 10:13:00-04:00
127.7,127.7213,127.141,127.141,2908,2024-04-08 10:14:00-04:00
127.215,127.3,126.99,127.3,10581,2024-04-08 10:15:00-04:00
127.38,127.38,127.01,127.21,5893,2024-04-08 10:16:00-04:00
127.04,127.25,126.99,127.25,8220,2024-04-08 10:17:00-04:00
127.31,127.49,127.31,127.415,3240,2024-04-08 10:18:00-04:00
127.47,127.5,127.19,127.33,13562,2024-04-08 10:19:00-04:00
127.36,127.625,127.36,127.51,3727,2024-04-08 10:20:00-04:00
127.685,127.81,127.57,127.7,2104,2024-04-08 10:21:00-04:00
127.75,128.06,127.7,128.04,11053,2024-04-08 10:22:00-04:00
128.04,128.145,127.9145,128.095,2352,2024-04-08 10:23:00-04:00
128.13,128.25,128.04,128.19,5080,2024-04-08 10:24:00-04:00
128.1125,128.19,128.0,128.14,3262,2024-04-08 10:25:00-04:00
128.0,128.26,127.89,128.26,4353,2024-04-08 10:26:00-04:00
128.22,128.5499,128.18,128.47,10741,2024-04-08 10:27:00-04:00
128.42,128.86,128.37,128.8182,5355,2024-04-08 10:28:00-04:00
128.8392,128.9,128.7654,128.7654,2495,2024-04-08 10:29:00-04:00
128.87,129.14,128.87,129.0415,7663,2024-04-08 10:30:00-04:00
129.04,129.235,128.97,128.9801,7910,2024-04-08 10:31:00-04:00
129.13,129.51,129.09,129.48,6447,2024-04-08 10:32:00-04:00
129.47,129.47,129.14,129.289,16628,2024-04-08 10:33:00-04:00
129.4,129.48,129.2,129.22,3435,2024-04-08 10:34:00-04:00
129.216,129.52,129.14,129.4325,15171,2024-04-08 10:35:00-04:00
129.3213,129.46,129.28,129.35,10004,2024-04-08 10:36:00-04:00
129.35,129.4575,129.28,129.3338,2985,2024-04-08 10:37:00-04:00
129.31,129.69,129.27,129.67,4699,2024-04-08 10:38:00-04:00
129.68,129.75,129.515,129.54,12395,2024-04-08 10:39:00-04:00
129.4704,129.55,129.425,129.49,3176,2024-04-08 10:40:00-04:00
129.4,129.44,129.33,129.3858,2378,2024-04-08 10:41:00-04:00
129.3709,129.3709,129.07,129.24,4021,2024-04-08 10:42:00-04:00
129.19,129.52,129.185,129.448,5596,2024-04-08 10:43:00-04:00
129.4516,129.56,129.395,129.47,7056,2024-04-08 10:44:00-04:00
129.47,129.52,129.35,129.5,3341,2024-04-08 10:45:00-04:00
129.5,129.63,129.4,129.58,3895,2024-04-08 10:46:00-04:00
129.58,129.58,129.35,129.35,5317,2024-04-08 10:47:00-04:00
129.35,129.59,129.35,129.47,1520,2024-04-08 10:48:00-04:00
129.54,129.68,129.454,129.68,3011,2024-04-08 10:49:00-04:00
129.605,129.65,129.44,129.53,4767,2024-04-08 10:50:00-04:00
129.4707,129.8,129.4707,129.62,4645,2024-04-08 10:51:00-04:00
129.66,129.89,129.63,129.85,4170,2024-04-08 10:52:00-04:00
129.7775,129.91,129.76,129.91,8242,2024-04-08 10:53:00-04:00
129.855,130.1344,129.855,130.1342,36056,2024-04-08 10:54:00-04:00
130.1,130.4,130.05,130.335,17509,2024-04-08 10:55:00-04:00
130.38,130.54,130.29,130.54,16453,2024-04-08 10:56:00-04:00
130.59,130.74,130.34,130.3931,6075,2024-04-08 10:57:00-04:00
130.3899,130.6,130.3899,130.545,4855,2024-04-08 10:58:00-04:00
130.62,130.76,130.62,130.7011,4569,2024-04-08 10:59:00-04:00
130.8,130.962,130.7,130.7,6737,2024-04-08 11:00:00-04:00
130.81,130.82,130.67,130.82,2268,2024-04-08 11:01:00-04:00
130.725,130.8099,130.627,130.65,6181,2024-04-08 11:02:00-04:00
130.67,130.72,130.4809,130.63,8709,2024-04-08 11:03:00-04:00
130.58,131.01,130.575,130.93,5338,2024-04-08 11:04:00-04:00
130.86,130.92,130.73,130.73,2732,2024-04-08 11:05:00-04:00
130.7,130.76,130.6,130.73,4261,2024-04-08 11:06:00-04:00
130.715,130.715,130.64,130.65,2788,2024-04-08 11:07:00-04:00
130.65,130.67,130.44,130.46,4078,2024-04-08 11:08:00-04:00
130.54,130.8,130.54,130.6955,4601,2024-04-08 11:09:00-04:00
130.7,130.82,130.63,130.79,5347,2024-04-08 11:10:00-04:00
130.8399,130.92,130.8,130.87,6458,2024-04-08 11:11:00-04:00
130.92,131.03,130.91,130.968,2747,2024-04-08 11:12:00-04:00
130.98,131.145,130.97,131.145,5207,2024-04-08 11:13:00-04:00
131.1408,131.17,130.9,131.02,2560,2024-04-08 11:14:00-04:00
130.94,130.94,130.6901,130.738,4365,2024-04-08 11:15:00-04:00
130.81,130.9,130.59,130.68,3967,2024-04-08 11:16:00-04:00
130.65,130.67,130.2027,130.255,8366,2024-04-08 11:17:00-04:00
130.21,130.27,130.06,130.06,4957,2024-04-08 11:18:00-04:00
130.12,130.1828,130.06,130.18,6085,2024-04-08 11:19:00-04:00
130.2,130.2,130.0,130.03,4396,2024-04-08 11:20:00-04:00
130.04,130.12,129.94,130.025,12008,2024-04-08 11:21:00-04:00
130.005,130.02,129.81,129.83,2705,2024-04-08 11:22:00-04:00
129.78,129.805,129.5401,129.61,2344,2024-04-08 11:23:00-04:00
129.57,129.615,129.43,129.43,2482,2024-04-08 11:24:00-04:00
129.46,129.46,129.24,129.36,4117,2024-04-08 11:25:00-04:00
129.31,129.4592,129.31,129.35,1800,2024-04-08 11:26:00-04:00
129.3,129.385,129.0,129.0,6124,2024-04-08 11:27:00-04:00
128.92,129.01,128.66,128.66,5225,2024-04-08 11:28:00-04:00
128.74,128.94,128.64,128.94,22214,2024-04-08 11:29:00-04:00
128.94,129.011,128.75,129.011,1690,2024-04-08 11:30:00-04:00
128.95,128.98,128.84,128.85,2271,2024-04-08 11:31:00-04:00
128.84,128.94,128.82,128.94,2424,2024-04-08 11:32:00-04:00
128.9,128.91,128.74,128.74,1125,2024-04-08 11:33:00-04:00
128.73,128.93,128.73,128.78,5080,2024-04-08 11:34:00-04:00
128.88,128.93,128.765,128.765,2201,2024-04-08 11:35:00-04:00
128.755,128.76,128.49,128.575,5518,2024-04-08 11:36:00-04:00
128.6499,128.65,128.3,128.5,20647,2024-04-08 11:37:00-04:00
128.5,128.69,128.5,128.665,4012,2024-04-08 11:38:00-04:00
128.71,128.93,128.696,128.93,2971,2024-04-08 11:39:00-04:00
128.96,129.0002,128.89,128.89,2245,2024-04-08 11:40:00-04:00
128.89,128.89,128.68,128.71,2569,2024-04-08 11:41:00-04:00
128.695,128.695,128.56,128.6487,3343,2024-04-08 11:42:00-04:00
