open,high,low,close,volume,datetime
319.34,319.49,319.34,319.49,6026,2024-04-08 09:30:00-04:00
319.4329,319.4329,319.4329,319.4329,100,2024-04-08 09:31:00-04:00
319.505,319.505,319.505,319.505,100,2024-04-08 09:34:00-04:00
319.51,319.51,319.51,319.51,100,2024-04-08 09:35:00-04:00
319.58,319.585,319.58,319.585,200,2024-04-08 09:36:00-04:00
319.98,319.98,319.585,319.585,612,2024-04-08 09:38:00-04:00
319.98,320.0,319.97,319.97,455,2024-04-08 09:39:00-04:00
320.075,320.075,319.32,319.32,590,2024-04-08 09:40:00-04:00
319.745,319.745,319.32,319.32,200,2024-04-08 09:41:00-04:00
319.355,319.355,319.355,319.355,100,2024-04-08 09:42:00-04:00
319.38,319.775,319.38,319.55,600,2024-04-08 09:44:00-04:00
319.23,319.8,319.23,319.69,504,2024-04-08 09:46:00-04:00
319.7,319.76,319.7,319.76,200,2024-04-08 09:47:00-04:00
319.44,319.6,319.31,319.49,450,2024-04-08 09:48:00-04:00
319.225,319.225,319.225,319.225,100,2024-04-08 09:49:00-04:00
319.2101,319.32,319.04,319.04,1805,2024-04-08 09:50:00-04:00
318.91,318.93,318.9,318.9,429,2024-04-08 09:51:00-04:00
318.84,319.13,318.65,318.65,1836,2024-04-08 09:52:00-04:00
318.86,318.86,318.62,318.62,585,2024-04-08 09:53:00-04:00
318.725,318.73,318.51,318.51,2812,2024-04-08 09:54:00-04:00
318.72,318.72,318.715,318.715,1089,2024-04-08 09:55:00-04:00
318.715,318.94,318.715,318.785,900,2024-04-08 09:56:00-04:00
318.52,319.05,318.52,319.005,1212,2024-04-08 09:57:00-04:00
319.33,319.4,319.33,319.4,200,2024-04-08 09:59:00-04:00
319.37,319.685,319.37,319.47,600,2024-04-08 10:00:00-04:00
319.47,319.56,319.34,319.47,1678,2024-04-08 10:01:00-04:00
319.475,319.485,319.475,319.485,500,2024-04-08 10:02:00-04:00
319.485,319.62,319.27,319.27,3211,2024-04-08 10:03:00-04:00
319.14,319.14,319.13,319.13,200,2024-04-08 10:04:00-04:00
319.155,319.155,319.155,319.155,200,2024-04-08 10:05:00-04:00
319.1,319.6,319.1,319.475,1226,2024-04-08 10:06:00-04:00
319.49,319.51,319.32,319.33,800,2024-04-08 10:07:00-04:00
319.505,319.585,319.38,319.585,700,2024-04-08 10:08:00-04:00
319.585,319.585,319.585,319.585,100,2024-04-08 10:09:00-04:00
319.585,319.585,319.585,319.585,400,2024-04-08 10:10:00-04:00
319.585,319.79,319.585,319.59,1000,2024-04-08 10:11:00-04:00
319.59,319.8,319.39,319.8,2787,2024-04-08 10:12:00-04:00
319.53,319.53,319.38,319.38,2649,2024-04-08 10:13:00-04:00
319.38,319.45,319.38,319.45,700,2024-04-08 10:14:00-04:00
319.67,319.67,319.47,319.47,1164,2024-04-08 10:18:00-04:00
319.68,319.785,319.58,319.785,2244,2024-04-08 10:20:00-04:00
319.675,319.675,319.675,319.675,960,2024-04-08 10:21:00-04:00
319.675,319.675,319.675,319.675,100,2024-04-08 10:22:00-04:00
319.65,319.78,319.64,319.78,594,2024-04-08 10:23:00-04:00
319.635,320.04,319.48,320.04,6672,2024-04-08 10:24:00-04:00
320.04,320.04,319.91,319.91,1400,2024-04-08 10:25:00-04:00
320.22,320.29,320.22,320.29,720,2024-04-08 10:26:00-04:00
320.33,320.405,320.33,320.4,500,2024-04-08 10:27:00-04:00
