open,high,low,close,volume,datetime
35.74,35.8,35.74,35.8,390,2024-04-08 07:00:00-04:00
35.57,35.57,35.57,35.57,100,2024-04-08 07:28:00-04:00
35.55,35.55,35.55,35.55,180,2024-04-08 07:29:00-04:00
35.5,35.5,35.5,35.5,100,2024-04-08 07:48:00-04:00
35.78,35.78,35.78,35.78,722,2024-04-08 08:32:00-04:00
35.75,35.75,35.75,35.75,403,2024-04-08 09:16:00-04:00
35.7,35.7,35.7,35.7,100,2024-04-08 09:17:00-04:00
35.7797,35.7797,35.7797,35.7797,100,2024-04-08 09:18:00-04:00
35.7797,35.7797,35.7797,35.7797,100,2024-04-08 09:19:00-04:00
35.7,35.7,35.7,35.7,100,2024-04-08 09:20:00-04:00
35.7,35.7,35.7,35.7,3241,2024-04-08 09:22:00-04:00
35.68,35.68,35.68,35.68,490,2024-04-08 09:25:00-04:00
35.56,35.56,35.56,35.56,700,2024-04-08 09:27:00-04:00
35.73,35.8,35.72,35.72,51983,2024-04-08 09:30:00-04:00
35.7,35.71,35.66,35.67,4599,2024-04-08 09:31:00-04:00
35.73,35.78,35.715,35.715,4874,2024-04-08 09:32:00-04:00
35.71,35.8,35.71,35.795,6300,2024-04-08 09:33:00-04:00
35.82,35.95,35.78,35.933,21078,2024-04-08 09:34:00-04:00
35.93,35.93,35.87,35.89,3517,2024-04-08 09:35:00-04:00
35.91,35.96,35.9,35.95,16539,2024-04-08 09:36:00-04:00
35.965,35.965,35.93,35.945,4970,2024-04-08 09:37:00-04:00
35.95,35.99,35.95,35.99,9676,2024-04-08 09:38:00-04:00
35.99,36.04,35.97,36.04,24559,2024-04-08 09:39:00-04:00
36.04,36.045,35.91,35.92,15645,2024-04-08 09:40:00-04:00
35.925,35.985,35.92,35.94,5816,2024-04-08 09:41:00-04:00
35.9,35.905,35.87,35.87,9610,2024-04-08 09:42:00-04:00
35.87,35.875,35.75,35.775,13100,2024-04-08 09:43:00-04:00
35.77,35.79,35.72,35.74,15760,2024-04-08 09:44:00-04:00
35.745,35.745,35.6,35.6,22959,2024-04-08 09:45:00-04:00
35.61,35.62,35.59,35.59,19482,2024-04-08 09:46:00-04:00
35.585,35.605,35.53,35.53,12920,2024-04-08 09:47:00-04:00
35.53,35.545,35.5,35.53,8456,2024-04-08 09:48:00-04:00
35.535,35.54,35.465,35.47,14535,2024-04-08 09:49:00-04:00
35.455,35.49,35.405,35.485,8545,2024-04-08 09:50:00-04:00
35.485,35.5,35.46,35.47,5488,2024-04-08 09:51:00-04:00
35.455,35.47,35.39,35.39,16147,2024-04-08 09:52:00-04:00
35.385,35.415,35.355,35.415,9201,2024-04-08 09:53:00-04:00
35.41,35.45,35.37,35.385,5363,2024-04-08 09:54:00-04:00
35.385,35.455,35.385,35.455,4140,2024-04-08 09:55:00-04:00
35.445,35.47,35.445,35.45,7798,2024-04-08 09:56:00-04:00
35.44,35.445,35.41,35.44,3346,2024-04-08 09:57:00-04:00
35.45,35.475,35.415,35.47,6054,2024-04-08 09:58:00-04:00
35.48,35.5,35.45,35.461,4614,2024-04-08 09:59:00-04:00
35.475,35.49,35.39,35.41,18626,2024-04-08 10:00:00-04:00
35.42,35.435,35.39,35.41,8908,2024-04-08 10:01:00-04:00
35.41,35.435,35.4,35.42,7600,2024-04-08 10:02:00-04:00
35.425,35.4333,35.385,35.395,7822,2024-04-08 10:03:00-04:00
35.385,35.385,35.34,35.34,8665,2024-04-08 10:04:00-04:00
35.345,35.375,35.33,35.33,24983,2024-04-08 10:05:00-04:00
35.33,35.37,35.315,35.35,19237,2024-04-08 10:06:00-04:00
35.35,35.3999,35.32,35.36,12268,2024-04-08 10:07:00-04:00
35.36,35.36,35.315,35.315,4606,2024-04-08 10:08:00-04:00
35.31,35.32,35.285,35.3,8185,2024-04-08 10:09:00-04:00
35.3,35.35,35.295,35.345,50620,2024-04-08 10:10:00-04:00
35.345,35.37,35.315,35.325,7947,2024-04-08 10:11:00-04:00
35.325,35.345,35.32,35.33,11183,2024-04-08 10:12:00-04:00
35.325,35.4,35.32,35.375,8422,2024-04-08 10:13:00-04:00
35.37,35.37,35.335,35.355,7458,2024-04-08 10:14:00-04:00
35.365,35.37,35.32,35.32,10189,2024-04-08 10:15:00-04:00
35.32,35.325,35.3,35.325,13300,2024-04-08 10:16:00-04:00
35.32,35.32,35.255,35.275,9746,2024-04-08 10:17:00-04:00
35.27,35.28,35.22,35.23,25306,2024-04-08 10:18:00-04:00
35.225,35.26,35.2099,35.22,15897,2024-04-08 10:19:00-04:00
35.22,35.27,35.22,35.255,11879,2024-04-08 10:20:00-04:00
35.25,35.25,35.22,35.2232,8232,2024-04-08 10:21:00-04:00
35.23,35.235,35.2,35.2,29728,2024-04-08 10:22:00-04:00
35.2,35.205,35.115,35.115,28880,2024-04-08 10:23:00-04:00
35.12,35.14,35.11,35.11,14926,2024-04-08 10:24:00-04:00
35.1,35.16,35.1,35.16,21760,2024-04-08 10:25:00-04:00
35.16,35.17,35.14,35.165,13259,2024-04-08 10:26:00-04:00
35.17,35.22,35.17,35.2,5850,2024-04-08 10:27:00-04:00
35.205,35.21,35.17,35.17,7946,2024-04-08 10:28:00-04:00
35.17,35.21,35.165,35.195,6743,2024-04-08 10:29:00-04:00
35.19,35.19,35.17,35.175,11858,2024-04-08 10:30:00-04:00
35.18,35.2,35.175,35.185,8163,2024-04-08 10:31:00-04:00
