open,high,low,close,volume,datetime
118.6984,118.6984,118.6984,118.6984,200,2024-04-08 08:00:00-04:00
118.6,118.6,118.6,118.6,3000,2024-04-08 08:10:00-04:00
118.5,118.5,118.5,118.5,168,2024-04-08 08:33:00-04:00
119.7422,119.7422,119.7422,119.7422,1000,2024-04-08 08:34:00-04:00
118.01,118.01,118.01,118.01,100,2024-04-08 08:45:00-04:00
118.7,118.7,118.7,118.7,200,2024-04-08 09:00:00-04:00
118.9,118.9,118.9,118.9,2500,2024-04-08 09:09:00-04:00
118.7,118.7,118.7,118.7,100,2024-04-08 09:10:00-04:00
118.89,118.89,118.89,118.89,100,2024-04-08 09:13:00-04:00
118.51,118.51,118.5,118.5,200,2024-04-08 09:20:00-04:00
118.5,118.5,118.5,118.5,200,2024-04-08 09:21:00-04:00
118.5,118.5,118.3,118.3,200,2024-04-08 09:22:00-04:00
118.0,118.03,118.0,118.0,360,2024-04-08 09:26:00-04:00
118.16,118.17,117.89,118.17,48476,2024-04-08 09:30:00-04:00
118.19,118.36,118.15,118.36,2687,2024-04-08 09:31:00-04:00
118.35,118.57,118.28,118.5,20195,2024-04-08 09:32:00-04:00
118.46,118.47,117.95,118.06,34007,2024-04-08 09:33:00-04:00
118.04,118.15,118.0,118.15,2301,2024-04-08 09:34:00-04:00
118.12,118.275,118.1,118.23,14040,2024-04-08 09:35:00-04:00
118.22,118.29,118.1,118.15,22420,2024-04-08 09:36:00-04:00
118.13,118.17,118.12,118.17,11253,2024-04-08 09:37:00-04:00
118.15,118.21,118.07,118.17,24190,2024-04-08 09:38:00-04:00
118.15,118.18,118.03,118.08,12635,2024-04-08 09:39:00-04:00
118.02,118.055,117.93,118.0,28244,2024-04-08 09:40:00-04:00
118.0,118.04,117.975,118.04,16979,2024-04-08 09:41:00-04:00
118.04,118.04,117.97,118.02,19179,2024-04-08 09:42:00-04:00
118.0,118.05,117.98,118.023,11613,2024-04-08 09:43:00-04:00
118.03,118.05,117.995,118.01,9458,2024-04-08 09:44:00-04:00
118.03,118.08,118.01,118.05,24529,2024-04-08 09:45:00-04:00
118.02,118.16,118.0,118.16,7607,2024-04-08 09:46:00-04:00
118.18,118.2,117.95,117.98,13725,2024-04-08 09:47:00-04:00
117.98,118.03,117.9,118.02,18089,2024-04-08 09:48:00-04:00
118.02,118.065,117.91,117.99,11163,2024-04-08 09:49:00-04:00
117.96,117.98,117.91,117.925,5168,2024-04-08 09:50:00-04:00
117.9,117.92,117.81,117.84,15824,2024-04-08 09:51:00-04:00
117.84,117.845,117.74,117.74,7216,2024-04-08 09:52:00-04:00
117.735,117.735,117.48,117.52,9476,2024-04-08 09:53:00-04:00
117.51,117.51,117.42,117.42,2727,2024-04-08 09:54:00-04:00
117.41,117.49,117.34,117.44,14387,2024-04-08 09:55:00-04:00
117.42,117.47,117.39,117.47,2267,2024-04-08 09:56:00-04:00
117.45,117.56,117.44,117.515,4474,2024-04-08 09:57:00-04:00
117.5,117.56,117.395,117.54,13909,2024-04-08 09:58:00-04:00
117.56,117.61,117.51,117.57,3785,2024-04-08 09:59:00-04:00
117.595,117.595,117.475,117.475,4497,2024-04-08 10:00:00-04:00
117.46,117.545,117.3975,117.48,9924,2024-04-08 10:01:00-04:00
117.46,117.47,117.395,117.46,5348,2024-04-08 10:02:00-04:00
117.49,117.49,117.38,117.39,17866,2024-04-08 10:03:00-04:00
117.41,117.44,117.38,117.4,7708,2024-04-08 10:04:00-04:00
117.4,117.4,117.24,117.29,15296,2024-04-08 10:05:00-04:00
117.32,117.4,117.24,117.25,5121,2024-04-08 10:06:00-04:00
117.27,117.28,117.23,117.26,2070,2024-04-08 10:07:00-04:00
117.27,117.41,117.27,117.41,5469,2024-04-08 10:08:00-04:00
117.42,117.455,117.26,117.26,4860,2024-04-08 10:09:00-04:00
117.275,117.3,117.24,117.26,4261,2024-04-08 10:10:00-04:00
117.25,117.2895,117.22,117.28,6181,2024-04-08 10:11:00-04:00
117.29,117.3,117.255,117.29,5454,2024-04-08 10:12:00-04:00
117.29,117.45,117.29,117.44,8848,2024-04-08 10:13:00-04:00
117.41,117.4136,117.38,117.41,6338,2024-04-08 10:14:00-04:00
117.39,117.43,117.38,117.42,6327,2024-04-08 10:15:00-04:00
117.43,117.43,117.32,117.34,2243,2024-04-08 10:16:00-04:00
117.34,117.39,117.325,117.39,4639,2024-04-08 10:17:00-04:00
117.4,117.43,117.32,117.32,4968,2024-04-08 10:18:00-04:00
117.32,117.32,117.25,117.27,2449,2024-04-08 10:19:00-04:00
117.27,117.36,117.27,117.36,7539,2024-04-08 10:20:00-04:00
117.35,117.36,117.3,117.305,3595,2024-04-08 10:21:00-04:00
117.31,117.41,117.31,117.41,5972,2024-04-08 10:22:00-04:00
117.39,117.39,117.31,117.31,2598,2024-04-08 10:23:00-04:00
117.31,117.45,117.31,117.45,5535,2024-04-08 10:24:00-04:00
117.46,117.49,117.4,117.4,3200,2024-04-08 10:25:00-04:00
117.4,117.46,117.39,117.46,4810,2024-04-08 10:26:00-04:00
117.45,117.4825,117.39,117.42,4038,2024-04-08 10:27:00-04:00
117.42,117.475,117.4,117.45,4509,2024-04-08 10:28:00-04:00
117.44,117.485,117.43,117.461,14954,2024-04-08 10:29:00-04:00
117.49,117.64,117.49,117.64,2405,2024-04-08 10:30:00-04:00
117.66,117.76,117.66,117.74,11404,2024-04-08 10:31:00-04:00
117.7599,117.83,117.71,117.83,9445,2024-04-08 10:32:00-04:00
117.84,117.905,117.82,117.88,4892,2024-04-08 10:33:00-04:00
117.88,117.9,117.78,117.79,6264,2024-04-08 10:34:00-04:00
117.8,117.82,117.79,117.79,5743,2024-04-08 10:35:00-04:00
117.79,117.8,117.74,117.75,3383,2024-04-08 10:36:00-04:00
117.745,117.76,117.73,117.74,5021,2024-04-08 10:37:00-04:00
117.75,117.76,117.685,117.71,7167,2024-04-08 10:38:00-04:00
117.705,117.73,117.69,117.69,9889,2024-04-08 10:39:00-04:00
117.7,117.75,117.66,117.72,6898,2024-04-08 10:40:00-04:00
117.72,117.72,117.679,117.69,3713,2024-04-08 10:41:00-04:00
117.7,117.78,117.7,117.75,8125,2024-04-08 10:42:00-04:00
117.735,117.785,117.72,117.76,5293,2024-04-08 10:43:00-04:00
117.755,117.77,117.73,117.73,3377,2024-04-08 10:44:00-04:00
117.73,117.73,117.68,117.7,2558,2024-04-08 10:45:00-04:00
117.705,117.73,117.7,117.7,7047,2024-04-08 10:46:00-04:00
117.69,117.73,117.69,117.715,6482,2024-04-08 10:47:00-04:00
117.7,117.7197,117.62,117.64,7651,2024-04-08 10:48:00-04:00
117.63,117.72,117.6,117.61,8213,2024-04-08 10:49:00-04:00
117.63,117.66,117.6,117.61,8111,2024-04-08 10:50:00-04:00
117.62,117.66,117.62,117.65,4486,2024-04-08 10:51:00-04:00
117.645,117.69,117.62,117.62,6267,2024-04-08 10:52:00-04:00
117.62,117.64,117.57,117.575,7291,2024-04-08 10:53:00-04:00
117.55,117.5677,117.46,117.46,6249,2024-04-08 10:54:00-04:00
117.48,117.48,117.37,117.38,4502,2024-04-08 10:55:00-04:00
117.38,117.38,117.26,117.26,8998,2024-04-08 10:56:00-04:00
117.26,117.3,117.17,117.2,23716,2024-04-08 10:57:00-04:00
117.2,117.23,117.16,117.16,8705,2024-04-08 10:58:00-04:00
117.15,117.15,117.01,117.02,10782,2024-04-08 10:59:00-04:00
117.04,117.1,116.985,116.985,7776,2024-04-08 11:00:00-04:00
116.98,117.04,116.96,117.0,9274,2024-04-08 11:01:00-04:00
117.02,117.21,117.02,117.07,18157,2024-04-08 11:02:00-04:00
117.09,117.2,117.09,117.18,5565,2024-04-08 11:03:00-04:00
117.17,117.2,117.1,117.11,9820,2024-04-08 11:04:00-04:00
117.12,117.12,117.07,117.08,1822,2024-04-08 11:05:00-04:00
117.08,117.08,116.99,116.995,2229,2024-04-08 11:06:00-04:00
117.0,117.0,116.98,116.99,600,2024-04-08 11:07:00-04:00
116.99,117.03,116.99,117.0,8208,2024-04-08 11:08:00-04:00
117.02,117.07,117.01,117.07,2161,2024-04-08 11:09:00-04:00
117.07,117.14,117.07,117.095,4030,2024-04-08 11:10:00-04:00
117.095,117.1,117.0,117.04,3586,2024-04-08 11:11:00-04:00
117.03,117.04,116.965,116.965,4882,2024-04-08 11:12:00-04:00
