open,high,low,close,volume,datetime
116.4,116.57,116.325,116.325,3949,2024-04-08 09:30:00-04:00
116.48,116.48,116.48,116.48,100,2024-04-08 09:33:00-04:00
116.51,116.59,116.51,116.59,300,2024-04-08 09:35:00-04:00
116.96,116.96,116.96,116.96,100,2024-04-08 09:43:00-04:00
116.85,116.86,116.85,116.85,422,2024-04-08 09:44:00-04:00
116.85,116.85,116.85,116.85,100,2024-04-08 09:47:00-04:00
116.67,116.67,116.67,116.67,100,2024-04-08 09:53:00-04:00
116.615,116.62,116.615,116.62,200,2024-04-08 09:54:00-04:00
116.6261,116.6261,116.56,116.56,235,2024-04-08 09:55:00-04:00
116.7099,116.7099,116.605,116.605,224,2024-04-08 09:58:00-04:00
116.6008,116.6008,116.6008,116.6008,1047,2024-04-08 09:59:00-04:00
116.45,116.45,116.405,116.405,300,2024-04-08 10:00:00-04:00
116.455,116.52,116.43,116.43,2804,2024-04-08 10:01:00-04:00
116.355,116.365,116.34,116.365,614,2024-04-08 10:02:00-04:00
116.5,116.51,116.49,116.51,700,2024-04-08 10:03:00-04:00
116.44,116.44,116.32,116.32,1200,2024-04-08 10:05:00-04:00
116.3961,116.44,116.36,116.44,1337,2024-04-08 10:07:00-04:00
116.43,116.43,116.43,116.43,500,2024-04-08 10:08:00-04:00
116.455,116.455,116.455,116.455,100,2024-04-08 10:09:00-04:00
116.405,116.41,116.4,116.41,300,2024-04-08 10:10:00-04:00
116.52,116.52,116.465,116.465,500,2024-04-08 10:12:00-04:00
116.43,116.43,116.34,116.41,1900,2024-04-08 10:14:00-04:00
116.47,116.47,116.38,116.38,802,2024-04-08 10:15:00-04:00
116.39,116.44,116.39,116.44,300,2024-04-08 10:16:00-04:00
116.405,116.405,116.4,116.4,200,2024-04-08 10:17:00-04:00
116.47,116.475,116.47,116.47,340,2024-04-08 10:18:00-04:00
116.47,116.47,116.47,116.47,100,2024-04-08 10:19:00-04:00
116.52,116.53,116.47,116.48,1200,2024-04-08 10:20:00-04:00
116.49,116.53,116.49,116.53,376,2024-04-08 10:21:00-04:00
116.49,116.495,116.48,116.48,853,2024-04-08 10:22:00-04:00
116.44,116.44,116.44,116.44,200,2024-04-08 10:23:00-04:00
116.425,116.425,116.425,116.425,100,2024-04-08 10:24:00-04:00
116.5,116.5,116.49,116.5,532,2024-04-08 10:25:00-04:00
