open,high,low,close,volume,datetime
42.55,42.79,42.5,42.5,26832,2024-04-08 09:30:00-04:00
42.5,42.53,42.34,42.51,8115,2024-04-08 09:31:00-04:00
42.52,42.55,42.4402,42.4402,901,2024-04-08 09:32:00-04:00
42.43,42.45,42.41,42.415,900,2024-04-08 09:33:00-04:00
42.39,42.4,42.34,42.36,2081,2024-04-08 09:34:00-04:00
42.34,42.36,42.3049,42.34,4808,2024-04-08 09:35:00-04:00
42.33,42.33,42.3,42.31,2555,2024-04-08 09:36:00-04:00
42.3,42.33,42.28,42.29,3874,2024-04-08 09:37:00-04:00
42.28,42.31,42.24,42.31,3600,2024-04-08 09:38:00-04:00
42.36,42.42,42.35,42.42,1264,2024-04-08 09:39:00-04:00
42.4099,42.45,42.3905,42.45,1983,2024-04-08 09:40:00-04:00
42.46,42.5,42.46,42.495,3062,2024-04-08 09:41:00-04:00
42.49,42.495,42.43,42.44,5384,2024-04-08 09:42:00-04:00
42.43,42.46,42.42,42.455,11464,2024-04-08 09:43:00-04:00
42.455,42.46,42.44,42.44,901,2024-04-08 09:44:00-04:00
42.44,42.535,42.44,42.535,2298,2024-04-08 09:45:00-04:00
42.54,42.56,42.52,42.52,1753,2024-04-08 09:46:00-04:00
42.52,42.52,42.47,42.47,1453,2024-04-08 09:47:00-04:00
42.46,42.47,42.445,42.465,2200,2024-04-08 09:48:00-04:00
42.47,42.495,42.465,42.49,1700,2024-04-08 09:49:00-04:00
42.49,42.5,42.44,42.44,11454,2024-04-08 09:50:00-04:00
42.45,42.475,42.42,42.42,5201,2024-04-08 09:51:00-04:00
42.415,42.415,42.33,42.33,6481,2024-04-08 09:52:00-04:00
42.33,42.38,42.33,42.345,4431,2024-04-08 09:53:00-04:00
42.34,42.355,42.295,42.295,1000,2024-04-08 09:54:00-04:00
42.29,42.29,42.24,42.27,5091,2024-04-08 09:55:00-04:00
42.27,42.27,42.24,42.255,3361,2024-04-08 09:56:00-04:00
42.25,42.27,42.22,42.27,2143,2024-04-08 09:57:00-04:00
42.275,42.28,42.26,42.26,1618,2024-04-08 09:58:00-04:00
42.26,42.26,42.2,42.2,2612,2024-04-08 09:59:00-04:00
42.22,42.22,42.135,42.155,6616,2024-04-08 10:00:00-04:00
42.17,42.185,42.115,42.115,3591,2024-04-08 10:01:00-04:00
42.115,42.175,42.115,42.17,4689,2024-04-08 10:02:00-04:00
42.17,42.2,42.155,42.16,5930,2024-04-08 10:03:00-04:00
42.16,42.16,42.1,42.1,1101,2024-04-08 10:04:00-04:00
42.1118,42.15,42.1118,42.125,3431,2024-04-08 10:05:00-04:00
42.13,42.215,42.125,42.215,5138,2024-04-08 10:06:00-04:00
42.22,42.265,42.22,42.26,7983,2024-04-08 10:07:00-04:00
42.26,42.31,42.26,42.31,4295,2024-04-08 10:08:00-04:00
42.32,42.32,42.26,42.28,3514,2024-04-08 10:09:00-04:00
42.275,42.28,42.27,42.27,2292,2024-04-08 10:10:00-04:00
42.29,42.3,42.26,42.3,4776,2024-04-08 10:11:00-04:00
42.33,42.35,42.325,42.345,4116,2024-04-08 10:12:00-04:00
42.345,42.345,42.315,42.345,2301,2024-04-08 10:13:00-04:00
42.34,42.34,42.31,42.32,2941,2024-04-08 10:14:00-04:00
42.32,42.375,42.32,42.35,3603,2024-04-08 10:15:00-04:00
42.35,42.375,42.35,42.375,1125,2024-04-08 10:16:00-04:00
42.38,42.39,42.37,42.39,4077,2024-04-08 10:17:00-04:00
42.42,42.43,42.42,42.43,900,2024-04-08 10:18:00-04:00
42.4225,42.445,42.4225,42.44,5008,2024-04-08 10:19:00-04:00
42.445,42.48,42.445,42.48,1500,2024-04-08 10:20:00-04:00
42.49,42.495,42.45,42.45,3678,2024-04-08 10:21:00-04:00
42.47,42.47,42.46,42.465,1400,2024-04-08 10:22:00-04:00
42.465,42.465,42.46,42.46,2604,2024-04-08 10:23:00-04:00
42.4701,42.49,42.44,42.49,6370,2024-04-08 10:24:00-04:00
42.505,42.51,42.48,42.48,2392,2024-04-08 10:25:00-04:00
42.48,42.49,42.45,42.45,3855,2024-04-08 10:26:00-04:00
42.445,42.465,42.44,42.465,3234,2024-04-08 10:27:00-04:00
42.46,42.46,42.4525,42.455,2829,2024-04-08 10:28:00-04:00
42.46,42.49,42.46,42.4707,2873,2024-04-08 10:29:00-04:00
42.485,42.485,42.45,42.475,3732,2024-04-08 10:30:00-04:00
42.495,42.495,42.465,42.47,1688,2024-04-08 10:31:00-04:00
42.47,42.475,42.47,42.475,900,2024-04-08 10:32:00-04:00
42.49,42.5,42.49,42.5,939,2024-04-08 10:33:00-04:00
42.5,42.505,42.47,42.48,5848,2024-04-08 10:34:00-04:00
42.475,42.5,42.475,42.495,2121,2024-04-08 10:35:00-04:00
42.5,42.5,42.47,42.49,3465,2024-04-08 10:36:00-04:00
42.48,42.51,42.475,42.51,1297,2024-04-08 10:37:00-04:00
42.51,42.54,42.51,42.525,3806,2024-04-08 10:38:00-04:00
42.525,42.53,42.51,42.53,2571,2024-04-08 10:39:00-04:00
42.53,42.54,42.53,42.54,3423,2024-04-08 10:40:00-04:00
42.54,42.565,42.54,42.56,1231,2024-04-08 10:41:00-04:00
42.57,42.585,42.565,42.57,3259,2024-04-08 10:42:00-04:00
42.57,42.585,42.57,42.57,2324,2024-04-08 10:43:00-04:00
42.575,42.595,42.57,42.595,2590,2024-04-08 10:44:00-04:00
42.5914,42.595,42.5501,42.5501,4954,2024-04-08 10:45:00-04:00
42.555,42.565,42.53,42.535,3532,2024-04-08 10:46:00-04:00
42.52,42.535,42.51,42.51,3468,2024-04-08 10:47:00-04:00
42.51,42.51,42.505,42.51,1769,2024-04-08 10:48:00-04:00
42.515,42.515,42.5002,42.505,3125,2024-04-08 10:49:00-04:00
42.505,42.525,42.505,42.52,1937,2024-04-08 10:50:00-04:00
42.51,42.52,42.495,42.495,2572,2024-04-08 10:51:00-04:00
42.5,42.515,42.495,42.515,3330,2024-04-08 10:52:00-04:00
42.515,42.52,42.485,42.485,3791,2024-04-08 10:53:00-04:00
42.48,42.48,42.46,42.465,500,2024-04-08 10:54:00-04:00
42.47,42.475,42.47,42.475,1225,2024-04-08 10:55:00-04:00
42.48,42.485,42.475,42.48,4952,2024-04-08 10:56:00-04:00
42.48,42.5,42.48,42.5,2773,2024-04-08 10:57:00-04:00
42.49,42.49,42.475,42.475,1762,2024-04-08 10:58:00-04:00
42.48,42.49,42.48,42.48,1658,2024-04-08 10:59:00-04:00
42.485,42.495,42.48,42.495,1425,2024-04-08 11:00:00-04:00
42.49,42.495,42.485,42.49,3289,2024-04-08 11:01:00-04:00
42.485,42.5,42.475,42.475,4315,2024-04-08 11:02:00-04:00
42.47,42.55,42.47,42.53,6695,2024-04-08 11:03:00-04:00
42.52,42.52,42.51,42.51,2198,2024-04-08 11:04:00-04:00
42.515,42.515,42.47,42.47,1564,2024-04-08 11:05:00-04:00
42.455,42.455,42.44,42.45,3167,2024-04-08 11:06:00-04:00
42.45,42.45,42.42,42.42,1765,2024-04-08 11:07:00-04:00
42.41,42.42,42.41,42.415,1041,2024-04-08 11:08:00-04:00
42.4125,42.445,42.4125,42.445,4697,2024-04-08 11:09:00-04:00
42.45,42.45,42.44,42.44,3531,2024-04-08 11:10:00-04:00
42.43,42.44,42.425,42.425,1000,2024-04-08 11:11:00-04:00
42.42,42.47,42.42,42.465,3211,2024-04-08 11:12:00-04:00
42.46,42.46,42.45,42.46,2553,2024-04-08 11:13:00-04:00
42.47,42.47,42.44,42.445,1860,2024-04-08 11:14:00-04:00
42.445,42.45,42.44,42.44,1325,2024-04-08 11:15:00-04:00
42.44,42.44,42.385,42.385,4448,2024-04-08 11:16:00-04:00
42.385,42.395,42.38,42.38,2987,2024-04-08 11:17:00-04:00
42.4,42.41,42.39,42.39,1313,2024-04-08 11:18:00-04:00
42.385,42.39,42.38,42.39,900,2024-04-08 11:19:00-04:00
42.39,42.42,42.385,42.415,3326,2024-04-08 11:20:00-04:00
42.42,42.43,42.415,42.415,3066,2024-04-08 11:21:00-04:00
42.41,42.425,42.41,42.42,1498,2024-04-08 11:22:00-04:00
42.435,42.46,42.435,42.45,3617,2024-04-08 11:23:00-04:00
42.45,42.45,42.4311,42.44,2932,2024-04-08 11:24:00-04:00
42.445,42.445,42.42,42.42,2063,2024-04-08 11:25:00-04:00
42.42,42.42,42.405,42.41,2273,2024-04-08 11:26:00-04:00
42.4,42.4,42.355,42.36,4652,2024-04-08 11:27:00-04:00
42.368,42.375,42.365,42.375,1092,2024-04-08 11:28:00-04:00
42.38,42.385,42.35,42.35,3269,2024-04-08 11:29:00-04:00
42.35,42.35,42.35,42.35,100,2024-04-08 11:30:00-04:00
42.355,42.355,42.35,42.35,200,2024-04-08 11:31:00-04:00
42.36,42.36,42.345,42.35,5504,2024-04-08 11:32:00-04:00
42.35,42.37,42.35,42.37,2900,2024-04-08 11:33:00-04:00
42.375,42.375,42.375,42.375,639,2024-04-08 11:34:00-04:00
42.38,42.39,42.365,42.37,6962,2024-04-08 11:35:00-04:00
42.37,42.39,42.365,42.39,3689,2024-04-08 11:36:00-04:00
42.37,42.39,42.37,42.39,1600,2024-04-08 11:37:00-04:00
42.395,42.395,42.37,42.375,1900,2024-04-08 11:38:00-04:00
42.38,42.39,42.38,42.39,901,2024-04-08 11:39:00-04:00
42.385,42.39,42.375,42.375,2208,2024-04-08 11:40:00-04:00
42.37,42.3701,42.37,42.3701,263,2024-04-08 11:41:00-04:00
42.38,42.385,42.375,42.385,2301,2024-04-08 11:42:00-04:00
42.39,42.39,42.365,42.365,4038,2024-04-08 11:43:00-04:00
42.37,42.385,42.37,42.385,1954,2024-04-08 11:44:00-04:00
42.38,42.38,42.37,42.375,3485,2024-04-08 11:45:00-04:00
42.375,42.38,42.37,42.375,800,2024-04-08 11:46:00-04:00
42.375,42.38,42.365,42.365,3215,2024-04-08 11:47:00-04:00
42.36,42.365,42.33,42.33,2001,2024-04-08 11:48:00-04:00
