open,high,low,close,volume,datetime
799.0,799.0,799.0,799.0,100,2024-04-08 08:19:00-04:00
800.0,800.0,800.0,800.0,136,2024-04-08 09:22:00-04:00
801.52,804.98,801.52,804.98,9350,2024-04-08 09:30:00-04:00
803.97,804.0,800.9,800.9,3960,2024-04-08 09:31:00-04:00
801.48,804.0,801.48,803.35,3834,2024-04-08 09:32:00-04:00
801.25,803.445,801.25,803.1495,2913,2024-04-08 09:33:00-04:00
803.04,803.05,800.73,802.33,647,2024-04-08 09:34:00-04:00
802.31,802.31,799.1,800.0,5167,2024-04-08 09:35:00-04:00
798.755,798.755,798.0,798.0,1000,2024-04-08 09:38:00-04:00
799.5,799.5,798.6,798.6,501,2024-04-08 09:39:00-04:00
798.915,798.915,798.095,798.19,611,2024-04-08 09:40:00-04:00
798.7601,799.16,798.295,798.73,814,2024-04-08 09:41:00-04:00
798.515,799.0,798.515,799.0,300,2024-04-08 09:42:00-04:00
798.6324,799.347,798.6324,799.347,349,2024-04-08 09:43:00-04:00
799.46,799.46,798.52,798.64,2312,2024-04-08 09:44:00-04:00
798.78,799.52,798.78,799.51,2317,2024-04-08 09:45:00-04:00
799.66,799.66,799.66,799.66,102,2024-04-08 09:46:00-04:00
799.475,799.475,799.0,799.0,350,2024-04-08 09:47:00-04:00
798.74,798.74,798.0,798.0,300,2024-04-08 09:48:00-04:00
798.105,798.105,796.8315,797.3,750,2024-04-08 09:49:00-04:00
797.93,798.03,797.92,798.03,437,2024-04-08 09:50:00-04:00
797.73,798.3,797.73,797.96,1465,2024-04-08 09:51:00-04:00
798.09,798.565,797.99,798.565,4536,2024-04-08 09:52:00-04:00
797.73,799.02,797.73,799.02,5095,2024-04-08 09:53:00-04:00
799.385,799.6,798.88,798.88,540,2024-04-08 09:54:00-04:00
798.8275,799.17,798.8275,799.17,1250,2024-04-08 09:56:00-04:00
800.81,801.0,800.81,801.0,200,2024-04-08 09:59:00-04:00
800.06,800.745,798.44,799.14,4333,2024-04-08 10:00:00-04:00
799.12,799.125,799.0,799.125,500,2024-04-08 10:01:00-04:00
799.315,799.315,799.315,799.315,136,2024-04-08 10:02:00-04:00
799.025,799.05,797.91,797.91,1000,2024-04-08 10:03:00-04:00
798.45,798.45,798.45,798.45,100,2024-04-08 10:04:00-04:00
799.0,799.66,799.0,799.52,2787,2024-04-08 10:06:00-04:00
799.62,801.16,799.62,801.16,300,2024-04-08 10:08:00-04:00
801.25,802.2,799.77,799.77,6233,2024-04-08 10:09:00-04:00
799.62,800.895,799.62,800.885,1062,2024-04-08 10:10:00-04:00
800.825,800.825,799.69,799.84,836,2024-04-08 10:11:00-04:00
798.85,799.13,798.47,798.47,5104,2024-04-08 10:12:00-04:00
798.0901,798.0901,798.0901,798.0901,150,2024-04-08 10:13:00-04:00
799.25,799.25,799.25,799.25,200,2024-04-08 10:14:00-04:00
800.5,800.77,800.5,800.77,300,2024-04-08 10:15:00-04:00
800.17,800.73,799.99,800.73,493,2024-04-08 10:16:00-04:00
800.87,800.87,800.79,800.79,825,2024-04-08 10:17:00-04:00
801.8,801.8,801.3998,801.3998,537,2024-04-08 10:18:00-04:00
801.115,801.115,800.6,801.0,300,2024-04-08 10:19:00-04:00
801.63,801.9499,800.27,801.9499,5048,2024-04-08 10:21:00-04:00
801.35,802.42,801.35,802.42,600,2024-04-08 10:22:00-04:00
802.03,802.03,801.99,802.0,300,2024-04-08 10:23:00-04:00
802.015,802.015,802.01,802.015,1192,2024-04-08 10:24:00-04:00
802.42,802.85,802.42,802.84,789,2024-04-08 10:25:00-04:00
803.37,803.37,803.37,803.37,100,2024-04-08 10:26:00-04:00
803.7,803.7,803.7,803.7,100,2024-04-08 10:28:00-04:00
803.77,804.0,803.77,804.0,874,2024-04-08 10:29:00-04:00
803.96,804.0,803.33,803.33,1000,2024-04-08 10:30:00-04:00
803.595,803.595,803.585,803.585,200,2024-04-08 10:31:00-04:00
803.8721,804.11,803.8721,804.11,1323,2024-04-08 10:32:00-04:00
804.0,804.0,802.61,802.67,7759,2024-04-08 10:33:00-04:00
803.31,803.31,803.31,803.31,100,2024-04-08 10:34:00-04:00
802.715,803.285,802.59,803.09,5168,2024-04-08 10:35:00-04:00
803.4,803.4,802.15,802.15,1273,2024-04-08 10:36:00-04:00
802.15,802.77,802.01,802.02,1678,2024-04-08 10:37:00-04:00
803.17,803.2,803.17,803.2,1021,2024-04-08 10:38:00-04:00
804.255,804.255,804.255,804.255,120,2024-04-08 10:40:00-04:00
803.77,803.77,803.245,803.275,1700,2024-04-08 10:41:00-04:00
803.145,803.145,802.855,802.855,200,2024-04-08 10:42:00-04:00
803.18,803.18,803.08,803.08,779,2024-04-08 10:43:00-04:00
803.12,803.125,803.12,803.125,200,2024-04-08 10:44:00-04:00
803.175,803.42,803.175,803.225,600,2024-04-08 10:45:00-04:00
803.36,803.36,802.97,802.97,800,2024-04-08 10:46:00-04:00
803.27,803.27,802.69,802.69,2325,2024-04-08 10:47:00-04:00
802.88,803.08,802.88,803.08,300,2024-04-08 10:49:00-04:00
803.04,803.04,802.99,802.99,526,2024-04-08 10:50:00-04:00
803.055,803.055,802.26,802.625,1000,2024-04-08 10:51:00-04:00
802.62,802.66,802.26,802.585,1069,2024-04-08 10:52:00-04:00
802.605,802.605,802.51,802.51,223,2024-04-08 10:53:00-04:00
802.83,802.83,802.8,802.8,1000,2024-04-08 10:54:00-04:00
802.3815,802.87,802.3815,802.87,200,2024-04-08 10:55:00-04:00
802.73,802.73,802.705,802.705,321,2024-04-08 10:56:00-04:00
802.71,802.71,802.38,802.38,1400,2024-04-08 10:57:00-04:00
802.87,803.5,802.87,803.5,200,2024-04-08 10:59:00-04:00
803.96,804.5,803.95,804.5,419,2024-04-08 11:00:00-04:00
804.51,804.51,804.145,804.145,200,2024-04-08 11:01:00-04:00
803.935,803.935,802.81,802.81,769,2024-04-08 11:02:00-04:00
803.74,803.74,803.74,803.74,100,2024-04-08 11:03:00-04:00
803.4652,804.33,803.4652,804.2,1000,2024-04-08 11:04:00-04:00
804.1893,804.1893,804.1893,804.1893,100,2024-04-08 11:05:00-04:00
804.2,804.32,804.2,804.2,1189,2024-04-08 11:06:00-04:00
804.2,804.2,804.2,804.2,100,2024-04-08 11:07:00-04:00
804.2,804.26,804.2,804.2,300,2024-04-08 11:08:00-04:00
805.5,805.5,805.5,805.5,100,2024-04-08 11:10:00-04:00
805.79,805.79,805.28,805.28,200,2024-04-08 11:11:00-04:00
804.99,805.43,804.5,805.18,2200,2024-04-08 11:12:00-04:00
804.97,805.04,804.97,804.97,500,2024-04-08 11:15:00-04:00
804.595,804.62,803.36,803.36,3500,2024-04-08 11:17:00-04:00
803.36,803.44,803.04,803.44,401,2024-04-08 11:18:00-04:00
803.355,803.355,800.96,801.01,13092,2024-04-08 11:20:00-04:00
804.03,804.03,803.5,803.5,200,2024-04-08 11:21:00-04:00
803.515,803.515,803.515,803.515,100,2024-04-08 11:22:00-04:00
803.425,803.425,803.425,803.425,180,2024-04-08 11:23:00-04:00
803.22,803.22,802.64,802.64,641,2024-04-08 11:24:00-04:00
801.52,801.52,801.52,801.52,101,2024-04-08 11:25:00-04:00
801.51,801.51,801.51,801.51,100,2024-04-08 11:27:00-04:00
802.07,802.07,802.07,802.07,100,2024-04-08 11:28:00-04:00
801.945,802.255,801.945,802.255,531,2024-04-08 11:29:00-04:00
802.5,802.5,802.5,802.5,200,2024-04-08 11:30:00-04:00
802.79,802.79,802.75,802.75,798,2024-04-08 11:32:00-04:00
803.295,803.295,802.795,802.795,200,2024-04-08 11:33:00-04:00
803.31,803.95,803.31,803.95,518,2024-04-08 11:34:00-04:00
803.55,803.645,803.33,803.33,1175,2024-04-08 11:35:00-04:00
803.735,803.735,802.92,802.925,500,2024-04-08 11:36:00-04:00
803.5,803.5,803.5,803.5,300,2024-04-08 11:37:00-04:00
803.5,803.5,803.24,803.24,300,2024-04-08 11:38:00-04:00
802.82,803.04,802.82,803.04,200,2024-04-08 11:39:00-04:00
803.0,803.38,803.0,803.38,400,2024-04-08 11:40:00-04:00
803.0,803.0,802.63,802.63,500,2024-04-08 11:41:00-04:00
802.83,802.83,802.83,802.83,100,2024-04-08 11:42:00-04:00
803.205,803.21,803.205,803.21,200,2024-04-08 11:44:00-04:00
802.87,802.87,802.56,802.56,507,2024-04-08 11:45:00-04:00
802.97,802.97,802.495,802.745,400,2024-04-08 11:46:00-04:00
802.595,802.66,802.595,802.66,263,2024-04-08 11:47:00-04:00
802.95,802.95,802.95,802.95,200,2024-04-08 11:48:00-04:00
803.4,803.4,803.4,803.4,200,2024-04-08 11:51:00-04:00
802.97,802.97,802.6,802.7,800,2024-04-08 11:54:00-04:00
802.41,802.41,802.41,802.41,100,2024-04-08 11:55:00-04:00
802.28,802.67,802.28,802.67,371,2024-04-08 11:56:00-04:00
802.73,802.97,802.73,802.895,600,2024-04-08 11:57:00-04:00
802.9,802.9,802.9,802.9,100,2024-04-08 11:58:00-04:00
802.92,802.92,802.26,802.48,412,2024-04-08 12:00:00-04:00
802.5,802.5,802.5,802.5,200,2024-04-08 12:01:00-04:00
803.02,803.02,803.02,803.02,100,2024-04-08 12:03:00-04:00
803.18,803.18,803.18,803.18,125,2024-04-08 12:04:00-04:00
803.09,803.41,803.09,803.4,910,2024-04-08 12:06:00-04:00
803.555,803.555,803.555,803.555,100,2024-04-08 12:08:00-04:00
804.02,804.02,803.595,803.95,939,2024-04-08 12:10:00-04:00
803.33,803.345,803.13,803.345,500,2024-04-08 12:11:00-04:00
803.08,803.11,802.87,802.87,416,2024-04-08 12:13:00-04:00
802.82,803.0,802.8,802.99,1438,2024-04-08 12:16:00-04:00
803.01,803.01,803.01,803.01,100,2024-04-08 12:18:00-04:00
803.385,803.385,802.78,802.9789,749,2024-04-08 12:20:00-04:00
803.22,803.22,803.22,803.22,100,2024-04-08 12:21:00-04:00
803.2,803.2,803.2,803.2,408,2024-04-08 12:23:00-04:00
803.06,803.2,803.06,803.2,244,2024-04-08 12:24:00-04:00
803.48,803.73,803.445,803.73,700,2024-04-08 12:25:00-04:00
804.445,804.445,804.445,804.445,100,2024-04-08 12:26:00-04:00
804.39,804.39,803.97,803.97,802,2024-04-08 12:28:00-04:00
804.29,804.29,804.1467,804.1467,400,2024-04-08 12:29:00-04:00
804.51,804.51,804.5,804.5,312,2024-04-08 12:30:00-04:00
804.38,804.5,804.365,804.5,400,2024-04-08 12:32:00-04:00
804.12,804.63,804.12,804.435,899,2024-04-08 12:33:00-04:00
804.7099,804.7099,804.7099,804.7099,120,2024-04-08 12:34:00-04:00
804.75,805.0,804.455,804.455,1815,2024-04-08 12:35:00-04:00
804.03,804.25,803.75,803.75,3340,2024-04-08 12:36:00-04:00
804.56,804.56,804.56,804.56,200,2024-04-08 12:37:00-04:00
804.465,804.47,804.465,804.47,200,2024-04-08 12:38:00-04:00
804.445,804.445,804.445,804.445,100,2024-04-08 12:40:00-04:00
804.54,805.22,804.54,805.22,1545,2024-04-08 12:41:00-04:00
805.5,805.565,805.5,805.565,200,2024-04-08 12:42:00-04:00
806.07,806.07,806.07,806.07,424,2024-04-08 12:43:00-04:00
805.98,805.98,805.66,805.8,500,2024-04-08 12:44:00-04:00
805.36,805.69,805.29,805.69,720,2024-04-08 12:45:00-04:00
805.605,805.605,805.17,805.17,3040,2024-04-08 12:47:00-04:00
805.42,805.42,805.42,805.42,200,2024-04-08 12:48:00-04:00
805.41,805.82,805.41,805.82,200,2024-04-08 12:49:00-04:00
805.325,805.325,805.29,805.29,239,2024-04-08 12:50:00-04:00
806.1129,806.1129,806.1129,806.1129,100,2024-04-08 12:54:00-04:00
806.43,806.43,806.43,806.43,200,2024-04-08 12:56:00-04:00
806.81,807.5399,806.795,807.5399,913,2024-04-08 12:57:00-04:00
806.95,806.95,806.95,806.95,100,2024-04-08 12:58:00-04:00
806.94,807.27,806.94,807.27,300,2024-04-08 12:59:00-04:00
807.0,807.0,807.0,807.0,100,2024-04-08 13:00:00-04:00
806.915,807.34,806.1,806.1,1156,2024-04-08 13:02:00-04:00
806.14,806.14,806.14,806.14,200,2024-04-08 13:03:00-04:00
806.11,806.49,806.11,806.34,500,2024-04-08 13:04:00-04:00
806.2,806.2,805.97,806.19,300,2024-04-08 13:05:00-04:00
806.46,806.5199,805.87,805.87,1176,2024-04-08 13:06:00-04:00
806.015,806.115,806.015,806.115,300,2024-04-08 13:08:00-04:00
806.14,806.14,805.94,805.94,200,2024-04-08 13:10:00-04:00
805.89,805.89,805.89,805.89,200,2024-04-08 13:11:00-04:00
805.73,806.01,805.69,806.01,773,2024-04-08 13:12:00-04:00
805.15,805.15,804.69,804.69,750,2024-04-08 13:16:00-04:00
804.74,805.0,804.74,804.86,880,2024-04-08 13:18:00-04:00
804.95,804.97,804.94,804.94,424,2024-04-08 13:19:00-04:00
804.95,804.95,804.53,804.53,327,2024-04-08 13:20:00-04:00
804.25,804.25,804.25,804.25,100,2024-04-08 13:21:00-04:00
804.705,804.71,804.29,804.43,1100,2024-04-08 13:22:00-04:00
804.25,804.5758,804.25,804.46,550,2024-04-08 13:23:00-04:00
804.67,804.67,804.67,804.67,100,2024-04-08 13:24:00-04:00
804.46,804.46,804.3,804.3,300,2024-04-08 13:25:00-04:00
804.165,804.165,803.65,803.65,521,2024-04-08 13:26:00-04:00
803.91,804.09,803.86,804.09,508,2024-04-08 13:27:00-04:00
804.11,804.28,803.85,803.85,500,2024-04-08 13:28:00-04:00
804.285,804.4781,803.95,804.4781,400,2024-04-08 13:30:00-04:00
804.355,804.36,804.355,804.36,200,2024-04-08 13:31:00-04:00
804.49,804.49,804.3,804.3,500,2024-04-08 13:32:00-04:00
804.57,804.9,804.53,804.9,594,2024-04-08 13:33:00-04:00
804.925,805.365,804.925,805.365,700,2024-04-08 13:34:00-04:00
805.12,805.29,804.23,804.23,601,2024-04-08 13:35:00-04:00
804.645,804.795,804.645,804.795,200,2024-04-08 13:36:00-04:00
804.785,805.11,804.785,805.11,200,2024-04-08 13:37:00-04:00
805.485,805.76,805.485,805.76,400,2024-04-08 13:38:00-04:00
805.535,805.535,805.23,805.23,200,2024-04-08 13:39:00-04:00
805.28,805.37,805.22,805.37,300,2024-04-08 13:40:00-04:00
805.55,805.55,805.23,805.23,600,2024-04-08 13:41:00-04:00
805.71,805.71,805.71,805.71,100,2024-04-08 13:43:00-04:00
805.385,805.43,805.26,805.26,1200,2024-04-08 13:44:00-04:00
805.55,806.1799,805.55,806.1799,400,2024-04-08 13:45:00-04:00
806.405,806.405,806.405,806.405,100,2024-04-08 13:47:00-04:00
806.29,806.29,805.55,805.81,1064,2024-04-08 13:48:00-04:00
805.86,806.43,805.86,806.43,300,2024-04-08 13:49:00-04:00
806.395,806.55,806.395,806.55,524,2024-04-08 13:51:00-04:00
806.64,806.64,806.64,806.64,100,2024-04-08 13:52:00-04:00
806.63,807.16,806.63,807.16,200,2024-04-08 13:53:00-04:00
806.86,806.885,806.69,806.885,617,2024-04-08 13:57:00-04:00
806.775,806.775,806.775,806.775,100,2024-04-08 13:58:00-04:00
806.77,806.98,806.77,806.98,200,2024-04-08 13:59:00-04:00
806.68,806.68,806.43,806.4425,301,2024-04-08 14:01:00-04:00
806.17,806.17,806.045,806.045,539,2024-04-08 14:02:00-04:00
805.835,805.835,805.42,805.42,306,2024-04-08 14:04:00-04:00
805.565,805.565,805.565,805.565,200,2024-04-08 14:05:00-04:00
805.77,805.77,805.625,805.625,200,2024-04-08 14:06:00-04:00
805.76,805.83,805.69,805.83,309,2024-04-08 14:07:00-04:00
806.19,806.2,806.08,806.2,600,2024-04-08 14:09:00-04:00
806.11,806.11,806.045,806.045,300,2024-04-08 14:11:00-04:00
805.87,805.87,805.87,805.87,100,2024-04-08 14:12:00-04:00
805.9,805.9,805.8875,805.8875,200,2024-04-08 14:15:00-04:00
806.11,806.11,805.9,805.9,301,2024-04-08 14:17:00-04:00
805.56,805.56,805.56,805.56,200,2024-04-08 14:18:00-04:00
805.68,805.68,805.68,805.68,100,2024-04-08 14:19:00-04:00
805.97,805.985,805.815,805.985,400,2024-04-08 14:21:00-04:00
806.005,806.005,805.81,805.82,743,2024-04-08 14:22:00-04:00
805.9176,805.9176,805.73,805.73,325,2024-04-08 14:23:00-04:00
805.55,805.55,805.335,805.335,400,2024-04-08 14:24:00-04:00
805.31,805.345,805.31,805.345,400,2024-04-08 14:25:00-04:00
805.55,805.67,805.54,805.67,400,2024-04-08 14:26:00-04:00
805.96,805.97,805.95,805.97,700,2024-04-08 14:27:00-04:00
805.93,805.93,805.93,805.93,200,2024-04-08 14:28:00-04:00
805.68,805.71,805.54,805.62,953,2024-04-08 14:29:00-04:00
