open,high,low,close,volume,datetime
61.47,61.47,61.47,61.47,151,2024-04-08 07:00:00-04:00
61.6,61.6,61.6,61.6,100,2024-04-08 07:51:00-04:00
61.6,61.6,61.6,61.6,274,2024-04-08 07:59:00-04:00
61.65,61.65,61.65,61.65,274,2024-04-08 08:51:00-04:00
61.74,61.74,61.74,61.74,120,2024-04-08 08:59:00-04:00
61.69,61.69,61.69,61.69,483,2024-04-08 09:06:00-04:00
61.72,61.72,61.72,61.72,500,2024-04-08 09:15:00-04:00
61.69,61.72,61.69,61.72,791,2024-04-08 09:18:00-04:00
61.65,61.65,61.65,61.65,500,2024-04-08 09:21:00-04:00
61.65,61.65,61.65,61.65,798,2024-04-08 09:22:00-04:00
61.65,61.65,61.65,61.65,2600,2024-04-08 09:23:00-04:00
61.61,61.61,61.6,61.6,8994,2024-04-08 09:25:00-04:00
61.72,61.72,61.72,61.72,264,2024-04-08 09:28:00-04:00
61.5,61.6,61.5,61.59,878,2024-04-08 09:29:00-04:00
61.67,61.9,61.66,61.83,207166,2024-04-08 09:30:00-04:00
61.8001,61.93,61.735,61.89,24398,2024-04-08 09:31:00-04:00
61.92,62.09,61.92,62.08,49908,2024-04-08 09:32:00-04:00
62.09,62.18,62.06,62.15,41467,2024-04-08 09:33:00-04:00
62.13,62.32,62.13,62.26,50949,2024-04-08 09:34:00-04:00
62.25,62.2999,62.2,62.25,36389,2024-04-08 09:35:00-04:00
62.24,62.25,62.09,62.1,23623,2024-04-08 09:36:00-04:00
62.1,62.17,62.06,62.1,17642,2024-04-08 09:37:00-04:00
62.11,62.27,62.08,62.26,33348,2024-04-08 09:38:00-04:00
62.26,62.29,62.16,62.2,24329,2024-04-08 09:39:00-04:00
62.2,62.2,61.9901,62.0168,29958,2024-04-08 09:40:00-04:00
62.015,62.14,62.015,62.115,35771,2024-04-08 09:41:00-04:00
62.08,62.14,62.08,62.08,15897,2024-04-08 09:42:00-04:00
62.09,62.12,62.05,62.07,12285,2024-04-08 09:43:00-04:00
62.08,62.09,62.03,62.08,14287,2024-04-08 09:44:00-04:00
62.08,62.13,62.055,62.11,14601,2024-04-08 09:45:00-04:00
62.1,62.15,62.09,62.1,15323,2024-04-08 09:46:00-04:00
62.1,62.14,62.08,62.08,23228,2024-04-08 09:47:00-04:00
62.07,62.095,62.05,62.08,20843,2024-04-08 09:48:00-04:00
62.09,62.095,62.0211,62.05,11161,2024-04-08 09:49:00-04:00
62.045,62.07,61.99,62.04,14903,2024-04-08 09:50:00-04:00
62.04,62.12,62.035,62.08,22342,2024-04-08 09:51:00-04:00
62.08,62.09,62.01,62.01,18747,2024-04-08 09:52:00-04:00
62.0,62.05,61.98,62.05,58760,2024-04-08 09:53:00-04:00
62.06,62.06,62.0,62.005,35826,2024-04-08 09:54:00-04:00
62.01,62.05,61.98,62.05,18817,2024-04-08 09:55:00-04:00
62.05,62.07,62.005,62.005,12417,2024-04-08 09:56:00-04:00
62.005,62.01,61.92,61.945,16634,2024-04-08 09:57:00-04:00
61.945,61.98,61.9001,61.975,16350,2024-04-08 09:58:00-04:00
61.975,61.99,61.94,61.95,7219,2024-04-08 09:59:00-04:00
61.95,61.95,61.855,61.875,40845,2024-04-08 10:00:00-04:00
61.875,61.93,61.875,61.92,18272,2024-04-08 10:01:00-04:00
61.92,61.925,61.85,61.855,12921,2024-04-08 10:02:00-04:00
61.85,61.85,61.805,61.82,13028,2024-04-08 10:03:00-04:00
61.82,61.825,61.76,61.77,12835,2024-04-08 10:04:00-04:00
61.765,61.82,61.76,61.805,10892,2024-04-08 10:05:00-04:00
61.805,61.87,61.79,61.795,9722,2024-04-08 10:06:00-04:00
61.795,61.87,61.795,61.84,35700,2024-04-08 10:07:00-04:00
61.83,61.89,61.83,61.89,10666,2024-04-08 10:08:00-04:00
