open,high,low,close,volume,datetime
162.65,162.65,162.65,162.65,100,2024-04-08 08:20:00-04:00
163.0,163.925,163.0,163.92,14161,2024-04-08 09:30:00-04:00
163.92,164.155,163.92,164.155,300,2024-04-08 09:31:00-04:00
164.48,164.48,164.235,164.235,358,2024-04-08 09:32:00-04:00
164.605,164.605,164.33,164.33,300,2024-04-08 09:33:00-04:00
163.81,163.81,163.81,163.81,920,2024-04-08 09:34:00-04:00
164.535,164.535,164.535,164.535,100,2024-04-08 09:35:00-04:00
163.8,164.12,163.8,163.855,495,2024-04-08 09:36:00-04:00
163.74,163.74,163.73,163.73,200,2024-04-08 09:37:00-04:00
164.06,164.28,164.06,164.28,1135,2024-04-08 09:38:00-04:00
164.36,164.36,164.36,164.36,100,2024-04-08 09:39:00-04:00
164.415,164.43,164.415,164.43,281,2024-04-08 09:41:00-04:00
164.18,164.59,164.18,164.59,660,2024-04-08 09:42:00-04:00
164.64,164.76,164.64,164.76,500,2024-04-08 09:44:00-04:00
165.04,165.04,165.04,165.04,205,2024-04-08 09:45:00-04:00
165.21,165.21,165.2,165.2,544,2024-04-08 09:47:00-04:00
165.11,165.13,165.07,165.11,600,2024-04-08 09:48:00-04:00
165.175,165.175,164.74,164.74,266,2024-04-08 09:49:00-04:00
164.87,164.87,164.87,164.87,100,2024-04-08 09:52:00-04:00
164.81,164.815,164.63,164.63,500,2024-04-08 09:53:00-04:00
164.505,164.505,164.48,164.48,200,2024-04-08 09:54:00-04:00
164.47,164.49,164.47,164.49,200,2024-04-08 09:58:00-04:00
164.64,164.64,164.64,164.64,100,2024-04-08 09:59:00-04:00
164.35,164.35,164.261,164.261,1000,2024-04-08 10:00:00-04:00
164.125,164.125,164.125,164.125,100,2024-04-08 10:01:00-04:00
163.9101,164.095,163.9101,163.92,489,2024-04-08 10:03:00-04:00
163.95,163.95,163.95,163.95,127,2024-04-08 10:04:00-04:00
164.05,164.05,163.88,163.88,300,2024-04-08 10:05:00-04:00
164.07,164.1,164.01,164.05,1891,2024-04-08 10:06:00-04:00
164.3,164.3,164.3,164.3,100,2024-04-08 10:08:00-04:00
164.25,164.25,164.2225,164.2225,1296,2024-04-08 10:09:00-04:00
164.135,164.2,164.05,164.06,1585,2024-04-08 10:10:00-04:00
164.115,164.21,164.115,164.125,519,2024-04-08 10:11:00-04:00
164.2175,164.2175,164.2175,164.2175,100,2024-04-08 10:12:00-04:00
164.12,164.12,164.12,164.12,891,2024-04-08 10:13:00-04:00
164.32,164.32,164.23,164.23,2197,2024-04-08 10:14:00-04:00
164.235,164.2375,164.235,164.2375,200,2024-04-08 10:15:00-04:00
164.205,164.205,164.205,164.205,300,2024-04-08 10:17:00-04:00
164.26,164.26,164.21,164.21,200,2024-04-08 10:18:00-04:00
164.1,164.1,164.055,164.06,1065,2024-04-08 10:19:00-04:00
164.06,164.06,163.88,163.88,363,2024-04-08 10:20:00-04:00
164.05,164.18,163.99,164.18,2036,2024-04-08 10:22:00-04:00
164.18,164.18,164.0675,164.0675,300,2024-04-08 10:23:00-04:00
164.17,164.57,164.17,164.44,902,2024-04-08 10:24:00-04:00
164.44,164.44,164.29,164.345,1444,2024-04-08 10:25:00-04:00
164.23,164.25,164.23,164.25,200,2024-04-08 10:26:00-04:00
164.28,164.31,164.17,164.17,591,2024-04-08 10:27:00-04:00
164.23,164.23,164.17,164.1713,438,2024-04-08 10:28:00-04:00
164.19,164.19,164.17,164.17,900,2024-04-08 10:29:00-04:00
164.21,164.21,164.1215,164.17,480,2024-04-08 10:30:00-04:00
164.05,164.095,164.05,164.085,300,2024-04-08 10:32:00-04:00
164.0478,164.125,164.0478,164.125,200,2024-04-08 10:33:00-04:00
164.03,164.09,164.03,164.09,900,2024-04-08 10:34:00-04:00
