open,high,low,close,volume,datetime
87.86,87.86,87.86,87.86,200,2024-04-08 09:22:00-04:00
87.67,87.76,87.54,87.69,38235,2024-04-08 09:30:00-04:00
87.73,87.77,87.71,87.71,3047,2024-04-08 09:31:00-04:00
87.74,87.74,87.6,87.64,911,2024-04-08 09:32:00-04:00
87.66,87.67,87.62,87.62,1777,2024-04-08 09:33:00-04:00
87.62,87.6399,87.6,87.62,1787,2024-04-08 09:34:00-04:00
87.63,87.72,87.63,87.71,2100,2024-04-08 09:35:00-04:00
87.69,87.69,87.63,87.64,1800,2024-04-08 09:36:00-04:00
87.64,87.675,87.59,87.67,5328,2024-04-08 09:37:00-04:00
87.665,87.665,87.63,87.64,6284,2024-04-08 09:38:00-04:00
87.655,87.73,87.65,87.725,16837,2024-04-08 09:39:00-04:00
87.725,87.76,87.71,87.76,13620,2024-04-08 09:40:00-04:00
87.76,87.76,87.67,87.67,7309,2024-04-08 09:41:00-04:00
87.675,87.77,87.67,87.74,15252,2024-04-08 09:42:00-04:00
87.77,87.885,87.76,87.885,2200,2024-04-08 09:43:00-04:00
87.89,87.93,87.87,87.9,4431,2024-04-08 09:44:00-04:00
87.88,87.9599,87.88,87.94,2310,2024-04-08 09:45:00-04:00
87.96,87.98,87.95,87.975,4235,2024-04-08 09:46:00-04:00
87.96,87.97,87.89,87.97,3125,2024-04-08 09:47:00-04:00
87.97,87.97,87.96,87.97,570,2024-04-08 09:48:00-04:00
87.97,88.0,87.95,87.95,2935,2024-04-08 09:49:00-04:00
87.955,87.96,87.88,87.91,10222,2024-04-08 09:50:00-04:00
87.91,87.91,87.865,87.885,8074,2024-04-08 09:51:00-04:00
87.885,87.885,87.855,87.87,5166,2024-04-08 09:52:00-04:00
87.88,87.88,87.815,87.815,2640,2024-04-08 09:53:00-04:00
87.81,87.8332,87.805,87.8332,2604,2024-04-08 09:54:00-04:00
87.88,87.88,87.84,87.845,1941,2024-04-08 09:55:00-04:00
87.85,87.96,87.85,87.96,9936,2024-04-08 09:56:00-04:00
87.95,87.98,87.95,87.96,1383,2024-04-08 09:57:00-04:00
87.96,87.99,87.91,87.91,3344,2024-04-08 09:58:00-04:00
87.9,87.9,87.8402,87.8402,2467,2024-04-08 09:59:00-04:00
87.83,87.94,87.83,87.93,8956,2024-04-08 10:00:00-04:00
87.91,87.91,87.87,87.87,1226,2024-04-08 10:01:00-04:00
87.8701,87.8701,87.83,87.84,1617,2024-04-08 10:02:00-04:00
87.845,87.85,87.81,87.81,2842,2024-04-08 10:03:00-04:00
87.81,87.81,87.77,87.77,4870,2024-04-08 10:04:00-04:00
87.78,87.835,87.78,87.83,2286,2024-04-08 10:05:00-04:00
87.83,87.89,87.83,87.89,1100,2024-04-08 10:06:00-04:00
87.9,87.91,87.8831,87.89,3690,2024-04-08 10:07:00-04:00
87.86,87.86,87.825,87.825,800,2024-04-08 10:08:00-04:00
87.82,87.85,87.82,87.84,1555,2024-04-08 10:09:00-04:00
87.84,87.84,87.8,87.82,3492,2024-04-08 10:10:00-04:00
87.83,87.86,87.81,87.85,4565,2024-04-08 10:11:00-04:00
87.85,87.905,87.85,87.885,2922,2024-04-08 10:12:00-04:00
87.885,87.885,87.81,87.81,4617,2024-04-08 10:13:00-04:00
87.815,87.815,87.79,87.815,3847,2024-04-08 10:14:00-04:00
87.82,87.85,87.81,87.83,5542,2024-04-08 10:15:00-04:00
87.81,87.8245,87.8,87.815,4564,2024-04-08 10:16:00-04:00
87.795,87.805,87.77,87.775,6233,2024-04-08 10:17:00-04:00
87.775,87.83,87.775,87.8,4362,2024-04-08 10:18:00-04:00
87.79,87.79,87.73,87.73,2055,2024-04-08 10:19:00-04:00
87.735,87.745,87.72,87.73,2350,2024-04-08 10:20:00-04:00
87.73,87.745,87.705,87.706,4336,2024-04-08 10:21:00-04:00
87.7,87.725,87.67,87.725,3989,2024-04-08 10:22:00-04:00
87.72,87.72,87.71,87.715,1700,2024-04-08 10:23:00-04:00
87.72,87.75,87.72,87.75,895,2024-04-08 10:24:00-04:00
87.76,87.79,87.76,87.77,4301,2024-04-08 10:25:00-04:00
87.77,87.82,87.77,87.8,2613,2024-04-08 10:26:00-04:00
87.8,87.82,87.8,87.81,902,2024-04-08 10:27:00-04:00
87.79,87.795,87.78,87.785,4220,2024-04-08 10:28:00-04:00
87.78,87.78,87.75,87.75,1100,2024-04-08 10:29:00-04:00
87.73,87.77,87.725,87.735,5491,2024-04-08 10:30:00-04:00
87.745,87.765,87.745,87.745,1382,2024-04-08 10:31:00-04:00
87.74,87.76,87.735,87.75,2622,2024-04-08 10:32:00-04:00
87.74,87.74,87.715,87.72,3005,2024-04-08 10:33:00-04:00
87.71,87.71,87.705,87.71,1478,2024-04-08 10:34:00-04:00
87.71,87.74,87.69,87.69,2619,2024-04-08 10:35:00-04:00
87.6861,87.69,87.65,87.65,2084,2024-04-08 10:36:00-04:00
87.645,87.66,87.64,87.645,2618,2024-04-08 10:37:00-04:00
87.65,87.665,87.64,87.665,1925,2024-04-08 10:38:00-04:00
87.66,87.66,87.65,87.65,1495,2024-04-08 10:39:00-04:00
87.66,87.675,87.66,87.675,2443,2024-04-08 10:40:00-04:00
87.68,87.685,87.645,87.645,3316,2024-04-08 10:41:00-04:00
87.65,87.67,87.65,87.67,1556,2024-04-08 10:42:00-04:00
87.66,87.66,87.635,87.645,2899,2024-04-08 10:43:00-04:00
87.64,87.675,87.63,87.675,2110,2024-04-08 10:44:00-04:00
87.68,87.68,87.67,87.67,1325,2024-04-08 10:45:00-04:00
87.675,87.69,87.675,87.675,2150,2024-04-08 10:46:00-04:00
87.67,87.67,87.63,87.64,3567,2024-04-08 10:47:00-04:00
