open,high,low,close,volume,datetime
28.05,28.05,28.05,28.05,200,2024-04-08 07:01:00-04:00
28.11,28.11,28.0,28.0,24964,2024-04-08 09:30:00-04:00
27.995,28.065,27.995,28.05,7235,2024-04-08 09:31:00-04:00
28.06,28.09,28.06,28.09,2801,2024-04-08 09:32:00-04:00
28.08,28.14,28.08,28.14,7940,2024-04-08 09:33:00-04:00
28.14,28.185,28.14,28.175,6374,2024-04-08 09:34:00-04:00
28.165,28.195,28.16,28.185,5846,2024-04-08 09:35:00-04:00
28.185,28.185,28.14,28.16,7560,2024-04-08 09:36:00-04:00
28.17,28.17,28.155,28.17,4460,2024-04-08 09:37:00-04:00
28.18,28.26,28.18,28.255,10441,2024-04-08 09:38:00-04:00
28.265,28.3,28.255,28.29,10411,2024-04-08 09:39:00-04:00
28.28,28.3,28.27,28.295,4610,2024-04-08 09:40:00-04:00
28.305,28.31,28.295,28.3,2074,2024-04-08 09:41:00-04:00
28.29,28.29,28.22,28.22,3298,2024-04-08 09:42:00-04:00
28.22,28.225,28.19,28.19,5043,2024-04-08 09:43:00-04:00
28.195,28.195,28.17,28.175,6471,2024-04-08 09:44:00-04:00
28.19,28.195,28.17,28.185,2679,2024-04-08 09:45:00-04:00
28.18,28.2,28.18,28.18,3642,2024-04-08 09:46:00-04:00
28.18,28.18,28.15,28.15,739,2024-04-08 09:47:00-04:00
28.15,28.165,28.14,28.16,4329,2024-04-08 09:48:00-04:00
28.15,28.155,28.14,28.14,710,2024-04-08 09:49:00-04:00
28.135,28.15,28.121,28.14,13309,2024-04-08 09:50:00-04:00
28.14,28.145,28.125,28.125,3397,2024-04-08 09:51:00-04:00
28.13,28.13,28.075,28.075,2802,2024-04-08 09:52:00-04:00
28.075,28.075,28.065,28.065,3696,2024-04-08 09:53:00-04:00
28.06,28.06,28.04,28.045,7020,2024-04-08 09:54:00-04:00
28.045,28.05,28.03,28.05,7603,2024-04-08 09:55:00-04:00
28.055,28.055,28.03,28.045,3982,2024-04-08 09:56:00-04:00
28.05,28.05,28.035,28.04,6586,2024-04-08 09:57:00-04:00
28.04,28.045,28.015,28.015,6660,2024-04-08 09:58:00-04:00
