open,high,low,close,volume,datetime
253.94,253.94,253.94,253.94,1770,2024-04-08 09:30:00-04:00
254.026,254.026,254.026,254.026,100,2024-04-08 09:33:00-04:00
253.98,253.98,253.28,253.28,200,2024-04-08 09:36:00-04:00
253.12,253.12,253.12,253.12,100,2024-04-08 09:38:00-04:00
254.52,254.52,254.52,254.52,100,2024-04-08 09:46:00-04:00
255.0,255.0,254.15,254.82,2958,2024-04-08 09:47:00-04:00
254.15,254.15,253.01,253.38,3847,2024-04-08 09:48:00-04:00
253.57,253.83,253.12,253.4,1000,2024-04-08 09:49:00-04:00
253.535,253.535,253.535,253.535,2217,2024-04-08 09:50:00-04:00
254.555,254.6,254.235,254.6,800,2024-04-08 09:54:00-04:00
254.145,254.77,254.145,254.34,500,2024-04-08 09:55:00-04:00
254.35,254.35,254.35,254.35,100,2024-04-08 09:56:00-04:00
254.345,254.35,254.345,254.35,200,2024-04-08 09:58:00-04:00
254.76,254.77,254.76,254.77,500,2024-04-08 09:59:00-04:00
254.61,254.61,253.92,254.2,1160,2024-04-08 10:00:00-04:00
254.32,254.56,254.32,254.56,1993,2024-04-08 10:02:00-04:00
254.49,254.49,254.49,254.49,100,2024-04-08 10:03:00-04:00
254.6775,254.6775,254.6775,254.6775,100,2024-04-08 10:04:00-04:00
254.59,254.86,254.59,254.86,400,2024-04-08 10:08:00-04:00
255.25,255.25,255.25,255.25,183,2024-04-08 10:11:00-04:00
254.77,254.77,254.37,254.37,1614,2024-04-08 10:13:00-04:00
254.8,254.8,254.8,254.8,400,2024-04-08 10:14:00-04:00
254.99,254.99,254.985,254.985,300,2024-04-08 10:15:00-04:00
254.68,254.68,254.68,254.68,593,2024-04-08 10:16:00-04:00
254.4,254.4,254.4,254.4,100,2024-04-08 10:17:00-04:00
254.535,254.535,254.255,254.255,220,2024-04-08 10:18:00-04:00
254.05,254.42,254.05,254.42,635,2024-04-08 10:19:00-04:00
254.47,254.47,254.47,254.47,100,2024-04-08 10:21:00-04:00
254.1,254.515,254.1,254.515,300,2024-04-08 10:22:00-04:00
254.52,254.52,254.52,254.52,100,2024-04-08 10:23:00-04:00
254.195,254.575,254.195,254.575,200,2024-04-08 10:24:00-04:00
254.575,254.925,254.575,254.925,400,2024-04-08 10:25:00-04:00
255.1,255.1,255.1,255.1,100,2024-04-08 10:28:00-04:00
255.045,255.045,255.045,255.045,100,2024-04-08 10:29:00-04:00
255.04,255.045,255.04,255.04,624,2024-04-08 10:30:00-04:00
