open,high,low,close,volume,datetime
673.69,673.69,673.69,673.69,4682,2024-04-08 09:30:00-04:00
673.1776,673.1776,673.1776,673.1776,108,2024-04-08 09:34:00-04:00
671.2801,671.2801,671.28,671.28,456,2024-04-08 09:35:00-04:00
671.28,671.445,671.28,671.445,200,2024-04-08 09:37:00-04:00
671.445,672.64,671.445,671.805,500,2024-04-08 09:38:00-04:00
671.81,672.83,671.81,671.875,1100,2024-04-08 09:39:00-04:00
671.51,671.51,671.51,671.51,100,2024-04-08 09:41:00-04:00
670.97,670.97,670.97,670.97,100,2024-04-08 09:42:00-04:00
670.2,670.2,670.0,670.0,438,2024-04-08 09:48:00-04:00
671.0261,671.0261,671.0261,671.0261,100,2024-04-08 09:52:00-04:00
671.3,671.3,671.3,671.3,100,2024-04-08 09:56:00-04:00
672.21,672.21,672.21,672.21,180,2024-04-08 09:59:00-04:00
672.21,672.21,672.21,672.21,200,2024-04-08 10:00:00-04:00
671.3,672.17,671.3,672.17,859,2024-04-08 10:01:00-04:00
672.17,672.17,671.3,671.3,423,2024-04-08 10:02:00-04:00
671.145,671.145,671.145,671.145,190,2024-04-08 10:03:00-04:00
671.54,671.54,671.54,671.54,1228,2024-04-08 10:04:00-04:00
671.96,672.89,671.96,672.89,548,2024-04-08 10:05:00-04:00
671.956,673.68,671.956,673.07,1779,2024-04-08 10:06:00-04:00
673.5,673.5,673.475,673.475,200,2024-04-08 10:07:00-04:00
674.49,674.49,674.455,674.455,500,2024-04-08 10:08:00-04:00
675.02,675.07,674.87,674.87,1200,2024-04-08 10:09:00-04:00
674.38,675.01,674.38,674.635,1326,2024-04-08 10:10:00-04:00
674.875,675.46,674.5275,674.7888,1947,2024-04-08 10:11:00-04:00
675.42,675.65,675.39,675.65,900,2024-04-08 10:12:00-04:00
675.44,675.44,674.77,675.105,800,2024-04-08 10:13:00-04:00
675.35,675.35,675.35,675.35,100,2024-04-08 10:14:00-04:00
675.65,675.65,675.65,675.65,100,2024-04-08 10:15:00-04:00
675.15,675.15,675.15,675.15,100,2024-04-08 10:17:00-04:00
675.345,675.345,675.345,675.345,114,2024-04-08 10:18:00-04:00
675.43,675.43,675.43,675.43,100,2024-04-08 10:20:00-04:00
675.0385,675.92,675.0385,675.92,1000,2024-04-08 10:21:00-04:00
675.7,675.7,675.7,675.7,100,2024-04-08 10:22:00-04:00
676.24,676.94,676.18,676.18,1000,2024-04-08 10:28:00-04:00
677.38,677.38,676.11,676.11,350,2024-04-08 10:31:00-04:00
676.0,676.0,675.34,675.34,500,2024-04-08 10:34:00-04:00
675.755,675.755,675.755,675.755,100,2024-04-08 10:35:00-04:00
675.5,675.5,675.19,675.19,1075,2024-04-08 10:38:00-04:00
675.195,675.77,675.195,675.4825,1700,2024-04-08 10:39:00-04:00
675.34,675.34,675.34,675.34,200,2024-04-08 10:41:00-04:00
676.085,676.085,676.085,676.085,100,2024-04-08 10:49:00-04:00
676.25,676.25,676.25,676.25,180,2024-04-08 10:52:00-04:00
675.64,675.64,675.64,675.64,100,2024-04-08 10:53:00-04:00
676.245,676.245,676.245,676.245,100,2024-04-08 10:56:00-04:00
675.9083,675.9083,675.9083,675.9083,646,2024-04-08 10:57:00-04:00
676.8081,676.8081,676.8081,676.8081,400,2024-04-08 10:59:00-04:00
676.32,676.32,676.32,676.32,100,2024-04-08 11:01:00-04:00
676.34,676.34,676.34,676.34,1200,2024-04-08 11:02:00-04:00
675.9101,675.9101,675.9101,675.9101,100,2024-04-08 11:04:00-04:00
676.34,676.34,676.34,676.34,100,2024-04-08 11:06:00-04:00
676.15,676.15,676.15,676.15,100,2024-04-08 11:07:00-04:00
676.445,676.445,676.445,676.445,200,2024-04-08 11:08:00-04:00
676.77,676.77,676.77,676.77,700,2024-04-08 11:10:00-04:00
677.105,677.105,677.105,677.105,200,2024-04-08 11:11:00-04:00
676.69,676.69,676.64,676.64,700,2024-04-08 11:12:00-04:00
676.2,676.2,676.2,676.2,100,2024-04-08 11:14:00-04:00
676.675,676.675,676.675,676.675,100,2024-04-08 11:15:00-04:00
677.15,677.15,677.15,677.15,100,2024-04-08 11:17:00-04:00
677.58,677.58,677.58,677.58,100,2024-04-08 11:18:00-04:00
677.475,677.475,677.475,677.475,100,2024-04-08 11:21:00-04:00
677.66,677.66,677.66,677.66,100,2024-04-08 11:26:00-04:00
677.66,677.66,677.66,677.66,125,2024-04-08 11:30:00-04:00
677.65,677.65,677.28,677.28,1233,2024-04-08 11:31:00-04:00
677.155,677.155,676.8,677.155,400,2024-04-08 11:32:00-04:00
677.32,677.32,677.32,677.32,400,2024-04-08 11:38:00-04:00
676.88,676.88,676.845,676.845,300,2024-04-08 11:39:00-04:00
676.9,676.9,676.9,676.9,200,2024-04-08 11:41:00-04:00
676.48,676.48,676.48,676.48,100,2024-04-08 11:42:00-04:00
676.92,676.92,676.92,676.92,200,2024-04-08 11:45:00-04:00
676.59,676.59,676.59,676.59,400,2024-04-08 11:46:00-04:00
676.6199,676.6199,676.6199,676.6199,100,2024-04-08 11:50:00-04:00
676.59,676.895,676.59,676.895,800,2024-04-08 11:52:00-04:00
676.895,676.895,676.895,676.895,200,2024-04-08 11:53:00-04:00
676.765,677.245,676.765,677.245,300,2024-04-08 11:55:00-04:00
676.73,676.73,676.73,676.73,400,2024-04-08 11:56:00-04:00
676.665,677.23,676.665,676.975,754,2024-04-08 11:57:00-04:00
677.16,677.16,676.7095,676.7095,450,2024-04-08 11:59:00-04:00
677.39,677.39,677.1,677.1,300,2024-04-08 12:04:00-04:00
677.49,677.49,677.49,677.49,207,2024-04-08 12:07:00-04:00
677.53,677.53,677.47,677.47,300,2024-04-08 12:09:00-04:00
677.8489,677.8489,677.8489,677.8489,122,2024-04-08 12:12:00-04:00
677.31,677.31,677.31,677.31,100,2024-04-08 12:13:00-04:00
677.45,677.45,677.45,677.45,100,2024-04-08 12:16:00-04:00
677.2,677.2,677.09,677.09,500,2024-04-08 12:20:00-04:00
677.14,677.14,677.14,677.14,100,2024-04-08 12:21:00-04:00
677.005,677.005,677.005,677.005,100,2024-04-08 12:23:00-04:00
676.73,676.97,676.73,676.97,200,2024-04-08 12:24:00-04:00
677.3,677.3,677.3,677.3,500,2024-04-08 12:25:00-04:00
677.42,677.485,677.42,677.485,325,2024-04-08 12:32:00-04:00
677.54,677.54,677.53,677.53,600,2024-04-08 12:37:00-04:00
677.66,677.66,677.57,677.57,400,2024-04-08 12:38:00-04:00
677.57,677.57,677.57,677.57,1759,2024-04-08 12:43:00-04:00
677.84,677.84,677.84,677.84,100,2024-04-08 12:46:00-04:00
677.37,677.56,677.36,677.56,404,2024-04-08 12:49:00-04:00
677.76,677.9167,677.36,677.36,1226,2024-04-08 12:52:00-04:00
677.88,677.88,677.88,677.88,400,2024-04-08 12:58:00-04:00
677.92,678.1347,677.92,678.1347,267,2024-04-08 12:59:00-04:00
678.0,678.0,677.79,677.79,600,2024-04-08 13:00:00-04:00
677.965,677.965,677.965,677.965,200,2024-04-08 13:01:00-04:00
677.59,677.59,677.515,677.515,300,2024-04-08 13:05:00-04:00
677.51,677.51,677.51,677.51,200,2024-04-08 13:07:00-04:00
677.52,677.52,677.52,677.52,100,2024-04-08 13:08:00-04:00
677.9,677.9,677.9,677.9,400,2024-04-08 13:10:00-04:00
678.105,678.105,678.105,678.105,100,2024-04-08 13:14:00-04:00
677.94,677.94,677.94,677.94,100,2024-04-08 13:19:00-04:00
677.66,677.74,677.66,677.74,873,2024-04-08 13:20:00-04:00
677.85,677.85,677.85,677.85,200,2024-04-08 13:21:00-04:00
678.15,678.15,678.15,678.15,300,2024-04-08 13:23:00-04:00
678.255,678.255,678.255,678.255,200,2024-04-08 13:24:00-04:00
678.555,678.555,678.555,678.555,100,2024-04-08 13:28:00-04:00
678.41,678.41,678.18,678.18,1000,2024-04-08 13:29:00-04:00
678.0,678.0,678.0,678.0,100,2024-04-08 13:31:00-04:00
678.22,678.22,678.22,678.22,200,2024-04-08 13:32:00-04:00
678.28,678.28,678.28,678.28,200,2024-04-08 13:35:00-04:00
678.29,678.29,678.29,678.29,100,2024-04-08 13:38:00-04:00
678.44,678.44,678.13,678.13,400,2024-04-08 13:39:00-04:00
678.12,678.12,678.12,678.12,100,2024-04-08 13:43:00-04:00
678.385,678.725,678.385,678.725,500,2024-04-08 13:47:00-04:00
678.814,678.814,678.41,678.41,900,2024-04-08 13:48:00-04:00
678.405,678.65,678.405,678.65,600,2024-04-08 13:49:00-04:00
678.7,678.7,678.7,678.7,100,2024-04-08 13:50:00-04:00
679.095,679.095,679.095,679.095,100,2024-04-08 13:53:00-04:00
