open,high,low,close,volume,datetime
42.9,42.92,42.9,42.92,423,2024-04-08 07:00:00-04:00
43.09,43.09,43.09,43.09,300,2024-04-08 08:09:00-04:00
43.09,43.09,43.09,43.09,500,2024-04-08 08:43:00-04:00
42.94,42.94,42.94,42.94,200,2024-04-08 09:27:00-04:00
43.09,43.1,43.09,43.1,500,2024-04-08 09:29:00-04:00
43.1,43.1,42.98,42.98,26417,2024-04-08 09:30:00-04:00
43.0,43.02,42.92,43.02,3365,2024-04-08 09:31:00-04:00
43.06,43.16,43.04,43.04,4727,2024-04-08 09:32:00-04:00
42.96,43.085,42.88,43.05,1700,2024-04-08 09:33:00-04:00
43.08,43.28,43.0416,43.27,5910,2024-04-08 09:34:00-04:00
43.3,43.52,43.17,43.48,11948,2024-04-08 09:35:00-04:00
43.46,43.57,43.36,43.52,3909,2024-04-08 09:36:00-04:00
43.57,43.58,43.441,43.53,4800,2024-04-08 09:37:00-04:00
43.54,43.54,43.42,43.5,7695,2024-04-08 09:38:00-04:00
43.46,43.51,43.46,43.48,500,2024-04-08 09:39:00-04:00
43.5,43.505,43.42,43.48,6437,2024-04-08 09:40:00-04:00
43.48,43.63,43.465,43.59,8103,2024-04-08 09:41:00-04:00
43.57,43.67,43.53,43.6,5828,2024-04-08 09:42:00-04:00
43.63,43.675,43.6,43.615,2098,2024-04-08 09:43:00-04:00
43.61,43.68,43.61,43.65,6754,2024-04-08 09:44:00-04:00
43.7,43.725,43.645,43.7,5608,2024-04-08 09:45:00-04:00
43.69,43.7,43.68,43.68,2569,2024-04-08 09:46:00-04:00
43.63,43.73,43.63,43.7299,1514,2024-04-08 09:47:00-04:00
43.63,43.71,43.63,43.71,2609,2024-04-08 09:48:00-04:00
43.7,43.7,43.57,43.585,2520,2024-04-08 09:49:00-04:00
43.59,43.63,43.525,43.525,2769,2024-04-08 09:50:00-04:00
43.505,43.56,43.505,43.56,1000,2024-04-08 09:51:00-04:00
43.565,43.565,43.495,43.55,1332,2024-04-08 09:52:00-04:00
43.505,43.505,43.48,43.48,388,2024-04-08 09:53:00-04:00
43.51,43.52,43.46,43.47,1586,2024-04-08 09:54:00-04:00
43.475,43.57,43.475,43.56,5430,2024-04-08 09:55:00-04:00
43.585,43.6,43.56,43.56,800,2024-04-08 09:56:00-04:00
43.5,43.5,43.475,43.4813,1000,2024-04-08 09:57:00-04:00
43.495,43.495,43.47,43.49,1243,2024-04-08 09:58:00-04:00
43.51,43.51,43.48,43.48,730,2024-04-08 09:59:00-04:00
43.44,43.44,43.31,43.315,10165,2024-04-08 10:00:00-04:00
43.33,43.335,43.28,43.31,2465,2024-04-08 10:01:00-04:00
43.32,43.435,43.305,43.435,12900,2024-04-08 10:02:00-04:00
43.41,43.42,43.39,43.39,3250,2024-04-08 10:03:00-04:00
43.39,43.39,43.325,43.36,8287,2024-04-08 10:04:00-04:00
43.34,43.395,43.34,43.37,5544,2024-04-08 10:05:00-04:00
