open,high,low,close,volume,datetime
45.87,45.87,45.87,45.87,100,2024-04-08 07:00:00-04:00
45.96,45.96,45.96,45.96,400,2024-04-08 07:01:00-04:00
46.05,46.05,46.05,46.05,500,2024-04-08 07:05:00-04:00
46.05,46.05,46.05,46.05,500,2024-04-08 07:06:00-04:00
46.05,46.05,46.05,46.05,200,2024-04-08 07:07:00-04:00
46.06,46.06,46.06,46.06,1000,2024-04-08 07:09:00-04:00
46.11,46.11,46.11,46.11,300,2024-04-08 07:10:00-04:00
46.06,46.06,46.06,46.06,116,2024-04-08 07:13:00-04:00
46.06,46.06,46.06,46.06,198,2024-04-08 07:15:00-04:00
46.19,46.22,46.18,46.22,1399,2024-04-08 07:25:00-04:00
46.13,46.13,46.13,46.13,424,2024-04-08 07:32:00-04:00
46.11,46.12,46.11,46.11,940,2024-04-08 07:45:00-04:00
46.11,46.11,46.11,46.11,560,2024-04-08 07:46:00-04:00
46.11,46.11,46.11,46.11,215,2024-04-08 07:48:00-04:00
46.11,46.11,46.11,46.11,100,2024-04-08 07:52:00-04:00
46.15,46.15,46.15,46.15,100,2024-04-08 08:00:00-04:00
46.18,46.18,46.18,46.18,1000,2024-04-08 08:01:00-04:00
46.1,46.1,46.1,46.1,778,2024-04-08 08:04:00-04:00
46.15,46.18,46.12,46.18,1189,2024-04-08 08:15:00-04:00
46.2,46.21,46.2,46.2,1751,2024-04-08 08:24:00-04:00
46.17,46.17,46.17,46.17,100,2024-04-08 08:27:00-04:00
46.19,46.19,46.19,46.19,1000,2024-04-08 08:31:00-04:00
46.19,46.19,46.19,46.19,360,2024-04-08 08:33:00-04:00
46.15,46.15,46.15,46.15,400,2024-04-08 08:34:00-04:00
46.18,46.18,46.18,46.18,820,2024-04-08 08:35:00-04:00
46.3004,46.3004,46.19,46.19,2610,2024-04-08 08:36:00-04:00
46.3178,46.3178,46.26,46.26,1375,2024-04-08 08:37:00-04:00
46.2,46.2,46.2,46.2,100,2024-04-08 08:43:00-04:00
46.2,46.21,46.19,46.21,2105,2024-04-08 08:44:00-04:00
46.22,46.22,46.22,46.22,1000,2024-04-08 08:47:00-04:00
46.22,46.22,46.22,46.22,300,2024-04-08 08:48:00-04:00
46.2,46.2,46.2,46.2,600,2024-04-08 08:49:00-04:00
46.22,46.22,46.22,46.22,500,2024-04-08 08:51:00-04:00
46.24,46.24,46.24,46.24,150,2024-04-08 08:54:00-04:00
46.23,46.24,46.23,46.24,900,2024-04-08 08:59:00-04:00
