open,high,low,close,volume,datetime
142.84,142.84,142.84,142.84,100,2024-04-08 08:19:00-04:00
143.2,143.2,143.2,143.2,100,2024-04-08 09:17:00-04:00
143.15,143.15,142.6,142.625,12851,2024-04-08 09:30:00-04:00
142.71,142.78,142.63,142.78,506,2024-04-08 09:32:00-04:00
142.6,142.835,142.37,142.835,544,2024-04-08 09:33:00-04:00
142.76,142.76,142.64,142.64,695,2024-04-08 09:34:00-04:00
142.78,142.9199,142.77,142.79,2026,2024-04-08 09:35:00-04:00
142.79,143.0998,142.79,143.07,2150,2024-04-08 09:36:00-04:00
143.07,143.22,142.79,142.905,1087,2024-04-08 09:37:00-04:00
143.09,143.09,142.79,142.965,505,2024-04-08 09:38:00-04:00
142.985,143.24,142.985,143.135,1605,2024-04-08 09:39:00-04:00
143.21,143.21,142.815,142.815,1202,2024-04-08 09:40:00-04:00
142.84,142.895,142.84,142.895,200,2024-04-08 09:41:00-04:00
142.86,142.86,142.86,142.86,100,2024-04-08 09:42:00-04:00
142.97,142.97,142.885,142.93,950,2024-04-08 09:43:00-04:00
142.77,142.77,142.77,142.77,100,2024-04-08 09:44:00-04:00
142.845,143.49,142.845,143.49,3489,2024-04-08 09:45:00-04:00
143.34,143.58,143.34,143.5,2117,2024-04-08 09:46:00-04:00
143.43,143.5355,143.21,143.5355,1061,2024-04-08 09:47:00-04:00
143.18,143.18,143.18,143.18,285,2024-04-08 09:48:00-04:00
143.28,143.45,143.205,143.45,1672,2024-04-08 09:49:00-04:00
143.415,143.44,143.28,143.28,1143,2024-04-08 09:50:00-04:00
143.51,143.51,143.3,143.3,500,2024-04-08 09:52:00-04:00
143.355,143.47,143.355,143.47,500,2024-04-08 09:53:00-04:00
143.41,143.41,143.41,143.41,200,2024-04-08 09:54:00-04:00
143.41,143.415,143.41,143.415,400,2024-04-08 09:55:00-04:00
143.3151,143.405,143.3151,143.405,250,2024-04-08 09:56:00-04:00
143.51,143.55,143.41,143.55,1500,2024-04-08 09:57:00-04:00
143.66,143.66,143.495,143.515,1000,2024-04-08 09:58:00-04:00
143.61,143.64,143.61,143.64,576,2024-04-08 09:59:00-04:00
143.6,143.69,143.49,143.515,6341,2024-04-08 10:00:00-04:00
143.46,143.53,143.46,143.525,1800,2024-04-08 10:01:00-04:00
143.55,143.55,143.42,143.455,526,2024-04-08 10:02:00-04:00
143.49,143.53,143.31,143.34,2456,2024-04-08 10:03:00-04:00
143.34,143.4,143.34,143.4,700,2024-04-08 10:04:00-04:00
143.32,143.32,143.24,143.25,2000,2024-04-08 10:05:00-04:00
143.26,143.27,143.21,143.225,1976,2024-04-08 10:06:00-04:00
143.26,143.28,143.075,143.075,4550,2024-04-08 10:07:00-04:00
143.16,143.31,143.16,143.26,1248,2024-04-08 10:08:00-04:00
143.26,143.26,143.1,143.1,1560,2024-04-08 10:09:00-04:00
143.15,143.21,143.13,143.17,1000,2024-04-08 10:10:00-04:00
143.26,143.26,143.26,143.26,248,2024-04-08 10:11:00-04:00
143.23,143.23,143.11,143.19,3264,2024-04-08 10:12:00-04:00
143.195,143.195,143.13,143.145,908,2024-04-08 10:13:00-04:00
143.2,143.2,143.09,143.09,500,2024-04-08 10:14:00-04:00
143.085,143.085,143.04,143.04,925,2024-04-08 10:15:00-04:00
143.03,143.13,143.02,143.13,1093,2024-04-08 10:16:00-04:00
143.12,143.2,143.12,143.2,1700,2024-04-08 10:17:00-04:00
143.25,143.3,143.24,143.2889,3145,2024-04-08 10:18:00-04:00
143.245,143.245,143.115,143.12,2398,2024-04-08 10:19:00-04:00
143.115,143.26,143.115,143.26,909,2024-04-08 10:20:00-04:00
143.37,143.55,143.35,143.55,1756,2024-04-08 10:22:00-04:00
143.51,143.5549,143.47,143.51,2300,2024-04-08 10:23:00-04:00
143.53,143.53,143.31,143.32,1923,2024-04-08 10:24:00-04:00
143.325,143.47,143.325,143.45,1300,2024-04-08 10:25:00-04:00
143.34,143.385,143.295,143.385,800,2024-04-08 10:26:00-04:00
143.425,143.425,143.425,143.425,100,2024-04-08 10:27:00-04:00
143.48,143.49,143.48,143.49,241,2024-04-08 10:28:00-04:00
143.3922,143.425,143.38,143.425,2566,2024-04-08 10:29:00-04:00
143.42,143.42,143.42,143.42,200,2024-04-08 10:30:00-04:00
143.37,143.44,143.34,143.34,2657,2024-04-08 10:31:00-04:00
143.43,143.52,143.43,143.51,2017,2024-04-08 10:32:00-04:00
143.53,143.68,143.53,143.68,840,2024-04-08 10:33:00-04:00
143.69,143.69,143.62,143.65,2344,2024-04-08 10:34:00-04:00
143.6806,143.6806,143.585,143.585,1381,2024-04-08 10:35:00-04:00
143.57,143.57,143.55,143.57,1700,2024-04-08 10:36:00-04:00
