open,high,low,close,volume,datetime
117.73,117.73,117.73,117.73,6916,2024-04-08 09:30:00-04:00
117.84,117.84,117.84,117.84,100,2024-04-08 09:32:00-04:00
117.975,117.975,117.975,117.975,100,2024-04-08 09:35:00-04:00
118.02,118.02,117.8,117.8,200,2024-04-08 09:36:00-04:00
117.915,117.915,117.915,117.915,100,2024-04-08 09:37:00-04:00
117.915,117.915,117.84,117.855,500,2024-04-08 09:38:00-04:00
118.04,118.07,118.04,118.07,401,2024-04-08 09:39:00-04:00
118.16,118.22,118.16,118.22,207,2024-04-08 09:40:00-04:00
118.16,118.16,118.16,118.16,200,2024-04-08 09:41:00-04:00
118.22,118.22,118.02,118.02,200,2024-04-08 09:43:00-04:00
118.03,118.1,118.03,118.1,301,2024-04-08 09:45:00-04:00
118.025,118.025,118.025,118.025,100,2024-04-08 09:46:00-04:00
117.975,117.975,117.97,117.97,300,2024-04-08 09:48:00-04:00
117.965,117.965,117.88,117.88,300,2024-04-08 09:49:00-04:00
117.95,117.95,117.95,117.95,614,2024-04-08 09:50:00-04:00
118.01,118.13,118.0,118.13,900,2024-04-08 09:51:00-04:00
118.05,118.05,118.05,118.05,100,2024-04-08 09:53:00-04:00
118.085,118.085,118.085,118.085,100,2024-04-08 09:57:00-04:00
118.03,118.03,118.02,118.02,1076,2024-04-08 10:01:00-04:00
117.95,117.96,117.95,117.96,200,2024-04-08 10:02:00-04:00
117.89,118.08,117.89,118.075,1750,2024-04-08 10:03:00-04:00
118.075,118.075,118.075,118.075,344,2024-04-08 10:04:00-04:00
118.1,118.13,118.1,118.13,200,2024-04-08 10:05:00-04:00
118.17,118.23,118.17,118.21,500,2024-04-08 10:06:00-04:00
118.305,118.305,118.305,118.305,100,2024-04-08 10:08:00-04:00
118.28,118.295,118.21,118.25,2531,2024-04-08 10:09:00-04:00
118.26,118.31,118.26,118.31,826,2024-04-08 10:10:00-04:00
118.2991,118.2991,118.2991,118.2991,200,2024-04-08 10:12:00-04:00
118.23,118.23,118.16,118.17,800,2024-04-08 10:13:00-04:00
118.165,118.165,118.165,118.165,200,2024-04-08 10:14:00-04:00
118.21,118.23,118.21,118.23,500,2024-04-08 10:15:00-04:00
118.18,118.18,118.18,118.18,100,2024-04-08 10:16:00-04:00
118.17,118.17,118.17,118.17,100,2024-04-08 10:17:00-04:00
118.21,118.21,118.21,118.21,237,2024-04-08 10:18:00-04:00
118.165,118.165,118.165,118.165,200,2024-04-08 10:19:00-04:00
118.21,118.21,118.12,118.12,2697,2024-04-08 10:20:00-04:00
118.06,118.06,117.99,117.99,403,2024-04-08 10:21:00-04:00
118.08,118.08,118.08,118.08,500,2024-04-08 10:22:00-04:00
118.065,118.07,118.065,118.07,300,2024-04-08 10:23:00-04:00
118.09,118.09,118.09,118.09,100,2024-04-08 10:24:00-04:00
118.11,118.14,118.1,118.1,2308,2024-04-08 10:25:00-04:00
118.02,118.02,117.9125,117.925,1305,2024-04-08 10:28:00-04:00
117.895,117.895,117.895,117.895,100,2024-04-08 10:30:00-04:00
117.885,117.885,117.885,117.885,300,2024-04-08 10:31:00-04:00
117.96,117.98,117.96,117.965,1315,2024-04-08 10:32:00-04:00
117.91,117.91,117.87,117.87,1100,2024-04-08 10:33:00-04:00
117.87,117.87,117.87,117.87,200,2024-04-08 10:34:00-04:00
117.865,117.865,117.865,117.865,100,2024-04-08 10:36:00-04:00
117.855,117.945,117.855,117.945,1376,2024-04-08 10:37:00-04:00
117.95,117.98,117.95,117.98,517,2024-04-08 10:38:00-04:00
118.015,118.015,118.015,118.015,100,2024-04-08 10:39:00-04:00
117.96,117.96,117.895,117.895,2348,2024-04-08 10:40:00-04:00
117.87,117.87,117.835,117.835,400,2024-04-08 10:42:00-04:00
117.815,117.884,117.815,117.884,1128,2024-04-08 10:43:00-04:00
