open,high,low,close,volume,datetime
203.3192,203.3192,203.3192,203.3192,300,2024-04-08 08:54:00-04:00
204.1,204.1,204.1,204.1,358,2024-04-08 08:58:00-04:00
204.1,204.1,204.1,204.1,204,2024-04-08 09:00:00-04:00
204.58,205.23,204.58,204.75,13477,2024-04-08 09:30:00-04:00
204.685,204.685,204.43,204.43,545,2024-04-08 09:31:00-04:00
204.61,204.805,204.61,204.61,700,2024-04-08 09:32:00-04:00
204.79,204.79,204.695,204.695,400,2024-04-08 09:33:00-04:00
205.08,205.4,205.08,205.4,3644,2024-04-08 09:34:00-04:00
205.42,205.42,205.35,205.35,572,2024-04-08 09:35:00-04:00
205.2,205.33,205.17,205.33,1200,2024-04-08 09:36:00-04:00
205.35,205.35,205.35,205.35,1150,2024-04-08 09:37:00-04:00
205.25,205.35,205.25,205.35,7095,2024-04-08 09:38:00-04:00
205.35,205.39,205.28,205.39,622,2024-04-08 09:39:00-04:00
205.375,205.375,205.2,205.2,200,2024-04-08 09:40:00-04:00
205.02,205.02,204.845,204.845,234,2024-04-08 09:41:00-04:00
204.87,204.87,204.62,204.62,946,2024-04-08 09:42:00-04:00
204.49,204.49,204.2245,204.2245,2743,2024-04-08 09:43:00-04:00
204.2092,204.2092,204.09,204.17,328,2024-04-08 09:44:00-04:00
204.175,204.175,204.0,204.16,900,2024-04-08 09:45:00-04:00
204.18,204.18,204.14,204.14,350,2024-04-08 09:46:00-04:00
204.08,204.195,203.94,203.94,1500,2024-04-08 09:47:00-04:00
204.06,204.06,203.98,203.98,200,2024-04-08 09:48:00-04:00
203.9,204.0,203.77,203.77,1438,2024-04-08 09:49:00-04:00
203.85,203.97,203.85,203.95,300,2024-04-08 09:50:00-04:00
204.06,204.06,204.055,204.055,300,2024-04-08 09:51:00-04:00
204.035,204.035,204.035,204.035,500,2024-04-08 09:52:00-04:00
203.83,203.83,203.7,203.785,3397,2024-04-08 09:53:00-04:00
203.9961,203.9961,203.425,203.51,3287,2024-04-08 09:54:00-04:00
203.48,203.6,203.43,203.6,800,2024-04-08 09:55:00-04:00
203.61,203.61,203.61,203.61,100,2024-04-08 09:56:00-04:00
203.505,203.6,203.5,203.6,500,2024-04-08 09:57:00-04:00
203.615,203.73,203.615,203.73,220,2024-04-08 09:58:00-04:00
203.735,203.735,203.735,203.735,100,2024-04-08 09:59:00-04:00
203.815,203.815,203.815,203.815,100,2024-04-08 10:00:00-04:00
203.8,203.8,203.4,203.46,4011,2024-04-08 10:01:00-04:00
203.59,203.78,203.59,203.735,1100,2024-04-08 10:02:00-04:00
203.75,203.8,203.58,203.65,1610,2024-04-08 10:03:00-04:00
203.65,203.65,203.65,203.65,300,2024-04-08 10:04:00-04:00
203.63,203.8,203.63,203.8,1453,2024-04-08 10:05:00-04:00
203.65,203.7,203.6221,203.68,1100,2024-04-08 10:06:00-04:00
203.76,203.82,203.67,203.74,1260,2024-04-08 10:07:00-04:00
203.685,203.75,203.685,203.71,668,2024-04-08 10:08:00-04:00
203.555,203.565,203.535,203.565,300,2024-04-08 10:09:00-04:00
203.69,203.84,203.655,203.84,1288,2024-04-08 10:10:00-04:00
203.82,203.88,203.765,203.85,742,2024-04-08 10:11:00-04:00
