open,high,low,close,volume,datetime
274.01,274.01,274.01,274.01,100,2024-04-08 07:49:00-04:00
274.97,274.97,274.97,274.97,250,2024-04-08 08:45:00-04:00
274.98,275.0,274.43,274.655,31957,2024-04-08 09:30:00-04:00
274.65,274.74,274.385,274.385,2622,2024-04-08 09:31:00-04:00
274.74,274.8,274.74,274.8,2004,2024-04-08 09:32:00-04:00
274.715,274.715,274.715,274.715,100,2024-04-08 09:33:00-04:00
274.89,275.28,274.75,275.28,2034,2024-04-08 09:34:00-04:00
275.3,275.3,275.185,275.185,1780,2024-04-08 09:35:00-04:00
274.985,275.27,274.985,275.18,2201,2024-04-08 09:36:00-04:00
275.25,275.25,274.97,275.0918,2487,2024-04-08 09:37:00-04:00
275.21,275.37,275.2,275.33,3222,2024-04-08 09:38:00-04:00
275.33,275.345,275.275,275.345,1000,2024-04-08 09:39:00-04:00
275.18,275.29,274.98,274.98,2064,2024-04-08 09:40:00-04:00
275.11,275.1788,275.04,275.1788,1073,2024-04-08 09:41:00-04:00
275.26,275.5,275.26,275.5,300,2024-04-08 09:42:00-04:00
275.34,275.455,275.34,275.455,300,2024-04-08 09:43:00-04:00
275.72,275.805,275.7,275.785,2904,2024-04-08 09:44:00-04:00
275.7,276.33,275.7,276.26,1943,2024-04-08 09:45:00-04:00
276.26,276.26,276.19,276.19,300,2024-04-08 09:46:00-04:00
276.17,276.17,276.01,276.01,600,2024-04-08 09:47:00-04:00
276.06,276.06,275.95,275.995,1028,2024-04-08 09:48:00-04:00
276.0,276.0,275.72,275.79,1902,2024-04-08 09:49:00-04:00
276.0,276.0,275.88,275.885,1419,2024-04-08 09:50:00-04:00
275.92,276.065,275.92,276.065,11401,2024-04-08 09:51:00-04:00
276.07,276.1,276.07,276.1,200,2024-04-08 09:52:00-04:00
276.1,276.105,275.52,275.59,3875,2024-04-08 09:53:00-04:00
275.67,275.67,275.67,275.67,100,2024-04-08 09:54:00-04:00
275.64,275.645,275.52,275.645,500,2024-04-08 09:55:00-04:00
275.69,275.92,275.69,275.92,700,2024-04-08 09:56:00-04:00
275.825,276.04,275.74,275.955,26364,2024-04-08 09:57:00-04:00
276.045,276.045,275.78,275.78,600,2024-04-08 09:58:00-04:00
275.69,275.7,275.62,275.62,841,2024-04-08 09:59:00-04:00
275.62,275.72,275.55,275.55,2420,2024-04-08 10:00:00-04:00
275.62,275.65,275.275,275.275,4446,2024-04-08 10:01:00-04:00
275.12,275.12,274.94,274.985,3471,2024-04-08 10:02:00-04:00
274.99,275.39,274.99,275.14,3518,2024-04-08 10:03:00-04:00
275.07,275.07,274.84,274.845,1106,2024-04-08 10:04:00-04:00
274.88,275.24,274.88,275.23,1636,2024-04-08 10:05:00-04:00
275.125,275.145,275.05,275.05,1423,2024-04-08 10:06:00-04:00
274.79,274.79,274.62,274.62,300,2024-04-08 10:07:00-04:00
274.62,274.62,274.59,274.59,400,2024-04-08 10:08:00-04:00
274.59,274.59,274.5,274.5882,1917,2024-04-08 10:09:00-04:00
274.555,274.59,274.445,274.59,995,2024-04-08 10:10:00-04:00
274.605,274.625,274.605,274.625,367,2024-04-08 10:11:00-04:00
274.635,274.655,274.635,274.655,400,2024-04-08 10:12:00-04:00
274.54,274.54,274.42,274.46,1006,2024-04-08 10:13:00-04:00
274.56,274.78,274.56,274.78,1572,2024-04-08 10:14:00-04:00
274.65,274.65,274.65,274.65,100,2024-04-08 10:15:00-04:00
274.52,274.52,274.45,274.505,636,2024-04-08 10:16:00-04:00
274.37,274.3753,274.37,274.3753,690,2024-04-08 10:17:00-04:00
274.395,274.405,274.26,274.405,5385,2024-04-08 10:18:00-04:00
274.32,274.46,274.32,274.4108,113182,2024-04-08 10:19:00-04:00
274.555,274.8,274.4108,274.4108,111829,2024-04-08 10:20:00-04:00
274.68,274.78,274.68,274.77,500,2024-04-08 10:21:00-04:00
274.91,274.91,274.91,274.91,100,2024-04-08 10:22:00-04:00
274.8225,275.01,274.8225,274.925,5210,2024-04-08 10:23:00-04:00
274.94,275.09,274.94,274.96,713,2024-04-08 10:24:00-04:00
275.03,275.03,275.02,275.02,736,2024-04-08 10:25:00-04:00
274.985,274.985,274.985,274.985,100,2024-04-08 10:26:00-04:00
275.005,275.005,274.929,274.929,1117,2024-04-08 10:27:00-04:00
274.91,274.96,274.71,274.79,2389,2024-04-08 10:28:00-04:00
274.87,274.93,274.83,274.93,717,2024-04-08 10:29:00-04:00
274.7595,274.96,274.7595,274.82,1510,2024-04-08 10:30:00-04:00
274.91,274.91,274.91,274.91,201,2024-04-08 10:31:00-04:00
274.97,275.04,274.97,274.98,400,2024-04-08 10:32:00-04:00
275.0,275.0,274.99,274.99,211,2024-04-08 10:33:00-04:00
274.99,275.09,274.91,275.09,2045,2024-04-08 10:34:00-04:00
275.1,275.1,275.08,275.08,200,2024-04-08 10:35:00-04:00
275.16,275.37,275.15,275.37,2737,2024-04-08 10:36:00-04:00
275.475,275.59,275.38,275.38,11824,2024-04-08 10:37:00-04:00
275.46,275.69,275.46,275.69,1322,2024-04-08 10:38:00-04:00
275.67,275.67,275.67,275.67,512,2024-04-08 10:40:00-04:00
275.665,275.665,275.665,275.665,200,2024-04-08 10:41:00-04:00
275.6,275.6,275.51,275.58,960,2024-04-08 10:42:00-04:00
275.585,275.66,275.28,275.5,19045,2024-04-08 10:43:00-04:00
275.5,275.525,275.5,275.51,1040,2024-04-08 10:44:00-04:00
275.46,275.5,275.38,275.38,900,2024-04-08 10:45:00-04:00
275.26,275.27,275.12,275.12,2014,2024-04-08 10:46:00-04:00
275.03,275.115,275.03,275.115,1003,2024-04-08 10:47:00-04:00
275.0542,275.1852,275.0542,275.1852,6228,2024-04-08 10:48:00-04:00
275.15,275.15,275.1,275.1,400,2024-04-08 10:49:00-04:00
275.085,275.275,275.085,275.2,10156,2024-04-08 10:50:00-04:00
275.115,275.115,275.115,275.115,137,2024-04-08 10:51:00-04:00
275.22,275.24,275.21,275.21,1215,2024-04-08 10:52:00-04:00
275.26,275.29,275.21,275.29,898,2024-04-08 10:53:00-04:00
275.22,275.53,275.21,275.5,2443,2024-04-08 10:54:00-04:00
