open,high,low,close,volume,datetime
72.62,72.76,72.62,72.7,18197,2024-04-08 09:30:00-04:00
72.65,72.65,72.56,72.62,1679,2024-04-08 09:31:00-04:00
72.56,72.67,72.56,72.65,1467,2024-04-08 09:32:00-04:00
72.67,72.805,72.67,72.805,3390,2024-04-08 09:33:00-04:00
72.81,73.0,72.81,72.945,2300,2024-04-08 09:34:00-04:00
72.94,73.01,72.93,73.01,8675,2024-04-08 09:35:00-04:00
73.02,73.02,72.93,72.94,4360,2024-04-08 09:36:00-04:00
72.94,72.95,72.9,72.94,1550,2024-04-08 09:37:00-04:00
72.94,73.0,72.94,72.985,1783,2024-04-08 09:38:00-04:00
73.0,73.005,72.925,72.93,8005,2024-04-08 09:39:00-04:00
72.9,72.95,72.83,72.85,5535,2024-04-08 09:40:00-04:00
72.9,72.94,72.9,72.94,1015,2024-04-08 09:41:00-04:00
72.92,72.95,72.86,72.86,2730,2024-04-08 09:42:00-04:00
72.85,72.9,72.85,72.865,1876,2024-04-08 09:43:00-04:00
72.89,72.91,72.885,72.885,2341,2024-04-08 09:44:00-04:00
72.9,72.93,72.88,72.9,1999,2024-04-08 09:45:00-04:00
72.94,72.96,72.91,72.91,2808,2024-04-08 09:46:00-04:00
72.9,72.96,72.9,72.91,2805,2024-04-08 09:47:00-04:00
72.94,72.95,72.88,72.92,2000,2024-04-08 09:48:00-04:00
72.94,72.94,72.84,72.9,2859,2024-04-08 09:49:00-04:00
72.89,72.91,72.8575,72.89,2353,2024-04-08 09:50:00-04:00
72.9075,73.01,72.8955,73.0,3316,2024-04-08 09:51:00-04:00
73.01,73.01,72.91,72.935,4414,2024-04-08 09:52:00-04:00
72.91,73.01,72.91,73.0,3474,2024-04-08 09:53:00-04:00
73.01,73.04,72.97,72.97,5100,2024-04-08 09:54:00-04:00
72.95,72.96,72.95,72.96,300,2024-04-08 09:55:00-04:00
72.99,73.035,72.99,73.015,3068,2024-04-08 09:56:00-04:00
73.015,73.015,72.98,73.0,2100,2024-04-08 09:57:00-04:00
72.985,72.985,72.94,72.94,1260,2024-04-08 09:58:00-04:00
72.94,73.015,72.94,73.005,2041,2024-04-08 09:59:00-04:00
73.015,73.015,72.96,73.01,5861,2024-04-08 10:00:00-04:00
73.0,73.14,72.99,73.11,11023,2024-04-08 10:01:00-04:00
73.115,73.15,73.115,73.15,4039,2024-04-08 10:02:00-04:00
73.14,73.16,73.06,73.06,9097,2024-04-08 10:03:00-04:00
73.07,73.07,73.07,73.07,100,2024-04-08 10:04:00-04:00
73.08,73.16,73.07,73.07,4868,2024-04-08 10:05:00-04:00
73.04,73.04,73.0,73.02,16951,2024-04-08 10:06:00-04:00
73.04,73.09,73.025,73.025,2729,2024-04-08 10:07:00-04:00
73.0148,73.11,73.0,73.11,1366,2024-04-08 10:08:00-04:00
73.09,73.11,73.09,73.1,3910,2024-04-08 10:09:00-04:00
73.11,73.185,73.11,73.185,5995,2024-04-08 10:10:00-04:00
73.19,73.21,73.18,73.21,2840,2024-04-08 10:11:00-04:00
73.215,73.215,73.205,73.21,3022,2024-04-08 10:12:00-04:00
73.22,73.29,73.22,73.24,11489,2024-04-08 10:13:00-04:00
73.22,73.24,73.2,73.21,2924,2024-04-08 10:14:00-04:00
73.21,73.265,73.21,73.22,6241,2024-04-08 10:15:00-04:00
73.21,73.21,73.17,73.21,918,2024-04-08 10:16:00-04:00
73.21,73.26,73.2,73.26,7748,2024-04-08 10:17:00-04:00
73.27,73.275,73.2,73.2,4120,2024-04-08 10:18:00-04:00
73.21,73.26,73.21,73.25,5050,2024-04-08 10:19:00-04:00
73.255,73.255,73.235,73.235,2895,2024-04-08 10:20:00-04:00
73.235,73.26,73.235,73.26,1594,2024-04-08 10:21:00-04:00
73.27,73.32,73.27,73.32,4756,2024-04-08 10:22:00-04:00
73.32,73.32,73.27,73.3,3575,2024-04-08 10:23:00-04:00
73.28,73.325,73.28,73.3,5666,2024-04-08 10:24:00-04:00
73.31,73.36,73.31,73.355,4219,2024-04-08 10:25:00-04:00
73.35,73.4,73.35,73.4,1300,2024-04-08 10:26:00-04:00
73.42,73.44,73.41,73.42,3774,2024-04-08 10:27:00-04:00
73.405,73.45,73.4,73.45,2671,2024-04-08 10:28:00-04:00
73.44,73.445,73.43,73.43,3824,2024-04-08 10:29:00-04:00
73.425,73.43,73.37,73.37,2497,2024-04-08 10:30:00-04:00
73.4,73.43,73.4,73.41,4475,2024-04-08 10:31:00-04:00
73.4,73.415,73.385,73.41,1243,2024-04-08 10:32:00-04:00
73.4101,73.455,73.4,73.4,6006,2024-04-08 10:33:00-04:00
73.4,73.41,73.385,73.385,1828,2024-04-08 10:34:00-04:00
73.38,73.39,73.3643,73.39,2952,2024-04-08 10:35:00-04:00
73.41,73.425,73.4002,73.42,5991,2024-04-08 10:36:00-04:00
73.42,73.445,73.415,73.435,2665,2024-04-08 10:37:00-04:00
73.45,73.5,73.45,73.475,5939,2024-04-08 10:38:00-04:00
73.48,73.5,73.48,73.492,3102,2024-04-08 10:39:00-04:00
73.5,73.5,73.425,73.44,2850,2024-04-08 10:40:00-04:00
73.45,73.45,73.42,73.44,1747,2024-04-08 10:41:00-04:00
73.44,73.44,73.38,73.38,3215,2024-04-08 10:42:00-04:00
73.38,73.38,73.36,73.36,3868,2024-04-08 10:43:00-04:00
73.37,73.37,73.34,73.37,1543,2024-04-08 10:44:00-04:00
73.36,73.46,73.36,73.425,4643,2024-04-08 10:45:00-04:00
73.425,73.45,73.39,73.45,3376,2024-04-08 10:46:00-04:00
73.46,73.49,73.44,73.46,3490,2024-04-08 10:47:00-04:00
73.48,73.51,73.47,73.49,5034,2024-04-08 10:48:00-04:00
73.49,73.52,73.48,73.52,10475,2024-04-08 10:49:00-04:00
73.52,73.565,73.52,73.55,3579,2024-04-08 10:50:00-04:00
73.5489,73.56,73.52,73.52,3849,2024-04-08 10:51:00-04:00
73.515,73.53,73.515,73.52,5503,2024-04-08 10:52:00-04:00
73.53,73.54,73.505,73.505,2890,2024-04-08 10:53:00-04:00
73.495,73.54,73.495,73.54,2645,2024-04-08 10:54:00-04:00
73.55,73.56,73.52,73.52,4354,2024-04-08 10:55:00-04:00
73.52,73.53,73.52,73.52,2893,2024-04-08 10:56:00-04:00
73.525,73.58,73.52,73.565,4972,2024-04-08 10:57:00-04:00
73.56,73.56,73.54,73.54,2060,2024-04-08 10:58:00-04:00
73.55,73.565,73.5,73.5144,5817,2024-04-08 10:59:00-04:00
73.52,73.55,73.52,73.55,3636,2024-04-08 11:00:00-04:00
73.5451,73.5451,73.515,73.515,3872,2024-04-08 11:01:00-04:00
73.515,73.52,73.47,73.51,2841,2024-04-08 11:02:00-04:00
73.51,73.52,73.48,73.495,5084,2024-04-08 11:03:00-04:00
73.5,73.53,73.49,73.51,12975,2024-04-08 11:04:00-04:00
73.52,73.57,73.52,73.56,1658,2024-04-08 11:05:00-04:00
73.54,73.6,73.54,73.575,3004,2024-04-08 11:06:00-04:00
73.58,73.605,73.58,73.6,2844,2024-04-08 11:07:00-04:00
73.6,73.64,73.6,73.63,3406,2024-04-08 11:08:00-04:00
73.63,73.67,73.63,73.66,3620,2024-04-08 11:09:00-04:00
73.65,73.67,73.65,73.665,2762,2024-04-08 11:10:00-04:00
73.67,73.67,73.65,73.66,2679,2024-04-08 11:11:00-04:00
73.66,73.66,73.62,73.62,1749,2024-04-08 11:12:00-04:00
73.615,73.64,73.59,73.59,3095,2024-04-08 11:13:00-04:00
73.6,73.6,73.575,73.58,2206,2024-04-08 11:14:00-04:00
73.58,73.58,73.555,73.555,2415,2024-04-08 11:15:00-04:00
73.555,73.57,73.47,73.52,9728,2024-04-08 11:16:00-04:00
73.465,73.465,73.425,73.425,3571,2024-04-08 11:17:00-04:00
73.43,73.48,73.43,73.475,2239,2024-04-08 11:18:00-04:00
73.475,73.505,73.45,73.46,7053,2024-04-08 11:19:00-04:00
73.45,73.51,73.45,73.48,3600,2024-04-08 11:20:00-04:00
73.47,73.5,73.47,73.47,6480,2024-04-08 11:21:00-04:00
73.475,73.5,73.475,73.49,3792,2024-04-08 11:22:00-04:00
73.49,73.5,73.47,73.49,6003,2024-04-08 11:23:00-04:00
73.5,73.51,73.465,73.48,5355,2024-04-08 11:24:00-04:00
73.475,73.475,73.46,73.47,450,2024-04-08 11:25:00-04:00
