open,high,low,close,volume,datetime
35.57,35.58,35.57,35.57,1057,2024-04-08 09:24:00-04:00
35.61,35.695,35.49,35.5,39582,2024-04-08 09:30:00-04:00
35.495,35.635,35.49,35.6,8017,2024-04-08 09:31:00-04:00
35.59,35.645,35.59,35.62,2224,2024-04-08 09:32:00-04:00
35.615,35.615,35.565,35.61,3934,2024-04-08 09:33:00-04:00
35.625,35.71,35.6001,35.7,6616,2024-04-08 09:34:00-04:00
35.7,35.75,35.675,35.75,42534,2024-04-08 09:35:00-04:00
35.74,35.755,35.71,35.72,8381,2024-04-08 09:36:00-04:00
35.74,35.74,35.7,35.72,4270,2024-04-08 09:37:00-04:00
35.71,35.86,35.71,35.86,6978,2024-04-08 09:38:00-04:00
35.86,35.9,35.85,35.89,13189,2024-04-08 09:39:00-04:00
35.88,35.89,35.815,35.84,11481,2024-04-08 09:40:00-04:00
35.83,35.975,35.83,35.975,4038,2024-04-08 09:41:00-04:00
35.97,35.998,35.925,35.97,9733,2024-04-08 09:42:00-04:00
35.97,36.01,35.95,36.01,6830,2024-04-08 09:43:00-04:00
36.015,36.035,36.01,36.02,8578,2024-04-08 09:44:00-04:00
36.02,36.04,36.0,36.0101,8266,2024-04-08 09:45:00-04:00
36.01,36.05,35.99,35.99,7440,2024-04-08 09:46:00-04:00
35.98,36.03,35.98,35.98,6092,2024-04-08 09:47:00-04:00
35.96,35.96,35.92,35.93,9968,2024-04-08 09:48:00-04:00
35.935,35.94,35.825,35.84,7689,2024-04-08 09:49:00-04:00
35.84,35.85,35.76,35.78,4530,2024-04-08 09:50:00-04:00
35.81,35.83,35.785,35.82,1400,2024-04-08 09:51:00-04:00
35.81,35.81,35.8,35.8,1241,2024-04-08 09:52:00-04:00
35.79,35.805,35.7678,35.805,14190,2024-04-08 09:53:00-04:00
35.81,35.81,35.76,35.77,2300,2024-04-08 09:54:00-04:00
35.775,35.805,35.75,35.75,1951,2024-04-08 09:55:00-04:00
35.79,35.79,35.775,35.78,1408,2024-04-08 09:56:00-04:00
35.76,35.78,35.76,35.78,2300,2024-04-08 09:57:00-04:00
35.79,35.81,35.75,35.81,3639,2024-04-08 09:58:00-04:00
35.79,35.835,35.79,35.81,5001,2024-04-08 09:59:00-04:00
35.82,35.825,35.76,35.76,7822,2024-04-08 10:00:00-04:00
35.77,35.8,35.77,35.8,6135,2024-04-08 10:01:00-04:00
35.78,35.82,35.773,35.82,1200,2024-04-08 10:02:00-04:00
35.82,35.82,35.805,35.81,1100,2024-04-08 10:03:00-04:00
35.82,35.835,35.77,35.77,4317,2024-04-08 10:04:00-04:00
35.77,35.82,35.77,35.8,61496,2024-04-08 10:05:00-04:00
35.8003,35.82,35.79,35.81,3764,2024-04-08 10:06:00-04:00
35.78,35.815,35.78,35.8,3640,2024-04-08 10:07:00-04:00
35.805,35.86,35.805,35.86,2400,2024-04-08 10:08:00-04:00
35.87,35.89,35.86,35.86,17724,2024-04-08 10:09:00-04:00
35.87,35.91,35.86,35.905,4053,2024-04-08 10:10:00-04:00
35.9,35.92,35.9,35.91,3275,2024-04-08 10:11:00-04:00
35.92,35.94,35.89,35.89,11007,2024-04-08 10:12:00-04:00
35.9,35.91,35.8,35.83,40073,2024-04-08 10:13:00-04:00
35.82,35.845,35.82,35.82,3500,2024-04-08 10:14:00-04:00
35.815,35.82,35.79,35.79,6936,2024-04-08 10:15:00-04:00
35.79,35.84,35.78,35.84,16324,2024-04-08 10:16:00-04:00
35.825,35.85,35.82,35.835,12076,2024-04-08 10:17:00-04:00
35.84,35.845,35.825,35.845,4959,2024-04-08 10:18:00-04:00
35.845,35.88,35.845,35.865,17195,2024-04-08 10:19:00-04:00
35.87,35.91,35.87,35.88,3200,2024-04-08 10:20:00-04:00
35.88,35.885,35.875,35.88,2300,2024-04-08 10:21:00-04:00
35.89,35.915,35.89,35.905,3137,2024-04-08 10:22:00-04:00
35.91,35.91,35.895,35.905,800,2024-04-08 10:23:00-04:00
35.91,35.935,35.91,35.935,16796,2024-04-08 10:24:00-04:00
