open,high,low,close,volume,datetime
108.32,108.32,106.69,106.69,16389,2024-04-08 09:30:00-04:00
106.88,106.88,106.02,106.59,7950,2024-04-08 09:31:00-04:00
106.21,107.635,106.21,107.635,4100,2024-04-08 09:32:00-04:00
107.57,107.95,106.93,107.135,3947,2024-04-08 09:33:00-04:00
106.95,107.285,106.95,107.275,1411,2024-04-08 09:34:00-04:00
107.6485,107.6485,107.2,107.22,3606,2024-04-08 09:35:00-04:00
107.14,107.25,107.14,107.25,200,2024-04-08 09:36:00-04:00
107.2,107.25,107.12,107.18,6509,2024-04-08 09:37:00-04:00
107.24,107.7,107.2,107.565,2853,2024-04-08 09:38:00-04:00
107.7,107.88,107.7,107.81,700,2024-04-08 09:39:00-04:00
107.71,107.71,107.6,107.6,782,2024-04-08 09:40:00-04:00
107.74,108.0,107.69,107.76,2005,2024-04-08 09:41:00-04:00
107.88,107.96,107.85,107.96,1746,2024-04-08 09:42:00-04:00
107.79,107.895,107.79,107.895,200,2024-04-08 09:43:00-04:00
107.915,107.915,107.915,107.915,200,2024-04-08 09:44:00-04:00
108.0,108.2,108.0,108.2,5535,2024-04-08 09:45:00-04:00
108.21,108.21,107.8825,107.915,1908,2024-04-08 09:46:00-04:00
107.89,107.89,107.89,107.89,100,2024-04-08 09:47:00-04:00
107.77,107.87,107.69,107.69,2500,2024-04-08 09:48:00-04:00
107.66,107.73,107.515,107.52,1680,2024-04-08 09:49:00-04:00
107.54,107.59,107.33,107.38,2804,2024-04-08 09:50:00-04:00
107.33,107.35,107.225,107.32,1995,2024-04-08 09:51:00-04:00
107.26,107.365,107.26,107.3,400,2024-04-08 09:52:00-04:00
107.23,107.23,107.09,107.165,1338,2024-04-08 09:53:00-04:00
107.15,107.15,107.01,107.075,1600,2024-04-08 09:54:00-04:00
107.075,107.21,107.075,107.18,1585,2024-04-08 09:55:00-04:00
107.335,107.35,107.235,107.31,600,2024-04-08 09:56:00-04:00
107.245,107.32,107.24,107.32,600,2024-04-08 09:57:00-04:00
107.305,107.41,107.305,107.37,1100,2024-04-08 09:58:00-04:00
107.375,107.48,107.375,107.48,300,2024-04-08 09:59:00-04:00
107.305,107.5,107.305,107.44,2577,2024-04-08 10:00:00-04:00
107.495,107.495,107.38,107.38,700,2024-04-08 10:01:00-04:00
107.38,107.52,107.38,107.38,1752,2024-04-08 10:02:00-04:00
107.45,107.64,107.45,107.53,1754,2024-04-08 10:03:00-04:00
107.63,107.64,107.54,107.585,1000,2024-04-08 10:04:00-04:00
107.585,107.74,107.53,107.66,2201,2024-04-08 10:05:00-04:00
107.6,107.82,107.6,107.66,1939,2024-04-08 10:06:00-04:00
107.73,107.8,107.66,107.745,960,2024-04-08 10:07:00-04:00
107.745,107.79,107.67,107.67,848,2024-04-08 10:08:00-04:00
107.67,107.745,107.64,107.64,2523,2024-04-08 10:09:00-04:00
107.61,107.65,107.61,107.61,300,2024-04-08 10:10:00-04:00
107.71,107.71,107.6125,107.6222,2200,2024-04-08 10:11:00-04:00
107.655,107.655,107.57,107.575,600,2024-04-08 10:12:00-04:00
107.645,107.76,107.59,107.76,3100,2024-04-08 10:13:00-04:00
107.76,107.8,107.72,107.765,1477,2024-04-08 10:14:00-04:00
107.81,107.82,107.725,107.8,900,2024-04-08 10:15:00-04:00
107.73,107.775,107.7,107.705,2276,2024-04-08 10:16:00-04:00
107.81,107.91,107.79,107.825,2554,2024-04-08 10:17:00-04:00
107.89,107.915,107.89,107.915,540,2024-04-08 10:18:00-04:00
107.905,107.95,107.855,107.905,500,2024-04-08 10:19:00-04:00
107.96,107.99,107.925,107.935,900,2024-04-08 10:20:00-04:00
107.99,108.0,107.945,107.945,600,2024-04-08 10:21:00-04:00
108.01,108.04,107.92,107.995,108295,2024-04-08 10:22:00-04:00
107.995,107.995,107.79,107.79,4989,2024-04-08 10:23:00-04:00
107.815,108.0,107.815,107.98,5746,2024-04-08 10:24:00-04:00
108.0,108.02,107.98,107.985,1490,2024-04-08 10:25:00-04:00
107.99,108.065,107.99,108.065,2241,2024-04-08 10:26:00-04:00
108.15,108.2,108.15,108.2,200,2024-04-08 10:27:00-04:00
108.2,108.2,108.12,108.195,1432,2024-04-08 10:28:00-04:00
108.09,108.09,107.965,107.965,2402,2024-04-08 10:29:00-04:00
107.95,107.96,107.93,107.935,3130,2024-04-08 10:30:00-04:00
