open,high,low,close,volume,datetime
135.71,135.71,135.7,135.7,513,2024-04-08 09:10:00-04:00
135.5,135.79,135.435,135.79,9484,2024-04-08 09:30:00-04:00
135.43,135.84,135.43,135.82,700,2024-04-08 09:31:00-04:00
135.54,135.54,135.54,135.54,100,2024-04-08 09:32:00-04:00
135.0401,135.4688,135.0401,135.4688,1103,2024-04-08 09:33:00-04:00
135.5431,135.5431,135.5431,135.5431,500,2024-04-08 09:34:00-04:00
135.84,135.84,135.54,135.7798,1174,2024-04-08 09:35:00-04:00
135.57,135.88,135.57,135.62,450,2024-04-08 09:36:00-04:00
135.78,135.78,135.78,135.78,100,2024-04-08 09:37:00-04:00
135.88,136.0,135.88,136.0,800,2024-04-08 09:38:00-04:00
136.76,136.76,136.175,136.5096,4999,2024-04-08 09:39:00-04:00
136.13,136.66,136.13,136.66,1698,2024-04-08 09:41:00-04:00
136.4901,136.6,136.42,136.42,626,2024-04-08 09:42:00-04:00
136.45,136.45,136.4,136.415,1141,2024-04-08 09:44:00-04:00
136.44,136.5,136.44,136.5,200,2024-04-08 09:46:00-04:00
136.565,136.67,136.565,136.67,600,2024-04-08 09:47:00-04:00
136.701,136.701,136.565,136.565,200,2024-04-08 09:48:00-04:00
136.64,136.64,136.55,136.555,300,2024-04-08 09:49:00-04:00
136.36,136.41,136.17,136.375,1700,2024-04-08 09:50:00-04:00
136.46,136.46,136.235,136.235,1300,2024-04-08 09:51:00-04:00
136.1,136.12,135.91,135.91,1199,2024-04-08 09:52:00-04:00
135.85,135.85,135.58,135.58,471,2024-04-08 09:53:00-04:00
135.83,136.08,135.83,136.08,643,2024-04-08 09:55:00-04:00
136.07,136.08,135.99,135.99,1230,2024-04-08 09:56:00-04:00
135.73,135.73,135.73,135.73,100,2024-04-08 09:57:00-04:00
135.905,135.905,135.76,135.76,900,2024-04-08 09:58:00-04:00
135.93,135.93,135.62,135.75,3000,2024-04-08 09:59:00-04:00
135.7458,135.7458,135.49,135.49,2900,2024-04-08 10:00:00-04:00
135.385,135.52,135.3782,135.48,3001,2024-04-08 10:01:00-04:00
135.61,135.61,135.61,135.61,100,2024-04-08 10:02:00-04:00
135.56,135.56,135.545,135.545,414,2024-04-08 10:03:00-04:00
135.5575,135.56,135.47,135.55,1000,2024-04-08 10:04:00-04:00
135.54,135.54,135.54,135.54,200,2024-04-08 10:05:00-04:00
135.5,135.5,135.37,135.37,1592,2024-04-08 10:06:00-04:00
135.205,135.3,135.11,135.18,2000,2024-04-08 10:07:00-04:00
135.085,135.39,135.05,135.38,1990,2024-04-08 10:08:00-04:00
135.39,135.39,135.235,135.235,1500,2024-04-08 10:09:00-04:00
135.3,135.3,135.17,135.17,839,2024-04-08 10:10:00-04:00
135.25,135.25,135.25,135.25,200,2024-04-08 10:12:00-04:00
135.135,135.25,135.135,135.19,422,2024-04-08 10:13:00-04:00
135.29,135.3,135.28,135.28,900,2024-04-08 10:14:00-04:00
135.18,135.19,135.05,135.05,1700,2024-04-08 10:15:00-04:00
135.01,135.1,134.92,134.92,1478,2024-04-08 10:16:00-04:00
134.88,134.98,134.88,134.98,201,2024-04-08 10:17:00-04:00
134.95,134.965,134.95,134.965,450,2024-04-08 10:18:00-04:00
135.05,135.16,135.04,135.16,998,2024-04-08 10:19:00-04:00
135.335,135.335,135.335,135.335,200,2024-04-08 10:20:00-04:00
135.35,135.35,135.35,135.35,100,2024-04-08 10:21:00-04:00
135.44,135.44,135.44,135.44,954,2024-04-08 10:22:00-04:00
135.48,135.575,135.48,135.575,400,2024-04-08 10:23:00-04:00
135.645,135.645,135.6,135.645,300,2024-04-08 10:24:00-04:00
135.71,135.77,135.7012,135.77,1311,2024-04-08 10:25:00-04:00
135.76,135.86,135.7,135.825,900,2024-04-08 10:26:00-04:00
135.85,135.95,135.85,135.86,700,2024-04-08 10:27:00-04:00
135.8141,135.955,135.8141,135.955,347,2024-04-08 10:28:00-04:00
135.9001,136.14,135.9001,136.14,2483,2024-04-08 10:29:00-04:00
136.11,136.11,136.11,136.11,1200,2024-04-08 10:30:00-04:00
136.205,136.205,136.13,136.1548,600,2024-04-08 10:31:00-04:00
136.18,136.18,136.18,136.18,100,2024-04-08 10:32:00-04:00
136.25,136.325,136.01,136.03,6272,2024-04-08 10:33:00-04:00
136.08,136.08,136.08,136.08,249,2024-04-08 10:34:00-04:00
136.0,136.0,135.97,135.97,250,2024-04-08 10:36:00-04:00
136.03,136.03,136.03,136.03,400,2024-04-08 10:37:00-04:00
135.98,136.165,135.98,136.16,1501,2024-04-08 10:38:00-04:00
136.09,136.14,136.035,136.09,2072,2024-04-08 10:40:00-04:00
136.14,136.14,136.14,136.14,100,2024-04-08 10:41:00-04:00
136.1597,136.1597,136.04,136.1,1000,2024-04-08 10:42:00-04:00
136.055,136.055,136.055,136.055,100,2024-04-08 10:43:00-04:00
136.15,136.19,136.15,136.19,949,2024-04-08 10:44:00-04:00
136.25,136.25,136.17,136.17,1112,2024-04-08 10:45:00-04:00
136.15,136.15,136.1,136.1,200,2024-04-08 10:47:00-04:00
136.16,136.16,136.09,136.09,1800,2024-04-08 10:49:00-04:00
136.13,136.49,136.13,136.39,2389,2024-04-08 10:51:00-04:00
136.29,136.39,136.27,136.345,3332,2024-04-08 10:52:00-04:00
136.345,136.43,136.345,136.35,890,2024-04-08 10:54:00-04:00
136.34,136.34,136.3,136.3,569,2024-04-08 10:55:00-04:00
136.36,136.42,136.34,136.34,600,2024-04-08 10:56:00-04:00
136.365,136.405,136.35,136.35,500,2024-04-08 10:57:00-04:00
136.39,136.39,136.345,136.345,300,2024-04-08 10:58:00-04:00
136.3009,136.3493,136.235,136.28,7061,2024-04-08 10:59:00-04:00
136.28,136.38,136.28,136.35,764,2024-04-08 11:00:00-04:00
136.28,136.38,136.28,136.31,3400,2024-04-08 11:01:00-04:00
136.31,136.33,136.2,136.265,5252,2024-04-08 11:02:00-04:00
136.265,136.265,136.2627,136.2627,345,2024-04-08 11:03:00-04:00
136.27,136.39,136.23,136.38,2216,2024-04-08 11:04:00-04:00
136.38,136.45,136.33,136.44,4272,2024-04-08 11:05:00-04:00
136.39,136.39,136.344,136.344,200,2024-04-08 11:06:00-04:00
136.3497,136.4,136.34,136.34,648,2024-04-08 11:07:00-04:00
136.3888,136.3888,136.33,136.33,3095,2024-04-08 11:08:00-04:00
136.38,136.45,136.38,136.43,1405,2024-04-08 11:09:00-04:00
136.445,136.445,136.445,136.445,100,2024-04-08 11:10:00-04:00
136.5,136.51,136.49,136.51,577,2024-04-08 11:11:00-04:00
136.5,136.52,136.5,136.52,400,2024-04-08 11:13:00-04:00
136.51,136.55,136.47,136.525,1200,2024-04-08 11:14:00-04:00
136.51,136.6,136.51,136.585,1840,2024-04-08 11:15:00-04:00
136.61,136.61,136.585,136.585,200,2024-04-08 11:16:00-04:00
136.6255,136.63,136.62,136.62,650,2024-04-08 11:17:00-04:00
136.625,136.625,136.625,136.625,146,2024-04-08 11:18:00-04:00
136.625,136.78,136.625,136.73,3013,2024-04-08 11:19:00-04:00
136.72,136.825,136.72,136.755,1412,2024-04-08 11:20:00-04:00
136.79,136.85,136.79,136.85,853,2024-04-08 11:22:00-04:00
136.87,136.87,136.69,136.69,4730,2024-04-08 11:23:00-04:00
136.75,136.75,136.75,136.75,2000,2024-04-08 11:24:00-04:00
136.75,136.75,136.745,136.745,300,2024-04-08 11:25:00-04:00
136.745,136.745,136.745,136.745,100,2024-04-08 11:26:00-04:00
136.74,136.81,136.66,136.81,2353,2024-04-08 11:27:00-04:00
136.9,136.95,136.9,136.9,615,2024-04-08 11:28:00-04:00
136.995,137.29,136.995,137.29,3165,2024-04-08 11:29:00-04:00
137.21,137.3099,137.21,137.215,500,2024-04-08 11:30:00-04:00
137.2061,137.21,137.2061,137.21,1250,2024-04-08 11:32:00-04:00
137.265,137.265,136.97,137.0175,3880,2024-04-08 11:33:00-04:00
136.96,137.01,136.96,136.98,507,2024-04-08 11:34:00-04:00
136.955,136.955,136.85,136.915,500,2024-04-08 11:35:00-04:00
136.89,136.96,136.57,136.69,4757,2024-04-08 11:36:00-04:00
136.69,136.83,136.69,136.83,1000,2024-04-08 11:37:00-04:00
136.77,136.855,136.72,136.855,870,2024-04-08 11:38:00-04:00
136.8699,137.02,136.76,136.985,1541,2024-04-08 11:39:00-04:00
137.02,137.02,137.02,137.02,100,2024-04-08 11:40:00-04:00
136.87,136.935,136.7985,136.7985,1100,2024-04-08 11:41:00-04:00
136.855,136.855,136.855,136.855,200,2024-04-08 11:42:00-04:00
136.855,136.86,136.855,136.86,200,2024-04-08 11:43:00-04:00
136.855,136.855,136.76,136.76,200,2024-04-08 11:44:00-04:00
136.89,136.91,136.86,136.91,1200,2024-04-08 11:45:00-04:00
136.96,137.02,136.96,137.02,652,2024-04-08 11:46:00-04:00
137.02,137.08,136.95,137.07,2386,2024-04-08 11:47:00-04:00
137.01,137.15,137.01,137.075,2185,2024-04-08 11:48:00-04:00
137.14,137.14,137.14,137.14,100,2024-04-08 11:49:00-04:00
137.245,137.285,137.19,137.28,500,2024-04-08 11:50:00-04:00
137.25,137.34,137.24,137.325,400,2024-04-08 11:51:00-04:00
137.21,137.225,137.05,137.05,4607,2024-04-08 11:53:00-04:00
137.0,137.0,137.0,137.0,110,2024-04-08 11:54:00-04:00
137.02,137.02,137.0075,137.015,300,2024-04-08 11:55:00-04:00
137.01,137.01,136.94,136.94,1500,2024-04-08 11:56:00-04:00
136.8401,137.04,136.8401,137.025,2254,2024-04-08 11:57:00-04:00
137.025,137.025,136.99,136.99,300,2024-04-08 11:58:00-04:00
137.02,137.02,137.02,137.02,200,2024-04-08 11:59:00-04:00
137.02,137.02,136.97,137.0,1300,2024-04-08 12:00:00-04:00
137.01,137.01,136.84,136.885,3200,2024-04-08 12:01:00-04:00
136.885,136.885,136.77,136.825,605,2024-04-08 12:02:00-04:00
136.88,136.97,136.88,136.88,874,2024-04-08 12:03:00-04:00
136.875,136.875,136.875,136.875,400,2024-04-08 12:04:00-04:00
136.7912,136.8805,136.7912,136.87,3059,2024-04-08 12:05:00-04:00
136.8,136.865,136.775,136.85,1500,2024-04-08 12:07:00-04:00
136.785,136.87,136.785,136.87,1411,2024-04-08 12:08:00-04:00
136.87,136.87,136.87,136.87,400,2024-04-08 12:09:00-04:00
136.82,136.82,136.755,136.755,1630,2024-04-08 12:10:00-04:00
136.755,136.755,136.575,136.575,1300,2024-04-08 12:11:00-04:00
136.575,136.575,136.575,136.575,100,2024-04-08 12:12:00-04:00
136.66,136.685,136.58,136.58,1667,2024-04-08 12:13:00-04:00
136.55,136.665,136.55,136.645,609,2024-04-08 12:17:00-04:00
136.71,136.71,136.71,136.71,100,2024-04-08 12:18:00-04:00
