open,high,low,close,volume,datetime
56.64,56.64,56.64,56.64,100,2024-04-08 08:38:00-04:00
57.23,57.23,56.98,57.19,2166,2024-04-08 09:27:00-04:00
57.0,57.74,57.0,57.3,33552,2024-04-08 09:30:00-04:00
57.26,57.4,56.91,57.21,2692,2024-04-08 09:31:00-04:00
57.23,57.23,57.22,57.22,274,2024-04-08 09:33:00-04:00
57.31,57.31,57.31,57.31,200,2024-04-08 09:34:00-04:00
57.38,57.475,57.38,57.475,1100,2024-04-08 09:37:00-04:00
57.5,57.535,57.47,57.51,1000,2024-04-08 09:38:00-04:00
57.65,57.83,57.64,57.83,3475,2024-04-08 09:39:00-04:00
57.79,57.9,57.78,57.85,4225,2024-04-08 09:40:00-04:00
57.85,57.97,57.85,57.97,940,2024-04-08 09:41:00-04:00
57.91,58.0,57.76,57.97,5937,2024-04-08 09:42:00-04:00
58.0,58.03,58.0,58.0,300,2024-04-08 09:43:00-04:00
58.03,58.05,57.95,57.95,1603,2024-04-08 09:44:00-04:00
57.97,57.97,57.85,57.85,1156,2024-04-08 09:45:00-04:00
57.91,57.96,57.75,57.75,1300,2024-04-08 09:46:00-04:00
57.7,57.74,57.69,57.74,400,2024-04-08 09:47:00-04:00
57.71,57.73,57.63,57.63,857,2024-04-08 09:48:00-04:00
57.67,57.67,57.54,57.55,3148,2024-04-08 09:49:00-04:00
57.51,57.51,57.3123,57.3123,1010,2024-04-08 09:50:00-04:00
57.31,57.32,57.19,57.19,805,2024-04-08 09:51:00-04:00
57.19,57.19,57.14,57.14,431,2024-04-08 09:52:00-04:00
57.145,57.23,57.145,57.23,400,2024-04-08 09:54:00-04:00
57.295,57.34,57.295,57.34,400,2024-04-08 09:55:00-04:00
57.35,57.37,57.34,57.34,605,2024-04-08 09:56:00-04:00
57.3598,57.39,57.3598,57.38,674,2024-04-08 09:57:00-04:00
57.34,57.34,57.34,57.34,362,2024-04-08 09:58:00-04:00
57.35,57.38,57.3,57.3,2343,2024-04-08 09:59:00-04:00
57.27,57.3,57.25,57.3,2400,2024-04-08 10:00:00-04:00
57.35,57.38,57.34,57.345,2556,2024-04-08 10:01:00-04:00
57.33,57.42,57.33,57.42,2460,2024-04-08 10:02:00-04:00
57.36,57.4,57.36,57.395,1317,2024-04-08 10:03:00-04:00
57.4,57.4,57.37,57.38,1854,2024-04-08 10:04:00-04:00
57.4,57.4,57.37,57.38,3010,2024-04-08 10:05:00-04:00
57.375,57.425,57.375,57.41,4251,2024-04-08 10:06:00-04:00
57.39,57.39,57.38,57.38,700,2024-04-08 10:07:00-04:00
57.375,57.405,57.36,57.39,1400,2024-04-08 10:08:00-04:00
57.4,57.4,57.36,57.395,3645,2024-04-08 10:09:00-04:00
