open,high,low,close,volume,datetime
286.99,286.99,286.99,286.99,1339,2024-04-08 09:30:00-04:00
286.98,286.98,286.98,286.98,300,2024-04-08 09:39:00-04:00
286.59,286.59,286.59,286.59,100,2024-04-08 09:41:00-04:00
286.57,286.57,286.57,286.57,100,2024-04-08 09:44:00-04:00
286.93,286.93,286.93,286.93,218,2024-04-08 09:46:00-04:00
286.15,286.15,286.15,286.15,100,2024-04-08 09:49:00-04:00
286.375,286.375,285.94,286.12,849,2024-04-08 09:50:00-04:00
285.97,285.97,285.97,285.97,100,2024-04-08 09:53:00-04:00
285.8943,285.8943,285.8943,285.8943,125,2024-04-08 09:54:00-04:00
285.6,285.6,285.6,285.6,100,2024-04-08 09:56:00-04:00
285.67,285.67,285.67,285.67,100,2024-04-08 09:57:00-04:00
285.81,285.98,285.68,285.98,748,2024-04-08 09:58:00-04:00
285.95,286.22,285.83,286.17,2212,2024-04-08 10:00:00-04:00
286.12,286.13,286.12,286.12,1200,2024-04-08 10:02:00-04:00
285.885,285.885,285.885,285.885,200,2024-04-08 10:05:00-04:00
285.84,285.84,285.35,285.35,1539,2024-04-08 10:07:00-04:00
285.81,285.81,285.81,285.81,100,2024-04-08 10:08:00-04:00
285.63,285.775,285.58,285.72,900,2024-04-08 10:13:00-04:00
285.88,285.88,285.88,285.88,100,2024-04-08 10:15:00-04:00
285.805,285.805,285.805,285.805,100,2024-04-08 10:18:00-04:00
285.805,286.33,285.8,286.085,1287,2024-04-08 10:19:00-04:00
286.32,286.56,286.08,286.08,2819,2024-04-08 10:20:00-04:00
285.6943,285.6943,285.63,285.68,351,2024-04-08 10:21:00-04:00
285.695,285.695,285.695,285.695,200,2024-04-08 10:23:00-04:00
285.6806,285.6806,285.6806,285.6806,209,2024-04-08 10:24:00-04:00
285.695,285.695,285.695,285.695,100,2024-04-08 10:25:00-04:00
285.52,285.52,285.52,285.52,100,2024-04-08 10:27:00-04:00
285.51,285.51,285.51,285.51,500,2024-04-08 10:28:00-04:00
285.1601,285.65,285.1601,285.65,950,2024-04-08 10:31:00-04:00
285.5419,285.5419,285.5419,285.5419,120,2024-04-08 10:36:00-04:00
286.0,286.0,286.0,286.0,139,2024-04-08 10:38:00-04:00
286.31,286.36,286.155,286.36,400,2024-04-08 10:39:00-04:00
286.32,286.98,286.32,286.64,3384,2024-04-08 10:41:00-04:00
286.58,287.1,286.58,287.1,1865,2024-04-08 10:42:00-04:00
286.63,286.63,286.62,286.62,300,2024-04-08 10:44:00-04:00
286.745,286.745,286.735,286.735,274,2024-04-08 10:47:00-04:00
286.74,286.74,286.74,286.74,300,2024-04-08 10:48:00-04:00
286.47,286.47,286.4175,286.4175,1400,2024-04-08 10:49:00-04:00
286.21,286.508,286.21,286.508,446,2024-04-08 10:50:00-04:00
286.0,286.0,286.0,286.0,100,2024-04-08 10:52:00-04:00
286.16,286.16,285.955,285.955,200,2024-04-08 10:56:00-04:00
285.75,285.99,285.75,285.99,719,2024-04-08 11:00:00-04:00
286.09,286.17,286.09,286.17,200,2024-04-08 11:01:00-04:00
286.22,286.27,286.01,286.11,417,2024-04-08 11:02:00-04:00
286.07,286.07,286.07,286.07,100,2024-04-08 11:03:00-04:00
286.07,286.08,286.07,286.08,200,2024-04-08 11:04:00-04:00
286.02,286.075,286.02,286.075,487,2024-04-08 11:07:00-04:00
286.075,286.075,286.075,286.075,200,2024-04-08 11:09:00-04:00
285.94,285.94,285.94,285.94,100,2024-04-08 11:10:00-04:00
286.075,286.075,286.075,286.075,100,2024-04-08 11:11:00-04:00
285.92,285.92,285.86,285.86,1650,2024-04-08 11:12:00-04:00
285.97,286.17,285.96,286.17,1230,2024-04-08 11:17:00-04:00
286.18,286.45,286.18,286.45,400,2024-04-08 11:18:00-04:00
286.495,286.495,286.495,286.495,100,2024-04-08 11:19:00-04:00
286.335,286.335,286.335,286.335,100,2024-04-08 11:20:00-04:00
286.345,286.345,286.335,286.335,400,2024-04-08 11:21:00-04:00
286.37,286.37,286.37,286.37,100,2024-04-08 11:22:00-04:00
286.6,286.6,286.37,286.39,600,2024-04-08 11:23:00-04:00
286.37,286.37,286.37,286.37,100,2024-04-08 11:24:00-04:00
286.365,286.365,286.365,286.365,100,2024-04-08 11:26:00-04:00
286.35,286.35,286.35,286.35,142,2024-04-08 11:27:00-04:00
286.19,286.34,286.19,286.34,200,2024-04-08 11:28:00-04:00
286.22,286.22,286.22,286.22,100,2024-04-08 11:29:00-04:00
286.31,286.31,286.31,286.31,200,2024-04-08 11:30:00-04:00
286.31,286.31,286.31,286.31,100,2024-04-08 11:31:00-04:00
286.15,286.15,286.15,286.15,1711,2024-04-08 11:32:00-04:00
286.16,286.305,286.07,286.07,2000,2024-04-08 11:33:00-04:00
286.07,286.23,286.07,286.07,640,2024-04-08 11:34:00-04:00
286.07,286.18,285.95,286.15,1800,2024-04-08 11:36:00-04:00
286.15,286.19,286.15,286.15,1000,2024-04-08 11:37:00-04:00
286.15,286.29,286.15,286.29,200,2024-04-08 11:38:00-04:00
286.205,286.205,286.205,286.205,106,2024-04-08 11:39:00-04:00
