open,high,low,close,volume,datetime
211.57,211.58,211.34,211.58,7080,2024-04-08 09:30:00-04:00
211.78,211.78,211.17,211.6,600,2024-04-08 09:31:00-04:00
211.69,211.69,211.4,211.4,200,2024-04-08 09:32:00-04:00
211.57,211.57,211.57,211.57,100,2024-04-08 09:33:00-04:00
211.66,211.66,211.66,211.66,100,2024-04-08 09:34:00-04:00
211.505,211.6,211.34,211.42,400,2024-04-08 09:35:00-04:00
211.33,211.4,211.22,211.36,500,2024-04-08 09:36:00-04:00
211.36,211.74,211.36,211.605,2448,2024-04-08 09:37:00-04:00
211.47,211.5,211.36,211.5,953,2024-04-08 09:38:00-04:00
211.58,211.61,211.58,211.6,300,2024-04-08 09:39:00-04:00
211.49,211.49,211.43,211.43,200,2024-04-08 09:40:00-04:00
211.34,211.38,211.325,211.38,300,2024-04-08 09:41:00-04:00
211.27,211.55,211.15,211.45,1985,2024-04-08 09:42:00-04:00
211.51,211.67,211.51,211.67,407,2024-04-08 09:43:00-04:00
211.61,211.61,211.5027,211.5027,943,2024-04-08 09:45:00-04:00
211.645,211.68,211.555,211.62,800,2024-04-08 09:46:00-04:00
211.61,211.61,211.51,211.51,300,2024-04-08 09:47:00-04:00
211.45,211.5,211.405,211.5,4000,2024-04-08 09:48:00-04:00
211.44,211.45,211.355,211.355,300,2024-04-08 09:49:00-04:00
211.32,211.32,211.31,211.31,245,2024-04-08 09:50:00-04:00
211.4,211.45,211.25,211.38,2051,2024-04-08 09:51:00-04:00
211.46,211.51,211.41,211.41,642,2024-04-08 09:52:00-04:00
211.43,211.43,211.385,211.39,909,2024-04-08 09:53:00-04:00
211.505,211.585,211.505,211.585,1149,2024-04-08 09:54:00-04:00
211.575,212.63,211.575,211.83,9420,2024-04-08 09:55:00-04:00
211.75,211.87,211.75,211.87,408,2024-04-08 09:56:00-04:00
212.02,212.02,211.9,211.9,525,2024-04-08 09:57:00-04:00
211.78,211.795,211.78,211.795,200,2024-04-08 09:58:00-04:00
211.915,211.915,211.835,211.835,700,2024-04-08 09:59:00-04:00
211.86,211.92,211.86,211.88,1800,2024-04-08 10:00:00-04:00
211.82,211.82,211.66,211.69,709,2024-04-08 10:01:00-04:00
211.68,211.68,211.68,211.68,200,2024-04-08 10:02:00-04:00
211.59,211.59,211.5,211.57,1148,2024-04-08 10:03:00-04:00
211.49,211.67,211.45,211.67,1063,2024-04-08 10:04:00-04:00
211.625,211.81,211.625,211.72,1438,2024-04-08 10:05:00-04:00
211.82,211.85,211.82,211.85,200,2024-04-08 10:06:00-04:00
211.96,211.96,211.91,211.91,200,2024-04-08 10:07:00-04:00
211.95,212.01,211.915,211.92,1919,2024-04-08 10:08:00-04:00
211.98,212.08,211.98,212.035,1100,2024-04-08 10:09:00-04:00
212.12,212.12,212.12,212.12,200,2024-04-08 10:10:00-04:00
212.21,212.22,212.19,212.19,518,2024-04-08 10:11:00-04:00
212.175,212.24,212.105,212.105,2625,2024-04-08 10:12:00-04:00
212.05,212.08,211.955,212.04,900,2024-04-08 10:13:00-04:00
212.065,212.24,212.065,212.24,2188,2024-04-08 10:14:00-04:00
212.16,212.21,212.12,212.12,1450,2024-04-08 10:15:00-04:00
212.05,212.06,212.05,212.05,500,2024-04-08 10:16:00-04:00
211.985,212.075,211.985,212.04,1400,2024-04-08 10:17:00-04:00
212.12,212.2299,212.1,212.2299,758,2024-04-08 10:18:00-04:00
212.12,212.15,212.12,212.15,200,2024-04-08 10:19:00-04:00
212.2,212.29,212.195,212.27,1201,2024-04-08 10:20:00-04:00
212.27,212.27,212.14,212.2525,1100,2024-04-08 10:21:00-04:00
212.26,212.29,212.22,212.29,1300,2024-04-08 10:22:00-04:00
212.25,212.25,212.21,212.21,997,2024-04-08 10:23:00-04:00
212.155,212.155,212.1,212.13,2948,2024-04-08 10:24:00-04:00
212.12,212.2,212.11,212.15,2286,2024-04-08 10:25:00-04:00
212.145,212.17,212.08,212.1,1895,2024-04-08 10:26:00-04:00
212.16,212.35,212.16,212.35,1501,2024-04-08 10:27:00-04:00
212.26,212.26,212.21,212.21,300,2024-04-08 10:28:00-04:00
212.23,212.26,212.23,212.26,434,2024-04-08 10:29:00-04:00
212.31,212.37,212.25,212.355,507,2024-04-08 10:30:00-04:00
212.38,212.38,212.3,212.3,720,2024-04-08 10:31:00-04:00
212.27,212.29,212.17,212.24,9157,2024-04-08 10:32:00-04:00
212.23,212.32,212.19,212.19,2093,2024-04-08 10:33:00-04:00
212.165,212.165,212.12,212.12,1076,2024-04-08 10:34:00-04:00
212.15,212.15,212.0,212.0,1000,2024-04-08 10:35:00-04:00
211.995,212.1,211.995,212.015,1811,2024-04-08 10:36:00-04:00
212.05,212.05,212.04,212.04,800,2024-04-08 10:37:00-04:00
211.96,212.01,211.96,212.01,301,2024-04-08 10:38:00-04:00
212.025,212.04,211.995,212.01,500,2024-04-08 10:39:00-04:00
211.9,211.9,211.9,211.9,100,2024-04-08 10:40:00-04:00
211.96,211.965,211.89,211.89,1400,2024-04-08 10:41:00-04:00
211.82,211.88,211.82,211.88,200,2024-04-08 10:42:00-04:00
211.78,211.86,211.78,211.86,336,2024-04-08 10:43:00-04:00
211.795,211.8,211.795,211.8,300,2024-04-08 10:44:00-04:00
211.78,211.83,211.75,211.81,717,2024-04-08 10:45:00-04:00
211.785,211.92,211.785,211.92,2100,2024-04-08 10:46:00-04:00
211.93,211.93,211.84,211.84,2600,2024-04-08 10:47:00-04:00
211.87,211.87,211.75,211.75,300,2024-04-08 10:48:00-04:00
211.76,211.77,211.65,211.65,775,2024-04-08 10:49:00-04:00
211.685,211.685,211.64,211.66,400,2024-04-08 10:50:00-04:00
211.66,211.66,211.6,211.65,844,2024-04-08 10:51:00-04:00
211.61,211.76,211.61,211.73,2897,2024-04-08 10:52:00-04:00
211.78,211.96,211.78,211.96,2800,2024-04-08 10:53:00-04:00
211.9,211.91,211.86,211.88,3700,2024-04-08 10:54:00-04:00
211.9,211.925,211.9,211.91,400,2024-04-08 10:55:00-04:00
211.845,211.845,211.845,211.845,480,2024-04-08 10:56:00-04:00
211.93,212.03,211.73,211.73,2273,2024-04-08 10:57:00-04:00
211.765,211.765,211.765,211.765,100,2024-04-08 10:58:00-04:00
211.76,211.82,211.76,211.82,549,2024-04-08 10:59:00-04:00
211.82,211.87,211.8,211.87,645,2024-04-08 11:00:00-04:00
211.79,211.79,211.79,211.79,100,2024-04-08 11:01:00-04:00
211.83,211.83,211.615,211.69,6082,2024-04-08 11:02:00-04:00
211.7,211.77,211.7,211.77,600,2024-04-08 11:03:00-04:00
211.78,211.78,211.77,211.77,400,2024-04-08 11:04:00-04:00
211.75,211.81,211.75,211.78,400,2024-04-08 11:05:00-04:00
211.76,211.76,211.74,211.74,300,2024-04-08 11:06:00-04:00
211.765,211.79,211.765,211.78,600,2024-04-08 11:07:00-04:00
211.78,211.78,211.74,211.75,700,2024-04-08 11:08:00-04:00
211.78,211.8,211.76,211.8,2300,2024-04-08 11:09:00-04:00
211.8,211.8,211.745,211.75,1200,2024-04-08 11:10:00-04:00
211.74,211.76,211.695,211.71,800,2024-04-08 11:11:00-04:00
211.71,211.71,211.68,211.68,702,2024-04-08 11:12:00-04:00
211.72,211.72,211.66,211.66,300,2024-04-08 11:13:00-04:00
211.67,211.67,211.56,211.595,1627,2024-04-08 11:14:00-04:00
211.69,211.73,211.6,211.655,1270,2024-04-08 11:15:00-04:00
211.65,211.65,211.63,211.63,200,2024-04-08 11:16:00-04:00
211.68,211.7,211.67,211.67,700,2024-04-08 11:17:00-04:00
211.735,211.775,211.735,211.775,505,2024-04-08 11:18:00-04:00
211.78,211.78,211.7,211.75,1412,2024-04-08 11:19:00-04:00
211.74,211.77,211.74,211.77,600,2024-04-08 11:20:00-04:00
211.77,211.8,211.755,211.8,1800,2024-04-08 11:21:00-04:00
211.795,211.8,211.795,211.8,1000,2024-04-08 11:22:00-04:00
211.8,211.8,211.74,211.785,2177,2024-04-08 11:23:00-04:00
211.82,211.82,211.76,211.8,4846,2024-04-08 11:24:00-04:00
211.73,211.8,211.73,211.8,1448,2024-04-08 11:25:00-04:00
211.81,211.81,211.725,211.73,1300,2024-04-08 11:26:00-04:00
211.7,211.73,211.68,211.68,3270,2024-04-08 11:28:00-04:00
211.68,211.72,211.67,211.72,2396,2024-04-08 11:29:00-04:00
211.66,211.72,211.66,211.72,800,2024-04-08 11:30:00-04:00
211.8,211.81,211.77,211.8,4201,2024-04-08 11:31:00-04:00
211.8,211.87,211.8,211.84,2424,2024-04-08 11:32:00-04:00
211.86,212.03,211.8,211.95,4994,2024-04-08 11:33:00-04:00
211.95,212.04,211.95,212.04,500,2024-04-08 11:34:00-04:00
212.07,212.09,211.98,212.0,1400,2024-04-08 11:35:00-04:00
211.98,211.98,211.87,211.93,3383,2024-04-08 11:36:00-04:00
211.88,211.88,211.835,211.835,500,2024-04-08 11:37:00-04:00
211.845,211.87,211.82,211.82,300,2024-04-08 11:38:00-04:00
211.88,211.915,211.825,211.915,1270,2024-04-08 11:39:00-04:00
212.0,212.0,211.84,211.84,1321,2024-04-08 11:41:00-04:00
211.88,211.88,211.85,211.8595,850,2024-04-08 11:42:00-04:00
211.91,211.98,211.91,211.98,600,2024-04-08 11:43:00-04:00
212.15,212.17,212.15,212.17,800,2024-04-08 11:44:00-04:00
212.09,212.1,212.005,212.005,500,2024-04-08 11:45:00-04:00
212.07,212.09,212.07,212.08,500,2024-04-08 11:46:00-04:00
212.06,212.09,212.06,212.065,1000,2024-04-08 11:47:00-04:00
212.0,212.1,212.0,212.08,700,2024-04-08 11:48:00-04:00
212.11,212.13,212.05,212.05,836,2024-04-08 11:49:00-04:00
211.96,211.96,211.96,211.96,200,2024-04-08 11:50:00-04:00
212.04,212.04,212.04,212.04,400,2024-04-08 11:51:00-04:00
212.02,212.07,212.005,212.07,600,2024-04-08 11:52:00-04:00
212.01,212.01,211.95,211.95,900,2024-04-08 11:53:00-04:00
211.93,211.95,211.92,211.94,1750,2024-04-08 11:54:00-04:00
211.92,211.98,211.91,211.97,1100,2024-04-08 11:55:00-04:00
211.9,211.9,211.78,211.86,1104,2024-04-08 11:56:00-04:00
211.89,211.9,211.89,211.9,465,2024-04-08 11:57:00-04:00
211.9,211.96,211.895,211.96,1708,2024-04-08 11:58:00-04:00
211.97,211.98,211.93,211.93,700,2024-04-08 11:59:00-04:00
211.95,211.95,211.92,211.92,200,2024-04-08 12:00:00-04:00
211.92,211.92,211.9,211.9,200,2024-04-08 12:01:00-04:00
211.93,211.94,211.91,211.91,800,2024-04-08 12:02:00-04:00
211.94,211.99,211.94,211.99,700,2024-04-08 12:03:00-04:00
212.02,212.02,211.89,211.89,400,2024-04-08 12:04:00-04:00
211.97,211.97,211.97,211.97,100,2024-04-08 12:05:00-04:00
211.95,211.99,211.93,211.99,600,2024-04-08 12:06:00-04:00
212.03,212.14,212.01,212.14,503,2024-04-08 12:07:00-04:00
212.17,212.17,212.1,212.14,600,2024-04-08 12:08:00-04:00
212.135,212.135,212.0,212.0,925,2024-04-08 12:09:00-04:00
212.02,212.025,212.02,212.025,500,2024-04-08 12:10:00-04:00
211.995,212.02,211.97,211.97,500,2024-04-08 12:11:00-04:00
211.99,211.99,211.99,211.99,100,2024-04-08 12:12:00-04:00
211.93,211.98,211.855,211.855,1028,2024-04-08 12:13:00-04:00
211.93,211.94,211.93,211.94,600,2024-04-08 12:14:00-04:00
211.93,211.93,211.85,211.85,500,2024-04-08 12:15:00-04:00
211.99,211.99,211.99,211.99,100,2024-04-08 12:16:00-04:00
211.9771,212.02,211.965,212.02,870,2024-04-08 12:17:00-04:00
212.03,212.12,212.025,212.12,901,2024-04-08 12:18:00-04:00
212.12,212.14,212.12,212.14,300,2024-04-08 12:19:00-04:00
212.08,212.08,212.025,212.025,964,2024-04-08 12:20:00-04:00
212.02,212.04,212.0,212.04,300,2024-04-08 12:21:00-04:00
212.005,212.01,211.96,211.96,900,2024-04-08 12:22:00-04:00
211.87,211.87,211.81,211.87,1726,2024-04-08 12:23:00-04:00
211.89,211.89,211.78,211.86,400,2024-04-08 12:24:00-04:00
