open,high,low,close,volume,datetime
18.02,18.02,18.02,18.02,100,2024-04-08 07:57:00-04:00
18.0,18.0,18.0,18.0,250,2024-04-08 08:10:00-04:00
18.2,18.2,18.2,18.2,1000,2024-04-08 09:09:00-04:00
18.11,18.12,18.11,18.12,315,2024-04-08 09:13:00-04:00
18.18,18.18,18.18,18.18,150,2024-04-08 09:18:00-04:00
18.11,18.11,18.11,18.11,103,2024-04-08 09:23:00-04:00
18.18,18.24,18.18,18.24,3344,2024-04-08 09:29:00-04:00
18.21,18.3,18.21,18.3,112945,2024-04-08 09:30:00-04:00
18.305,18.4,18.3,18.3786,75211,2024-04-08 09:31:00-04:00
18.365,18.4,18.36,18.38,46740,2024-04-08 09:32:00-04:00
18.38,18.385,18.29,18.305,53010,2024-04-08 09:33:00-04:00
18.305,18.32,18.27,18.305,13380,2024-04-08 09:34:00-04:00
18.3,18.3,18.21,18.24,17023,2024-04-08 09:35:00-04:00
18.235,18.25,18.19,18.2075,25032,2024-04-08 09:36:00-04:00
18.205,18.205,18.16,18.18,12147,2024-04-08 09:37:00-04:00
18.2,18.23,18.2,18.21,15247,2024-04-08 09:38:00-04:00
18.22,18.23,18.21,18.22,11823,2024-04-08 09:39:00-04:00
18.215,18.29,18.195,18.29,68703,2024-04-08 09:40:00-04:00
18.285,18.335,18.26,18.32,92501,2024-04-08 09:41:00-04:00
18.31,18.375,18.3,18.355,102894,2024-04-08 09:42:00-04:00
18.355,18.385,18.35,18.355,31940,2024-04-08 09:43:00-04:00
18.36,18.39,18.355,18.36,21599,2024-04-08 09:44:00-04:00
18.36,18.39,18.35,18.385,27797,2024-04-08 09:45:00-04:00
18.38,18.4229,18.38,18.415,48407,2024-04-08 09:46:00-04:00
18.415,18.42,18.355,18.36,13928,2024-04-08 09:47:00-04:00
18.35,18.36,18.33,18.34,21335,2024-04-08 09:48:00-04:00
18.34,18.345,18.32,18.32,23138,2024-04-08 09:49:00-04:00
18.33,18.34,18.29,18.29,15404,2024-04-08 09:50:00-04:00
18.29,18.32,18.28,18.29,19908,2024-04-08 09:51:00-04:00
18.28,18.295,18.28,18.285,12563,2024-04-08 09:52:00-04:00
18.29,18.29,18.255,18.265,22790,2024-04-08 09:53:00-04:00
18.2699,18.2699,18.24,18.26,16884,2024-04-08 09:54:00-04:00
18.26,18.28,18.25,18.25,21428,2024-04-08 09:55:00-04:00
18.255,18.255,18.22,18.225,5620,2024-04-08 09:56:00-04:00
18.22,18.235,18.18,18.235,41964,2024-04-08 09:57:00-04:00
18.234,18.24,18.215,18.22,26955,2024-04-08 09:58:00-04:00
18.215,18.26,18.21,18.26,29157,2024-04-08 09:59:00-04:00
18.255,18.305,18.25,18.29,49405,2024-04-08 10:00:00-04:00
18.29,18.295,18.27,18.275,58124,2024-04-08 10:01:00-04:00
18.27,18.28,18.25,18.255,15364,2024-04-08 10:02:00-04:00
18.255,18.27,18.22,18.2375,53968,2024-04-08 10:03:00-04:00
18.23,18.24,18.22,18.2224,15770,2024-04-08 10:04:00-04:00
18.23,18.23,18.2023,18.21,15634,2024-04-08 10:05:00-04:00
18.205,18.27,18.205,18.265,41945,2024-04-08 10:06:00-04:00
18.2674,18.29,18.26,18.29,16360,2024-04-08 10:07:00-04:00
18.285,18.3,18.28,18.295,20132,2024-04-08 10:08:00-04:00
18.295,18.295,18.26,18.27,25537,2024-04-08 10:09:00-04:00
18.27,18.275,18.25,18.255,32916,2024-04-08 10:10:00-04:00
18.25,18.25,18.23,18.235,24846,2024-04-08 10:11:00-04:00
18.24,18.25,18.22,18.22,23418,2024-04-08 10:12:00-04:00
18.23,18.23,18.2025,18.215,24440,2024-04-08 10:13:00-04:00
18.215,18.215,18.2,18.2,10660,2024-04-08 10:14:00-04:00
18.205,18.215,18.195,18.205,37099,2024-04-08 10:15:00-04:00
18.2025,18.22,18.2,18.215,39883,2024-04-08 10:16:00-04:00
18.215,18.23,18.18,18.21,58342,2024-04-08 10:17:00-04:00
18.21,18.225,18.1841,18.185,70845,2024-04-08 10:18:00-04:00
18.185,18.215,18.18,18.21,48466,2024-04-08 10:19:00-04:00
18.22,18.225,18.21,18.225,24723,2024-04-08 10:20:00-04:00
18.225,18.25,18.225,18.24,39057,2024-04-08 10:21:00-04:00
18.245,18.26,18.245,18.26,18639,2024-04-08 10:22:00-04:00
18.255,18.26,18.23,18.23,28109,2024-04-08 10:23:00-04:00
18.22,18.26,18.215,18.26,34081,2024-04-08 10:24:00-04:00
18.26,18.2875,18.26,18.265,20220,2024-04-08 10:25:00-04:00
18.265,18.265,18.24,18.2497,12314,2024-04-08 10:26:00-04:00
18.248,18.26,18.24,18.255,31416,2024-04-08 10:27:00-04:00
18.255,18.26,18.24,18.258,29007,2024-04-08 10:28:00-04:00
18.25,18.2598,18.23,18.25,47308,2024-04-08 10:29:00-04:00
18.26,18.2788,18.26,18.2775,24745,2024-04-08 10:30:00-04:00
18.28,18.295,18.28,18.29,9001,2024-04-08 10:31:00-04:00
18.2899,18.29,18.28,18.29,10804,2024-04-08 10:32:00-04:00
18.29,18.31,18.285,18.285,37068,2024-04-08 10:33:00-04:00
18.285,18.29,18.28,18.2888,2115,2024-04-08 10:34:00-04:00
18.29,18.31,18.28,18.295,47187,2024-04-08 10:35:00-04:00
18.295,18.295,18.28,18.285,12966,2024-04-08 10:36:00-04:00
18.28,18.285,18.28,18.285,4600,2024-04-08 10:37:00-04:00
18.285,18.2875,18.25,18.2599,19312,2024-04-08 10:38:00-04:00
18.26,18.26,18.242,18.2558,21045,2024-04-08 10:39:00-04:00
18.255,18.2975,18.255,18.285,62636,2024-04-08 10:40:00-04:00
18.27,18.2798,18.27,18.27,1089,2024-04-08 10:41:00-04:00
18.275,18.275,18.26,18.2675,6429,2024-04-08 10:42:00-04:00
18.265,18.27,18.26,18.2675,4018,2024-04-08 10:43:00-04:00
18.2675,18.27,18.26,18.27,3648,2024-04-08 10:44:00-04:00
18.265,18.3,18.26,18.28,86239,2024-04-08 10:45:00-04:00
18.285,18.29,18.27,18.285,34247,2024-04-08 10:46:00-04:00
18.2875,18.3075,18.28,18.3075,18751,2024-04-08 10:47:00-04:00
18.305,18.3075,18.3,18.305,7918,2024-04-08 10:48:00-04:00
18.305,18.305,18.28,18.28,35955,2024-04-08 10:49:00-04:00
18.28,18.29,18.27,18.275,23229,2024-04-08 10:50:00-04:00
18.275,18.2799,18.27,18.27,3300,2024-04-08 10:51:00-04:00
18.275,18.31,18.27,18.3,97825,2024-04-08 10:52:00-04:00
18.305,18.307,18.28,18.2813,25625,2024-04-08 10:53:00-04:00
18.28,18.3,18.28,18.295,37982,2024-04-08 10:54:00-04:00
18.295,18.31,18.285,18.305,65933,2024-04-08 10:55:00-04:00
18.305,18.3199,18.295,18.3,48497,2024-04-08 10:56:00-04:00
18.305,18.31,18.275,18.285,48945,2024-04-08 10:57:00-04:00
18.285,18.295,18.28,18.2875,28080,2024-04-08 10:58:00-04:00
