open,high,low,close,volume,datetime
158.33,158.33,157.54,157.935,9019,2024-04-08 09:30:00-04:00
157.54,158.2,157.54,158.15,724,2024-04-08 09:31:00-04:00
158.16,158.26,158.16,158.165,600,2024-04-08 09:32:00-04:00
158.285,158.285,158.285,158.285,100,2024-04-08 09:33:00-04:00
158.415,158.71,158.415,158.71,200,2024-04-08 09:35:00-04:00
158.2317,158.2317,158.2317,158.2317,100,2024-04-08 09:37:00-04:00
158.17,158.18,158.17,158.18,484,2024-04-08 09:38:00-04:00
157.91,157.91,157.91,157.91,100,2024-04-08 09:39:00-04:00
157.9271,157.95,157.9271,157.94,700,2024-04-08 09:40:00-04:00
158.07,158.19,158.04,158.19,2513,2024-04-08 09:41:00-04:00
158.2,158.3,158.2,158.2,300,2024-04-08 09:42:00-04:00
158.045,158.2,158.045,158.19,300,2024-04-08 09:43:00-04:00
158.24,158.41,158.225,158.41,531,2024-04-08 09:44:00-04:00
158.39,158.6,158.39,158.6,300,2024-04-08 09:47:00-04:00
158.58,158.6,158.58,158.58,500,2024-04-08 09:48:00-04:00
158.415,158.415,158.35,158.35,314,2024-04-08 09:49:00-04:00
158.24,158.37,158.2,158.2,1080,2024-04-08 09:50:00-04:00
158.24,158.24,158.225,158.225,300,2024-04-08 09:51:00-04:00
158.165,158.2,158.165,158.2,400,2024-04-08 09:52:00-04:00
158.25,158.34,158.2,158.25,3241,2024-04-08 09:53:00-04:00
158.44,158.49,158.35,158.365,1841,2024-04-08 09:54:00-04:00
158.27,158.56,158.25,158.56,3535,2024-04-08 09:56:00-04:00
158.56,158.56,158.56,158.56,100,2024-04-08 09:57:00-04:00
158.555,158.6,158.555,158.6,1000,2024-04-08 09:58:00-04:00
158.635,158.845,158.57,158.735,6536,2024-04-08 10:00:00-04:00
158.68,158.69,158.5,158.545,3730,2024-04-08 10:01:00-04:00
158.5,158.5,158.49,158.49,694,2024-04-08 10:02:00-04:00
158.445,158.54,158.375,158.375,821,2024-04-08 10:03:00-04:00
158.38,158.38,158.31,158.31,900,2024-04-08 10:04:00-04:00
158.36,159.04,158.36,158.915,79923,2024-04-08 10:05:00-04:00
158.8217,158.8217,158.65,158.65,726,2024-04-08 10:06:00-04:00
158.69,158.69,158.56,158.56,400,2024-04-08 10:07:00-04:00
158.635,158.65,158.635,158.65,2170,2024-04-08 10:08:00-04:00
158.75,158.75,158.6,158.6,500,2024-04-08 10:09:00-04:00
158.71,158.76,158.69,158.745,1100,2024-04-08 10:10:00-04:00
158.76,158.76,158.71,158.76,1315,2024-04-08 10:11:00-04:00
158.7,158.7,158.65,158.65,1100,2024-04-08 10:12:00-04:00
158.645,158.645,158.57,158.57,500,2024-04-08 10:13:00-04:00
158.62,158.68,158.62,158.675,1148,2024-04-08 10:15:00-04:00
158.645,158.77,158.645,158.705,1400,2024-04-08 10:16:00-04:00
158.705,158.705,158.44,158.51,2441,2024-04-08 10:17:00-04:00
158.48,158.48,158.45,158.45,869,2024-04-08 10:18:00-04:00
158.39,158.445,158.39,158.445,400,2024-04-08 10:19:00-04:00
158.53,158.61,158.53,158.61,927,2024-04-08 10:20:00-04:00
158.54,158.54,158.41,158.54,1600,2024-04-08 10:23:00-04:00
158.43,158.525,158.43,158.525,269,2024-04-08 10:24:00-04:00
158.4491,158.64,158.4491,158.64,493,2024-04-08 10:25:00-04:00
158.71,159.165,158.68,159.115,5159,2024-04-08 10:27:00-04:00
159.22,159.22,159.18,159.18,400,2024-04-08 10:28:00-04:00
159.18,159.21,159.125,159.125,600,2024-04-08 10:29:00-04:00
159.15,159.21,159.15,159.21,782,2024-04-08 10:30:00-04:00
159.26,159.34,159.235,159.3,600,2024-04-08 10:31:00-04:00
159.365,159.49,159.365,159.4,300,2024-04-08 10:32:00-04:00
159.41,159.43,159.37,159.43,940,2024-04-08 10:33:00-04:00
159.31,159.31,159.25,159.29,3651,2024-04-08 10:34:00-04:00
159.2,159.29,159.2,159.29,1367,2024-04-08 10:35:00-04:00
159.235,159.235,159.235,159.235,100,2024-04-08 10:36:00-04:00
159.235,159.235,159.235,159.235,300,2024-04-08 10:37:00-04:00
159.24,159.25,159.24,159.25,200,2024-04-08 10:38:00-04:00
159.3,159.3,159.16,159.17,1123,2024-04-08 10:39:00-04:00
159.06,159.06,159.05,159.05,1030,2024-04-08 10:42:00-04:00
159.0,159.0,159.0,159.0,192,2024-04-08 10:43:00-04:00
159.055,159.11,159.055,159.1,1362,2024-04-08 10:44:00-04:00
159.0,159.17,159.0,159.0,5528,2024-04-08 10:45:00-04:00
159.19,159.35,159.18,159.35,2423,2024-04-08 10:47:00-04:00
159.3,159.31,159.27,159.3,1566,2024-04-08 10:49:00-04:00
159.32,159.32,159.32,159.32,100,2024-04-08 10:50:00-04:00
159.36,159.36,159.36,159.36,100,2024-04-08 10:51:00-04:00
159.3,159.3,159.24,159.24,706,2024-04-08 10:52:00-04:00
159.21,159.32,159.16,159.23,1186,2024-04-08 10:53:00-04:00
159.3,159.3,159.1861,159.1861,326,2024-04-08 10:54:00-04:00
159.31,159.31,159.25,159.25,400,2024-04-08 10:56:00-04:00
159.2,159.2,159.07,159.07,4046,2024-04-08 10:57:00-04:00
159.18,159.26,159.18,159.26,1126,2024-04-08 10:58:00-04:00
159.29,159.29,159.29,159.29,439,2024-04-08 11:00:00-04:00
159.19,159.26,159.19,159.245,4828,2024-04-08 11:01:00-04:00
159.17,159.18,159.135,159.14,920,2024-04-08 11:02:00-04:00
159.13,159.13,159.125,159.125,200,2024-04-08 11:03:00-04:00
159.13,159.135,159.13,159.135,200,2024-04-08 11:04:00-04:00
159.05,159.05,159.0,159.0,800,2024-04-08 11:06:00-04:00
159.0,159.01,159.0,159.0,442,2024-04-08 11:07:00-04:00
159.0,159.035,158.93,159.035,5890,2024-04-08 11:08:00-04:00
159.05,159.09,159.0109,159.09,900,2024-04-08 11:09:00-04:00
159.075,159.075,159.075,159.075,100,2024-04-08 11:10:00-04:00
159.065,159.14,159.06,159.13,879,2024-04-08 11:12:00-04:00
159.0756,159.17,159.0756,159.17,940,2024-04-08 11:13:00-04:00
159.125,159.14,159.125,159.14,200,2024-04-08 11:14:00-04:00
159.07,159.09,159.06,159.07,2512,2024-04-08 11:16:00-04:00
159.01,159.01,159.0,159.0,600,2024-04-08 11:17:00-04:00
159.02,159.02,159.01,159.01,200,2024-04-08 11:19:00-04:00
159.0,159.0075,158.925,158.935,7682,2024-04-08 11:20:00-04:00
158.9123,158.9123,158.72,158.72,1003,2024-04-08 11:21:00-04:00
158.81,158.81,158.8,158.8,1606,2024-04-08 11:22:00-04:00
158.8,158.8,158.8,158.8,300,2024-04-08 11:23:00-04:00
158.85,158.85,158.85,158.85,805,2024-04-08 11:24:00-04:00
158.82,158.87,158.8,158.86,1095,2024-04-08 11:25:00-04:00
158.89,158.91,158.87,158.87,993,2024-04-08 11:26:00-04:00
158.9,158.9,158.82,158.82,500,2024-04-08 11:28:00-04:00
158.74,158.74,158.73,158.74,800,2024-04-08 11:30:00-04:00
158.63,158.63,158.63,158.63,600,2024-04-08 11:31:00-04:00
158.66,158.66,158.66,158.66,100,2024-04-08 11:33:00-04:00
158.585,158.585,158.5,158.5,255,2024-04-08 11:34:00-04:00
158.39,158.39,158.39,158.39,100,2024-04-08 11:35:00-04:00
158.32,158.32,158.265,158.265,900,2024-04-08 11:36:00-04:00
158.2089,158.34,158.2089,158.34,3001,2024-04-08 11:37:00-04:00
158.32,158.32,158.275,158.28,701,2024-04-08 11:38:00-04:00
158.36,158.36,158.33,158.33,300,2024-04-08 11:40:00-04:00
158.295,158.295,158.295,158.295,100,2024-04-08 11:41:00-04:00
158.35,158.3999,158.35,158.36,702,2024-04-08 11:42:00-04:00
158.44,158.51,158.39,158.44,4506,2024-04-08 11:43:00-04:00
158.5,158.6,158.495,158.495,1000,2024-04-08 11:44:00-04:00
158.61,158.61,158.51,158.545,1600,2024-04-08 11:45:00-04:00
158.505,158.57,158.5,158.57,945,2024-04-08 11:46:00-04:00
158.63,158.74,158.63,158.74,700,2024-04-08 11:48:00-04:00
158.76,158.78,158.73,158.77,700,2024-04-08 11:49:00-04:00
158.65,158.65,158.47,158.47,3800,2024-04-08 11:51:00-04:00
158.5,158.57,158.5,158.57,500,2024-04-08 11:52:00-04:00
158.5,158.52,158.5,158.52,400,2024-04-08 11:53:00-04:00
158.56,158.855,158.52,158.85,6699,2024-04-08 11:54:00-04:00
158.71,158.735,158.71,158.735,900,2024-04-08 11:55:00-04:00
158.65,158.65,158.625,158.625,500,2024-04-08 11:56:00-04:00
158.65,158.7,158.57,158.57,10200,2024-04-08 11:57:00-04:00
158.5,158.51,158.44,158.495,1614,2024-04-08 11:58:00-04:00
158.58,158.61,158.58,158.59,1655,2024-04-08 11:59:00-04:00
158.65,158.65,158.62,158.64,700,2024-04-08 12:00:00-04:00
158.47,158.66,158.47,158.6408,1897,2024-04-08 12:01:00-04:00
158.625,158.625,158.56,158.56,989,2024-04-08 12:02:00-04:00
158.64,158.64,158.58,158.64,2031,2024-04-08 12:03:00-04:00
158.58,158.66,158.58,158.6,907,2024-04-08 12:04:00-04:00
158.52,158.52,158.495,158.5,1657,2024-04-08 12:05:00-04:00
158.5,158.665,158.49,158.65,5575,2024-04-08 12:06:00-04:00
158.65,158.65,158.65,158.65,100,2024-04-08 12:07:00-04:00
158.68,158.68,158.68,158.68,200,2024-04-08 12:08:00-04:00
158.65,158.65,158.65,158.65,400,2024-04-08 12:09:00-04:00
158.635,158.635,158.63,158.63,200,2024-04-08 12:10:00-04:00
158.57,158.57,158.49,158.54,2500,2024-04-08 12:11:00-04:00
158.545,158.545,158.5141,158.5141,216,2024-04-08 12:12:00-04:00
158.5,158.53,158.47,158.495,2900,2024-04-08 12:13:00-04:00
158.52,158.53,158.485,158.485,400,2024-04-08 12:14:00-04:00
158.51,158.51,158.51,158.51,100,2024-04-08 12:15:00-04:00
158.56,158.63,158.56,158.57,4465,2024-04-08 12:16:00-04:00
158.6,158.61,158.57,158.6,2260,2024-04-08 12:17:00-04:00
158.6,158.6,158.57,158.59,800,2024-04-08 12:18:00-04:00
158.57,158.57,158.55,158.555,1906,2024-04-08 12:19:00-04:00
158.555,158.555,158.555,158.555,100,2024-04-08 12:21:00-04:00
158.6,158.675,158.6,158.675,1861,2024-04-08 12:22:00-04:00
