open,high,low,close,volume,datetime
18.69,18.69,18.63,18.64,1018,2024-04-08 09:29:00-04:00
18.62,18.69,18.58,18.62,35680,2024-04-08 09:30:00-04:00
18.605,18.67,18.6,18.65,8440,2024-04-08 09:31:00-04:00
18.66,18.68,18.65,18.66,2813,2024-04-08 09:32:00-04:00
18.665,18.675,18.665,18.675,1471,2024-04-08 09:33:00-04:00
18.68,18.68,18.67,18.67,680,2024-04-08 09:34:00-04:00
18.67,18.67,18.66,18.67,3432,2024-04-08 09:35:00-04:00
18.655,18.655,18.62,18.62,900,2024-04-08 09:36:00-04:00
18.615,18.615,18.605,18.61,2693,2024-04-08 09:37:00-04:00
18.6203,18.65,18.62,18.65,4362,2024-04-08 09:38:00-04:00
18.65,18.68,18.65,18.68,6251,2024-04-08 09:39:00-04:00
18.67,18.67,18.66,18.67,1200,2024-04-08 09:40:00-04:00
18.6739,18.69,18.6732,18.69,3744,2024-04-08 09:41:00-04:00
18.695,18.695,18.68,18.68,2213,2024-04-08 09:42:00-04:00
18.685,18.7,18.67,18.675,5347,2024-04-08 09:43:00-04:00
18.675,18.675,18.67,18.675,800,2024-04-08 09:44:00-04:00
18.675,18.696,18.675,18.69,3963,2024-04-08 09:45:00-04:00
18.69,18.71,18.69,18.71,10175,2024-04-08 09:46:00-04:00
18.71,18.7274,18.71,18.71,2369,2024-04-08 09:47:00-04:00
18.705,18.715,18.7,18.71,3578,2024-04-08 09:48:00-04:00
18.71,18.71,18.69,18.69,1400,2024-04-08 09:49:00-04:00
18.68,18.68,18.68,18.68,400,2024-04-08 09:50:00-04:00
18.68,18.68,18.68,18.68,700,2024-04-08 09:51:00-04:00
18.68,18.68,18.68,18.68,375,2024-04-08 09:52:00-04:00
18.67,18.67,18.665,18.665,400,2024-04-08 09:53:00-04:00
18.66,18.66,18.655,18.655,904,2024-04-08 09:54:00-04:00
18.66,18.66,18.66,18.66,1663,2024-04-08 09:55:00-04:00
18.67,18.67,18.665,18.67,1900,2024-04-08 09:56:00-04:00
18.67,18.67,18.67,18.67,100,2024-04-08 09:57:00-04:00
18.66,18.66,18.66,18.66,1943,2024-04-08 09:58:00-04:00
18.65,18.65,18.65,18.65,700,2024-04-08 09:59:00-04:00
18.645,18.645,18.64,18.64,6970,2024-04-08 10:00:00-04:00
18.645,18.66,18.645,18.66,1500,2024-04-08 10:01:00-04:00
18.67,18.6789,18.67,18.6789,439,2024-04-08 10:02:00-04:00
18.68,18.685,18.68,18.685,3142,2024-04-08 10:03:00-04:00
18.685,18.69,18.68,18.685,3002,2024-04-08 10:04:00-04:00
18.68,18.68,18.65,18.65,10475,2024-04-08 10:05:00-04:00
18.65,18.655,18.65,18.65,927,2024-04-08 10:06:00-04:00
18.66,18.66,18.655,18.66,2905,2024-04-08 10:07:00-04:00
18.67,18.685,18.67,18.685,1000,2024-04-08 10:08:00-04:00
18.68,18.68,18.665,18.665,6007,2024-04-08 10:09:00-04:00
18.665,18.67,18.66,18.67,4067,2024-04-08 10:10:00-04:00
18.68,18.7,18.68,18.695,6402,2024-04-08 10:11:00-04:00
18.695,18.7,18.695,18.7,714,2024-04-08 10:12:00-04:00
18.695,18.72,18.695,18.72,2586,2024-04-08 10:13:00-04:00
18.71,18.715,18.71,18.71,1300,2024-04-08 10:14:00-04:00
18.715,18.725,18.71,18.72,7259,2024-04-08 10:15:00-04:00
18.72,18.72,18.71,18.71,7948,2024-04-08 10:16:00-04:00
18.71,18.725,18.71,18.725,1200,2024-04-08 10:17:00-04:00
18.73,18.735,18.73,18.735,2811,2024-04-08 10:18:00-04:00
18.74,18.74,18.735,18.735,1598,2024-04-08 10:19:00-04:00
18.74,18.74,18.735,18.74,3486,2024-04-08 10:20:00-04:00
18.735,18.74,18.73,18.74,2008,2024-04-08 10:21:00-04:00
18.735,18.735,18.73,18.735,4050,2024-04-08 10:22:00-04:00
18.735,18.735,18.735,18.735,2631,2024-04-08 10:23:00-04:00
18.74,18.75,18.74,18.745,3867,2024-04-08 10:24:00-04:00
18.75,18.75,18.75,18.75,597,2024-04-08 10:25:00-04:00
18.755,18.77,18.75,18.77,10014,2024-04-08 10:26:00-04:00
18.765,18.77,18.765,18.77,1702,2024-04-08 10:27:00-04:00
18.76,18.765,18.75,18.755,12424,2024-04-08 10:28:00-04:00
18.755,18.76,18.755,18.76,4202,2024-04-08 10:29:00-04:00
18.76,18.76,18.74,18.745,10624,2024-04-08 10:30:00-04:00
18.75,18.75,18.75,18.75,3444,2024-04-08 10:31:00-04:00
18.75,18.75,18.75,18.75,1200,2024-04-08 10:32:00-04:00
18.755,18.775,18.755,18.775,16134,2024-04-08 10:33:00-04:00
18.77,18.775,18.77,18.77,2407,2024-04-08 10:34:00-04:00
18.78,18.78,18.775,18.775,3380,2024-04-08 10:35:00-04:00
18.7713,18.775,18.76,18.76,18489,2024-04-08 10:36:00-04:00
18.765,18.775,18.765,18.775,4248,2024-04-08 10:37:00-04:00
18.78,18.795,18.78,18.795,1951,2024-04-08 10:38:00-04:00
18.795,18.795,18.78,18.78,9169,2024-04-08 10:39:00-04:00
18.78,18.78,18.775,18.78,2787,2024-04-08 10:40:00-04:00
18.78,18.78,18.78,18.78,820,2024-04-08 10:41:00-04:00
18.775,18.775,18.77,18.77,3970,2024-04-08 10:42:00-04:00
18.77,18.785,18.77,18.785,2143,2024-04-08 10:43:00-04:00
18.79,18.79,18.79,18.79,500,2024-04-08 10:44:00-04:00
18.795,18.795,18.79,18.79,300,2024-04-08 10:45:00-04:00
18.795,18.8,18.79,18.79,6119,2024-04-08 10:46:00-04:00
18.79,18.79,18.79,18.79,300,2024-04-08 10:47:00-04:00
18.79,18.79,18.79,18.79,580,2024-04-08 10:48:00-04:00
18.79,18.7999,18.79,18.7999,409,2024-04-08 10:49:00-04:00
18.8,18.8,18.8,18.8,100,2024-04-08 10:50:00-04:00
18.79,18.795,18.79,18.795,500,2024-04-08 10:51:00-04:00
18.795,18.795,18.79,18.795,6684,2024-04-08 10:52:00-04:00
18.795,18.795,18.79,18.79,8238,2024-04-08 10:53:00-04:00
18.79,18.7997,18.79,18.795,5470,2024-04-08 10:54:00-04:00
18.79,18.805,18.79,18.805,3461,2024-04-08 10:55:00-04:00
18.81,18.81,18.8,18.805,1674,2024-04-08 10:56:00-04:00
18.81,18.815,18.8,18.805,6018,2024-04-08 10:57:00-04:00
18.805,18.805,18.79,18.795,15921,2024-04-08 10:58:00-04:00
18.795,18.795,18.79,18.79,2801,2024-04-08 10:59:00-04:00
18.79,18.795,18.785,18.795,2958,2024-04-08 11:00:00-04:00
18.795,18.81,18.795,18.81,4381,2024-04-08 11:01:00-04:00
18.815,18.815,18.8,18.805,5514,2024-04-08 11:02:00-04:00
18.808,18.81,18.808,18.81,1479,2024-04-08 11:03:00-04:00
18.805,18.81,18.805,18.81,5600,2024-04-08 11:04:00-04:00
18.81,18.81,18.79,18.79,6183,2024-04-08 11:06:00-04:00
18.8,18.8,18.8,18.8,100,2024-04-08 11:07:00-04:00
18.8,18.8,18.8,18.8,1300,2024-04-08 11:08:00-04:00
18.81,18.81,18.805,18.805,901,2024-04-08 11:10:00-04:00
18.805,18.815,18.805,18.815,1974,2024-04-08 11:11:00-04:00
18.818,18.818,18.805,18.805,5408,2024-04-08 11:12:00-04:00
18.81,18.81,18.81,18.81,100,2024-04-08 11:13:00-04:00
18.8,18.8,18.8,18.8,100,2024-04-08 11:14:00-04:00
18.805,18.805,18.805,18.805,100,2024-04-08 11:15:00-04:00
18.805,18.805,18.8,18.805,400,2024-04-08 11:16:00-04:00
18.805,18.805,18.8,18.8,1556,2024-04-08 11:17:00-04:00
18.8,18.8,18.79,18.79,7861,2024-04-08 11:18:00-04:00
18.7987,18.8,18.79,18.79,2530,2024-04-08 11:19:00-04:00
18.79,18.79,18.79,18.79,100,2024-04-08 11:20:00-04:00
18.79,18.795,18.79,18.79,500,2024-04-08 11:21:00-04:00
18.79,18.795,18.79,18.795,500,2024-04-08 11:22:00-04:00
18.795,18.795,18.79,18.79,1533,2024-04-08 11:23:00-04:00
18.79,18.7982,18.79,18.795,715,2024-04-08 11:24:00-04:00
18.79,18.795,18.79,18.795,1984,2024-04-08 11:25:00-04:00
18.79,18.79,18.78,18.78,8506,2024-04-08 11:26:00-04:00
18.78,18.785,18.78,18.78,911,2024-04-08 11:27:00-04:00
18.78,18.785,18.78,18.785,900,2024-04-08 11:28:00-04:00
18.785,18.79,18.78,18.785,6246,2024-04-08 11:29:00-04:00
18.78,18.79,18.78,18.79,1647,2024-04-08 11:30:00-04:00
18.785,18.79,18.785,18.785,1451,2024-04-08 11:31:00-04:00
18.79,18.795,18.79,18.79,6726,2024-04-08 11:32:00-04:00
18.79,18.79,18.765,18.765,10287,2024-04-08 11:33:00-04:00
18.765,18.78,18.76,18.78,13349,2024-04-08 11:34:00-04:00
18.78,18.78,18.765,18.765,4631,2024-04-08 11:35:00-04:00
18.765,18.77,18.755,18.76,4879,2024-04-08 11:36:00-04:00
18.76,18.76,18.75,18.75,1210,2024-04-08 11:37:00-04:00
18.76,18.76,18.75,18.75,1387,2024-04-08 11:38:00-04:00
18.75,18.755,18.75,18.75,300,2024-04-08 11:39:00-04:00
18.76,18.76,18.755,18.755,5226,2024-04-08 11:40:00-04:00
18.7598,18.7598,18.74,18.745,4389,2024-04-08 11:41:00-04:00
18.745,18.75,18.745,18.75,7630,2024-04-08 11:42:00-04:00
18.75,18.765,18.75,18.765,8528,2024-04-08 11:43:00-04:00
18.765,18.765,18.765,18.765,1400,2024-04-08 11:44:00-04:00
18.76,18.76,18.755,18.755,9044,2024-04-08 11:45:00-04:00
18.76,18.765,18.76,18.765,3504,2024-04-08 11:46:00-04:00
18.765,18.765,18.76,18.76,903,2024-04-08 11:47:00-04:00
18.76,18.765,18.76,18.765,400,2024-04-08 11:48:00-04:00
18.765,18.765,18.765,18.765,100,2024-04-08 11:49:00-04:00
18.76,18.76,18.76,18.76,600,2024-04-08 11:50:00-04:00
18.765,18.77,18.76,18.77,617,2024-04-08 11:51:00-04:00
18.765,18.765,18.76,18.765,1653,2024-04-08 11:52:00-04:00
18.765,18.77,18.76,18.76,1500,2024-04-08 11:53:00-04:00
18.76,18.765,18.76,18.765,907,2024-04-08 11:54:00-04:00
18.765,18.765,18.765,18.765,5200,2024-04-08 11:55:00-04:00
18.76,18.76,18.745,18.76,19024,2024-04-08 11:56:00-04:00
18.76,18.77,18.76,18.77,7973,2024-04-08 11:57:00-04:00
18.765,18.765,18.755,18.755,3379,2024-04-08 11:58:00-04:00
18.755,18.755,18.75,18.75,300,2024-04-08 11:59:00-04:00
18.75,18.75,18.74,18.74,2862,2024-04-08 12:00:00-04:00
18.74,18.74,18.74,18.74,400,2024-04-08 12:01:00-04:00
18.74,18.75,18.74,18.75,476,2024-04-08 12:02:00-04:00
18.75,18.75,18.75,18.75,300,2024-04-08 12:03:00-04:00
18.75,18.765,18.75,18.765,6064,2024-04-08 12:04:00-04:00
18.7699,18.7699,18.76,18.76,5393,2024-04-08 12:05:00-04:00
18.765,18.765,18.76,18.765,500,2024-04-08 12:06:00-04:00
18.765,18.77,18.765,18.765,6546,2024-04-08 12:07:00-04:00
18.77,18.77,18.765,18.765,500,2024-04-08 12:08:00-04:00
18.76,18.765,18.76,18.765,800,2024-04-08 12:09:00-04:00
18.76,18.765,18.76,18.765,1000,2024-04-08 12:10:00-04:00
18.765,18.765,18.76,18.765,748,2024-04-08 12:11:00-04:00
18.77,18.77,18.77,18.77,100,2024-04-08 12:12:00-04:00
18.77,18.77,18.76,18.765,3383,2024-04-08 12:13:00-04:00
18.77,18.77,18.77,18.77,780,2024-04-08 12:14:00-04:00
18.765,18.765,18.75,18.75,16367,2024-04-08 12:15:00-04:00
18.76,18.77,18.76,18.765,10467,2024-04-08 12:16:00-04:00
18.765,18.765,18.765,18.765,100,2024-04-08 12:17:00-04:00
18.765,18.77,18.765,18.77,3595,2024-04-08 12:18:00-04:00
18.77,18.7789,18.77,18.7723,1757,2024-04-08 12:19:00-04:00
18.775,18.775,18.775,18.775,620,2024-04-08 12:20:00-04:00
18.775,18.775,18.77,18.775,4300,2024-04-08 12:21:00-04:00
18.775,18.775,18.77,18.77,2176,2024-04-08 12:22:00-04:00
18.775,18.79,18.77,18.79,10674,2024-04-08 12:23:00-04:00
18.78,18.78,18.77,18.77,15315,2024-04-08 12:24:00-04:00
18.775,18.79,18.775,18.79,3586,2024-04-08 12:25:00-04:00
18.78,18.785,18.78,18.785,1700,2024-04-08 12:26:00-04:00
18.785,18.79,18.785,18.79,4600,2024-04-08 12:27:00-04:00
18.795,18.795,18.795,18.795,100,2024-04-08 12:28:00-04:00
18.79,18.8,18.79,18.795,1979,2024-04-08 12:29:00-04:00
18.8,18.8,18.8,18.8,100,2024-04-08 12:30:00-04:00
18.795,18.795,18.795,18.795,1136,2024-04-08 12:31:00-04:00
18.795,18.795,18.795,18.795,597,2024-04-08 12:32:00-04:00
18.79,18.7955,18.79,18.79,1174,2024-04-08 12:33:00-04:00
18.795,18.8,18.795,18.795,2384,2024-04-08 12:34:00-04:00
18.8,18.8,18.8,18.8,128,2024-04-08 12:35:00-04:00
