open,high,low,close,volume,datetime
126.09,126.16,126.09,126.16,18331,2024-04-08 09:31:00-04:00
126.0864,126.0864,126.0864,126.0864,102,2024-04-08 09:32:00-04:00
126.27,126.27,126.0499,126.0499,250,2024-04-08 09:33:00-04:00
126.1361,126.1361,126.1361,126.1361,350,2024-04-08 09:34:00-04:00
126.225,126.49,126.1777,126.49,1365,2024-04-08 09:35:00-04:00
126.29,126.38,126.29,126.35,300,2024-04-08 09:36:00-04:00
126.2812,126.6,126.22,126.6,558,2024-04-08 09:37:00-04:00
126.55,126.74,126.55,126.74,400,2024-04-08 09:38:00-04:00
126.65,126.92,126.65,126.92,809,2024-04-08 09:39:00-04:00
126.93,126.94,126.82,126.94,645,2024-04-08 09:40:00-04:00
126.91,126.93,126.72,126.72,600,2024-04-08 09:41:00-04:00
126.87,126.95,126.81,126.81,1881,2024-04-08 09:42:00-04:00
126.845,126.91,126.78,126.91,304,2024-04-08 09:43:00-04:00
126.95,127.08,126.9,127.07,1852,2024-04-08 09:44:00-04:00
127.045,127.06,126.96,126.99,1971,2024-04-08 09:45:00-04:00
127.045,127.12,126.98,126.9811,1254,2024-04-08 09:46:00-04:00
126.98,127.04,126.9,127.04,1936,2024-04-08 09:47:00-04:00
126.88,127.02,126.88,126.945,1625,2024-04-08 09:48:00-04:00
127.01,127.01,126.88,126.98,2277,2024-04-08 09:49:00-04:00
126.98,127.075,126.98,127.075,1203,2024-04-08 09:50:00-04:00
127.08,127.08,127.0,127.04,1242,2024-04-08 09:51:00-04:00
127.02,127.07,126.94,126.94,570,2024-04-08 09:52:00-04:00
126.89,126.9,126.8,126.8,708,2024-04-08 09:53:00-04:00
126.84,126.84,126.84,126.84,100,2024-04-08 09:54:00-04:00
126.845,126.9,126.845,126.865,400,2024-04-08 09:55:00-04:00
126.865,126.865,126.86,126.86,700,2024-04-08 09:56:00-04:00
126.845,126.88,126.845,126.845,300,2024-04-08 09:57:00-04:00
126.84,126.84,126.785,126.785,455,2024-04-08 09:58:00-04:00
126.67,126.67,126.59,126.605,1067,2024-04-08 09:59:00-04:00
126.64,126.815,126.64,126.815,2100,2024-04-08 10:00:00-04:00
126.79,126.8,126.72,126.72,1400,2024-04-08 10:01:00-04:00
126.7155,126.72,126.67,126.69,973,2024-04-08 10:02:00-04:00
126.67,126.7,126.595,126.595,1357,2024-04-08 10:03:00-04:00
126.62,126.62,126.55,126.55,1212,2024-04-08 10:04:00-04:00
126.51,126.615,126.51,126.595,1690,2024-04-08 10:05:00-04:00
126.63,126.63,126.63,126.63,300,2024-04-08 10:06:00-04:00
126.62,126.64,126.52,126.52,1548,2024-04-08 10:07:00-04:00
126.505,126.505,126.4,126.4,850,2024-04-08 10:08:00-04:00
126.375,126.41,126.35,126.35,1692,2024-04-08 10:09:00-04:00
126.35,126.47,126.345,126.46,1585,2024-04-08 10:10:00-04:00
126.46,126.46,126.44,126.455,900,2024-04-08 10:11:00-04:00
126.47,126.5,126.46,126.46,901,2024-04-08 10:12:00-04:00
126.44,126.48,126.42,126.48,8570,2024-04-08 10:13:00-04:00
126.47,126.47,126.39,126.39,1313,2024-04-08 10:14:00-04:00
126.36,126.4,126.35,126.35,1116,2024-04-08 10:15:00-04:00
126.33,126.41,126.33,126.3988,1210,2024-04-08 10:16:00-04:00
126.4,126.41,126.34,126.34,1492,2024-04-08 10:17:00-04:00
