open,high,low,close,volume,datetime
83.0,83.0,83.0,83.0,500,2024-04-08 08:57:00-04:00
82.9,83.2,82.9,83.2,1800,2024-04-08 09:14:00-04:00
83.07,83.4,82.3,82.585,23444,2024-04-08 09:30:00-04:00
82.6,82.99,82.24,82.24,669,2024-04-08 09:31:00-04:00
82.97,83.04,82.67,83.04,504,2024-04-08 09:32:00-04:00
83.0,83.36,82.375,83.36,4267,2024-04-08 09:33:00-04:00
82.9,83.26,82.9,83.135,1800,2024-04-08 09:34:00-04:00
83.13,83.13,82.82,82.95,1980,2024-04-08 09:35:00-04:00
82.98,83.01,82.88,82.94,2900,2024-04-08 09:36:00-04:00
82.92,83.035,82.92,83.0225,1383,2024-04-08 09:37:00-04:00
83.05,83.08,82.995,83.08,2700,2024-04-08 09:38:00-04:00
83.3,83.3,83.3,83.3,100,2024-04-08 09:39:00-04:00
83.34,83.4,83.1,83.12,4190,2024-04-08 09:40:00-04:00
83.21,83.26,83.21,83.24,912,2024-04-08 09:41:00-04:00
83.32,83.36,83.275,83.36,301,2024-04-08 09:42:00-04:00
83.316,83.316,83.3,83.3,789,2024-04-08 09:43:00-04:00
83.31,83.385,83.31,83.385,500,2024-04-08 09:44:00-04:00
83.44,83.505,83.4075,83.44,2471,2024-04-08 09:45:00-04:00
83.46,83.47,83.4,83.47,2154,2024-04-08 09:46:00-04:00
83.4,83.4,83.32,83.32,300,2024-04-08 09:47:00-04:00
83.27,83.33,83.155,83.155,1750,2024-04-08 09:48:00-04:00
83.155,83.19,83.13,83.155,500,2024-04-08 09:49:00-04:00
83.05,83.07,82.9,82.955,2200,2024-04-08 09:50:00-04:00
82.955,83.0,82.95,82.99,5546,2024-04-08 09:51:00-04:00
82.995,83.02,82.95,82.95,1300,2024-04-08 09:52:00-04:00
82.97,82.99,82.97,82.975,900,2024-04-08 09:53:00-04:00
83.03,83.09,83.01,83.02,1700,2024-04-08 09:54:00-04:00
83.04,83.19,83.04,83.13,1717,2024-04-08 09:55:00-04:00
83.245,83.33,83.2,83.22,1999,2024-04-08 09:56:00-04:00
83.16,83.19,83.16,83.19,200,2024-04-08 09:57:00-04:00
83.12,83.185,83.11,83.185,1300,2024-04-08 09:58:00-04:00
83.22,83.22,83.195,83.195,1200,2024-04-08 09:59:00-04:00
83.16,83.16,83.02,83.085,3941,2024-04-08 10:00:00-04:00
83.08,83.2,83.08,83.14,5502,2024-04-08 10:01:00-04:00
83.165,83.18,83.12,83.18,2199,2024-04-08 10:02:00-04:00
83.16,83.16,82.97,82.975,2084,2024-04-08 10:03:00-04:00
83.035,83.085,83.025,83.035,1744,2024-04-08 10:04:00-04:00
83.03,83.04,82.99,83.015,1355,2024-04-08 10:05:00-04:00
83.05,83.05,82.96,82.96,2268,2024-04-08 10:06:00-04:00
82.945,82.95,82.92,82.93,418,2024-04-08 10:07:00-04:00
82.97,83.0,82.92,82.99,4080,2024-04-08 10:08:00-04:00
82.98,82.98,82.865,82.865,3424,2024-04-08 10:09:00-04:00
82.83,82.9055,82.82,82.885,2071,2024-04-08 10:10:00-04:00
