open,high,low,close,volume,datetime
76.73,76.73,76.7,76.7,3405,2024-04-08 09:30:00-04:00
76.8,76.8,76.8,76.8,100,2024-04-08 09:35:00-04:00
76.67,76.715,76.67,76.715,1175,2024-04-08 09:37:00-04:00
76.68,76.68,76.68,76.68,100,2024-04-08 09:38:00-04:00
76.76,76.76,76.73,76.73,200,2024-04-08 09:39:00-04:00
76.7,76.705,76.7,76.705,200,2024-04-08 09:40:00-04:00
76.72,76.72,76.72,76.72,100,2024-04-08 09:41:00-04:00
76.68,76.68,76.68,76.68,200,2024-04-08 09:43:00-04:00
76.7,76.7,76.64,76.66,1017,2024-04-08 09:44:00-04:00
76.69,76.69,76.68,76.68,300,2024-04-08 09:45:00-04:00
76.7,76.7,76.7,76.7,100,2024-04-08 09:46:00-04:00
76.54,76.54,76.49,76.49,500,2024-04-08 09:48:00-04:00
76.47,76.49,76.47,76.49,695,2024-04-08 09:50:00-04:00
76.46,76.48,76.46,76.48,1595,2024-04-08 09:51:00-04:00
76.51,76.51,76.51,76.51,100,2024-04-08 09:52:00-04:00
76.47,76.47,76.47,76.47,100,2024-04-08 09:54:00-04:00
76.43,76.43,76.43,76.43,200,2024-04-08 09:55:00-04:00
76.46,76.46,76.46,76.46,100,2024-04-08 09:56:00-04:00
76.45,76.45,76.45,76.45,100,2024-04-08 09:59:00-04:00
76.41,76.41,76.36,76.385,2325,2024-04-08 10:00:00-04:00
76.37,76.39,76.37,76.39,300,2024-04-08 10:01:00-04:00
76.39,76.39,76.38,76.38,1400,2024-04-08 10:03:00-04:00
76.37,76.37,76.35,76.35,200,2024-04-08 10:04:00-04:00
76.37,76.39,76.37,76.39,604,2024-04-08 10:05:00-04:00
76.42,76.44,76.42,76.44,703,2024-04-08 10:06:00-04:00
76.44,76.44,76.44,76.44,100,2024-04-08 10:07:00-04:00
76.44,76.44,76.42,76.42,1722,2024-04-08 10:08:00-04:00
76.44,76.44,76.43,76.43,200,2024-04-08 10:09:00-04:00
76.44,76.47,76.44,76.47,300,2024-04-08 10:10:00-04:00
76.49,76.5,76.49,76.5,200,2024-04-08 10:13:00-04:00
76.54,76.54,76.54,76.54,100,2024-04-08 10:14:00-04:00
76.55,76.55,76.53,76.53,2132,2024-04-08 10:15:00-04:00
76.515,76.53,76.5,76.53,1943,2024-04-08 10:17:00-04:00
76.54,76.54,76.53,76.53,300,2024-04-08 10:18:00-04:00
76.53,76.55,76.53,76.55,808,2024-04-08 10:19:00-04:00
76.57,76.58,76.57,76.58,200,2024-04-08 10:20:00-04:00
76.605,76.605,76.605,76.605,200,2024-04-08 10:21:00-04:00
76.62,76.62,76.6,76.61,1600,2024-04-08 10:22:00-04:00
76.6,76.6,76.54,76.54,2200,2024-04-08 10:23:00-04:00
76.54,76.54,76.53,76.53,738,2024-04-08 10:24:00-04:00
76.56,76.56,76.56,76.56,1300,2024-04-08 10:25:00-04:00
76.59,76.6,76.58,76.6,400,2024-04-08 10:27:00-04:00
76.59,76.59,76.56,76.56,1550,2024-04-08 10:28:00-04:00
76.57,76.585,76.57,76.585,892,2024-04-08 10:30:00-04:00
76.6,76.6,76.6,76.6,106,2024-04-08 10:31:00-04:00
76.59,76.64,76.59,76.64,1001,2024-04-08 10:32:00-04:00
76.65,76.65,76.62,76.62,3443,2024-04-08 10:33:00-04:00
76.65,76.65,76.635,76.65,2009,2024-04-08 10:34:00-04:00
76.655,76.655,76.651,76.651,200,2024-04-08 10:35:00-04:00
76.66,76.66,76.64,76.64,1305,2024-04-08 10:36:00-04:00
76.65,76.66,76.62,76.63,3125,2024-04-08 10:38:00-04:00
76.63,76.63,76.63,76.63,100,2024-04-08 10:39:00-04:00
76.66,76.66,76.64,76.64,1851,2024-04-08 10:40:00-04:00
76.65,76.65,76.65,76.65,100,2024-04-08 10:41:00-04:00
76.66,76.68,76.66,76.675,800,2024-04-08 10:42:00-04:00
76.67,76.67,76.66,76.66,1376,2024-04-08 10:43:00-04:00
76.65,76.65,76.615,76.62,1639,2024-04-08 10:44:00-04:00
76.645,76.645,76.63,76.63,200,2024-04-08 10:45:00-04:00
76.65,76.65,76.65,76.65,540,2024-04-08 10:48:00-04:00
76.65,76.65,76.6,76.6,2758,2024-04-08 10:49:00-04:00
76.61,76.63,76.59,76.59,3888,2024-04-08 10:50:00-04:00
76.59,76.595,76.59,76.595,500,2024-04-08 10:51:00-04:00
76.6,76.6,76.58,76.58,627,2024-04-08 10:53:00-04:00
76.58,76.63,76.58,76.63,1502,2024-04-08 10:54:00-04:00
76.62,76.62,76.6,76.605,1900,2024-04-08 10:55:00-04:00
76.6,76.6,76.59,76.59,1353,2024-04-08 10:56:00-04:00
76.6,76.62,76.6,76.61,819,2024-04-08 10:57:00-04:00
76.63,76.63,76.62,76.62,212,2024-04-08 10:59:00-04:00
76.63,76.645,76.63,76.645,800,2024-04-08 11:00:00-04:00
76.65,76.65,76.6,76.6,3514,2024-04-08 11:02:00-04:00
76.61,76.62,76.605,76.61,2374,2024-04-08 11:03:00-04:00
76.6175,76.62,76.6175,76.62,417,2024-04-08 11:04:00-04:00
76.61,76.61,76.61,76.61,1100,2024-04-08 11:05:00-04:00
76.6,76.61,76.6,76.6,1207,2024-04-08 11:06:00-04:00
76.6,76.605,76.59,76.605,600,2024-04-08 11:07:00-04:00
76.605,76.62,76.605,76.62,1200,2024-04-08 11:08:00-04:00
76.61,76.64,76.61,76.64,400,2024-04-08 11:09:00-04:00
76.64,76.68,76.63,76.68,1125,2024-04-08 11:10:00-04:00
76.67,76.67,76.66,76.66,2197,2024-04-08 11:11:00-04:00
