open,high,low,close,volume,datetime
80.12,80.12,80.0,80.0,478,2024-04-08 07:16:00-04:00
79.88,79.88,79.88,79.88,150,2024-04-08 08:02:00-04:00
79.88,79.88,79.88,79.88,300,2024-04-08 08:03:00-04:00
79.9999,79.9999,79.9999,79.9999,300,2024-04-08 08:30:00-04:00
79.91,79.91,79.91,79.91,200,2024-04-08 08:35:00-04:00
79.9,79.9,79.9,79.9,150,2024-04-08 08:45:00-04:00
79.8,79.8,79.8,79.8,900,2024-04-08 08:46:00-04:00
79.7,79.7,79.7,79.7,136,2024-04-08 08:49:00-04:00
79.74,79.74,79.74,79.74,183,2024-04-08 09:00:00-04:00
79.52,79.52,79.45,79.45,1053,2024-04-08 09:29:00-04:00
79.33,79.5,79.11,79.37,38786,2024-04-08 09:30:00-04:00
79.5,80.005,79.3,79.77,37991,2024-04-08 09:31:00-04:00
79.99,80.1999,79.73,79.92,24138,2024-04-08 09:32:00-04:00
79.99,79.99,79.59,79.59,3509,2024-04-08 09:33:00-04:00
79.865,79.865,79.54,79.69,4954,2024-04-08 09:34:00-04:00
79.69,79.82,79.42,79.51,6311,2024-04-08 09:35:00-04:00
79.37,79.81,79.33,79.8,15434,2024-04-08 09:36:00-04:00
79.81,80.43,79.81,80.11,31937,2024-04-08 09:37:00-04:00
80.12,80.13,79.75,79.81,4962,2024-04-08 09:38:00-04:00
79.875,79.92,79.68,79.85,1460,2024-04-08 09:39:00-04:00
79.7,79.755,79.54,79.7099,3800,2024-04-08 09:40:00-04:00
79.71,79.9273,79.685,79.685,11875,2024-04-08 09:41:00-04:00
79.685,79.76,79.53,79.62,4301,2024-04-08 09:42:00-04:00
79.54,79.54,79.06,79.31,18483,2024-04-08 09:43:00-04:00
79.25,79.3899,79.12,79.26,3321,2024-04-08 09:44:00-04:00
79.25,79.345,79.13,79.21,3828,2024-04-08 09:45:00-04:00
79.275,79.3,79.06,79.09,6753,2024-04-08 09:46:00-04:00
79.03,79.27,78.87,78.9479,23762,2024-04-08 09:47:00-04:00
78.9025,79.34,78.89,79.25,20726,2024-04-08 09:48:00-04:00
79.2997,79.305,79.08,79.175,5112,2024-04-08 09:49:00-04:00
79.15,79.15,79.02,79.02,4978,2024-04-08 09:50:00-04:00
79.02,79.17,79.01,79.15,5451,2024-04-08 09:51:00-04:00
79.2,79.32,79.15,79.18,12584,2024-04-08 09:52:00-04:00
79.23,79.25,79.1,79.205,2134,2024-04-08 09:53:00-04:00
79.25,79.3314,79.2,79.305,11324,2024-04-08 09:54:00-04:00
79.34,79.69,79.34,79.69,4600,2024-04-08 09:55:00-04:00
79.6,79.6,79.38,79.39,6329,2024-04-08 09:56:00-04:00
79.385,79.455,79.32,79.32,1600,2024-04-08 09:57:00-04:00
79.38,79.38,79.24,79.3,2800,2024-04-08 09:58:00-04:00
