open,high,low,close,volume,datetime
254.49,254.49,254.49,254.49,100,2024-04-08 09:00:00-04:00
254.8,254.8,254.8,254.8,500,2024-04-08 09:07:00-04:00
254.24,254.94,254.24,254.63,10144,2024-04-08 09:30:00-04:00
254.61,254.61,254.24,254.315,400,2024-04-08 09:31:00-04:00
254.33,254.33,254.06,254.16,900,2024-04-08 09:33:00-04:00
253.93,253.93,253.64,253.895,876,2024-04-08 09:34:00-04:00
253.75,253.75,253.42,253.555,1203,2024-04-08 09:36:00-04:00
253.57,254.1128,253.57,254.085,1600,2024-04-08 09:37:00-04:00
253.935,253.99,253.76,253.815,1095,2024-04-08 09:38:00-04:00
253.98,254.32,253.98,254.32,1180,2024-04-08 09:39:00-04:00
254.23,254.32,253.86,254.0,2082,2024-04-08 09:40:00-04:00
253.76,253.94,253.76,253.94,200,2024-04-08 09:41:00-04:00
253.86,254.115,253.619,254.115,1520,2024-04-08 09:42:00-04:00
254.14,254.2,253.98,254.16,1100,2024-04-08 09:43:00-04:00
254.184,254.184,254.16,254.16,600,2024-04-08 09:44:00-04:00
254.035,254.035,254.02,254.02,300,2024-04-08 09:45:00-04:00
254.17,254.17,254.1,254.1,630,2024-04-08 09:46:00-04:00
254.036,254.036,253.83,253.98,1399,2024-04-08 09:47:00-04:00
253.817,253.885,253.69,253.78,1000,2024-04-08 09:48:00-04:00
253.81,253.815,253.61,253.61,3220,2024-04-08 09:49:00-04:00
253.638,253.71,253.62,253.62,800,2024-04-08 09:50:00-04:00
253.81,253.855,253.81,253.855,1910,2024-04-08 09:51:00-04:00
253.96,254.04,253.76,253.962,1687,2024-04-08 09:52:00-04:00
254.025,254.025,254.01,254.01,200,2024-04-08 09:53:00-04:00
253.99,254.0,253.99,254.0,500,2024-04-08 09:54:00-04:00
254.2,254.315,254.14,254.14,2353,2024-04-08 09:55:00-04:00
254.27,254.27,254.218,254.218,200,2024-04-08 09:56:00-04:00
254.4099,254.4099,254.4099,254.4099,200,2024-04-08 09:57:00-04:00
254.24,254.34,254.12,254.15,1788,2024-04-08 09:58:00-04:00
254.15,254.335,254.15,254.185,1185,2024-04-08 09:59:00-04:00
254.17,254.175,254.07,254.16,3271,2024-04-08 10:00:00-04:00
254.14,254.14,253.962,254.08,1800,2024-04-08 10:01:00-04:00
254.05,254.05,253.84,253.99,1905,2024-04-08 10:02:00-04:00
253.875,253.88,253.72,253.72,550,2024-04-08 10:03:00-04:00
253.72,253.89,253.72,253.89,500,2024-04-08 10:04:00-04:00
253.96,254.0683,253.91,254.0683,1701,2024-04-08 10:05:00-04:00
254.0,254.04,254.0,254.04,500,2024-04-08 10:06:00-04:00
254.12,254.12,253.834,253.955,2850,2024-04-08 10:07:00-04:00
254.0,254.04,254.0,254.04,401,2024-04-08 10:08:00-04:00
254.01,254.0209,254.01,254.0209,209,2024-04-08 10:09:00-04:00
254.08,254.16,254.08,254.16,949,2024-04-08 10:10:00-04:00
254.16,254.16,254.09,254.105,1815,2024-04-08 10:11:00-04:00
254.105,254.11,253.84,253.84,8169,2024-04-08 10:12:00-04:00
253.875,253.91,253.7,253.72,4843,2024-04-08 10:13:00-04:00
253.74,253.885,253.72,253.86,3930,2024-04-08 10:14:00-04:00
253.86,253.86,253.63,253.635,3354,2024-04-08 10:15:00-04:00
253.575,253.575,253.575,253.575,100,2024-04-08 10:16:00-04:00
253.51,253.66,253.47,253.6,3775,2024-04-08 10:17:00-04:00
253.62,253.75,253.55,253.705,5951,2024-04-08 10:18:00-04:00
253.662,253.662,253.64,253.655,1010,2024-04-08 10:19:00-04:00
253.78,253.79,253.685,253.78,962,2024-04-08 10:20:00-04:00
253.75,253.77,253.63,253.77,1810,2024-04-08 10:21:00-04:00
253.73,253.84,253.73,253.84,830,2024-04-08 10:22:00-04:00
253.775,253.821,253.73,253.775,1844,2024-04-08 10:23:00-04:00
253.78,253.78,253.71,253.71,209,2024-04-08 10:24:00-04:00
253.84,253.94,253.84,253.94,2341,2024-04-08 10:25:00-04:00
253.935,253.935,253.935,253.935,200,2024-04-08 10:26:00-04:00
253.95,254.33,253.925,254.33,5817,2024-04-08 10:27:00-04:00
254.35,254.395,254.25,254.25,2257,2024-04-08 10:28:00-04:00
254.322,254.41,254.322,254.41,1154,2024-04-08 10:29:00-04:00
254.455,254.53,254.455,254.53,1665,2024-04-08 10:30:00-04:00
254.56,254.56,254.37,254.37,1522,2024-04-08 10:31:00-04:00
254.39,254.44,254.255,254.37,2630,2024-04-08 10:32:00-04:00
254.36,254.37,254.29,254.35,1400,2024-04-08 10:33:00-04:00
254.35,254.36,254.247,254.31,1978,2024-04-08 10:34:00-04:00
254.265,254.265,254.0,254.06,1400,2024-04-08 10:35:00-04:00
254.11,254.21,254.095,254.185,2215,2024-04-08 10:36:00-04:00
254.19,254.195,254.06,254.145,3782,2024-04-08 10:37:00-04:00
254.1,254.21,254.1,254.2,2683,2024-04-08 10:38:00-04:00
254.129,254.24,254.12,254.225,1003,2024-04-08 10:39:00-04:00
254.17,254.225,254.17,254.17,1200,2024-04-08 10:40:00-04:00
254.215,254.235,254.064,254.15,3214,2024-04-08 10:41:00-04:00
254.14,254.14,254.07,254.105,1300,2024-04-08 10:42:00-04:00
254.145,254.145,254.06,254.065,700,2024-04-08 10:43:00-04:00
254.08,254.1,254.049,254.095,2111,2024-04-08 10:44:00-04:00
254.14,254.16,254.055,254.141,2401,2024-04-08 10:45:00-04:00
254.2,254.26,254.2,254.26,300,2024-04-08 10:46:00-04:00
254.26,254.26,254.26,254.26,100,2024-04-08 10:47:00-04:00
254.23,254.27,254.101,254.16,1801,2024-04-08 10:48:00-04:00
254.145,254.17,254.08,254.125,2439,2024-04-08 10:49:00-04:00
254.15,254.16,254.04,254.08,4634,2024-04-08 10:50:00-04:00
254.06,254.15,254.03,254.1,1500,2024-04-08 10:51:00-04:00
254.1,254.1,254.066,254.09,442,2024-04-08 10:52:00-04:00
254.13,254.3192,254.13,254.26,4576,2024-04-08 10:53:00-04:00
254.206,254.22,254.12,254.14,1682,2024-04-08 10:54:00-04:00
254.07,254.125,254.02,254.125,1500,2024-04-08 10:55:00-04:00
254.001,254.17,254.001,254.17,725,2024-04-08 10:56:00-04:00
254.128,254.1744,253.89,253.905,2502,2024-04-08 10:57:00-04:00
253.834,253.95,253.834,253.86,911,2024-04-08 10:58:00-04:00
253.88,253.99,253.88,253.99,2068,2024-04-08 10:59:00-04:00
253.985,253.985,253.96,253.96,310,2024-04-08 11:00:00-04:00
253.91,253.96,253.91,253.96,2258,2024-04-08 11:01:00-04:00
