open,high,low,close,volume,datetime
92.83,92.99,92.83,92.99,1638,2024-04-08 09:29:00-04:00
93.0,93.29,92.85,92.895,74330,2024-04-08 09:30:00-04:00
92.86,93.04,92.71,92.99,5431,2024-04-08 09:31:00-04:00
93.02,93.13,93.02,93.09,5252,2024-04-08 09:32:00-04:00
93.075,93.075,92.85,92.9,10308,2024-04-08 09:33:00-04:00
92.91,93.105,92.87,93.07,6923,2024-04-08 09:34:00-04:00
93.04,93.2,92.96,93.2,6016,2024-04-08 09:35:00-04:00
93.22,93.22,93.04,93.04,3253,2024-04-08 09:36:00-04:00
92.95,93.06,92.94,92.94,4890,2024-04-08 09:37:00-04:00
92.97,93.07,92.82,93.055,9184,2024-04-08 09:38:00-04:00
93.03,93.08,92.965,92.995,4452,2024-04-08 09:39:00-04:00
93.0,93.01,92.85,92.88,9169,2024-04-08 09:40:00-04:00
92.91,93.12,92.91,93.12,8715,2024-04-08 09:41:00-04:00
93.07,93.135,93.0304,93.08,4472,2024-04-08 09:42:00-04:00
93.07,93.07,92.97,92.99,3814,2024-04-08 09:43:00-04:00
92.97,93.05,92.94,93.05,4464,2024-04-08 09:44:00-04:00
93.06,93.07,92.99,93.0,4924,2024-04-08 09:45:00-04:00
93.0,93.09,92.95,93.04,4754,2024-04-08 09:46:00-04:00
93.015,93.02,92.88,92.88,2246,2024-04-08 09:47:00-04:00
92.845,92.85,92.76,92.76,1614,2024-04-08 09:48:00-04:00
92.8,92.8,92.72,92.72,1319,2024-04-08 09:49:00-04:00
92.715,92.76,92.65,92.65,8210,2024-04-08 09:50:00-04:00
92.67,92.74,92.66,92.72,3530,2024-04-08 09:51:00-04:00
92.715,92.73,92.63,92.7,1681,2024-04-08 09:52:00-04:00
92.62,92.68,92.605,92.68,2216,2024-04-08 09:53:00-04:00
92.68,92.68,92.55,92.55,3365,2024-04-08 09:54:00-04:00
92.5543,92.65,92.52,92.65,10817,2024-04-08 09:55:00-04:00
92.61,92.65,92.56,92.56,4024,2024-04-08 09:56:00-04:00
92.57,92.57,92.52,92.54,2462,2024-04-08 09:57:00-04:00
92.5332,92.55,92.47,92.55,5303,2024-04-08 09:58:00-04:00
92.57,92.57,92.49,92.49,1672,2024-04-08 09:59:00-04:00
92.471,92.471,92.34,92.34,8097,2024-04-08 10:00:00-04:00
92.34,92.38,92.31,92.355,15380,2024-04-08 10:01:00-04:00
92.37,92.37,92.315,92.35,7455,2024-04-08 10:02:00-04:00
92.325,92.325,92.26,92.305,3683,2024-04-08 10:03:00-04:00
92.32,92.32,92.2,92.2,4848,2024-04-08 10:04:00-04:00
92.2,92.28,92.2,92.23,2852,2024-04-08 10:05:00-04:00
92.28,92.28,92.23,92.23,2540,2024-04-08 10:06:00-04:00
92.24,92.28,92.23,92.26,5742,2024-04-08 10:07:00-04:00
92.27,92.35,92.26,92.35,2416,2024-04-08 10:08:00-04:00
92.355,92.36,92.3,92.32,4272,2024-04-08 10:09:00-04:00
92.32,92.37,92.31,92.345,4689,2024-04-08 10:10:00-04:00
92.36,92.36,92.29,92.3,2901,2024-04-08 10:11:00-04:00
92.305,92.32,92.2445,92.27,4344,2024-04-08 10:12:00-04:00
92.29,92.33,92.24,92.32,5386,2024-04-08 10:13:00-04:00
92.325,92.35,92.325,92.33,3375,2024-04-08 10:14:00-04:00
92.335,92.36,92.27,92.28,6585,2024-04-08 10:15:00-04:00
92.28,92.31,92.25,92.28,3603,2024-04-08 10:16:00-04:00
92.275,92.32,92.25,92.32,11630,2024-04-08 10:17:00-04:00
92.345,92.41,92.34,92.3556,7817,2024-04-08 10:18:00-04:00
92.345,92.39,92.33,92.39,5325,2024-04-08 10:19:00-04:00
92.38,92.475,92.38,92.475,9397,2024-04-08 10:20:00-04:00
92.47,92.55,92.45,92.55,11486,2024-04-08 10:21:00-04:00
92.565,92.66,92.555,92.6499,10565,2024-04-08 10:22:00-04:00
92.638,92.655,92.6,92.655,3119,2024-04-08 10:23:00-04:00
92.655,92.735,92.655,92.71,4850,2024-04-08 10:24:00-04:00
92.71,92.785,92.68,92.755,7611,2024-04-08 10:25:00-04:00
92.74,92.74,92.695,92.73,3227,2024-04-08 10:26:00-04:00
92.74,92.81,92.74,92.77,4572,2024-04-08 10:27:00-04:00
92.79,92.81,92.76,92.76,3815,2024-04-08 10:28:00-04:00
92.77,92.815,92.77,92.81,6143,2024-04-08 10:29:00-04:00
92.8,92.8,92.7,92.76,6082,2024-04-08 10:30:00-04:00
92.75,92.78,92.74,92.7401,6319,2024-04-08 10:31:00-04:00
92.74,92.86,92.72,92.86,6666,2024-04-08 10:32:00-04:00
92.87,92.91,92.83,92.86,8349,2024-04-08 10:33:00-04:00
92.86,92.87,92.85,92.87,4066,2024-04-08 10:34:00-04:00
92.88,92.9,92.865,92.865,9124,2024-04-08 10:35:00-04:00
92.88,92.9101,92.87,92.88,7761,2024-04-08 10:36:00-04:00
92.88,92.91,92.86,92.87,3614,2024-04-08 10:37:00-04:00
92.86,92.9326,92.86,92.9326,3069,2024-04-08 10:38:00-04:00
92.94,92.94,92.88,92.91,3979,2024-04-08 10:39:00-04:00
92.89,92.91,92.87,92.91,4027,2024-04-08 10:40:00-04:00
92.92,92.92,92.821,92.85,4605,2024-04-08 10:41:00-04:00
92.85,92.85,92.82,92.82,3392,2024-04-08 10:42:00-04:00
92.811,92.811,92.7784,92.81,5152,2024-04-08 10:43:00-04:00
92.815,92.85,92.815,92.825,2173,2024-04-08 10:44:00-04:00
92.83,92.85,92.815,92.815,4199,2024-04-08 10:45:00-04:00
92.82,92.86,92.82,92.85,1809,2024-04-08 10:46:00-04:00
92.84,92.88,92.82,92.87,6695,2024-04-08 10:47:00-04:00
92.8739,92.9,92.8739,92.9,3760,2024-04-08 10:48:00-04:00
92.8995,92.94,92.8995,92.94,5195,2024-04-08 10:49:00-04:00
92.96,92.99,92.91,92.92,3943,2024-04-08 10:50:00-04:00
92.94,92.94,92.93,92.93,2581,2024-04-08 10:51:00-04:00
92.93,92.93,92.871,92.89,4514,2024-04-08 10:52:00-04:00
92.9,92.92,92.9,92.91,1926,2024-04-08 10:53:00-04:00
92.9,92.955,92.9,92.955,4396,2024-04-08 10:54:00-04:00
92.97,92.97,92.9,92.901,4679,2024-04-08 10:55:00-04:00
92.92,92.93,92.8809,92.8809,3774,2024-04-08 10:56:00-04:00
92.89,92.91,92.85,92.86,5767,2024-04-08 10:57:00-04:00
92.87,92.88,92.84,92.84,2845,2024-04-08 10:58:00-04:00
92.83,92.86,92.83,92.84,4294,2024-04-08 10:59:00-04:00
92.85,92.9598,92.85,92.95,4077,2024-04-08 11:00:00-04:00
92.96,92.97,92.93,92.94,9223,2024-04-08 11:01:00-04:00
92.93,92.97,92.9,92.95,6462,2024-04-08 11:02:00-04:00
92.95,93.03,92.95,93.03,3715,2024-04-08 11:03:00-04:00
93.07,93.07,93.02,93.04,8500,2024-04-08 11:04:00-04:00
93.04,93.08,93.04,93.055,3098,2024-04-08 11:05:00-04:00
93.055,93.055,92.97,92.995,10481,2024-04-08 11:06:00-04:00
92.995,93.03,92.981,93.03,1804,2024-04-08 11:07:00-04:00
93.03,93.12,93.03,93.095,9494,2024-04-08 11:08:00-04:00
93.115,93.16,93.07,93.07,6321,2024-04-08 11:09:00-04:00
93.07,93.16,93.07,93.15,5930,2024-04-08 11:10:00-04:00
93.16,93.18,93.12,93.12,4735,2024-04-08 11:11:00-04:00
93.11,93.11,93.065,93.065,3827,2024-04-08 11:12:00-04:00
93.065,93.08,93.06,93.07,1350,2024-04-08 11:13:00-04:00
93.06,93.07,93.04,93.07,5912,2024-04-08 11:14:00-04:00
93.075,93.08,93.02,93.02,2124,2024-04-08 11:15:00-04:00
93.03,93.06,93.01,93.01,5964,2024-04-08 11:16:00-04:00
93.02,93.04,93.015,93.04,6351,2024-04-08 11:17:00-04:00
93.02,93.04,93.01,93.03,4059,2024-04-08 11:18:00-04:00
93.03,93.04,92.995,93.0,2000,2024-04-08 11:19:00-04:00
93.0,93.05,93.0,93.04,2745,2024-04-08 11:20:00-04:00
93.04,93.06,93.03,93.05,4874,2024-04-08 11:21:00-04:00
93.04,93.04,93.0,93.02,2819,2024-04-08 11:22:00-04:00
93.03,93.05,93.03,93.05,2717,2024-04-08 11:23:00-04:00
93.065,93.075,93.01,93.01,3905,2024-04-08 11:24:00-04:00
92.99,92.99,92.92,92.93,5774,2024-04-08 11:25:00-04:00
92.922,92.95,92.915,92.94,5298,2024-04-08 11:26:00-04:00
92.93,92.93,92.88,92.89,3090,2024-04-08 11:27:00-04:00
92.9,92.91,92.875,92.875,1815,2024-04-08 11:28:00-04:00
92.87,92.88,92.831,92.88,3539,2024-04-08 11:29:00-04:00
92.86,92.86,92.805,92.82,3433,2024-04-08 11:30:00-04:00
92.82,92.83,92.82,92.83,1416,2024-04-08 11:31:00-04:00
92.83,92.83,92.81,92.82,2653,2024-04-08 11:32:00-04:00
92.83,92.83,92.812,92.812,2545,2024-04-08 11:33:00-04:00
92.82,92.835,92.7928,92.815,4416,2024-04-08 11:34:00-04:00
92.81,92.82,92.77,92.81,18563,2024-04-08 11:35:00-04:00
92.79,92.79,92.65,92.665,8385,2024-04-08 11:36:00-04:00
92.651,92.72,92.64,92.72,3582,2024-04-08 11:37:00-04:00
92.73,92.7792,92.7,92.715,3315,2024-04-08 11:38:00-04:00
92.73,92.77,92.71,92.74,2900,2024-04-08 11:39:00-04:00
92.72,92.76,92.72,92.73,3701,2024-04-08 11:40:00-04:00
92.75,92.77,92.6644,92.6644,4644,2024-04-08 11:41:00-04:00
92.69,92.71,92.685,92.7,3600,2024-04-08 11:42:00-04:00
92.68,92.76,92.68,92.76,2106,2024-04-08 11:43:00-04:00
92.75,92.79,92.75,92.7802,4297,2024-04-08 11:44:00-04:00
92.77,92.775,92.68,92.69,3698,2024-04-08 11:45:00-04:00
92.71,92.78,92.7,92.7,5204,2024-04-08 11:46:00-04:00
92.7,92.71,92.68,92.7,2213,2024-04-08 11:47:00-04:00
92.71,92.79,92.71,92.775,2404,2024-04-08 11:48:00-04:00
92.785,92.82,92.785,92.82,1173,2024-04-08 11:49:00-04:00
92.8,92.8,92.765,92.79,1700,2024-04-08 11:50:00-04:00
92.78,92.8,92.76,92.79,4403,2024-04-08 11:51:00-04:00
92.77,92.791,92.765,92.77,3563,2024-04-08 11:52:00-04:00
92.78,92.78,92.76,92.77,5191,2024-04-08 11:53:00-04:00
92.76,92.81,92.76,92.8,4852,2024-04-08 11:54:00-04:00
92.795,92.795,92.73,92.73,5146,2024-04-08 11:55:00-04:00
92.7202,92.75,92.67,92.71,4290,2024-04-08 11:56:00-04:00
92.74,92.7859,92.71,92.7859,3847,2024-04-08 11:57:00-04:00
92.77,92.77,92.72,92.72,3396,2024-04-08 11:58:00-04:00
92.71,92.77,92.71,92.76,1746,2024-04-08 11:59:00-04:00
92.75,92.75,92.692,92.71,2038,2024-04-08 12:00:00-04:00
92.69,92.75,92.69,92.74,2307,2024-04-08 12:01:00-04:00
92.75,92.77,92.731,92.75,2770,2024-04-08 12:02:00-04:00
92.74,92.8,92.74,92.78,3084,2024-04-08 12:03:00-04:00
92.785,92.81,92.77,92.77,3098,2024-04-08 12:04:00-04:00
92.76,92.76,92.7401,92.75,1612,2024-04-08 12:05:00-04:00
92.76,92.77,92.75,92.76,2271,2024-04-08 12:06:00-04:00
92.76,92.8,92.76,92.79,1100,2024-04-08 12:07:00-04:00
92.77,92.79,92.77,92.77,5410,2024-04-08 12:08:00-04:00
92.77,92.78,92.74,92.74,4961,2024-04-08 12:09:00-04:00
92.75,92.76,92.73,92.735,1957,2024-04-08 12:10:00-04:00
92.745,92.745,92.68,92.7,3543,2024-04-08 12:11:00-04:00
92.72,92.725,92.72,92.72,711,2024-04-08 12:12:00-04:00
92.72,92.74,92.67,92.67,4052,2024-04-08 12:13:00-04:00
92.68,92.69,92.67,92.69,1320,2024-04-08 12:14:00-04:00
92.67,92.69,92.66,92.67,2249,2024-04-08 12:15:00-04:00
92.68,92.75,92.68,92.7461,2966,2024-04-08 12:16:00-04:00
92.75,92.76,92.74,92.745,1435,2024-04-08 12:17:00-04:00
92.755,92.82,92.755,92.81,4218,2024-04-08 12:18:00-04:00
92.81,92.82,92.8,92.82,5770,2024-04-08 12:19:00-04:00
92.81,92.86,92.81,92.82,4562,2024-04-08 12:20:00-04:00
92.81,92.83,92.81,92.81,3370,2024-04-08 12:21:00-04:00
92.81,92.83,92.78,92.82,8719,2024-04-08 12:22:00-04:00
92.8,92.8109,92.72,92.81,4694,2024-04-08 12:23:00-04:00
92.81,92.81,92.79,92.79,1054,2024-04-08 12:24:00-04:00
92.8,92.86,92.8,92.86,4433,2024-04-08 12:25:00-04:00
92.85,92.865,92.84,92.84,1720,2024-04-08 12:26:00-04:00
92.84,92.91,92.83,92.9,4428,2024-04-08 12:27:00-04:00
92.89,92.9,92.88,92.89,3000,2024-04-08 12:28:00-04:00
92.91,93.0076,92.91,93.0,21015,2024-04-08 12:29:00-04:00
93.0001,93.01,92.99,93.0,2381,2024-04-08 12:30:00-04:00
92.99,93.0,92.96,92.99,6505,2024-04-08 12:31:00-04:00
92.99,92.99,92.95,92.96,2314,2024-04-08 12:32:00-04:00
92.95,92.97,92.93,92.935,6173,2024-04-08 12:33:00-04:00
92.935,92.94,92.92,92.94,1402,2024-04-08 12:34:00-04:00
92.94,92.95,92.93,92.94,2665,2024-04-08 12:35:00-04:00
92.94,92.96,92.93,92.93,1213,2024-04-08 12:36:00-04:00
92.94,92.99,92.94,92.95,2824,2024-04-08 12:37:00-04:00
92.94,92.96,92.9301,92.96,6075,2024-04-08 12:38:00-04:00
92.941,92.941,92.92,92.925,5102,2024-04-08 12:39:00-04:00
92.93,92.98,92.93,92.98,1720,2024-04-08 12:40:00-04:00
92.985,93.03,92.985,93.03,3387,2024-04-08 12:41:00-04:00
93.03,93.0403,92.99,93.03,8735,2024-04-08 12:42:00-04:00
93.04,93.07,93.02,93.06,4417,2024-04-08 12:43:00-04:00
93.055,93.06,93.02,93.05,8734,2024-04-08 12:44:00-04:00
93.05,93.06,93.03,93.04,3067,2024-04-08 12:45:00-04:00
93.05,93.07,93.04,93.07,10828,2024-04-08 12:46:00-04:00
93.07,93.07,93.0239,93.04,11118,2024-04-08 12:47:00-04:00
93.045,93.08,93.04,93.05,4485,2024-04-08 12:48:00-04:00
93.04,93.075,93.04,93.07,2073,2024-04-08 12:49:00-04:00
93.07,93.07,93.04,93.05,3834,2024-04-08 12:50:00-04:00
93.055,93.06,93.0201,93.0242,4499,2024-04-08 12:51:00-04:00
93.03,93.07,93.03,93.055,2824,2024-04-08 12:52:00-04:00
93.061,93.061,93.04,93.04,1503,2024-04-08 12:53:00-04:00
93.04,93.0407,93.03,93.0407,800,2024-04-08 12:54:00-04:00
93.04,93.05,93.0101,93.04,5780,2024-04-08 12:55:00-04:00
93.05,93.1,93.05,93.09,5571,2024-04-08 12:56:00-04:00
93.1,93.1,93.08,93.0801,2610,2024-04-08 12:57:00-04:00
93.1,93.1,93.07,93.07,2692,2024-04-08 12:58:00-04:00
93.08,93.15,93.08,93.13,15605,2024-04-08 12:59:00-04:00
93.14,93.17,93.14,93.14,3366,2024-04-08 13:00:00-04:00
93.14,93.15,93.13,93.13,12230,2024-04-08 13:01:00-04:00
93.13,93.15,93.13,93.15,1553,2024-04-08 13:02:00-04:00
93.15,93.15,93.1301,93.15,2064,2024-04-08 13:03:00-04:00
93.14,93.14,93.08,93.09,4741,2024-04-08 13:04:00-04:00
93.09,93.09,93.05,93.055,1769,2024-04-08 13:05:00-04:00
93.07,93.12,93.07,93.12,1401,2024-04-08 13:06:00-04:00
93.11,93.12,93.095,93.095,2675,2024-04-08 13:07:00-04:00
93.1,93.12,93.09,93.12,2450,2024-04-08 13:08:00-04:00
93.1206,93.14,93.1,93.1,3127,2024-04-08 13:09:00-04:00
93.1,93.12,93.08,93.1,2698,2024-04-08 13:10:00-04:00
93.11,93.12,93.105,93.12,727,2024-04-08 13:11:00-04:00
93.12,93.12,93.095,93.1,2384,2024-04-08 13:12:00-04:00
93.1,93.12,93.07,93.09,6218,2024-04-08 13:13:00-04:00
93.09,93.1,93.09,93.1,313,2024-04-08 13:14:00-04:00
93.1,93.13,93.1,93.13,3849,2024-04-08 13:15:00-04:00
93.12,93.12,93.07,93.07,3849,2024-04-08 13:16:00-04:00
93.07,93.07,93.05,93.05,1800,2024-04-08 13:17:00-04:00
93.06,93.07,93.0428,93.07,3175,2024-04-08 13:18:00-04:00
93.07,93.08,93.07,93.07,1125,2024-04-08 13:19:00-04:00
93.06,93.0799,93.0075,93.0075,6143,2024-04-08 13:20:00-04:00
93.01,93.05,93.005,93.01,3057,2024-04-08 13:21:00-04:00
93.01,93.09,93.01,93.09,2493,2024-04-08 13:22:00-04:00
93.095,93.11,93.09,93.09,2403,2024-04-08 13:23:00-04:00
93.1,93.1,93.06,93.06,2185,2024-04-08 13:24:00-04:00
93.05,93.07,93.05,93.06,2244,2024-04-08 13:25:00-04:00
93.07,93.08,93.06,93.07,996,2024-04-08 13:26:00-04:00
93.0895,93.13,93.0895,93.11,2147,2024-04-08 13:27:00-04:00
93.12,93.13,93.11,93.12,2326,2024-04-08 13:28:00-04:00
93.13,93.14,93.11,93.14,2379,2024-04-08 13:29:00-04:00
93.145,93.145,93.1202,93.14,1503,2024-04-08 13:30:00-04:00
93.13,93.14,93.115,93.14,5136,2024-04-08 13:31:00-04:00
93.13,93.13,93.13,93.13,100,2024-04-08 13:32:00-04:00
93.15,93.2,93.13,93.19,8954,2024-04-08 13:33:00-04:00
93.19,93.22,93.17,93.2,8828,2024-04-08 13:34:00-04:00
93.18,93.19,93.13,93.15,9725,2024-04-08 13:35:00-04:00
93.15,93.2199,93.13,93.2,5017,2024-04-08 13:36:00-04:00
93.2299,93.26,93.21,93.26,5478,2024-04-08 13:37:00-04:00
93.28,93.29,93.24,93.24,9267,2024-04-08 13:38:00-04:00
93.25,93.255,93.235,93.25,1675,2024-04-08 13:39:00-04:00
93.24,93.25,93.23,93.235,9523,2024-04-08 13:40:00-04:00
93.23,93.25,93.221,93.24,3230,2024-04-08 13:41:00-04:00
93.2302,93.2302,93.2,93.21,4451,2024-04-08 13:42:00-04:00
93.22,93.22,93.1897,93.1897,2620,2024-04-08 13:43:00-04:00
93.19,93.215,93.19,93.2,3211,2024-04-08 13:44:00-04:00
93.2,93.2,93.14,93.16,7203,2024-04-08 13:45:00-04:00
93.155,93.16,93.11,93.11,3955,2024-04-08 13:46:00-04:00
93.11,93.12,93.09,93.11,3981,2024-04-08 13:47:00-04:00
93.1,93.1,93.06,93.06,3480,2024-04-08 13:48:00-04:00
93.07,93.14,93.07,93.135,5732,2024-04-08 13:49:00-04:00
93.13,93.13,93.12,93.12,1700,2024-04-08 13:50:00-04:00
93.13,93.165,93.13,93.16,2924,2024-04-08 13:51:00-04:00
93.16,93.18,93.16,93.18,2351,2024-04-08 13:52:00-04:00
93.19,93.19,93.16,93.1703,4592,2024-04-08 13:53:00-04:00
93.18,93.19,93.16,93.171,18821,2024-04-08 13:54:00-04:00
93.17,93.23,93.17,93.23,7970,2024-04-08 13:55:00-04:00
93.24,93.26,93.21,93.26,4881,2024-04-08 13:56:00-04:00
93.25,93.27,93.25,93.26,1115,2024-04-08 13:57:00-04:00
93.27,93.29,93.27,93.29,977,2024-04-08 13:58:00-04:00
93.28,93.29,93.24,93.24,1632,2024-04-08 13:59:00-04:00
93.24,93.24,93.21,93.21,3999,2024-04-08 14:00:00-04:00
93.22,93.225,93.18,93.18,8913,2024-04-08 14:01:00-04:00
93.1696,93.175,93.1639,93.17,2045,2024-04-08 14:02:00-04:00
93.1665,93.1665,93.1526,93.1526,1040,2024-04-08 14:03:00-04:00
