open,high,low,close,volume,datetime
544.4,544.4,544.4,544.4,3123,2024-04-08 09:30:00-04:00
546.635,546.635,545.16,545.16,200,2024-04-08 09:35:00-04:00
544.44,544.44,543.5,543.5,600,2024-04-08 09:36:00-04:00
544.545,544.545,544.54,544.54,400,2024-04-08 09:37:00-04:00
544.515,545.0,544.16,544.845,880,2024-04-08 09:38:00-04:00
545.54,545.61,544.54,545.55,1100,2024-04-08 09:39:00-04:00
546.28,546.28,544.59,544.59,338,2024-04-08 09:40:00-04:00
545.07,545.74,545.07,545.74,400,2024-04-08 09:41:00-04:00
545.63,545.92,545.63,545.92,263,2024-04-08 09:42:00-04:00
545.27,546.75,545.27,546.035,508,2024-04-08 09:43:00-04:00
546.33,546.33,546.33,546.33,100,2024-04-08 09:44:00-04:00
546.79,546.79,546.09,546.09,267,2024-04-08 09:45:00-04:00
546.63,547.495,546.39,547.23,2700,2024-04-08 09:46:00-04:00
547.51,547.545,546.67,547.535,5295,2024-04-08 09:47:00-04:00
546.93,546.93,545.49,545.49,1402,2024-04-08 09:48:00-04:00
545.815,545.815,545.815,545.815,100,2024-04-08 09:49:00-04:00
545.765,545.765,545.38,545.38,200,2024-04-08 09:50:00-04:00
545.6,545.725,545.6,545.725,300,2024-04-08 09:52:00-04:00
546.28,546.28,545.88,545.88,219,2024-04-08 09:54:00-04:00
545.025,545.025,545.025,545.025,100,2024-04-08 09:56:00-04:00
544.62,544.62,543.3,543.3,896,2024-04-08 09:58:00-04:00
543.51,543.51,542.79,543.18,900,2024-04-08 10:00:00-04:00
542.58,543.335,542.42,543.225,402,2024-04-08 10:01:00-04:00
542.885,542.885,542.45,542.45,322,2024-04-08 10:02:00-04:00
541.94,541.94,541.4,541.4,213,2024-04-08 10:03:00-04:00
541.88,541.88,541.53,541.53,1441,2024-04-08 10:05:00-04:00
542.06,542.06,542.06,542.06,100,2024-04-08 10:06:00-04:00
542.4,542.4,542.4,542.4,100,2024-04-08 10:07:00-04:00
542.41,542.66,541.79,542.66,689,2024-04-08 10:12:00-04:00
542.17,542.46,542.17,542.46,200,2024-04-08 10:13:00-04:00
541.81,541.81,541.81,541.81,300,2024-04-08 10:14:00-04:00
541.71,542.15,541.71,542.14,600,2024-04-08 10:15:00-04:00
542.12,542.12,542.115,542.115,463,2024-04-08 10:17:00-04:00
542.2,542.2,542.2,542.2,200,2024-04-08 10:19:00-04:00
