open,high,low,close,volume,datetime
424.48,424.85,424.48,424.85,1042,2024-04-08 07:00:00-04:00
424.99,424.99,424.99,424.99,254,2024-04-08 07:03:00-04:00
424.99,424.99,424.99,424.99,200,2024-04-08 07:04:00-04:00
425.25,425.55,425.25,425.35,1064,2024-04-08 07:08:00-04:00
425.5,425.5,425.5,425.5,275,2024-04-08 07:09:00-04:00
425.37,425.37,425.35,425.35,398,2024-04-08 07:10:00-04:00
425.32,425.32,425.25,425.25,974,2024-04-08 07:11:00-04:00
425.16,425.17,424.92,424.92,873,2024-04-08 07:13:00-04:00
424.9,424.9,424.9,424.9,124,2024-04-08 07:15:00-04:00
425.14,425.14,425.14,425.14,499,2024-04-08 07:22:00-04:00
425.3,425.3,425.3,425.3,269,2024-04-08 07:23:00-04:00
425.0,425.0,425.0,425.0,975,2024-04-08 07:31:00-04:00
424.99,424.99,424.99,424.99,335,2024-04-08 07:32:00-04:00
425.0,425.0,425.0,425.0,148,2024-04-08 07:37:00-04:00
424.96,424.96,424.96,424.96,146,2024-04-08 07:39:00-04:00
424.95,424.95,424.85,424.85,414,2024-04-08 07:40:00-04:00
424.85,424.85,424.8,424.8,248,2024-04-08 07:41:00-04:00
424.8,424.8,424.7,424.7,404,2024-04-08 07:42:00-04:00
424.5,424.5,424.4,424.4,316,2024-04-08 07:43:00-04:00
424.45,424.45,424.45,424.45,100,2024-04-08 07:48:00-04:00
424.9,424.9,424.9,424.9,298,2024-04-08 07:55:00-04:00
424.84,424.98,424.84,424.98,300,2024-04-08 08:00:00-04:00
424.457,424.79,424.457,424.77,824,2024-04-08 08:06:00-04:00
425.0329,425.0329,425.0329,425.0329,200,2024-04-08 08:12:00-04:00
424.76,424.87,424.76,424.87,300,2024-04-08 08:13:00-04:00
424.99,424.99,424.99,424.99,100,2024-04-08 08:16:00-04:00
425.3,425.3,425.3,425.3,159,2024-04-08 08:19:00-04:00
425.49,425.49,425.49,425.49,200,2024-04-08 08:20:00-04:00
425.31,425.31,425.3,425.3,367,2024-04-08 08:21:00-04:00
425.25,425.25,425.25,425.25,100,2024-04-08 08:23:00-04:00
425.47,425.6,425.45,425.6,2553,2024-04-08 08:24:00-04:00
425.6,426.0,425.6,425.84,1715,2024-04-08 08:25:00-04:00
425.983,425.983,425.983,425.983,150,2024-04-08 08:27:00-04:00
425.8,425.8,425.8,425.8,123,2024-04-08 08:28:00-04:00
425.9732,425.9732,425.8,425.9,1235,2024-04-08 08:29:00-04:00
425.8,425.8,425.8,425.8,697,2024-04-08 08:30:00-04:00
425.51,425.7515,425.4,425.7515,700,2024-04-08 08:31:00-04:00
425.5,425.5,425.5,425.5,140,2024-04-08 08:32:00-04:00
425.28,425.28,425.28,425.28,100,2024-04-08 08:33:00-04:00
425.52,425.52,425.52,425.52,200,2024-04-08 08:35:00-04:00
425.29,425.29,425.29,425.29,150,2024-04-08 08:39:00-04:00
425.52,425.52,425.52,425.52,230,2024-04-08 08:42:00-04:00
425.7,425.7,425.7,425.7,514,2024-04-08 08:44:00-04:00
425.5,425.5,425.5,425.5,100,2024-04-08 08:45:00-04:00
425.6,425.6,425.6,425.6,198,2024-04-08 08:47:00-04:00
425.75,425.75,425.67,425.67,377,2024-04-08 08:48:00-04:00
425.83,425.83,425.83,425.83,100,2024-04-08 08:49:00-04:00
426.2408,426.2408,426.24,426.24,842,2024-04-08 08:51:00-04:00
426.39,426.39,426.39,426.39,114,2024-04-08 08:53:00-04:00
426.55,426.73,426.55,426.55,1772,2024-04-08 08:56:00-04:00
426.8354,426.8354,426.56,426.56,445,2024-04-08 08:57:00-04:00
426.74,426.74,426.0995,426.0995,1200,2024-04-08 08:58:00-04:00
426.39,426.4,426.36,426.36,470,2024-04-08 09:00:00-04:00
426.4,426.4,426.4,426.4,500,2024-04-08 09:03:00-04:00
426.12,426.12,426.12,426.12,100,2024-04-08 09:04:00-04:00
426.38,426.38,426.38,426.38,100,2024-04-08 09:05:00-04:00
426.3,426.3,426.01,426.22,389,2024-04-08 09:06:00-04:00
426.0,426.1,426.0,426.01,834,2024-04-08 09:07:00-04:00
426.491,426.491,426.491,426.491,586,2024-04-08 09:09:00-04:00
426.21,426.21,426.21,426.21,300,2024-04-08 09:10:00-04:00
426.4674,426.4674,426.08,426.08,400,2024-04-08 09:11:00-04:00
426.12,426.12,426.12,426.12,100,2024-04-08 09:13:00-04:00
426.25,426.25,426.25,426.25,234,2024-04-08 09:14:00-04:00
426.13,426.13,426.13,426.13,100,2024-04-08 09:15:00-04:00
426.1,426.23,426.1,426.23,300,2024-04-08 09:16:00-04:00
426.0,426.01,426.0,426.01,414,2024-04-08 09:17:00-04:00
426.01,426.1,426.0,426.0,2003,2024-04-08 09:18:00-04:00
425.99,425.99,425.9,425.9,426,2024-04-08 09:19:00-04:00
425.9,425.9,425.9,425.9,885,2024-04-08 09:21:00-04:00
425.93,425.93,425.93,425.93,100,2024-04-08 09:22:00-04:00
425.85,425.85,425.85,425.85,350,2024-04-08 09:23:00-04:00
425.73,425.85,425.73,425.85,261,2024-04-08 09:24:00-04:00
425.4,425.57,424.6,425.28,6539,2024-04-08 09:25:00-04:00
425.4,425.44,425.4,425.44,284,2024-04-08 09:26:00-04:00
425.28,425.37,424.88,425.17,1981,2024-04-08 09:27:00-04:00
424.7,425.01,424.7,424.94,955,2024-04-08 09:28:00-04:00
425.03,425.03,425.03,425.03,100,2024-04-08 09:29:00-04:00
425.17,425.46,424.53,425.03,392887,2024-04-08 09:30:00-04:00
425.0,425.89,424.92,425.613,116463,2024-04-08 09:31:00-04:00
425.65,425.65,424.73,424.79,35542,2024-04-08 09:32:00-04:00
424.75,425.02,424.12,424.31,52533,2024-04-08 09:33:00-04:00
424.31,424.59,423.7,423.76,41916,2024-04-08 09:34:00-04:00
423.71,423.9599,423.3,423.695,60601,2024-04-08 09:35:00-04:00
423.74,424.35,423.74,423.9,47859,2024-04-08 09:36:00-04:00
423.91,424.4295,423.91,424.095,20175,2024-04-08 09:37:00-04:00
424.15,424.33,423.73,423.73,20134,2024-04-08 09:38:00-04:00
423.7,423.76,423.375,423.52,31195,2024-04-08 09:39:00-04:00
423.54,423.67,423.38,423.63,17133,2024-04-08 09:40:00-04:00
423.61,423.74,423.53,423.69,30903,2024-04-08 09:41:00-04:00
423.72,423.96,423.67,423.83,34233,2024-04-08 09:42:00-04:00
423.83,424.31,423.75,424.27,32931,2024-04-08 09:43:00-04:00
424.31,424.52,424.0,424.008,32257,2024-04-08 09:44:00-04:00
424.0,424.38,423.957,424.3,28432,2024-04-08 09:45:00-04:00
424.3,424.355,424.094,424.257,16209,2024-04-08 09:46:00-04:00
424.26,424.4,424.167,424.28,13108,2024-04-08 09:47:00-04:00
424.33,424.785,424.26,424.785,24107,2024-04-08 09:48:00-04:00
424.785,424.98,424.7,424.98,26605,2024-04-08 09:49:00-04:00
425.0,425.0,424.47,424.5,28123,2024-04-08 09:50:00-04:00
424.55,424.585,424.3381,424.57,17345,2024-04-08 09:51:00-04:00
424.54,424.96,424.54,424.83,23203,2024-04-08 09:52:00-04:00
424.85,425.325,424.85,425.25,24291,2024-04-08 09:53:00-04:00
425.29,425.3768,425.0434,425.0766,31020,2024-04-08 09:54:00-04:00
425.12,425.46,425.0201,425.46,28594,2024-04-08 09:55:00-04:00
425.41,425.64,425.38,425.52,30671,2024-04-08 09:56:00-04:00
425.51,425.72,425.47,425.63,17616,2024-04-08 09:57:00-04:00
425.67,425.83,425.63,425.6975,29274,2024-04-08 09:58:00-04:00
425.71,425.92,425.59,425.63,34599,2024-04-08 09:59:00-04:00
425.59,425.59,425.32,425.37,32733,2024-04-08 10:00:00-04:00
425.36,425.67,425.22,425.58,29483,2024-04-08 10:01:00-04:00
425.6,425.64,425.27,425.4,19191,2024-04-08 10:02:00-04:00
425.435,425.46,425.0,425.08,43912,2024-04-08 10:03:00-04:00
425.12,425.38,425.1,425.325,14496,2024-04-08 10:04:00-04:00
425.31,425.52,425.02,425.46,16930,2024-04-08 10:05:00-04:00
425.48,425.6899,425.2,425.26,14728,2024-04-08 10:06:00-04:00
425.23,425.277,424.97,425.135,17801,2024-04-08 10:07:00-04:00
425.13,425.67,425.125,425.56,19690,2024-04-08 10:08:00-04:00
425.59,425.71,425.43,425.51,17851,2024-04-08 10:09:00-04:00
425.52,425.88,425.4959,425.75,31573,2024-04-08 10:10:00-04:00
425.7,426.14,425.7,425.85,43129,2024-04-08 10:11:00-04:00
425.83,425.96,425.55,425.66,27242,2024-04-08 10:12:00-04:00
425.6,425.735,425.48,425.72,13974,2024-04-08 10:13:00-04:00
425.6979,426.059,425.68,426.04,18652,2024-04-08 10:14:00-04:00
426.0475,426.21,425.75,426.06,22437,2024-04-08 10:15:00-04:00
426.0663,426.07,425.88,425.89,18972,2024-04-08 10:16:00-04:00
425.89,426.24,425.86,426.17,23667,2024-04-08 10:17:00-04:00
426.19,426.45,426.15,426.22,33291,2024-04-08 10:18:00-04:00
426.18,426.2,425.97,426.04,14582,2024-04-08 10:19:00-04:00
426.07,426.23,425.9201,426.14,16213,2024-04-08 10:20:00-04:00
426.145,426.27,426.0391,426.06,14122,2024-04-08 10:21:00-04:00
426.13,426.39,426.02,426.29,12605,2024-04-08 10:22:00-04:00
426.28,426.335,426.19,426.3049,6990,2024-04-08 10:23:00-04:00
426.35,426.475,426.28,426.42,26772,2024-04-08 10:24:00-04:00
426.44,426.79,426.35,426.4495,32557,2024-04-08 10:25:00-04:00
426.45,426.78,426.4,426.77,20664,2024-04-08 10:26:00-04:00
426.78,426.79,426.58,426.71,23601,2024-04-08 10:27:00-04:00
426.74,426.75,426.61,426.69,15755,2024-04-08 10:28:00-04:00
426.635,426.75,426.57,426.71,19439,2024-04-08 10:29:00-04:00
426.71,427.1,426.6,427.07,46947,2024-04-08 10:30:00-04:00
427.09,427.1,426.88,426.97,27298,2024-04-08 10:31:00-04:00
426.98,427.25,426.92,427.085,49486,2024-04-08 10:32:00-04:00
427.07,427.28,426.9,427.12,34891,2024-04-08 10:33:00-04:00
427.18,427.24,426.98,427.0102,17659,2024-04-08 10:34:00-04:00
427.045,427.059,426.67,426.75,20663,2024-04-08 10:35:00-04:00
426.7699,426.8,426.4317,426.5342,31327,2024-04-08 10:36:00-04:00
426.51,426.71,426.46,426.54,15257,2024-04-08 10:37:00-04:00
426.58,426.7,426.52,426.565,14763,2024-04-08 10:38:00-04:00
426.59,426.59,426.3304,426.3304,10626,2024-04-08 10:39:00-04:00
426.38,426.49,426.29,426.3502,21156,2024-04-08 10:40:00-04:00
426.3502,426.39,426.025,426.07,19180,2024-04-08 10:41:00-04:00
426.08,426.17,426.0,426.0,25759,2024-04-08 10:42:00-04:00
426.013,426.045,425.8697,425.925,20716,2024-04-08 10:43:00-04:00
425.96,426.11,425.86,425.98,17929,2024-04-08 10:44:00-04:00
426.01,426.27,425.97,426.16,12849,2024-04-08 10:45:00-04:00
426.15,426.19,426.09,426.115,8557,2024-04-08 10:46:00-04:00
426.0899,426.115,425.98,426.07,13814,2024-04-08 10:47:00-04:00
426.04,426.105,425.98,426.0411,15946,2024-04-08 10:48:00-04:00
426.045,426.4431,425.99,426.395,27606,2024-04-08 10:49:00-04:00
426.41,426.61,426.41,426.5,21056,2024-04-08 10:50:00-04:00
426.48,426.53,426.29,426.41,17128,2024-04-08 10:51:00-04:00
426.41,426.41,425.84,426.145,41036,2024-04-08 10:52:00-04:00
426.145,426.32,426.1039,426.11,18235,2024-04-08 10:53:00-04:00
426.07,426.2,426.0172,426.11,13097,2024-04-08 10:54:00-04:00
426.11,426.19,425.835,425.841,17353,2024-04-08 10:55:00-04:00
425.8824,425.89,425.61,425.665,32713,2024-04-08 10:56:00-04:00
425.64,425.98,425.6101,425.92,19205,2024-04-08 10:57:00-04:00
425.94,426.19,425.94,426.085,19715,2024-04-08 10:58:00-04:00
426.07,426.35,426.04,426.33,18004,2024-04-08 10:59:00-04:00
426.36,426.4607,426.3,426.36,28469,2024-04-08 11:00:00-04:00
426.38,426.38,426.17,426.23,13496,2024-04-08 11:01:00-04:00
426.26,426.26,425.69,425.82,20360,2024-04-08 11:02:00-04:00
425.85,426.32,425.8,426.23,29550,2024-04-08 11:03:00-04:00
426.26,426.395,426.13,426.27,14514,2024-04-08 11:04:00-04:00
426.215,426.29,426.18,426.18,7511,2024-04-08 11:05:00-04:00
426.11,426.47,426.11,426.26,9354,2024-04-08 11:06:00-04:00
426.22,426.37,426.18,426.3,10126,2024-04-08 11:07:00-04:00
426.3,426.34,426.07,426.17,13081,2024-04-08 11:08:00-04:00
426.11,426.26,426.08,426.2,8271,2024-04-08 11:09:00-04:00
426.22,426.53,426.18,426.4882,25294,2024-04-08 11:10:00-04:00
426.435,426.4424,426.26,426.385,11291,2024-04-08 11:11:00-04:00
426.37,426.4,426.1,426.1,23541,2024-04-08 11:12:00-04:00
426.08,426.33,426.07,426.25,14928,2024-04-08 11:13:00-04:00
426.29,426.35,426.13,426.33,16106,2024-04-08 11:14:00-04:00
426.2944,426.31,426.02,426.02,14945,2024-04-08 11:15:00-04:00
426.01,426.07,425.92,425.995,19339,2024-04-08 11:16:00-04:00
426.015,426.05,425.9,425.9,16204,2024-04-08 11:17:00-04:00
425.88,426.13,425.85,426.1,15345,2024-04-08 11:18:00-04:00
426.08,426.1,425.78,425.78,16788,2024-04-08 11:19:00-04:00
425.76,426.0,425.73,425.86,25506,2024-04-08 11:20:00-04:00
425.865,425.89,425.68,425.77,12628,2024-04-08 11:21:00-04:00
425.8,426.05,425.73,426.0,13144,2024-04-08 11:22:00-04:00
426.0409,426.18,425.98,426.18,14690,2024-04-08 11:23:00-04:00
426.17,426.31,426.14,426.21,17588,2024-04-08 11:24:00-04:00
426.22,426.27,426.04,426.04,12160,2024-04-08 11:25:00-04:00
426.04,426.13,425.985,426.0,9577,2024-04-08 11:26:00-04:00
426.005,426.005,425.79,425.796,10319,2024-04-08 11:27:00-04:00
425.81,425.91,425.74,425.8808,12431,2024-04-08 11:28:00-04:00
425.87,425.96,425.8054,425.84,21887,2024-04-08 11:29:00-04:00
425.82,425.84,425.26,425.39,37515,2024-04-08 11:30:00-04:00
425.355,425.42,425.16,425.4,24429,2024-04-08 11:31:00-04:00
425.4186,425.42,425.2,425.3,18954,2024-04-08 11:32:00-04:00
425.255,425.36,425.13,425.13,27808,2024-04-08 11:33:00-04:00
425.13,425.28,425.12,425.24,18299,2024-04-08 11:34:00-04:00
425.23,425.25,424.89,425.01,32663,2024-04-08 11:35:00-04:00
425.0,425.0,424.38,424.68,27395,2024-04-08 11:36:00-04:00
424.69,424.69,424.21,424.56,15308,2024-04-08 11:37:00-04:00
424.57,424.6,424.395,424.4168,17064,2024-04-08 11:38:00-04:00
424.43,424.93,424.43,424.9,16166,2024-04-08 11:39:00-04:00
424.88,424.93,424.73,424.73,7816,2024-04-08 11:40:00-04:00
424.78,424.885,424.7,424.85,9080,2024-04-08 11:41:00-04:00
424.8648,424.98,424.77,424.95,13522,2024-04-08 11:42:00-04:00
424.92,425.0799,424.87,424.94,11678,2024-04-08 11:43:00-04:00
424.94,425.24,424.94,425.11,15151,2024-04-08 11:44:00-04:00
424.9659,425.01,424.445,424.7399,15327,2024-04-08 11:45:00-04:00
424.67,424.77,424.42,424.4999,9078,2024-04-08 11:46:00-04:00
424.465,424.56,424.37,424.44,9424,2024-04-08 11:47:00-04:00
424.44,424.78,424.44,424.74,14816,2024-04-08 11:48:00-04:00
424.75,424.75,424.56,424.65,7172,2024-04-08 11:49:00-04:00
424.62,424.725,424.54,424.67,10650,2024-04-08 11:50:00-04:00
424.625,424.78,424.575,424.73,11413,2024-04-08 11:51:00-04:00
424.76,424.87,424.6654,424.715,11097,2024-04-08 11:52:00-04:00
424.69,424.725,424.51,424.6,8890,2024-04-08 11:53:00-04:00
424.615,424.84,424.585,424.685,6699,2024-04-08 11:54:00-04:00
424.6883,424.6992,424.445,424.51,13187,2024-04-08 11:55:00-04:00
424.5041,424.53,424.3,424.49,13995,2024-04-08 11:56:00-04:00
424.47,424.71,424.395,424.65,6117,2024-04-08 11:57:00-04:00
424.6598,424.71,424.5325,424.645,12174,2024-04-08 11:58:00-04:00
424.67,424.84,424.61,424.78,10706,2024-04-08 11:59:00-04:00
424.78,424.79,424.3,424.3,18441,2024-04-08 12:00:00-04:00
424.26,424.415,424.24,424.31,6936,2024-04-08 12:01:00-04:00
424.25,424.385,424.21,424.36,8016,2024-04-08 12:02:00-04:00
424.36,424.55,424.34,424.47,10206,2024-04-08 12:03:00-04:00
424.51,424.62,424.4066,424.47,8006,2024-04-08 12:04:00-04:00
424.45,424.48,424.3205,424.39,6980,2024-04-08 12:05:00-04:00
424.375,424.62,424.375,424.62,9394,2024-04-08 12:06:00-04:00
424.65,424.77,424.63,424.69,8533,2024-04-08 12:07:00-04:00
424.67,424.71,424.57,424.6175,9309,2024-04-08 12:08:00-04:00
424.61,424.665,424.3503,424.44,15324,2024-04-08 12:09:00-04:00
424.41,424.48,424.35,424.355,12154,2024-04-08 12:10:00-04:00
424.33,424.438,424.22,424.255,7879,2024-04-08 12:11:00-04:00
424.27,424.3608,424.2101,424.33,5963,2024-04-08 12:12:00-04:00
424.23,424.23,423.87,423.935,41771,2024-04-08 12:13:00-04:00
423.95,424.15,423.89,424.1199,10134,2024-04-08 12:14:00-04:00
424.02,424.11,423.96,424.11,15597,2024-04-08 12:15:00-04:00
424.15,424.29,424.07,424.1807,12472,2024-04-08 12:16:00-04:00
424.2,424.36,424.1501,424.3088,15138,2024-04-08 12:17:00-04:00
424.28,424.41,424.24,424.31,6044,2024-04-08 12:18:00-04:00
424.32,424.37,424.19,424.19,10126,2024-04-08 12:19:00-04:00
424.23,424.3,424.06,424.2,18712,2024-04-08 12:20:00-04:00
424.19,424.2199,424.095,424.2199,6367,2024-04-08 12:21:00-04:00
424.2,424.2,423.76,423.76,20967,2024-04-08 12:22:00-04:00
423.75,423.75,423.36,423.52,54890,2024-04-08 12:23:00-04:00
423.53,423.58,423.435,423.565,17314,2024-04-08 12:24:00-04:00
423.63,423.95,423.52,423.94,16976,2024-04-08 12:25:00-04:00
423.97,424.04,423.81,423.84,17985,2024-04-08 12:26:00-04:00
423.88,424.15,423.88,424.0876,28167,2024-04-08 12:27:00-04:00
424.11,424.21,424.05,424.14,5059,2024-04-08 12:28:00-04:00
424.14,424.26,424.13,424.2,9383,2024-04-08 12:29:00-04:00
424.21,424.38,424.13,424.2825,14207,2024-04-08 12:30:00-04:00
424.25,424.48,424.17,424.4771,14012,2024-04-08 12:31:00-04:00
424.45,424.585,424.39,424.43,8103,2024-04-08 12:32:00-04:00
424.46,424.525,424.3,424.39,9799,2024-04-08 12:33:00-04:00
424.39,424.51,424.34,424.5,6026,2024-04-08 12:34:00-04:00
424.505,424.67,424.49,424.54,6889,2024-04-08 12:35:00-04:00
424.56,424.605,424.33,424.43,9349,2024-04-08 12:36:00-04:00
424.39,424.39,424.21,424.29,6147,2024-04-08 12:37:00-04:00
424.3,424.35,424.225,424.315,8909,2024-04-08 12:38:00-04:00
424.3,424.38,424.26,424.31,5268,2024-04-08 12:39:00-04:00
424.28,424.47,424.25,424.43,8910,2024-04-08 12:40:00-04:00
424.43,424.63,424.43,424.5441,7445,2024-04-08 12:41:00-04:00
424.4601,424.665,424.4601,424.5652,7813,2024-04-08 12:42:00-04:00
424.559,424.78,424.55,424.78,8111,2024-04-08 12:43:00-04:00
424.75,424.79,424.57,424.58,8618,2024-04-08 12:44:00-04:00
424.61,424.71,424.61,424.69,8512,2024-04-08 12:45:00-04:00
424.71,424.71,424.63,424.66,8479,2024-04-08 12:46:00-04:00
424.65,424.68,424.45,424.49,17907,2024-04-08 12:47:00-04:00
424.48,424.58,424.42,424.425,12832,2024-04-08 12:48:00-04:00
424.395,424.54,424.35,424.52,10063,2024-04-08 12:49:00-04:00
424.52,424.59,424.4899,424.4899,4190,2024-04-08 12:50:00-04:00
424.485,424.51,424.43,424.5,8492,2024-04-08 12:51:00-04:00
424.51,424.58,424.4901,424.52,4503,2024-04-08 12:52:00-04:00
424.51,424.52,424.32,424.32,7721,2024-04-08 12:53:00-04:00
424.3,424.6,424.28,424.46,6646,2024-04-08 12:54:00-04:00
424.47,424.57,424.45,424.47,5414,2024-04-08 12:55:00-04:00
424.5,424.79,424.48,424.7,11727,2024-04-08 12:56:00-04:00
424.675,424.79,424.6497,424.715,6814,2024-04-08 12:57:00-04:00
424.74,424.9,424.64,424.65,9981,2024-04-08 12:58:00-04:00
424.67,424.96,424.67,424.96,11539,2024-04-08 12:59:00-04:00
424.95,424.96,424.83,424.8529,7844,2024-04-08 13:00:00-04:00
424.87,424.92,424.72,424.73,6522,2024-04-08 13:01:00-04:00
424.73,424.7706,424.6175,424.6175,6478,2024-04-08 13:02:00-04:00
424.63,424.65,424.51,424.54,4296,2024-04-08 13:03:00-04:00
424.535,424.65,424.49,424.49,6984,2024-04-08 13:04:00-04:00
424.5,424.53,424.41,424.43,7713,2024-04-08 13:05:00-04:00
424.44,424.495,424.35,424.37,4027,2024-04-08 13:06:00-04:00
424.37,424.52,424.3475,424.465,7240,2024-04-08 13:07:00-04:00
424.46,424.54,424.41,424.53,6331,2024-04-08 13:08:00-04:00
