open,high,low,close,volume,datetime
139.57,139.57,139.57,139.57,7945,2024-04-08 09:30:00-04:00
139.015,139.06,138.8,139.04,1264,2024-04-08 09:31:00-04:00
139.29,139.29,139.28,139.28,200,2024-04-08 09:32:00-04:00
139.23,139.35,139.23,139.35,500,2024-04-08 09:33:00-04:00
139.6,139.66,139.6,139.61,1400,2024-04-08 09:34:00-04:00
139.54,139.75,139.54,139.7,600,2024-04-08 09:35:00-04:00
139.695,139.695,139.54,139.68,1799,2024-04-08 09:36:00-04:00
139.42,139.42,139.4,139.4,275,2024-04-08 09:37:00-04:00
139.64,140.14,139.64,139.89,10826,2024-04-08 09:38:00-04:00
140.125,140.23,139.86,140.23,1228,2024-04-08 09:39:00-04:00
140.21,140.21,140.04,140.065,1880,2024-04-08 09:40:00-04:00
140.495,140.685,140.39,140.41,1900,2024-04-08 09:41:00-04:00
140.685,140.685,140.55,140.66,800,2024-04-08 09:42:00-04:00
140.645,140.7,140.42,140.7,21110,2024-04-08 09:43:00-04:00
140.7,140.7,140.7,140.7,100,2024-04-08 09:44:00-04:00
140.78,140.78,140.78,140.78,100,2024-04-08 09:45:00-04:00
140.77,141.025,140.77,141.025,1442,2024-04-08 09:46:00-04:00
140.89,141.07,140.87,140.92,800,2024-04-08 09:47:00-04:00
140.87,140.87,140.65,140.65,1700,2024-04-08 09:48:00-04:00
140.645,140.645,140.35,140.35,1200,2024-04-08 09:49:00-04:00
140.6,140.6,140.225,140.225,1700,2024-04-08 09:50:00-04:00
140.37,140.53,140.21,140.53,19934,2024-04-08 09:51:00-04:00
140.655,140.86,140.475,140.695,15979,2024-04-08 09:52:00-04:00
140.66,140.71,140.5,140.59,11805,2024-04-08 09:53:00-04:00
140.68,140.68,140.415,140.415,600,2024-04-08 09:54:00-04:00
140.475,140.64,140.36,140.51,1127,2024-04-08 09:55:00-04:00
140.325,140.475,140.0,140.07,2025,2024-04-08 09:56:00-04:00
140.215,140.23,140.0,140.015,2160,2024-04-08 09:58:00-04:00
140.2,140.22,140.19,140.22,500,2024-04-08 09:59:00-04:00
140.09,140.09,139.885,140.03,1563,2024-04-08 10:00:00-04:00
140.025,140.095,139.97,140.095,1100,2024-04-08 10:01:00-04:00
140.08,140.08,139.975,139.975,606,2024-04-08 10:02:00-04:00
140.24,140.24,140.065,140.105,5081,2024-04-08 10:03:00-04:00
140.12,140.12,139.99,139.99,1200,2024-04-08 10:04:00-04:00
140.125,140.19,140.04,140.19,523,2024-04-08 10:05:00-04:00
140.155,140.155,140.155,140.155,100,2024-04-08 10:06:00-04:00
140.155,140.16,140.065,140.16,618,2024-04-08 10:07:00-04:00
140.17,140.195,140.17,140.195,611,2024-04-08 10:08:00-04:00
140.2,140.26,140.12,140.2,1800,2024-04-08 10:09:00-04:00
140.2,140.21,139.945,140.01,3835,2024-04-08 10:10:00-04:00
140.09,140.15,140.035,140.04,1757,2024-04-08 10:11:00-04:00
140.04,140.15,139.92,139.92,3005,2024-04-08 10:12:00-04:00
140.055,140.055,139.95,139.95,200,2024-04-08 10:13:00-04:00
139.945,140.08,139.93,139.935,700,2024-04-08 10:14:00-04:00
139.94,139.94,139.92,139.92,501,2024-04-08 10:15:00-04:00
140.03,140.12,139.915,140.04,980,2024-04-08 10:16:00-04:00
140.035,140.12,139.94,140.055,5091,2024-04-08 10:17:00-04:00
