open,high,low,close,volume,datetime
26.6,26.69,26.51,26.6,3571,2024-04-08 09:30:00-04:00
26.52,26.56,26.51,26.51,3091,2024-04-08 09:31:00-04:00
26.56,26.595,26.56,26.58,1242,2024-04-08 09:32:00-04:00
26.57,26.58,26.57,26.58,447,2024-04-08 09:34:00-04:00
26.57,26.57,26.555,26.555,1200,2024-04-08 09:35:00-04:00
26.56,26.58,26.56,26.58,763,2024-04-08 09:36:00-04:00
26.59,26.59,26.59,26.59,100,2024-04-08 09:37:00-04:00
26.57,26.57,26.57,26.57,864,2024-04-08 09:38:00-04:00
26.57,26.58,26.57,26.58,243,2024-04-08 09:39:00-04:00
26.58,26.6,26.58,26.6,1650,2024-04-08 09:40:00-04:00
26.61,26.62,26.61,26.62,200,2024-04-08 09:42:00-04:00
26.64,26.67,26.64,26.67,1669,2024-04-08 09:43:00-04:00
26.66,26.67,26.66,26.67,314,2024-04-08 09:44:00-04:00
26.68,26.7,26.68,26.69,549,2024-04-08 09:45:00-04:00
26.7,26.73,26.7,26.725,2608,2024-04-08 09:46:00-04:00
26.73,26.73,26.72,26.72,200,2024-04-08 09:47:00-04:00
26.72,26.73,26.72,26.73,899,2024-04-08 09:48:00-04:00
26.73,26.73,26.7,26.7,500,2024-04-08 09:49:00-04:00
26.7,26.7,26.64,26.64,1500,2024-04-08 09:50:00-04:00
26.635,26.635,26.61,26.61,500,2024-04-08 09:51:00-04:00
26.595,26.61,26.595,26.61,348,2024-04-08 09:52:00-04:00
26.58,26.58,26.58,26.58,533,2024-04-08 09:53:00-04:00
26.6,26.62,26.6,26.6,700,2024-04-08 09:54:00-04:00
26.61,26.61,26.61,26.61,136,2024-04-08 09:55:00-04:00
26.61,26.63,26.61,26.63,525,2024-04-08 09:56:00-04:00
26.62,26.63,26.61,26.61,400,2024-04-08 09:57:00-04:00
26.61,26.62,26.61,26.62,628,2024-04-08 09:58:00-04:00
26.63,26.63,26.63,26.63,1300,2024-04-08 10:00:00-04:00
26.62,26.62,26.6,26.6,1739,2024-04-08 10:01:00-04:00
26.61,26.615,26.6075,26.615,1781,2024-04-08 10:02:00-04:00
26.61,26.61,26.61,26.61,1520,2024-04-08 10:03:00-04:00
26.605,26.605,26.6,26.6,1222,2024-04-08 10:04:00-04:00
26.58,26.58,26.58,26.58,200,2024-04-08 10:05:00-04:00
26.59,26.6,26.59,26.595,1252,2024-04-08 10:06:00-04:00
26.6,26.6,26.6,26.6,1475,2024-04-08 10:07:00-04:00
26.61,26.61,26.605,26.605,1935,2024-04-08 10:08:00-04:00
26.61,26.615,26.61,26.61,700,2024-04-08 10:09:00-04:00
26.6,26.6,26.6,26.6,100,2024-04-08 10:10:00-04:00
26.595,26.61,26.595,26.61,610,2024-04-08 10:11:00-04:00
26.61,26.61,26.6,26.6,1100,2024-04-08 10:12:00-04:00
26.59,26.59,26.59,26.59,200,2024-04-08 10:15:00-04:00
26.59,26.595,26.59,26.595,800,2024-04-08 10:16:00-04:00
26.59,26.59,26.57,26.575,1664,2024-04-08 10:17:00-04:00
26.58,26.59,26.55,26.55,1594,2024-04-08 10:18:00-04:00
26.56,26.57,26.56,26.57,429,2024-04-08 10:20:00-04:00
26.58,26.58,26.58,26.58,533,2024-04-08 10:22:00-04:00
26.58,26.58,26.57,26.57,1900,2024-04-08 10:23:00-04:00
26.56,26.56,26.56,26.56,235,2024-04-08 10:24:00-04:00
26.57,26.59,26.57,26.57,2289,2024-04-08 10:25:00-04:00
26.565,26.565,26.565,26.565,721,2024-04-08 10:26:00-04:00
26.565,26.565,26.51,26.51,4953,2024-04-08 10:27:00-04:00
26.52,26.525,26.49,26.505,7870,2024-04-08 10:28:00-04:00
26.505,26.51,26.505,26.51,1340,2024-04-08 10:29:00-04:00
26.505,26.515,26.505,26.515,600,2024-04-08 10:30:00-04:00
26.515,26.54,26.5,26.505,4859,2024-04-08 10:31:00-04:00
26.505,26.52,26.505,26.515,1563,2024-04-08 10:32:00-04:00
26.515,26.53,26.515,26.525,2368,2024-04-08 10:33:00-04:00
26.525,26.525,26.51,26.51,2517,2024-04-08 10:34:00-04:00
26.495,26.52,26.495,26.51,4740,2024-04-08 10:36:00-04:00
26.505,26.51,26.505,26.505,1029,2024-04-08 10:37:00-04:00
26.505,26.505,26.505,26.505,100,2024-04-08 10:38:00-04:00
26.505,26.515,26.505,26.505,1331,2024-04-08 10:39:00-04:00
26.505,26.505,26.505,26.505,100,2024-04-08 10:40:00-04:00
26.505,26.505,26.505,26.505,600,2024-04-08 10:41:00-04:00
26.505,26.505,26.505,26.505,200,2024-04-08 10:42:00-04:00
26.505,26.505,26.505,26.505,300,2024-04-08 10:43:00-04:00
26.51,26.52,26.505,26.52,3300,2024-04-08 10:44:00-04:00
26.51,26.52,26.505,26.505,6760,2024-04-08 10:45:00-04:00
26.51,26.53,26.505,26.52,4188,2024-04-08 10:46:00-04:00
26.525,26.525,26.525,26.525,200,2024-04-08 10:47:00-04:00
26.53,26.54,26.515,26.515,6420,2024-04-08 10:48:00-04:00
26.535,26.55,26.535,26.54,4779,2024-04-08 10:49:00-04:00
26.535,26.55,26.535,26.54,2070,2024-04-08 10:50:00-04:00
26.54,26.55,26.54,26.54,1802,2024-04-08 10:51:00-04:00
26.54,26.54,26.535,26.535,1100,2024-04-08 10:52:00-04:00
26.535,26.535,26.535,26.535,100,2024-04-08 10:53:00-04:00
26.53,26.53,26.515,26.515,3722,2024-04-08 10:54:00-04:00
26.52,26.52,26.52,26.52,400,2024-04-08 10:55:00-04:00
26.51,26.515,26.5,26.5,1248,2024-04-08 10:56:00-04:00
26.51,26.51,26.495,26.5,4349,2024-04-08 10:57:00-04:00
26.505,26.505,26.505,26.505,200,2024-04-08 10:58:00-04:00
26.51,26.55,26.505,26.53,8781,2024-04-08 10:59:00-04:00
26.5392,26.54,26.535,26.54,1581,2024-04-08 11:01:00-04:00
26.54,26.54,26.505,26.52,3563,2024-04-08 11:02:00-04:00
26.525,26.525,26.525,26.525,100,2024-04-08 11:03:00-04:00
26.53,26.55,26.5275,26.55,2466,2024-04-08 11:04:00-04:00
