open,high,low,close,volume,datetime
241.39,241.39,241.39,241.39,100,2024-04-08 08:36:00-04:00
241.51,241.51,241.51,241.51,101,2024-04-08 08:37:00-04:00
241.66,241.66,241.66,241.66,100,2024-04-08 09:06:00-04:00
241.72,241.72,241.72,241.72,100,2024-04-08 09:20:00-04:00
242.59,242.59,242.59,242.59,414,2024-04-08 09:29:00-04:00
242.15,243.56,241.85,242.655,18458,2024-04-08 09:30:00-04:00
242.72,243.04,242.35,242.41,2137,2024-04-08 09:31:00-04:00
242.4,243.41,242.31,243.185,2800,2024-04-08 09:32:00-04:00
243.185,243.185,242.62,242.7699,1020,2024-04-08 09:33:00-04:00
242.935,243.56,242.71,243.5,2222,2024-04-08 09:34:00-04:00
243.5,243.76,243.23,243.24,2739,2024-04-08 09:35:00-04:00
243.04,243.24,243.0,243.02,695,2024-04-08 09:36:00-04:00
242.7,242.7,242.44,242.645,1190,2024-04-08 09:37:00-04:00
242.7501,242.79,242.31,242.44,1700,2024-04-08 09:38:00-04:00
242.78,243.01,242.78,242.86,1521,2024-04-08 09:39:00-04:00
242.896,242.896,242.39,242.63,900,2024-04-08 09:40:00-04:00
242.89,243.235,242.62,243.235,1038,2024-04-08 09:41:00-04:00
243.265,243.265,243.26,243.26,225,2024-04-08 09:42:00-04:00
243.31,243.32,243.19,243.19,618,2024-04-08 09:43:00-04:00
243.225,243.225,242.75,242.75,600,2024-04-08 09:44:00-04:00
242.77,242.88,242.32,242.88,1600,2024-04-08 09:45:00-04:00
242.95,243.23,242.799,243.23,412,2024-04-08 09:46:00-04:00
243.21,243.26,242.7925,242.97,6784,2024-04-08 09:47:00-04:00
243.09,243.23,243.09,243.23,2633,2024-04-08 09:48:00-04:00
242.82,242.82,242.3,242.3,800,2024-04-08 09:49:00-04:00
242.5,242.57,242.04,242.04,1100,2024-04-08 09:50:00-04:00
242.065,242.51,242.065,242.49,1139,2024-04-08 09:51:00-04:00
242.32,242.32,242.32,242.32,100,2024-04-08 09:52:00-04:00
242.26,242.46,242.1046,242.46,550,2024-04-08 09:53:00-04:00
242.415,242.51,242.415,242.415,524,2024-04-08 09:54:00-04:00
242.26,242.68,242.1327,242.43,2698,2024-04-08 09:55:00-04:00
242.52,242.52,242.515,242.515,200,2024-04-08 09:56:00-04:00
242.27,242.415,242.24,242.41,600,2024-04-08 09:57:00-04:00
242.55,242.7,242.505,242.7,400,2024-04-08 09:58:00-04:00
