open,high,low,close,volume,datetime
225.32,226.265,225.32,226.265,11521,2024-04-08 09:30:00-04:00
225.81,225.85,225.4,225.4,1100,2024-04-08 09:31:00-04:00
225.515,225.87,225.475,225.49,1300,2024-04-08 09:33:00-04:00
225.34,225.675,225.34,225.675,400,2024-04-08 09:34:00-04:00
225.31,225.495,225.3,225.32,1692,2024-04-08 09:35:00-04:00
225.03,225.03,225.03,225.03,100,2024-04-08 09:36:00-04:00
225.4,225.72,225.35,225.35,400,2024-04-08 09:37:00-04:00
225.4276,225.77,225.12,225.48,500,2024-04-08 09:38:00-04:00
225.48,225.76,225.48,225.76,200,2024-04-08 09:39:00-04:00
224.925,224.925,224.89,224.89,200,2024-04-08 09:40:00-04:00
224.955,225.2,224.955,225.2,400,2024-04-08 09:41:00-04:00
225.35,225.35,225.325,225.325,200,2024-04-08 09:42:00-04:00
225.174,225.63,225.174,225.63,260,2024-04-08 09:43:00-04:00
225.78,225.78,225.76,225.775,1700,2024-04-08 09:45:00-04:00
225.6,225.6,225.59,225.59,300,2024-04-08 09:46:00-04:00
225.41,225.545,225.41,225.537,514,2024-04-08 09:47:00-04:00
225.5329,225.5329,224.82,224.82,500,2024-04-08 09:48:00-04:00
224.82,224.82,224.72,224.72,200,2024-04-08 09:49:00-04:00
224.77,224.77,224.585,224.585,400,2024-04-08 09:50:00-04:00
224.74,225.015,224.74,225.015,511,2024-04-08 09:51:00-04:00
225.33,225.36,225.33,225.36,200,2024-04-08 09:53:00-04:00
225.4,225.4,225.4,225.4,100,2024-04-08 09:54:00-04:00
225.54,225.54,225.3068,225.415,602,2024-04-08 09:55:00-04:00
225.57,225.725,225.57,225.725,200,2024-04-08 09:56:00-04:00
225.79,225.84,225.79,225.84,678,2024-04-08 09:57:00-04:00
225.945,225.95,225.812,225.945,700,2024-04-08 09:58:00-04:00
226.05,226.05,225.75,225.75,800,2024-04-08 09:59:00-04:00
225.5401,225.775,225.49,225.49,2300,2024-04-08 10:00:00-04:00
225.5,225.56,225.34,225.53,837,2024-04-08 10:01:00-04:00
225.53,225.53,225.435,225.435,700,2024-04-08 10:02:00-04:00
225.48,225.585,225.42,225.48,550,2024-04-08 10:03:00-04:00
225.41,225.52,225.27,225.52,950,2024-04-08 10:04:00-04:00
225.525,225.85,225.525,225.85,219,2024-04-08 10:05:00-04:00
225.805,225.835,225.56,225.56,2300,2024-04-08 10:06:00-04:00
225.54,225.54,225.51,225.51,446,2024-04-08 10:07:00-04:00
225.6,225.6,225.6,225.6,500,2024-04-08 10:09:00-04:00
225.695,225.695,225.55,225.55,400,2024-04-08 10:11:00-04:00
225.465,225.465,225.295,225.295,766,2024-04-08 10:12:00-04:00
225.175,225.175,224.95,224.95,400,2024-04-08 10:13:00-04:00
225.24,225.24,225.15,225.15,500,2024-04-08 10:14:00-04:00
224.91,225.21,224.87,225.21,1345,2024-04-08 10:15:00-04:00
225.33,225.33,225.175,225.175,1592,2024-04-08 10:16:00-04:00
225.08,225.41,225.08,225.305,1188,2024-04-08 10:18:00-04:00
225.295,225.295,225.16,225.21,2688,2024-04-08 10:19:00-04:00
225.085,225.34,225.085,225.34,200,2024-04-08 10:20:00-04:00
225.205,225.44,225.09,225.44,899,2024-04-08 10:21:00-04:00
225.68,225.68,225.67,225.67,200,2024-04-08 10:22:00-04:00
225.59,225.59,225.59,225.59,200,2024-04-08 10:23:00-04:00
225.505,225.505,225.41,225.44,1700,2024-04-08 10:24:00-04:00
225.6,225.77,225.6,225.64,700,2024-04-08 10:25:00-04:00
225.64,225.64,225.6,225.63,600,2024-04-08 10:26:00-04:00
225.51,225.51,225.5,225.5,700,2024-04-08 10:27:00-04:00
225.57,225.57,225.57,225.57,100,2024-04-08 10:28:00-04:00
225.41,225.57,225.405,225.57,400,2024-04-08 10:29:00-04:00
225.56,225.56,225.495,225.495,200,2024-04-08 10:30:00-04:00
225.415,225.415,225.415,225.415,100,2024-04-08 10:31:00-04:00
225.39,225.39,225.33,225.33,1400,2024-04-08 10:32:00-04:00
225.42,225.56,225.25,225.56,1452,2024-04-08 10:33:00-04:00
225.5,225.5,225.5,225.5,100,2024-04-08 10:34:00-04:00
225.355,225.355,225.355,225.355,252,2024-04-08 10:35:00-04:00
225.38,225.38,225.375,225.375,200,2024-04-08 10:37:00-04:00
225.54,225.67,225.435,225.67,2127,2024-04-08 10:38:00-04:00
225.66,225.67,225.6,225.67,800,2024-04-08 10:39:00-04:00
225.46,225.515,225.46,225.515,200,2024-04-08 10:40:00-04:00
225.39,225.39,225.28,225.28,500,2024-04-08 10:41:00-04:00
225.25,225.25,225.25,225.25,200,2024-04-08 10:43:00-04:00
225.2,225.2,225.2,225.2,100,2024-04-08 10:44:00-04:00
225.404,225.41,225.4,225.4,1100,2024-04-08 10:46:00-04:00
225.51,225.52,225.51,225.52,326,2024-04-08 10:47:00-04:00
225.53,225.53,225.37,225.39,1200,2024-04-08 10:49:00-04:00
225.35,225.36,225.35,225.36,250,2024-04-08 10:50:00-04:00
225.425,225.425,225.33,225.33,872,2024-04-08 10:51:00-04:00
225.37,225.47,225.37,225.4478,1274,2024-04-08 10:52:00-04:00
225.54,225.61,225.54,225.61,300,2024-04-08 10:53:00-04:00
225.63,225.63,225.545,225.545,400,2024-04-08 10:54:00-04:00
225.51,225.535,225.51,225.535,1185,2024-04-08 10:55:00-04:00
225.52,225.52,225.52,225.52,2235,2024-04-08 10:56:00-04:00
225.52,225.76,225.52,225.75,854,2024-04-08 10:57:00-04:00
226.01,226.22,226.0,226.0,760,2024-04-08 10:59:00-04:00
226.03,226.115,225.85,225.85,2633,2024-04-08 11:00:00-04:00
225.83,225.925,225.805,225.805,1145,2024-04-08 11:01:00-04:00
225.785,226.06,225.76,225.93,15383,2024-04-08 11:02:00-04:00
225.85,225.95,225.85,225.9175,1300,2024-04-08 11:03:00-04:00
226.175,226.21,226.06,226.06,900,2024-04-08 11:05:00-04:00
226.06,226.06,226.055,226.055,200,2024-04-08 11:06:00-04:00
226.07,226.18,225.98,226.18,1746,2024-04-08 11:07:00-04:00
226.07,226.17,225.9,226.05,8662,2024-04-08 11:08:00-04:00
226.07,226.07,226.0,226.0,700,2024-04-08 11:09:00-04:00
226.13,226.185,226.13,226.13,700,2024-04-08 11:10:00-04:00
226.13,226.13,226.13,226.13,100,2024-04-08 11:11:00-04:00
226.03,226.06,226.03,226.055,1200,2024-04-08 11:12:00-04:00
225.985,226.09,225.985,226.075,700,2024-04-08 11:13:00-04:00
226.175,226.175,226.075,226.175,300,2024-04-08 11:14:00-04:00
226.17,226.17,226.17,226.17,362,2024-04-08 11:15:00-04:00
226.075,226.11,226.01,226.06,4419,2024-04-08 11:16:00-04:00
226.06,226.06,226.04,226.04,200,2024-04-08 11:17:00-04:00
226.215,226.22,226.15,226.15,700,2024-04-08 11:18:00-04:00
226.15,226.15,226.06,226.11,1864,2024-04-08 11:19:00-04:00
226.1,226.16,226.06,226.06,400,2024-04-08 11:20:00-04:00
