open,high,low,close,volume,datetime
18.03,18.12,18.03,18.065,27779,2024-04-08 09:30:00-04:00
18.0248,18.0248,17.96,17.96,1022,2024-04-08 09:31:00-04:00
17.965,17.965,17.95,17.95,200,2024-04-08 09:32:00-04:00
17.95,17.95,17.9422,17.9422,255,2024-04-08 09:33:00-04:00
17.905,17.95,17.905,17.95,500,2024-04-08 09:34:00-04:00
17.9202,17.94,17.9202,17.94,551,2024-04-08 09:35:00-04:00
17.965,17.98,17.95,17.95,800,2024-04-08 09:36:00-04:00
17.945,17.96,17.91,17.91,1333,2024-04-08 09:37:00-04:00
17.905,17.94,17.89,17.94,3179,2024-04-08 09:38:00-04:00
17.95,17.95,17.93,17.93,906,2024-04-08 09:39:00-04:00
17.935,17.985,17.935,17.985,2320,2024-04-08 09:40:00-04:00
18.0,18.015,17.995,17.995,1239,2024-04-08 09:41:00-04:00
17.98,17.99,17.975,17.98,1300,2024-04-08 09:42:00-04:00
17.99,17.99,17.965,17.98,1120,2024-04-08 09:43:00-04:00
17.97,18.0,17.97,17.99,2216,2024-04-08 09:44:00-04:00
18.0,18.0,17.94,17.96,3498,2024-04-08 09:45:00-04:00
17.97,17.98,17.96,17.96,2535,2024-04-08 09:46:00-04:00
17.95,17.95,17.95,17.95,609,2024-04-08 09:47:00-04:00
17.94,17.95,17.925,17.925,1968,2024-04-08 09:48:00-04:00
17.925,17.925,17.9,17.9,2337,2024-04-08 09:49:00-04:00
17.91,17.91,17.89,17.89,600,2024-04-08 09:50:00-04:00
17.885,17.9,17.885,17.9,799,2024-04-08 09:51:00-04:00
17.9,17.9,17.87,17.87,988,2024-04-08 09:52:00-04:00
17.865,17.905,17.865,17.9,2182,2024-04-08 09:53:00-04:00
17.9,17.9,17.875,17.875,1500,2024-04-08 09:54:00-04:00
17.87,17.87,17.86,17.86,500,2024-04-08 09:55:00-04:00
17.865,17.89,17.86,17.89,3137,2024-04-08 09:56:00-04:00
17.87,17.87,17.87,17.87,100,2024-04-08 09:57:00-04:00
17.865,17.865,17.86,17.865,300,2024-04-08 09:58:00-04:00
17.865,17.865,17.86,17.86,1453,2024-04-08 09:59:00-04:00
17.86,17.86,17.81,17.83,3971,2024-04-08 10:00:00-04:00
17.83,17.83,17.805,17.805,643,2024-04-08 10:01:00-04:00
17.805,17.82,17.76,17.76,2723,2024-04-08 10:02:00-04:00
17.755,17.755,17.725,17.725,2477,2024-04-08 10:03:00-04:00
17.725,17.725,17.68,17.69,2344,2024-04-08 10:04:00-04:00
17.6799,17.69,17.6799,17.68,1347,2024-04-08 10:05:00-04:00
17.68,17.69,17.67,17.69,3697,2024-04-08 10:06:00-04:00
17.695,17.71,17.695,17.7,1859,2024-04-08 10:07:00-04:00
