open,high,low,close,volume,datetime
79.26,79.65,79.0,79.65,579,2024-04-08 07:00:00-04:00
79.87,79.9,79.87,79.9,309,2024-04-08 09:29:00-04:00
79.95,80.05,79.85,79.915,26826,2024-04-08 09:30:00-04:00
79.85,79.9,79.79,79.86,1010,2024-04-08 09:31:00-04:00
79.8153,80.03,79.8153,79.99,2258,2024-04-08 09:32:00-04:00
79.96,80.06,79.96,80.04,2961,2024-04-08 09:33:00-04:00
80.15,80.23,80.14,80.22,703,2024-04-08 09:34:00-04:00
80.225,80.225,80.14,80.15,2727,2024-04-08 09:35:00-04:00
80.18,80.18,80.15,80.17,700,2024-04-08 09:36:00-04:00
80.21,80.29,80.18,80.29,1453,2024-04-08 09:37:00-04:00
80.32,80.45,80.32,80.45,2208,2024-04-08 09:38:00-04:00
80.47,80.5282,80.45,80.5282,16334,2024-04-08 09:39:00-04:00
80.53,80.57,80.34,80.34,2828,2024-04-08 09:40:00-04:00
80.34,80.43,80.34,80.37,1014,2024-04-08 09:41:00-04:00
80.36,80.375,80.3,80.3024,2354,2024-04-08 09:42:00-04:00
80.32,80.32,80.21,80.245,1754,2024-04-08 09:43:00-04:00
80.26,80.3,80.26,80.3,1011,2024-04-08 09:44:00-04:00
80.32,80.32,80.23,80.27,3390,2024-04-08 09:45:00-04:00
80.3,80.32,80.26,80.295,2166,2024-04-08 09:46:00-04:00
80.28,80.2973,80.16,80.16,2112,2024-04-08 09:47:00-04:00
80.17,80.25,80.16,80.22,13869,2024-04-08 09:48:00-04:00
80.21,80.23,80.2,80.2,1306,2024-04-08 09:49:00-04:00
80.2,80.24,80.16,80.2,2834,2024-04-08 09:50:00-04:00
80.22,80.28,80.22,80.22,1404,2024-04-08 09:51:00-04:00
80.22,80.22,80.12,80.12,630,2024-04-08 09:52:00-04:00
80.11,80.12,80.09,80.09,2471,2024-04-08 09:53:00-04:00
80.1199,80.1199,80.035,80.05,2150,2024-04-08 09:54:00-04:00
80.05,80.05,80.0,80.035,1899,2024-04-08 09:55:00-04:00
80.06,80.075,80.01,80.05,1450,2024-04-08 09:56:00-04:00
80.05,80.07,80.02,80.07,1201,2024-04-08 09:57:00-04:00
80.08,80.1,80.05,80.085,3554,2024-04-08 09:58:00-04:00
80.09,80.095,80.07,80.07,2076,2024-04-08 09:59:00-04:00
80.07,80.094,80.0497,80.0497,4143,2024-04-08 10:00:00-04:00
80.03,80.05,79.96,79.985,4093,2024-04-08 10:01:00-04:00
79.975,80.025,79.96,80.025,2200,2024-04-08 10:02:00-04:00
80.04,80.045,79.92,79.92,5132,2024-04-08 10:03:00-04:00
79.91,79.925,79.75,79.76,21916,2024-04-08 10:04:00-04:00
79.77,79.77,79.66,79.66,4094,2024-04-08 10:05:00-04:00
79.65,79.68,79.65,79.66,2411,2024-04-08 10:06:00-04:00
79.68,79.74,79.68,79.7,1720,2024-04-08 10:07:00-04:00
79.72,79.79,79.69,79.79,24077,2024-04-08 10:08:00-04:00
79.795,79.795,79.75,79.75,3100,2024-04-08 10:09:00-04:00
79.74,79.795,79.74,79.795,5837,2024-04-08 10:10:00-04:00
79.81,79.84,79.805,79.81,2556,2024-04-08 10:11:00-04:00
79.81,79.83,79.8,79.83,2704,2024-04-08 10:12:00-04:00
79.845,79.865,79.84,79.855,857,2024-04-08 10:13:00-04:00
79.84,79.85,79.82,79.85,3567,2024-04-08 10:14:00-04:00
79.845,79.865,79.81,79.81,3720,2024-04-08 10:15:00-04:00
79.78,79.8162,79.7799,79.79,3015,2024-04-08 10:16:00-04:00
79.785,79.79,79.78,79.78,800,2024-04-08 10:17:00-04:00
79.79,79.84,79.79,79.8,3525,2024-04-08 10:18:00-04:00
79.8,79.87,79.8,79.87,1300,2024-04-08 10:19:00-04:00
79.88,79.91,79.88,79.91,1431,2024-04-08 10:20:00-04:00
79.9,79.9,79.88,79.9,1300,2024-04-08 10:21:00-04:00
79.9,79.91,79.89,79.91,1774,2024-04-08 10:22:00-04:00
79.9,79.93,79.885,79.9,6771,2024-04-08 10:23:00-04:00
79.88,79.93,79.87,79.93,2740,2024-04-08 10:24:00-04:00
79.95,80.01,79.95,79.97,3364,2024-04-08 10:25:00-04:00
79.95,79.96,79.95,79.96,1604,2024-04-08 10:26:00-04:00
79.97,79.99,79.96,79.975,3246,2024-04-08 10:27:00-04:00
79.98,80.0,79.97,79.985,1975,2024-04-08 10:28:00-04:00
80.0,80.02,80.0,80.02,700,2024-04-08 10:29:00-04:00
80.02,80.03,80.01,80.03,2151,2024-04-08 10:30:00-04:00
80.025,80.03,80.01,80.03,2213,2024-04-08 10:31:00-04:00
80.05,80.09,80.05,80.08,1100,2024-04-08 10:32:00-04:00
80.09,80.115,80.09,80.11,4040,2024-04-08 10:33:00-04:00
80.11,80.15,80.11,80.14,3347,2024-04-08 10:34:00-04:00
80.15,80.15,80.11,80.12,1200,2024-04-08 10:35:00-04:00
80.15,80.17,80.15,80.165,1200,2024-04-08 10:36:00-04:00
80.17,80.18,80.17,80.17,2884,2024-04-08 10:37:00-04:00
80.18,80.215,80.18,80.215,2201,2024-04-08 10:38:00-04:00
80.22,80.23,80.2199,80.23,3400,2024-04-08 10:39:00-04:00
80.24,80.27,80.24,80.27,2033,2024-04-08 10:40:00-04:00
80.29,80.32,80.29,80.32,3000,2024-04-08 10:41:00-04:00
80.32,80.335,80.31,80.32,5331,2024-04-08 10:42:00-04:00
80.3116,80.33,80.31,80.31,2579,2024-04-08 10:43:00-04:00
80.3,80.31,80.3,80.31,640,2024-04-08 10:44:00-04:00
80.31,80.31,80.27,80.275,2200,2024-04-08 10:45:00-04:00
80.28,80.3,80.28,80.3,200,2024-04-08 10:46:00-04:00
80.31,80.32,80.27,80.27,4585,2024-04-08 10:47:00-04:00
80.27,80.275,80.27,80.275,1867,2024-04-08 10:48:00-04:00
80.28,80.29,80.27,80.29,2553,2024-04-08 10:49:00-04:00
80.32,80.355,80.32,80.355,1400,2024-04-08 10:50:00-04:00
80.36,80.3601,80.3422,80.3601,1257,2024-04-08 10:51:00-04:00
80.375,80.375,80.325,80.33,2590,2024-04-08 10:52:00-04:00
80.34,80.35,80.34,80.35,500,2024-04-08 10:53:00-04:00
80.34,80.35,80.33,80.35,3169,2024-04-08 10:54:00-04:00
80.35,80.39,80.35,80.375,3238,2024-04-08 10:55:00-04:00
80.38,80.4,80.38,80.4,1299,2024-04-08 10:56:00-04:00
80.39,80.41,80.39,80.41,2406,2024-04-08 10:57:00-04:00
80.41,80.41,80.355,80.36,1875,2024-04-08 10:58:00-04:00
80.35,80.38,80.33,80.38,2526,2024-04-08 10:59:00-04:00
80.37,80.4147,80.37,80.4,2918,2024-04-08 11:00:00-04:00
80.41,80.41,80.39,80.39,1303,2024-04-08 11:01:00-04:00
80.385,80.42,80.385,80.41,2670,2024-04-08 11:02:00-04:00
80.41,80.44,80.38,80.405,4534,2024-04-08 11:03:00-04:00
80.4,80.43,80.4,80.43,941,2024-04-08 11:04:00-04:00
80.43,80.45,80.41,80.41,4202,2024-04-08 11:05:00-04:00
80.4016,80.4016,80.39,80.4,1231,2024-04-08 11:06:00-04:00
80.405,80.405,80.395,80.4,800,2024-04-08 11:07:00-04:00
80.41,80.415,80.3645,80.38,4602,2024-04-08 11:08:00-04:00
80.38,80.38,80.34,80.35,4810,2024-04-08 11:09:00-04:00
80.36,80.39,80.36,80.3801,2501,2024-04-08 11:10:00-04:00
80.3808,80.4,80.37,80.4,2228,2024-04-08 11:11:00-04:00
80.3999,80.41,80.395,80.4,1529,2024-04-08 11:12:00-04:00
80.39,80.39,80.38,80.39,1603,2024-04-08 11:13:00-04:00
80.41,80.415,80.41,80.4115,1134,2024-04-08 11:14:00-04:00
80.42,80.42,80.355,80.38,2913,2024-04-08 11:15:00-04:00
80.385,80.385,80.355,80.36,2001,2024-04-08 11:16:00-04:00
80.36,80.36,80.345,80.345,1151,2024-04-08 11:17:00-04:00
80.35,80.36,80.34,80.36,1700,2024-04-08 11:18:00-04:00
80.38,80.385,80.33,80.33,1600,2024-04-08 11:19:00-04:00
80.335,80.34,80.335,80.34,700,2024-04-08 11:20:00-04:00
80.35,80.35,80.34,80.35,2266,2024-04-08 11:21:00-04:00
80.36,80.37,80.345,80.36,900,2024-04-08 11:22:00-04:00
80.37,80.38,80.37,80.38,1100,2024-04-08 11:23:00-04:00
80.38,80.39,80.37,80.39,3706,2024-04-08 11:24:00-04:00
80.38,80.39,80.38,80.39,750,2024-04-08 11:25:00-04:00
80.38,80.405,80.37,80.405,3100,2024-04-08 11:26:00-04:00
80.405,80.405,80.385,80.39,2006,2024-04-08 11:27:00-04:00
80.39,80.405,80.39,80.405,1596,2024-04-08 11:28:00-04:00
80.405,80.425,80.39,80.4247,2863,2024-04-08 11:29:00-04:00
80.425,80.425,80.415,80.42,1132,2024-04-08 11:30:00-04:00
80.42,80.42,80.4,80.405,800,2024-04-08 11:31:00-04:00
80.4,80.45,80.4,80.42,23064,2024-04-08 11:32:00-04:00
80.41,80.41,80.4,80.405,2345,2024-04-08 11:33:00-04:00
80.41,80.4581,80.41,80.45,2662,2024-04-08 11:34:00-04:00
80.44,80.44,80.41,80.41,1000,2024-04-08 11:35:00-04:00
80.42,80.42,80.37,80.39,1671,2024-04-08 11:36:00-04:00
80.39,80.435,80.39,80.435,1464,2024-04-08 11:37:00-04:00
80.44,80.44,80.4143,80.415,2586,2024-04-08 11:38:00-04:00
80.42,80.44,80.42,80.44,1700,2024-04-08 11:39:00-04:00
80.43,80.435,80.42,80.42,1100,2024-04-08 11:40:00-04:00
80.405,80.405,80.39,80.39,950,2024-04-08 11:41:00-04:00
80.4,80.425,80.4,80.425,1375,2024-04-08 11:42:00-04:00
80.43,80.445,80.43,80.43,1803,2024-04-08 11:43:00-04:00
80.4338,80.4338,80.4,80.4,1503,2024-04-08 11:44:00-04:00
80.39,80.395,80.355,80.38,3655,2024-04-08 11:45:00-04:00
80.39,80.4,80.38,80.38,2577,2024-04-08 11:46:00-04:00
80.38,80.38,80.34,80.34,4174,2024-04-08 11:47:00-04:00
80.34,80.35,80.34,80.345,1200,2024-04-08 11:48:00-04:00
