open,high,low,close,volume,datetime
156.49,156.49,156.49,156.49,259,2024-04-08 07:00:00-04:00
156.12,156.12,156.12,156.12,100,2024-04-08 07:48:00-04:00
155.97,156.15,155.63,156.085,127437,2024-04-08 09:30:00-04:00
156.025,156.35,156.005,156.21,11341,2024-04-08 09:31:00-04:00
156.27,156.34,155.94,155.95,6349,2024-04-08 09:32:00-04:00
155.95,156.04,155.83,155.88,8344,2024-04-08 09:33:00-04:00
155.96,156.04,155.93,155.98,5702,2024-04-08 09:34:00-04:00
156.0,156.03,155.905,155.95,6754,2024-04-08 09:35:00-04:00
155.88,156.01,155.87,155.905,7083,2024-04-08 09:36:00-04:00
155.905,156.05,155.86,155.94,4936,2024-04-08 09:37:00-04:00
155.96,156.075,155.94,156.075,5971,2024-04-08 09:38:00-04:00
156.1,156.35,156.1,156.35,9299,2024-04-08 09:39:00-04:00
156.36,156.43,156.34,156.4,6381,2024-04-08 09:40:00-04:00
156.4,156.4,156.32,156.35,13216,2024-04-08 09:41:00-04:00
156.34,156.41,156.34,156.37,8365,2024-04-08 09:42:00-04:00
156.39,156.5,156.375,156.5,9896,2024-04-08 09:43:00-04:00
156.505,156.57,156.4,156.49,26068,2024-04-08 09:44:00-04:00
156.47,156.5,156.43,156.46,13392,2024-04-08 09:45:00-04:00
156.46,156.525,156.46,156.48,8412,2024-04-08 09:46:00-04:00
156.465,156.48,156.39,156.4,8285,2024-04-08 09:47:00-04:00
156.41,156.44,156.37,156.4,7191,2024-04-08 09:48:00-04:00
156.41,156.52,156.41,156.495,7473,2024-04-08 09:49:00-04:00
156.495,156.65,156.495,156.65,7315,2024-04-08 09:50:00-04:00
156.61,156.62,156.46,156.46,7800,2024-04-08 09:51:00-04:00
156.49,156.49,156.39,156.4,8462,2024-04-08 09:52:00-04:00
156.395,156.395,156.225,156.225,5843,2024-04-08 09:53:00-04:00
156.2298,156.2996,156.22,156.2996,6977,2024-04-08 09:54:00-04:00
156.3,156.36,156.3,156.335,4618,2024-04-08 09:55:00-04:00
156.335,156.36,156.22,156.23,3809,2024-04-08 09:56:00-04:00
156.24,156.26,156.19,156.21,4584,2024-04-08 09:57:00-04:00
156.2,156.245,156.14,156.14,3352,2024-04-08 09:58:00-04:00
156.1,156.105,155.94,155.97,7328,2024-04-08 09:59:00-04:00
155.97,156.075,155.97,156.075,13123,2024-04-08 10:00:00-04:00
156.065,156.065,155.95,155.97,7272,2024-04-08 10:01:00-04:00
155.97,155.98,155.925,155.955,9453,2024-04-08 10:02:00-04:00
155.955,156.06,155.94,155.995,14040,2024-04-08 10:03:00-04:00
155.995,156.02,155.92,155.93,6399,2024-04-08 10:04:00-04:00
155.94,156.07,155.925,156.07,3417,2024-04-08 10:05:00-04:00
156.055,156.14,156.04,156.14,6984,2024-04-08 10:06:00-04:00
156.13,156.14,156.07,156.12,6246,2024-04-08 10:07:00-04:00
