open,high,low,close,volume,datetime
566.73,566.73,566.73,566.73,5756,2024-04-08 09:30:00-04:00
568.34,568.78,567.3,568.78,659,2024-04-08 09:31:00-04:00
567.76,567.76,567.55,567.55,200,2024-04-08 09:33:00-04:00
566.814,566.814,566.814,566.814,697,2024-04-08 09:34:00-04:00
566.39,566.43,566.38,566.43,400,2024-04-08 09:36:00-04:00
565.54,566.614,565.54,566.614,550,2024-04-08 09:37:00-04:00
566.42,566.42,566.42,566.42,100,2024-04-08 09:38:00-04:00
566.43,566.43,566.43,566.43,200,2024-04-08 09:39:00-04:00
564.775,564.775,564.775,564.775,100,2024-04-08 09:42:00-04:00
565.14,565.37,564.235,564.7,901,2024-04-08 09:43:00-04:00
565.725,565.725,564.88,564.88,500,2024-04-08 09:44:00-04:00
564.995,565.29,564.995,565.29,409,2024-04-08 09:45:00-04:00
565.17,565.17,565.17,565.17,100,2024-04-08 09:46:00-04:00
564.66,565.175,564.66,565.175,300,2024-04-08 09:47:00-04:00
565.21,565.21,563.745,563.96,2428,2024-04-08 09:48:00-04:00
564.01,564.01,564.01,564.01,100,2024-04-08 09:53:00-04:00
563.69,564.715,562.96,563.875,845,2024-04-08 09:55:00-04:00
564.78,565.23,564.78,565.23,700,2024-04-08 09:56:00-04:00
565.03,565.03,565.03,565.03,200,2024-04-08 09:58:00-04:00
565.25,565.25,565.25,565.25,100,2024-04-08 09:59:00-04:00
564.9,565.125,564.9,565.025,3821,2024-04-08 10:00:00-04:00
564.62,564.62,564.0,564.0,1100,2024-04-08 10:01:00-04:00
563.975,563.99,563.975,563.99,1000,2024-04-08 10:02:00-04:00
563.47,563.47,563.2275,563.2275,300,2024-04-08 10:03:00-04:00
563.91,564.17,563.91,564.17,497,2024-04-08 10:04:00-04:00
564.33,564.33,564.33,564.33,100,2024-04-08 10:05:00-04:00
565.07,565.07,565.0,565.0,300,2024-04-08 10:08:00-04:00
565.04,565.04,565.04,565.04,100,2024-04-08 10:10:00-04:00
565.01,565.31,565.01,565.31,300,2024-04-08 10:15:00-04:00
564.915,564.915,564.915,564.915,100,2024-04-08 10:16:00-04:00
564.81,564.81,564.81,564.81,138,2024-04-08 10:17:00-04:00
564.81,565.22,564.81,564.85,373,2024-04-08 10:18:00-04:00
565.31,565.32,565.285,565.285,700,2024-04-08 10:20:00-04:00
564.98,565.175,564.71,565.015,1613,2024-04-08 10:21:00-04:00
565.51,565.62,565.51,565.62,301,2024-04-08 10:22:00-04:00
565.665,565.665,565.665,565.665,100,2024-04-08 10:24:00-04:00
566.11,566.73,566.11,566.36,1101,2024-04-08 10:25:00-04:00
566.73,566.91,566.73,566.91,900,2024-04-08 10:27:00-04:00
566.94,566.94,566.94,566.94,100,2024-04-08 10:28:00-04:00
566.925,566.925,566.925,566.925,100,2024-04-08 10:30:00-04:00
566.845,567.18,566.845,566.87,300,2024-04-08 10:31:00-04:00
566.89,566.99,566.52,566.685,600,2024-04-08 10:33:00-04:00
566.5,566.53,566.5,566.53,200,2024-04-08 10:34:00-04:00
566.86,567.06,566.715,566.875,950,2024-04-08 10:37:00-04:00
566.93,566.93,566.93,566.93,100,2024-04-08 10:39:00-04:00
566.63,566.64,566.62,566.64,1208,2024-04-08 10:40:00-04:00
566.33,566.33,566.33,566.33,100,2024-04-08 10:43:00-04:00
566.52,566.52,566.52,566.52,191,2024-04-08 10:44:00-04:00
566.44,566.44,566.24,566.24,352,2024-04-08 10:46:00-04:00
566.525,566.561,566.525,566.561,269,2024-04-08 10:47:00-04:00
566.53,566.53,566.53,566.53,166,2024-04-08 10:48:00-04:00
