open,high,low,close,volume,datetime
188.87,189.4,188.87,189.4,300,2024-04-08 09:29:00-04:00
189.27,189.525,189.26,189.525,7350,2024-04-08 09:30:00-04:00
188.96,188.96,188.96,188.96,200,2024-04-08 09:31:00-04:00
188.96,188.97,188.96,188.97,700,2024-04-08 09:32:00-04:00
188.925,188.93,188.925,188.93,700,2024-04-08 09:33:00-04:00
188.875,188.88,188.875,188.88,400,2024-04-08 09:34:00-04:00
188.905,188.905,188.665,188.665,700,2024-04-08 09:35:00-04:00
188.535,188.535,188.17,188.27,900,2024-04-08 09:37:00-04:00
188.31,188.31,188.31,188.31,100,2024-04-08 09:39:00-04:00
188.11,188.35,187.95,188.35,400,2024-04-08 09:42:00-04:00
188.345,188.345,188.05,188.325,300,2024-04-08 09:43:00-04:00
188.325,188.325,187.97,188.305,300,2024-04-08 09:44:00-04:00
188.305,188.6,188.0,188.305,1500,2024-04-08 09:45:00-04:00
188.46,188.61,188.38,188.61,1349,2024-04-08 09:46:00-04:00
188.4,188.57,188.39,188.4,2100,2024-04-08 09:47:00-04:00
188.1,188.1,188.1,188.1,100,2024-04-08 09:48:00-04:00
188.1,188.54,188.1,188.51,868,2024-04-08 09:49:00-04:00
188.59,188.59,188.59,188.59,100,2024-04-08 09:51:00-04:00
188.76,188.77,188.67,188.67,607,2024-04-08 09:52:00-04:00
188.665,188.665,188.665,188.665,100,2024-04-08 09:53:00-04:00
188.63,188.63,188.35,188.36,700,2024-04-08 09:56:00-04:00
188.32,188.32,188.32,188.32,400,2024-04-08 10:00:00-04:00
188.14,188.15,188.14,188.15,1100,2024-04-08 10:01:00-04:00
188.05,188.05,187.74,187.74,246,2024-04-08 10:02:00-04:00
188.16,188.34,188.16,188.34,1190,2024-04-08 10:03:00-04:00
188.12,188.2,188.12,188.2,200,2024-04-08 10:04:00-04:00
187.96,188.16,187.96,188.15,707,2024-04-08 10:05:00-04:00
188.365,188.365,188.365,188.365,100,2024-04-08 10:06:00-04:00
188.2,188.51,188.2,188.51,400,2024-04-08 10:07:00-04:00
188.555,188.555,188.48,188.48,300,2024-04-08 10:08:00-04:00
188.5,188.5,188.48,188.48,200,2024-04-08 10:09:00-04:00
188.48,188.49,188.48,188.49,800,2024-04-08 10:10:00-04:00
188.41,188.41,188.41,188.41,200,2024-04-08 10:11:00-04:00
188.68,188.68,188.615,188.615,320,2024-04-08 10:12:00-04:00
188.76,188.76,188.69,188.73,300,2024-04-08 10:13:00-04:00
188.74,188.74,188.74,188.74,100,2024-04-08 10:14:00-04:00
188.58,188.63,188.58,188.595,1400,2024-04-08 10:18:00-04:00
188.68,188.725,188.68,188.72,351,2024-04-08 10:19:00-04:00
188.685,188.685,188.685,188.685,100,2024-04-08 10:20:00-04:00
188.71,188.8,188.71,188.78,800,2024-04-08 10:21:00-04:00
188.76,188.77,188.76,188.77,235,2024-04-08 10:23:00-04:00
188.97,189.02,188.97,189.02,400,2024-04-08 10:27:00-04:00
189.01,189.01,189.01,189.01,100,2024-04-08 10:28:00-04:00
188.88,188.985,188.85,188.97,2959,2024-04-08 10:29:00-04:00
188.86,188.86,188.86,188.86,100,2024-04-08 10:30:00-04:00
188.93,188.93,188.93,188.93,100,2024-04-08 10:32:00-04:00
188.96,188.96,188.96,188.96,806,2024-04-08 10:33:00-04:00
189.04,189.04,189.04,189.04,100,2024-04-08 10:34:00-04:00
189.055,189.055,189.055,189.055,100,2024-04-08 10:35:00-04:00
188.92,189.01,188.9,189.01,1403,2024-04-08 10:36:00-04:00
189.15,189.15,189.15,189.15,200,2024-04-08 10:40:00-04:00
189.13,189.13,189.13,189.13,100,2024-04-08 10:41:00-04:00
189.01,189.06,189.0,189.0,1400,2024-04-08 10:43:00-04:00
189.06,189.1,189.06,189.1,200,2024-04-08 10:45:00-04:00
189.16,189.21,189.13,189.13,300,2024-04-08 10:46:00-04:00
189.17,189.36,189.17,189.36,666,2024-04-08 10:47:00-04:00
189.23,189.23,189.07,189.07,1354,2024-04-08 10:49:00-04:00
188.925,188.925,188.925,188.925,103,2024-04-08 10:51:00-04:00
189.02,189.02,189.015,189.015,300,2024-04-08 10:53:00-04:00
189.1,189.1,189.055,189.055,1035,2024-04-08 10:56:00-04:00
189.12,189.12,189.12,189.12,100,2024-04-08 10:58:00-04:00
189.19,189.25,189.18,189.25,2262,2024-04-08 11:02:00-04:00
189.18,189.18,189.1,189.1,500,2024-04-08 11:03:00-04:00
189.12,189.12,189.12,189.12,900,2024-04-08 11:04:00-04:00
189.22,189.23,189.22,189.23,200,2024-04-08 11:05:00-04:00
189.23,189.23,189.23,189.23,100,2024-04-08 11:06:00-04:00
189.22,189.22,189.12,189.12,600,2024-04-08 11:07:00-04:00
189.2,189.23,189.1545,189.1545,436,2024-04-08 11:09:00-04:00
189.235,189.235,189.235,189.235,157,2024-04-08 11:11:00-04:00
189.24,189.24,189.24,189.24,100,2024-04-08 11:14:00-04:00
189.31,189.31,189.31,189.31,100,2024-04-08 11:15:00-04:00
189.35,189.35,189.35,189.35,100,2024-04-08 11:18:00-04:00
189.38,189.51,189.38,189.51,706,2024-04-08 11:20:00-04:00
189.3875,189.405,189.3875,189.405,200,2024-04-08 11:21:00-04:00
189.49,189.49,189.49,189.49,100,2024-04-08 11:22:00-04:00
189.44,189.44,189.44,189.44,100,2024-04-08 11:23:00-04:00
189.46,189.46,189.46,189.46,100,2024-04-08 11:24:00-04:00
