open,high,low,close,volume,datetime
83.89,83.89,83.89,83.89,100,2024-04-08 08:38:00-04:00
84.27,84.44,84.27,84.44,14590,2024-04-08 09:30:00-04:00
84.38,84.38,84.38,84.38,100,2024-04-08 09:32:00-04:00
84.135,84.135,83.98,83.98,799,2024-04-08 09:35:00-04:00
84.11,84.11,84.11,84.11,100,2024-04-08 09:36:00-04:00
84.13,84.16,84.13,84.13,824,2024-04-08 09:38:00-04:00
84.175,84.175,84.175,84.175,100,2024-04-08 09:39:00-04:00
84.02,84.05,84.02,84.05,252,2024-04-08 09:40:00-04:00
84.02,84.02,84.02,84.02,101,2024-04-08 09:41:00-04:00
83.92,84.03,83.92,84.03,300,2024-04-08 09:42:00-04:00
83.96,83.96,83.96,83.96,100,2024-04-08 09:43:00-04:00
84.04,84.04,83.63,83.63,6794,2024-04-08 09:44:00-04:00
83.705,83.77,83.705,83.74,1001,2024-04-08 09:45:00-04:00
83.8,83.8,83.8,83.8,100,2024-04-08 09:46:00-04:00
83.8,83.8,83.78,83.8,600,2024-04-08 09:48:00-04:00
83.66,83.66,83.66,83.66,100,2024-04-08 09:50:00-04:00
83.65,83.755,83.63,83.755,1400,2024-04-08 09:51:00-04:00
83.67,83.67,83.67,83.67,135,2024-04-08 09:53:00-04:00
83.72,83.72,83.72,83.72,100,2024-04-08 09:54:00-04:00
83.76,83.79,83.645,83.75,5302,2024-04-08 09:55:00-04:00
83.75,83.75,83.71,83.75,1150,2024-04-08 09:56:00-04:00
83.72,83.72,83.72,83.72,200,2024-04-08 09:57:00-04:00
83.72,83.735,83.72,83.72,1064,2024-04-08 09:58:00-04:00
83.73,83.735,83.73,83.735,339,2024-04-08 09:59:00-04:00
83.72,83.725,83.67,83.67,2677,2024-04-08 10:00:00-04:00
83.61,83.61,83.61,83.61,100,2024-04-08 10:01:00-04:00
83.48,83.51,83.44,83.44,1500,2024-04-08 10:02:00-04:00
83.53,83.555,83.49,83.49,1153,2024-04-08 10:03:00-04:00
83.53,83.53,83.53,83.53,100,2024-04-08 10:04:00-04:00
83.5,83.57,83.5,83.57,460,2024-04-08 10:05:00-04:00
83.53,83.54,83.52,83.535,750,2024-04-08 10:06:00-04:00
83.535,83.57,83.51,83.51,2106,2024-04-08 10:07:00-04:00
83.53,83.64,83.53,83.64,700,2024-04-08 10:08:00-04:00
83.65,83.65,83.62,83.65,1288,2024-04-08 10:09:00-04:00
83.63,83.685,83.63,83.685,2500,2024-04-08 10:10:00-04:00
83.63,83.63,83.54,83.57,1200,2024-04-08 10:11:00-04:00
83.61,83.61,83.57,83.59,2461,2024-04-08 10:12:00-04:00
83.59,83.59,83.52,83.57,1713,2024-04-08 10:13:00-04:00
83.63,83.66,83.63,83.66,400,2024-04-08 10:15:00-04:00
83.63,83.64,83.62,83.62,1400,2024-04-08 10:16:00-04:00
83.55,83.64,83.55,83.64,1571,2024-04-08 10:17:00-04:00
83.645,83.65,83.58,83.58,1300,2024-04-08 10:18:00-04:00
83.56,83.62,83.56,83.62,400,2024-04-08 10:19:00-04:00
83.61,83.64,83.61,83.64,1029,2024-04-08 10:20:00-04:00
83.62,83.64,83.62,83.64,431,2024-04-08 10:21:00-04:00
83.64,83.7,83.62,83.7,3112,2024-04-08 10:22:00-04:00
83.71,83.71,83.66,83.66,1541,2024-04-08 10:23:00-04:00
83.655,83.675,83.65,83.675,1000,2024-04-08 10:24:00-04:00
83.68,83.765,83.68,83.74,7048,2024-04-08 10:25:00-04:00
83.71,83.76,83.71,83.755,788,2024-04-08 10:26:00-04:00
83.76,83.85,83.76,83.85,300,2024-04-08 10:27:00-04:00
83.83,83.83,83.795,83.81,400,2024-04-08 10:28:00-04:00
83.8,83.83,83.78,83.825,3290,2024-04-08 10:29:00-04:00
83.845,83.845,83.76,83.77,2640,2024-04-08 10:30:00-04:00
83.775,83.85,83.775,83.85,300,2024-04-08 10:31:00-04:00
83.86,83.875,83.84,83.87,1446,2024-04-08 10:32:00-04:00
83.91,83.91,83.88,83.88,200,2024-04-08 10:33:00-04:00
83.81,83.86,83.8,83.86,800,2024-04-08 10:34:00-04:00
83.87,83.87,83.86,83.86,1200,2024-04-08 10:35:00-04:00
83.82,83.82,83.82,83.82,300,2024-04-08 10:37:00-04:00
83.84,83.87,83.84,83.87,789,2024-04-08 10:38:00-04:00
83.87,83.87,83.81,83.81,1200,2024-04-08 10:39:00-04:00
83.79,83.79,83.79,83.79,100,2024-04-08 10:40:00-04:00
83.78,83.78,83.77,83.77,1100,2024-04-08 10:41:00-04:00
83.76,83.76,83.76,83.76,200,2024-04-08 10:42:00-04:00
83.78,83.78,83.78,83.78,200,2024-04-08 10:43:00-04:00
83.81,83.81,83.78,83.78,667,2024-04-08 10:44:00-04:00
83.77,83.78,83.75,83.76,1703,2024-04-08 10:45:00-04:00
83.79,83.81,83.79,83.81,200,2024-04-08 10:46:00-04:00
83.78,83.81,83.78,83.78,2963,2024-04-08 10:47:00-04:00
83.82,83.84,83.82,83.84,300,2024-04-08 10:48:00-04:00
83.83,83.83,83.83,83.83,700,2024-04-08 10:49:00-04:00
83.78,83.78,83.78,83.78,600,2024-04-08 10:50:00-04:00
83.8,83.82,83.8,83.82,325,2024-04-08 10:51:00-04:00
83.8,83.81,83.77,83.77,1738,2024-04-08 10:52:00-04:00
83.765,83.78,83.765,83.78,400,2024-04-08 10:53:00-04:00
83.77,83.77,83.77,83.77,500,2024-04-08 10:54:00-04:00
83.75,83.75,83.73,83.75,1200,2024-04-08 10:55:00-04:00
83.75,83.76,83.74,83.76,1316,2024-04-08 10:56:00-04:00
83.78,83.78,83.73,83.73,780,2024-04-08 10:57:00-04:00
83.75,83.75,83.73,83.73,500,2024-04-08 10:58:00-04:00
83.73,83.75,83.73,83.75,802,2024-04-08 10:59:00-04:00
83.73,83.75,83.725,83.75,874,2024-04-08 11:00:00-04:00
83.72,83.7475,83.72,83.73,700,2024-04-08 11:01:00-04:00
83.71,83.71,83.63,83.63,1308,2024-04-08 11:02:00-04:00
83.635,83.68,83.635,83.68,1964,2024-04-08 11:03:00-04:00
83.7,83.7,83.7,83.7,100,2024-04-08 11:05:00-04:00
83.695,83.695,83.69,83.69,600,2024-04-08 11:06:00-04:00
83.635,83.64,83.635,83.64,300,2024-04-08 11:07:00-04:00
83.66,83.66,83.59,83.59,1700,2024-04-08 11:08:00-04:00
83.61,83.62,83.61,83.62,200,2024-04-08 11:09:00-04:00
83.65,83.66,83.65,83.66,300,2024-04-08 11:10:00-04:00
83.66,83.66,83.64,83.64,900,2024-04-08 11:11:00-04:00
83.63,83.63,83.606,83.606,404,2024-04-08 11:12:00-04:00
83.6,83.61,83.6,83.61,499,2024-04-08 11:13:00-04:00
83.6,83.6,83.5604,83.5604,1546,2024-04-08 11:14:00-04:00
83.59,83.63,83.59,83.62,1233,2024-04-08 11:15:00-04:00
83.61,83.61,83.61,83.61,100,2024-04-08 11:16:00-04:00
83.6,83.61,83.6,83.61,400,2024-04-08 11:17:00-04:00
83.63,83.63,83.63,83.63,100,2024-04-08 11:18:00-04:00
83.615,83.615,83.615,83.615,100,2024-04-08 11:19:00-04:00
83.62,83.64,83.62,83.62,600,2024-04-08 11:20:00-04:00
83.62,83.62,83.58,83.6,4463,2024-04-08 11:21:00-04:00
83.615,83.63,83.59,83.59,1814,2024-04-08 11:22:00-04:00
83.605,83.61,83.58,83.6,2229,2024-04-08 11:23:00-04:00
83.6,83.65,83.6,83.645,500,2024-04-08 11:24:00-04:00
83.65,83.65,83.65,83.65,100,2024-04-08 11:25:00-04:00
83.64,83.64,83.64,83.64,200,2024-04-08 11:26:00-04:00
83.67,83.67,83.67,83.67,149,2024-04-08 11:27:00-04:00
83.6504,83.6504,83.635,83.64,2245,2024-04-08 11:28:00-04:00
83.635,83.66,83.635,83.645,1136,2024-04-08 11:29:00-04:00
83.64,83.64,83.59,83.6,1251,2024-04-08 11:30:00-04:00
83.6,83.64,83.6,83.62,2141,2024-04-08 11:31:00-04:00
83.64,83.64,83.63,83.63,315,2024-04-08 11:32:00-04:00
83.625,83.64,83.625,83.635,500,2024-04-08 11:34:00-04:00
83.635,83.635,83.59,83.59,1906,2024-04-08 11:35:00-04:00
83.56,83.56,83.495,83.53,994,2024-04-08 11:36:00-04:00
83.55,83.55,83.55,83.55,100,2024-04-08 11:37:00-04:00
83.56,83.56,83.56,83.56,400,2024-04-08 11:38:00-04:00
83.55,83.56,83.55,83.56,600,2024-04-08 11:39:00-04:00
83.6,83.6,83.58,83.58,400,2024-04-08 11:40:00-04:00
83.59,83.59,83.56,83.56,600,2024-04-08 11:41:00-04:00
83.58,83.58,83.56,83.56,200,2024-04-08 11:42:00-04:00
83.59,83.59,83.56,83.58,1900,2024-04-08 11:43:00-04:00
83.58,83.585,83.58,83.585,700,2024-04-08 11:44:00-04:00
83.57,83.57,83.52,83.52,1000,2024-04-08 11:45:00-04:00
83.49,83.54,83.49,83.54,805,2024-04-08 11:46:00-04:00
83.57,83.585,83.57,83.585,800,2024-04-08 11:48:00-04:00
83.6,83.6125,83.6,83.6125,349,2024-04-08 11:49:00-04:00
83.59,83.59,83.56,83.58,1804,2024-04-08 11:50:00-04:00
83.58,83.585,83.55,83.55,600,2024-04-08 11:51:00-04:00
83.58,83.58,83.58,83.58,100,2024-04-08 11:52:00-04:00
83.56,83.56,83.53,83.54,800,2024-04-08 11:53:00-04:00
83.58,83.59,83.57,83.57,800,2024-04-08 11:54:00-04:00
83.54,83.54,83.52,83.52,600,2024-04-08 11:55:00-04:00
83.53,83.53,83.49,83.49,600,2024-04-08 11:56:00-04:00
83.53,83.55,83.53,83.55,400,2024-04-08 11:57:00-04:00
83.55,83.55,83.55,83.55,100,2024-04-08 11:58:00-04:00
83.58,83.58,83.58,83.58,700,2024-04-08 11:59:00-04:00
83.55,83.55,83.53,83.54,800,2024-04-08 12:00:00-04:00
83.53,83.53,83.51,83.51,602,2024-04-08 12:02:00-04:00
83.54,83.55,83.54,83.55,200,2024-04-08 12:03:00-04:00
83.56,83.58,83.54,83.54,1411,2024-04-08 12:04:00-04:00
83.53,83.54,83.53,83.54,527,2024-04-08 12:05:00-04:00
83.53,83.55,83.51,83.51,1600,2024-04-08 12:06:00-04:00
83.52,83.56,83.52,83.52,822,2024-04-08 12:07:00-04:00
83.53,83.53,83.52,83.52,200,2024-04-08 12:08:00-04:00
83.53,83.54,83.53,83.54,2880,2024-04-08 12:10:00-04:00
83.555,83.555,83.54,83.54,203,2024-04-08 12:11:00-04:00
83.545,83.545,83.545,83.545,300,2024-04-08 12:12:00-04:00
83.55,83.55,83.49,83.49,1997,2024-04-08 12:13:00-04:00
83.51,83.52,83.51,83.51,392,2024-04-08 12:14:00-04:00
83.48,83.48,83.44,83.475,700,2024-04-08 12:15:00-04:00
83.55,83.55,83.55,83.55,500,2024-04-08 12:17:00-04:00
83.565,83.565,83.54,83.54,1100,2024-04-08 12:18:00-04:00
83.54,83.54,83.48,83.48,988,2024-04-08 12:19:00-04:00
83.5,83.56,83.5,83.56,1900,2024-04-08 12:20:00-04:00
83.575,83.59,83.575,83.58,300,2024-04-08 12:22:00-04:00
83.58,83.58,83.48,83.54,4300,2024-04-08 12:23:00-04:00
83.515,83.515,83.49,83.49,342,2024-04-08 12:24:00-04:00
83.52,83.565,83.52,83.565,1880,2024-04-08 12:25:00-04:00
83.565,83.565,83.565,83.565,400,2024-04-08 12:26:00-04:00
83.585,83.62,83.585,83.62,300,2024-04-08 12:27:00-04:00
