open,high,low,close,volume,datetime
72.87,72.8834,72.87,72.8834,5175,2024-04-08 09:30:00-04:00
72.9699,72.9699,72.9699,72.9699,101,2024-04-08 09:33:00-04:00
73.065,73.065,73.06,73.06,301,2024-04-08 09:36:00-04:00
73.4,73.4,73.355,73.355,854,2024-04-08 09:39:00-04:00
73.53,73.53,73.43,73.43,870,2024-04-08 09:41:00-04:00
73.5599,73.5599,73.5599,73.5599,127,2024-04-08 09:42:00-04:00
73.26,73.4,73.21,73.21,656,2024-04-08 09:43:00-04:00
73.405,73.405,73.2,73.335,1139,2024-04-08 09:44:00-04:00
73.355,73.4,73.3,73.35,977,2024-04-08 09:45:00-04:00
73.38,73.38,73.38,73.38,200,2024-04-08 09:46:00-04:00
73.33,73.33,73.31,73.31,215,2024-04-08 09:47:00-04:00
73.3,73.3,73.3,73.3,100,2024-04-08 09:49:00-04:00
73.32,73.4,73.24,73.395,2770,2024-04-08 09:50:00-04:00
73.36,73.365,73.29,73.29,400,2024-04-08 09:52:00-04:00
73.26,73.27,73.21,73.24,923,2024-04-08 09:53:00-04:00
73.255,73.255,73.255,73.255,100,2024-04-08 09:55:00-04:00
73.265,73.265,73.265,73.265,200,2024-04-08 09:56:00-04:00
73.26,73.26,73.23,73.23,300,2024-04-08 09:57:00-04:00
73.22,73.22,73.22,73.22,100,2024-04-08 09:58:00-04:00
73.18,73.18,73.18,73.18,1018,2024-04-08 10:00:00-04:00
73.14,73.14,73.14,73.14,1200,2024-04-08 10:01:00-04:00
73.15,73.15,73.15,73.15,200,2024-04-08 10:02:00-04:00
73.205,73.23,73.205,73.23,1900,2024-04-08 10:03:00-04:00
73.22,73.22,73.2,73.2,759,2024-04-08 10:04:00-04:00
73.225,73.275,73.22,73.22,1160,2024-04-08 10:05:00-04:00
73.23,73.27,73.23,73.27,1346,2024-04-08 10:06:00-04:00
73.32,73.32,73.32,73.32,100,2024-04-08 10:07:00-04:00
73.315,73.33,73.29,73.33,1440,2024-04-08 10:08:00-04:00
73.32,73.32,73.32,73.32,400,2024-04-08 10:09:00-04:00
73.37,73.37,73.37,73.37,311,2024-04-08 10:10:00-04:00
73.37,73.37,73.35,73.35,500,2024-04-08 10:11:00-04:00
73.39,73.44,73.39,73.44,1029,2024-04-08 10:12:00-04:00
73.43,73.43,73.43,73.43,300,2024-04-08 10:13:00-04:00
73.37,73.37,73.37,73.37,200,2024-04-08 10:14:00-04:00
73.36,73.36,73.33,73.33,400,2024-04-08 10:15:00-04:00
73.46,73.46,73.46,73.46,100,2024-04-08 10:18:00-04:00
73.48,73.48,73.48,73.48,100,2024-04-08 10:19:00-04:00
73.53,73.54,73.49,73.49,2499,2024-04-08 10:20:00-04:00
73.44,73.44,73.44,73.44,165,2024-04-08 10:23:00-04:00
73.45,73.475,73.44,73.475,641,2024-04-08 10:24:00-04:00
73.49,73.56,73.49,73.56,939,2024-04-08 10:25:00-04:00
73.56,73.56,73.56,73.56,100,2024-04-08 10:26:00-04:00
73.62,73.63,73.56,73.56,3524,2024-04-08 10:27:00-04:00
73.56,73.56,73.55,73.55,435,2024-04-08 10:28:00-04:00
73.56,73.57,73.55,73.57,700,2024-04-08 10:29:00-04:00
73.575,73.575,73.52,73.52,900,2024-04-08 10:30:00-04:00
73.56,73.57,73.56,73.57,200,2024-04-08 10:31:00-04:00
73.58,73.58,73.53,73.53,1788,2024-04-08 10:33:00-04:00
73.58,73.6,73.575,73.6,707,2024-04-08 10:36:00-04:00
73.61,73.61,73.61,73.61,100,2024-04-08 10:37:00-04:00
73.65,73.65,73.65,73.65,100,2024-04-08 10:38:00-04:00
73.67,73.67,73.67,73.67,1300,2024-04-08 10:39:00-04:00
73.69,73.69,73.69,73.69,200,2024-04-08 10:40:00-04:00
73.73,73.74,73.71,73.74,300,2024-04-08 10:41:00-04:00
73.75,73.755,73.75,73.755,426,2024-04-08 10:42:00-04:00
73.81,73.81,73.78,73.78,1200,2024-04-08 10:43:00-04:00
73.81,73.81,73.755,73.755,2166,2024-04-08 10:44:00-04:00
73.73,73.74,73.73,73.74,200,2024-04-08 10:45:00-04:00
73.78,73.79,73.78,73.79,300,2024-04-08 10:46:00-04:00
73.76,73.76,73.74,73.74,912,2024-04-08 10:47:00-04:00
73.73,73.74,73.73,73.74,428,2024-04-08 10:48:00-04:00
73.73,73.745,73.73,73.74,1390,2024-04-08 10:49:00-04:00
73.77,73.77,73.77,73.77,300,2024-04-08 10:50:00-04:00
73.76,73.76,73.76,73.76,200,2024-04-08 10:51:00-04:00
73.75,73.75,73.73,73.73,738,2024-04-08 10:52:00-04:00
73.75,73.75,73.72,73.72,543,2024-04-08 10:53:00-04:00
73.73,73.73,73.73,73.73,100,2024-04-08 10:54:00-04:00
73.71,73.72,73.71,73.72,547,2024-04-08 10:55:00-04:00
73.73,73.73,73.73,73.73,201,2024-04-08 10:56:00-04:00
73.72,73.74,73.72,73.74,477,2024-04-08 10:57:00-04:00
73.74,73.74,73.67,73.67,1600,2024-04-08 10:58:00-04:00
73.69,73.69,73.69,73.69,100,2024-04-08 10:59:00-04:00
73.7193,73.7542,73.7193,73.7542,292,2024-04-08 11:00:00-04:00
73.76,73.77,73.75,73.75,1116,2024-04-08 11:01:00-04:00
73.8,73.83,73.78,73.78,1813,2024-04-08 11:02:00-04:00
73.75,73.8,73.75,73.8,950,2024-04-08 11:03:00-04:00
73.78,73.795,73.77,73.77,807,2024-04-08 11:05:00-04:00
73.75,73.75,73.75,73.75,100,2024-04-08 11:06:00-04:00
73.78,73.78,73.78,73.78,100,2024-04-08 11:07:00-04:00
73.78,73.81,73.78,73.8075,340,2024-04-08 11:08:00-04:00
73.84,73.86,73.84,73.84,400,2024-04-08 11:09:00-04:00
73.86,73.86,73.85,73.85,300,2024-04-08 11:10:00-04:00
73.85,73.85,73.85,73.85,200,2024-04-08 11:11:00-04:00
73.87,73.89,73.82,73.82,3104,2024-04-08 11:12:00-04:00
73.77,73.78,73.73,73.76,1628,2024-04-08 11:13:00-04:00
73.75,73.75,73.74,73.74,600,2024-04-08 11:15:00-04:00
73.79,73.8,73.79,73.79,598,2024-04-08 11:16:00-04:00
73.81,73.81,73.81,73.81,200,2024-04-08 11:18:00-04:00
73.8,73.8,73.795,73.795,1100,2024-04-08 11:19:00-04:00
73.81,73.81,73.81,73.81,100,2024-04-08 11:20:00-04:00
73.81,73.83,73.81,73.83,280,2024-04-08 11:21:00-04:00
73.86,73.86,73.81,73.81,2000,2024-04-08 11:23:00-04:00
73.79,73.8,73.79,73.8,300,2024-04-08 11:25:00-04:00
73.79,73.79,73.79,73.79,100,2024-04-08 11:26:00-04:00
73.8,73.8,73.8,73.8,300,2024-04-08 11:27:00-04:00
73.835,73.835,73.79,73.79,1604,2024-04-08 11:29:00-04:00
73.82,73.82,73.82,73.82,1209,2024-04-08 11:32:00-04:00
73.8,73.8,73.8,73.8,142,2024-04-08 11:33:00-04:00
73.83,73.83,73.83,73.83,100,2024-04-08 11:34:00-04:00
73.84,73.84,73.79,73.8,2340,2024-04-08 11:35:00-04:00
73.77,73.77,73.71,73.74,1400,2024-04-08 11:36:00-04:00
73.765,73.78,73.765,73.775,604,2024-04-08 11:37:00-04:00
73.805,73.82,73.805,73.82,400,2024-04-08 11:38:00-04:00
73.86,73.9,73.86,73.9,811,2024-04-08 11:39:00-04:00
73.87,73.885,73.855,73.867,3457,2024-04-08 11:40:00-04:00
73.87,73.88,73.83,73.83,1031,2024-04-08 11:41:00-04:00
73.88,73.91,73.88,73.91,550,2024-04-08 11:42:00-04:00
73.9,73.91,73.89,73.89,800,2024-04-08 11:43:00-04:00
73.88,73.905,73.88,73.895,700,2024-04-08 11:44:00-04:00
73.895,73.91,73.815,73.815,3198,2024-04-08 11:45:00-04:00
73.86,73.89,73.86,73.865,1920,2024-04-08 11:47:00-04:00
73.88,73.88,73.87,73.87,400,2024-04-08 11:48:00-04:00
73.87,73.9,73.87,73.9,512,2024-04-08 11:49:00-04:00
73.885,73.89,73.8825,73.89,1500,2024-04-08 11:50:00-04:00
73.9,73.9,73.9,73.9,100,2024-04-08 11:51:00-04:00
73.92,73.92,73.9,73.92,700,2024-04-08 11:52:00-04:00
73.93,73.94,73.9,73.9,3618,2024-04-08 11:53:00-04:00
73.91,73.92,73.91,73.92,899,2024-04-08 11:54:00-04:00
73.93,73.93,73.93,73.93,100,2024-04-08 11:55:00-04:00
73.93,73.93,73.89,73.91,1940,2024-04-08 11:56:00-04:00
73.93,73.965,73.93,73.965,900,2024-04-08 11:57:00-04:00
73.94,73.95,73.94,73.95,1600,2024-04-08 11:58:00-04:00
73.93,73.975,73.93,73.975,300,2024-04-08 11:59:00-04:00
73.975,73.975,73.92,73.92,2456,2024-04-08 12:00:00-04:00
73.9,73.91,73.9,73.91,200,2024-04-08 12:01:00-04:00
73.905,73.905,73.89,73.9,734,2024-04-08 12:02:00-04:00
73.89,73.9,73.89,73.89,500,2024-04-08 12:03:00-04:00
73.9,73.94,73.9,73.925,1497,2024-04-08 12:04:00-04:00
73.95,73.97,73.94,73.97,500,2024-04-08 12:05:00-04:00
74.0,74.0,73.98,73.98,210,2024-04-08 12:06:00-04:00
74.0,74.035,74.0,74.035,625,2024-04-08 12:07:00-04:00
74.03,74.03,74.0,74.015,2047,2024-04-08 12:08:00-04:00
74.0,74.0,73.98,73.995,2100,2024-04-08 12:09:00-04:00
73.99,74.01,73.99,74.01,800,2024-04-08 12:10:00-04:00
74.025,74.05,74.025,74.05,300,2024-04-08 12:12:00-04:00
74.04,74.04,74.0,74.0,1674,2024-04-08 12:13:00-04:00
74.01,74.01,73.98,73.98,1593,2024-04-08 12:14:00-04:00
73.98,74.0,73.98,74.0,400,2024-04-08 12:15:00-04:00
74.02,74.02,74.0,74.0,900,2024-04-08 12:16:00-04:00
73.98,74.02,73.98,74.02,500,2024-04-08 12:17:00-04:00
74.045,74.0483,74.045,74.0483,200,2024-04-08 12:18:00-04:00
74.045,74.045,74.03,74.03,200,2024-04-08 12:20:00-04:00
74.03,74.03,74.02,74.03,1100,2024-04-08 12:21:00-04:00
74.02,74.06,74.02,74.06,503,2024-04-08 12:22:00-04:00
74.07,74.07,74.07,74.07,100,2024-04-08 12:23:00-04:00
74.07,74.07,74.03,74.0444,1573,2024-04-08 12:24:00-04:00
74.06,74.1,74.06,74.1,402,2024-04-08 12:25:00-04:00
74.08,74.08,74.07,74.07,200,2024-04-08 12:26:00-04:00
74.08,74.08,74.08,74.08,400,2024-04-08 12:27:00-04:00
74.065,74.065,74.065,74.065,100,2024-04-08 12:28:00-04:00
74.08,74.08,74.08,74.08,100,2024-04-08 12:29:00-04:00
74.07,74.07,74.07,74.07,600,2024-04-08 12:30:00-04:00
74.08,74.1,74.08,74.1,1195,2024-04-08 12:31:00-04:00
