open,high,low,close,volume,datetime
115.72,115.72,115.72,115.72,100,2024-04-08 08:57:00-04:00
115.83,116.045,115.6,116.045,24751,2024-04-08 09:30:00-04:00
115.83,115.97,115.5645,115.89,2000,2024-04-08 09:31:00-04:00
115.955,116.07,115.955,116.07,201,2024-04-08 09:32:00-04:00
116.1,116.155,116.1,116.155,412,2024-04-08 09:34:00-04:00
116.12,116.12,116.1,116.115,963,2024-04-08 09:35:00-04:00
116.03,116.03,115.995,116.03,400,2024-04-08 09:36:00-04:00
115.9647,115.9647,115.9647,115.9647,294,2024-04-08 09:37:00-04:00
115.975,116.06,115.945,116.06,695,2024-04-08 09:38:00-04:00
116.18,116.28,116.18,116.28,1251,2024-04-08 09:39:00-04:00
116.18,116.18,116.06,116.06,924,2024-04-08 09:40:00-04:00
116.025,116.11,116.025,116.11,1072,2024-04-08 09:41:00-04:00
116.19,116.19,116.1697,116.1697,349,2024-04-08 09:42:00-04:00
116.13,116.13,116.04,116.04,300,2024-04-08 09:43:00-04:00
116.045,116.0499,116.0,116.0,700,2024-04-08 09:44:00-04:00
116.0,116.0,116.0,116.0,225,2024-04-08 09:45:00-04:00
116.05,116.05,116.05,116.05,161,2024-04-08 09:46:00-04:00
115.94,115.94,115.93,115.93,200,2024-04-08 09:47:00-04:00
115.59,115.61,115.59,115.61,600,2024-04-08 09:49:00-04:00
115.63,115.63,115.56,115.59,1225,2024-04-08 09:50:00-04:00
115.6,115.62,115.55,115.62,1110,2024-04-08 09:51:00-04:00
115.5999,115.5999,115.55,115.55,1183,2024-04-08 09:52:00-04:00
115.5139,115.575,115.51,115.575,700,2024-04-08 09:53:00-04:00
115.585,115.585,115.52,115.52,600,2024-04-08 09:54:00-04:00
115.46,115.56,115.45,115.54,1032,2024-04-08 09:55:00-04:00
115.56,115.61,115.56,115.61,659,2024-04-08 09:56:00-04:00
115.5,115.51,115.5,115.51,400,2024-04-08 09:57:00-04:00
115.48,115.53,115.46,115.51,800,2024-04-08 09:58:00-04:00
115.46,115.46,115.39,115.39,2628,2024-04-08 10:00:00-04:00
115.4025,115.41,115.37,115.37,732,2024-04-08 10:01:00-04:00
115.41,115.44,115.4,115.44,568,2024-04-08 10:02:00-04:00
115.465,115.485,115.43,115.45,1730,2024-04-08 10:03:00-04:00
115.47,115.47,115.4299,115.4299,900,2024-04-08 10:04:00-04:00
115.38,115.4,115.275,115.275,5903,2024-04-08 10:05:00-04:00
115.25,115.35,115.23,115.27,3534,2024-04-08 10:06:00-04:00
115.28,115.35,115.28,115.35,1477,2024-04-08 10:07:00-04:00
115.3273,115.37,115.32,115.37,942,2024-04-08 10:08:00-04:00
115.4,115.4,115.33,115.33,850,2024-04-08 10:09:00-04:00
115.345,115.44,115.34,115.44,1214,2024-04-08 10:10:00-04:00
115.46,115.46,115.44,115.44,600,2024-04-08 10:11:00-04:00
115.44,115.455,115.44,115.455,946,2024-04-08 10:12:00-04:00
115.47,115.55,115.47,115.55,1550,2024-04-08 10:13:00-04:00
115.57,115.57,115.57,115.57,311,2024-04-08 10:14:00-04:00
115.6,115.6,115.55,115.55,721,2024-04-08 10:15:00-04:00
115.55,115.55,115.53,115.54,1419,2024-04-08 10:16:00-04:00
115.55,115.58,115.55,115.58,800,2024-04-08 10:17:00-04:00
115.57,115.58,115.325,115.325,11380,2024-04-08 10:18:00-04:00
115.33,115.39,115.325,115.3801,3376,2024-04-08 10:19:00-04:00
115.39,115.49,115.39,115.45,5221,2024-04-08 10:20:00-04:00
115.48,115.49,115.455,115.48,790,2024-04-08 10:21:00-04:00
115.52,115.54,115.52,115.54,768,2024-04-08 10:22:00-04:00
115.54,115.55,115.5,115.5,942,2024-04-08 10:23:00-04:00
115.505,115.56,115.49,115.5399,3092,2024-04-08 10:24:00-04:00
115.52,115.61,115.52,115.55,1912,2024-04-08 10:25:00-04:00
115.53,115.59,115.53,115.575,678,2024-04-08 10:26:00-04:00
115.63,115.63,115.61,115.625,500,2024-04-08 10:27:00-04:00
115.61,115.65,115.59,115.65,1970,2024-04-08 10:28:00-04:00
115.66,115.66,115.64,115.64,857,2024-04-08 10:29:00-04:00
115.61,115.61,115.55,115.605,2233,2024-04-08 10:30:00-04:00
115.63,115.6424,115.61,115.6424,425,2024-04-08 10:31:00-04:00
115.63,115.65,115.63,115.65,1200,2024-04-08 10:32:00-04:00
115.685,115.76,115.68,115.7225,3571,2024-04-08 10:33:00-04:00
115.71,115.73,115.67,115.73,3180,2024-04-08 10:34:00-04:00
115.72,115.73,115.69,115.69,1289,2024-04-08 10:35:00-04:00
