open,high,low,close,volume,datetime
59.09,59.09,58.58,58.985,16624,2024-04-08 09:30:00-04:00
58.84,59.06,58.84,58.94,1120,2024-04-08 09:31:00-04:00
59.02,59.035,59.02,59.035,400,2024-04-08 09:32:00-04:00
58.94,59.07,58.94,59.07,49800,2024-04-08 09:34:00-04:00
58.98,59.07,58.95,58.96,1125,2024-04-08 09:35:00-04:00
58.97,58.99,58.89,58.99,1043,2024-04-08 09:37:00-04:00
58.94,59.13,58.94,59.11,2399,2024-04-08 09:38:00-04:00
59.13,59.15,59.11,59.13,735,2024-04-08 09:39:00-04:00
59.13,59.13,59.05,59.05,1097,2024-04-08 09:40:00-04:00
59.07,59.15,59.04,59.11,2100,2024-04-08 09:41:00-04:00
59.11,59.125,59.1,59.125,1807,2024-04-08 09:42:00-04:00
59.14,59.14,59.12,59.12,300,2024-04-08 09:43:00-04:00
59.15,59.15,59.13,59.15,400,2024-04-08 09:44:00-04:00
59.185,59.21,59.18,59.19,927,2024-04-08 09:45:00-04:00
59.2,59.21,59.17,59.17,1147,2024-04-08 09:46:00-04:00
59.17,59.23,59.17,59.19,800,2024-04-08 09:47:00-04:00
59.18,59.2332,59.18,59.2332,1050,2024-04-08 09:48:00-04:00
59.21,59.21,59.15,59.18,13802,2024-04-08 09:49:00-04:00
59.19,59.23,59.17,59.21,3301,2024-04-08 09:50:00-04:00
59.14,59.17,59.14,59.17,469,2024-04-08 09:51:00-04:00
59.13,59.145,59.11,59.11,1636,2024-04-08 09:52:00-04:00
59.13,59.13,59.06,59.06,4278,2024-04-08 09:53:00-04:00
59.055,59.065,59.04,59.04,1593,2024-04-08 09:54:00-04:00
59.01,59.075,59.01,59.075,1424,2024-04-08 09:55:00-04:00
59.0725,59.08,59.07,59.07,431,2024-04-08 09:56:00-04:00
59.055,59.055,59.055,59.055,251,2024-04-08 09:58:00-04:00
59.05,59.05,59.05,59.05,336,2024-04-08 09:59:00-04:00
59.035,59.035,58.97,58.985,2702,2024-04-08 10:00:00-04:00
59.02,59.02,58.98,59.02,1666,2024-04-08 10:01:00-04:00
59.05,59.05,59.02,59.02,757,2024-04-08 10:02:00-04:00
59.05,59.05,59.03,59.0475,2263,2024-04-08 10:03:00-04:00
59.0475,59.0475,59.02,59.02,800,2024-04-08 10:04:00-04:00
59.0,59.05,59.0,59.04,4048,2024-04-08 10:05:00-04:00
59.035,59.035,59.01,59.01,700,2024-04-08 10:06:00-04:00
59.03,59.05,59.03,59.05,2623,2024-04-08 10:07:00-04:00
59.065,59.08,59.05,59.07,1335,2024-04-08 10:08:00-04:00
59.07,59.075,59.04,59.04,699,2024-04-08 10:09:00-04:00
59.01,59.02,58.99,59.01,4210,2024-04-08 10:10:00-04:00
59.05,59.05,59.03,59.04,2400,2024-04-08 10:11:00-04:00
59.045,59.045,59.045,59.045,100,2024-04-08 10:12:00-04:00
59.045,59.1075,59.045,59.1075,600,2024-04-08 10:13:00-04:00
59.09,59.11,59.09,59.11,2091,2024-04-08 10:14:00-04:00
59.13,59.135,59.12,59.12,400,2024-04-08 10:15:00-04:00
59.12,59.125,59.1,59.125,1200,2024-04-08 10:16:00-04:00
59.13,59.145,59.13,59.145,600,2024-04-08 10:17:00-04:00
59.145,59.15,59.145,59.15,400,2024-04-08 10:18:00-04:00
59.17,59.17,59.16,59.16,700,2024-04-08 10:19:00-04:00
59.1675,59.215,59.1675,59.205,1355,2024-04-08 10:20:00-04:00
59.205,59.21,59.2,59.21,703,2024-04-08 10:21:00-04:00
59.235,59.2525,59.21,59.2525,7293,2024-04-08 10:22:00-04:00
59.245,59.245,59.24,59.245,477,2024-04-08 10:23:00-04:00
59.26,59.265,59.25,59.25,800,2024-04-08 10:24:00-04:00
59.27,59.29,59.255,59.29,1873,2024-04-08 10:25:00-04:00
59.31,59.325,59.295,59.325,2456,2024-04-08 10:26:00-04:00
