open,high,low,close,volume,datetime
129.15,129.16,129.15,129.16,400,2024-04-08 09:29:00-04:00
129.05,129.05,129.05,129.05,9304,2024-04-08 09:30:00-04:00
129.05,129.05,129.05,129.05,100,2024-04-08 09:32:00-04:00
129.1,129.1,129.1,129.1,200,2024-04-08 09:36:00-04:00
129.045,129.045,129.045,129.045,100,2024-04-08 09:37:00-04:00
128.85,128.85,128.85,128.85,164,2024-04-08 09:40:00-04:00
128.98,128.98,128.84,128.85,900,2024-04-08 09:41:00-04:00
129.0,129.0,129.0,129.0,236,2024-04-08 09:45:00-04:00
129.01,129.05,129.01,129.05,200,2024-04-08 09:46:00-04:00
129.07,129.07,129.06,129.06,300,2024-04-08 09:47:00-04:00
128.91,128.98,128.91,128.98,400,2024-04-08 09:48:00-04:00
128.89,128.98,128.86,128.9,1922,2024-04-08 09:49:00-04:00
128.92,128.92,128.89,128.89,404,2024-04-08 09:51:00-04:00
128.8675,128.8675,128.8675,128.8675,100,2024-04-08 09:52:00-04:00
128.79,128.79,128.79,128.79,157,2024-04-08 09:53:00-04:00
128.7,128.77,128.68,128.68,500,2024-04-08 09:54:00-04:00
128.545,128.73,128.545,128.73,1000,2024-04-08 09:57:00-04:00
128.54,128.54,128.54,128.54,100,2024-04-08 10:00:00-04:00
128.56,128.68,128.56,128.68,355,2024-04-08 10:02:00-04:00
128.69,128.69,128.67,128.67,1200,2024-04-08 10:03:00-04:00
128.68,128.68,128.59,128.59,2303,2024-04-08 10:04:00-04:00
128.605,128.69,128.59,128.59,800,2024-04-08 10:06:00-04:00
128.6775,128.6775,128.6775,128.6775,100,2024-04-08 10:08:00-04:00
128.71,128.71,128.71,128.71,100,2024-04-08 10:09:00-04:00
128.75,128.75,128.72,128.72,200,2024-04-08 10:10:00-04:00
128.72,128.72,128.72,128.72,638,2024-04-08 10:11:00-04:00
128.72,128.72,128.61,128.68,1500,2024-04-08 10:12:00-04:00
128.68,128.72,128.68,128.72,300,2024-04-08 10:13:00-04:00
128.785,128.81,128.785,128.81,202,2024-04-08 10:14:00-04:00
