open,high,low,close,volume,datetime
188.01,188.01,188.01,188.01,100,2024-04-08 09:29:00-04:00
187.62,187.9,187.54,187.6,14701,2024-04-08 09:30:00-04:00
187.93,188.02,187.93,188.02,300,2024-04-08 09:32:00-04:00
187.86,187.86,187.79,187.79,644,2024-04-08 09:33:00-04:00
187.92,188.095,187.915,188.075,600,2024-04-08 09:34:00-04:00
187.96,188.025,187.84,187.92,526,2024-04-08 09:35:00-04:00
187.8,187.855,187.8,187.85,500,2024-04-08 09:37:00-04:00
188.0,188.075,188.0,188.075,440,2024-04-08 09:38:00-04:00
188.075,188.16,188.075,188.14,340,2024-04-08 09:39:00-04:00
188.03,188.035,187.96,187.96,660,2024-04-08 09:41:00-04:00
187.78,187.79,187.77,187.79,300,2024-04-08 09:42:00-04:00
187.79,187.85,187.79,187.83,781,2024-04-08 09:43:00-04:00
187.75,187.8,187.675,187.74,2124,2024-04-08 09:46:00-04:00
187.88,187.96,187.8675,187.96,1029,2024-04-08 09:48:00-04:00
187.93,187.99,187.91,187.92,1466,2024-04-08 09:49:00-04:00
187.93,188.03,187.93,188.03,1176,2024-04-08 09:50:00-04:00
188.015,188.015,187.98,187.98,200,2024-04-08 09:51:00-04:00
187.98,188.07,187.98,188.07,629,2024-04-08 09:52:00-04:00
188.11,188.11,188.02,188.03,1101,2024-04-08 09:53:00-04:00
188.06,188.13,188.05,188.105,3237,2024-04-08 09:54:00-04:00
188.105,188.15,187.925,188.03,7068,2024-04-08 09:55:00-04:00
188.04,188.09,188.03,188.07,700,2024-04-08 09:56:00-04:00
188.12,188.12,188.07,188.095,500,2024-04-08 09:57:00-04:00
188.16,188.18,188.16,188.18,700,2024-04-08 09:58:00-04:00
188.16,188.16,188.075,188.15,1550,2024-04-08 09:59:00-04:00
188.15,188.15,188.145,188.15,500,2024-04-08 10:00:00-04:00
188.1,188.1,187.94,187.94,1200,2024-04-08 10:01:00-04:00
187.94,187.97,187.91,187.945,3957,2024-04-08 10:02:00-04:00
187.94,187.945,187.81,187.81,3117,2024-04-08 10:03:00-04:00
187.75,187.77,187.695,187.695,600,2024-04-08 10:04:00-04:00
187.735,187.76,187.735,187.76,574,2024-04-08 10:05:00-04:00
187.8,187.91,187.76,187.855,4484,2024-04-08 10:06:00-04:00
187.89,187.89,187.785,187.79,1100,2024-04-08 10:07:00-04:00
