open,high,low,close,volume,datetime
116.99,117.39,116.68,117.39,10344,2024-04-08 09:30:00-04:00
117.15,117.405,116.7301,116.7301,1600,2024-04-08 09:31:00-04:00
117.0,117.055,116.73,116.84,1000,2024-04-08 09:32:00-04:00
116.73,116.73,116.67,116.67,200,2024-04-08 09:33:00-04:00
116.88,116.88,116.805,116.805,267,2024-04-08 09:34:00-04:00
116.955,117.155,116.82,116.82,3230,2024-04-08 09:35:00-04:00
116.97,116.98,116.97,116.98,552,2024-04-08 09:36:00-04:00
116.9923,117.21,116.9923,117.21,1219,2024-04-08 09:37:00-04:00
117.25,117.49,117.21,117.49,1400,2024-04-08 09:38:00-04:00
117.495,117.68,117.495,117.58,1300,2024-04-08 09:39:00-04:00
117.63,117.85,117.63,117.835,2300,2024-04-08 09:40:00-04:00
117.86,117.865,117.86,117.865,500,2024-04-08 09:41:00-04:00
117.875,117.875,117.75,117.855,1760,2024-04-08 09:42:00-04:00
117.73,117.73,117.64,117.64,400,2024-04-08 09:43:00-04:00
117.675,117.9,117.57,117.9,84252,2024-04-08 09:44:00-04:00
117.98,118.08,117.9,118.07,3950,2024-04-08 09:45:00-04:00
117.96,117.96,117.79,117.89,1850,2024-04-08 09:47:00-04:00
117.745,117.745,117.61,117.625,1220,2024-04-08 09:48:00-04:00
117.45,117.465,117.3,117.3,1800,2024-04-08 09:49:00-04:00
117.3,117.55,117.3,117.52,3545,2024-04-08 09:50:00-04:00
117.52,117.61,117.45,117.51,1637,2024-04-08 09:51:00-04:00
117.435,117.5619,117.37,117.37,700,2024-04-08 09:52:00-04:00
117.37,117.41,117.27,117.33,700,2024-04-08 09:53:00-04:00
117.38,117.39,117.26,117.33,651,2024-04-08 09:54:00-04:00
117.265,117.265,117.265,117.265,100,2024-04-08 09:55:00-04:00
117.47,117.58,117.45,117.58,2162,2024-04-08 09:56:00-04:00
117.37,117.37,117.295,117.295,325,2024-04-08 09:57:00-04:00
117.45,117.45,117.29,117.29,552,2024-04-08 09:58:00-04:00
117.18,117.2054,116.96,116.97,2285,2024-04-08 09:59:00-04:00
117.0,117.14,116.945,117.065,5601,2024-04-08 10:00:00-04:00
116.93,116.95,116.91,116.91,500,2024-04-08 10:02:00-04:00
116.905,117.07,116.89,117.01,1634,2024-04-08 10:03:00-04:00
117.03,117.03,116.92,117.0,800,2024-04-08 10:04:00-04:00
116.935,117.0,116.925,117.0,900,2024-04-08 10:05:00-04:00
117.03,117.155,117.0,117.155,3510,2024-04-08 10:06:00-04:00
117.2,117.25,117.085,117.13,3120,2024-04-08 10:07:00-04:00
117.1,117.13,116.89,116.9,2962,2024-04-08 10:08:00-04:00
117.0,117.015,116.955,116.955,400,2024-04-08 10:09:00-04:00
116.97,116.97,116.835,116.84,1210,2024-04-08 10:10:00-04:00
116.91,116.91,116.84,116.895,800,2024-04-08 10:11:00-04:00
116.88,116.915,116.825,116.91,1504,2024-04-08 10:12:00-04:00
116.895,116.91,116.84,116.91,900,2024-04-08 10:13:00-04:00
116.84,116.9,116.73,116.73,2367,2024-04-08 10:14:00-04:00
116.685,116.72,116.685,116.695,500,2024-04-08 10:15:00-04:00
116.695,116.86,116.695,116.85,3208,2024-04-08 10:16:00-04:00
116.86,116.95,116.86,116.895,1198,2024-04-08 10:17:00-04:00
116.895,116.91,116.825,116.86,1691,2024-04-08 10:18:00-04:00
116.88,116.89,116.75,116.75,4278,2024-04-08 10:19:00-04:00
116.73,116.755,116.61,116.61,2310,2024-04-08 10:20:00-04:00
116.595,116.605,116.51,116.58,800,2024-04-08 10:21:00-04:00
116.515,116.59,116.41,116.57,2882,2024-04-08 10:22:00-04:00
116.535,116.535,116.42,116.42,500,2024-04-08 10:23:00-04:00
116.42,116.57,116.42,116.515,1200,2024-04-08 10:24:00-04:00
116.535,116.54,116.45,116.54,1921,2024-04-08 10:25:00-04:00
116.58,116.63,116.52,116.555,3645,2024-04-08 10:26:00-04:00
116.56,116.65,116.445,116.45,8010,2024-04-08 10:27:00-04:00
116.44,116.46,116.38,116.455,1700,2024-04-08 10:28:00-04:00
116.42,116.5,116.345,116.44,2609,2024-04-08 10:29:00-04:00
116.43,116.535,116.35,116.535,4082,2024-04-08 10:30:00-04:00
116.525,116.59,116.5,116.5,5828,2024-04-08 10:31:00-04:00
116.53,116.56,116.49,116.49,2694,2024-04-08 10:32:00-04:00
116.53,116.7125,116.53,116.705,5210,2024-04-08 10:33:00-04:00
116.715,116.84,116.715,116.84,2805,2024-04-08 10:34:00-04:00
116.88,116.94,116.8,116.83,2900,2024-04-08 10:35:00-04:00
116.9,116.9,116.825,116.825,225,2024-04-08 10:36:00-04:00
116.8504,116.86,116.8,116.815,1385,2024-04-08 10:37:00-04:00
116.87,116.89,116.81,116.865,1553,2024-04-08 10:38:00-04:00
116.82,116.82,116.67,116.67,2432,2024-04-08 10:39:00-04:00
116.67,116.74,116.55,116.55,900,2024-04-08 10:40:00-04:00
116.57,116.79,116.57,116.75,3566,2024-04-08 10:41:00-04:00
116.745,116.78,116.71,116.765,2800,2024-04-08 10:42:00-04:00
116.765,116.81,116.61,116.61,3861,2024-04-08 10:43:00-04:00
116.695,116.805,116.695,116.805,2143,2024-04-08 10:44:00-04:00
116.85,117.02,116.85,117.005,3046,2024-04-08 10:45:00-04:00
117.005,117.005,117.0,117.0,1100,2024-04-08 10:46:00-04:00
117.06,117.06,116.86,116.86,2074,2024-04-08 10:47:00-04:00
116.91,116.96,116.82,116.825,2035,2024-04-08 10:48:00-04:00
116.78,116.89,116.775,116.775,2916,2024-04-08 10:49:00-04:00
116.86,116.865,116.82,116.825,2647,2024-04-08 10:50:00-04:00
116.83,116.83,116.83,116.83,300,2024-04-08 10:51:00-04:00
116.82,116.91,116.76,116.87,1714,2024-04-08 10:52:00-04:00
116.845,116.925,116.78,116.79,4379,2024-04-08 10:53:00-04:00
116.845,116.85,116.73,116.73,595,2024-04-08 10:54:00-04:00
116.79,116.85,116.74,116.8,1468,2024-04-08 10:55:00-04:00
116.8,116.85,116.77,116.79,3550,2024-04-08 10:56:00-04:00
116.86,116.925,116.86,116.88,701,2024-04-08 10:57:00-04:00
116.935,116.935,116.78,116.78,964,2024-04-08 10:58:00-04:00
116.8,116.8,116.77,116.77,500,2024-04-08 10:59:00-04:00
116.7795,116.9,116.72,116.9,3219,2024-04-08 11:00:00-04:00
116.905,117.01,116.905,117.01,819,2024-04-08 11:01:00-04:00
116.965,116.965,116.965,116.965,200,2024-04-08 11:02:00-04:00
116.95,116.96,116.895,116.91,1647,2024-04-08 11:03:00-04:00
116.915,117.11,116.905,117.05,2251,2024-04-08 11:04:00-04:00
117.065,117.065,117.065,117.065,100,2024-04-08 11:05:00-04:00
117.02,117.05,117.02,117.05,1232,2024-04-08 11:06:00-04:00
117.03,117.05,117.03,117.05,1098,2024-04-08 11:07:00-04:00
117.08,117.17,117.05,117.16,2493,2024-04-08 11:08:00-04:00
117.1999,117.2,117.165,117.2,300,2024-04-08 11:09:00-04:00
117.2,117.25,117.14,117.14,2839,2024-04-08 11:10:00-04:00
117.11,117.11,117.08,117.08,456,2024-04-08 11:11:00-04:00
117.11,117.165,117.11,117.165,1456,2024-04-08 11:12:00-04:00
117.17,117.175,117.17,117.175,200,2024-04-08 11:13:00-04:00
117.135,117.2,117.1,117.1,1601,2024-04-08 11:14:00-04:00
117.19,117.19,117.15,117.15,300,2024-04-08 11:15:00-04:00
117.15,117.15,117.12,117.12,500,2024-04-08 11:16:00-04:00
117.11,117.15,117.11,117.11,1000,2024-04-08 11:17:00-04:00
117.19,117.2,117.165,117.2,1041,2024-04-08 11:18:00-04:00
117.21,117.21,117.11,117.11,1997,2024-04-08 11:19:00-04:00
117.115,117.12,117.08,117.11,530,2024-04-08 11:20:00-04:00
117.09,117.16,117.08,117.13,2436,2024-04-08 11:21:00-04:00
117.1,117.16,117.05,117.05,2970,2024-04-08 11:22:00-04:00
117.085,117.12,117.06,117.06,675,2024-04-08 11:23:00-04:00
117.05,117.06,117.05,117.06,430,2024-04-08 11:24:00-04:00
117.06,117.09,117.03,117.09,1044,2024-04-08 11:25:00-04:00
117.125,117.125,117.02,117.03,1553,2024-04-08 11:26:00-04:00
117.03,117.03,117.025,117.025,800,2024-04-08 11:27:00-04:00
117.03,117.03,117.01,117.03,715,2024-04-08 11:28:00-04:00
117.0,117.03,116.925,116.925,1465,2024-04-08 11:29:00-04:00
116.9899,116.9899,116.91,116.91,2261,2024-04-08 11:30:00-04:00
116.935,116.935,116.855,116.89,3295,2024-04-08 11:31:00-04:00
116.885,116.93,116.88,116.91,1917,2024-04-08 11:32:00-04:00
116.925,117.015,116.87,116.99,6915,2024-04-08 11:33:00-04:00
117.015,117.05,117.015,117.05,517,2024-04-08 11:34:00-04:00
117.0,117.0,116.95,116.95,1100,2024-04-08 11:35:00-04:00
116.94,116.96,116.92,116.945,732,2024-04-08 11:36:00-04:00
116.9,116.94,116.9,116.94,400,2024-04-08 11:37:00-04:00
116.98,117.0,116.95,116.965,1062,2024-04-08 11:38:00-04:00
117.03,117.03,117.0,117.02,550,2024-04-08 11:39:00-04:00
116.98,116.98,116.91,116.945,1879,2024-04-08 11:40:00-04:00
116.945,116.945,116.9,116.9006,419,2024-04-08 11:41:00-04:00
116.9,116.93,116.9,116.9,500,2024-04-08 11:42:00-04:00
116.93,116.93,116.85,116.92,2485,2024-04-08 11:43:00-04:00
116.95,116.95,116.91,116.91,823,2024-04-08 11:44:00-04:00
116.9,116.9,116.81,116.81,600,2024-04-08 11:45:00-04:00
116.845,116.88,116.815,116.815,1228,2024-04-08 11:46:00-04:00
116.8,116.835,116.8,116.835,200,2024-04-08 11:47:00-04:00
116.81,116.84,116.8,116.84,700,2024-04-08 11:48:00-04:00
116.8,116.84,116.785,116.785,1548,2024-04-08 11:49:00-04:00
116.785,116.785,116.75,116.75,200,2024-04-08 11:50:00-04:00
116.8,116.8,116.77,116.785,1302,2024-04-08 11:51:00-04:00
116.77,116.8,116.74,116.78,700,2024-04-08 11:52:00-04:00
116.795,116.86,116.795,116.845,1366,2024-04-08 11:53:00-04:00
116.82,116.85,116.8,116.84,1182,2024-04-08 11:54:00-04:00
116.87,116.89,116.87,116.87,936,2024-04-08 11:55:00-04:00
116.885,116.885,116.86,116.86,1171,2024-04-08 11:56:00-04:00
116.84,116.855,116.83,116.855,756,2024-04-08 11:57:00-04:00
116.83,116.85,116.83,116.84,300,2024-04-08 11:58:00-04:00
